,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,757.27,30.26,1.04,0.0,65.88,66.82,150.64,9.8,690.45,-22.46,425.12,357.41,563.3,1765.56,2986.27,4816.64,939.8,430.5,872.03,2373.25,1334.32,3707.56,520.0,735.98,137.02,-13.53,159.54,83.82,2.3549999999999995,6.92,5.04,1.04,0.0,0.0,2.52,0.0,16.44,0.0,10.92,4.53,4.0,0.74,0.51,3,2000,0.0,29.096153846153847,30.26
2000-06-30,541.3199999999999,-103.64,-2.5563968383755795,0.0,22.85000000000001,-100.19999999999999,-3.6599999999999966,7.5,641.52,-86.24000000000001,132.3,257.26,638.75,1434.8,2887.72,4392.23,911.85,420.29,912.39,2340.72,1105.18,3445.9,520.0,602.83,22.44999999999999,4.139999999999999,-319.41999999999996,96.54000000000002,-0.7328087610961018,6.47,5.72,-1.81,0.0,0.0,-9.434657944944126,0.0,-68.7543635868084,0.0,-9.2086781139275,-6.0,-5.65,0.61,0.34,6,2000,0.0,40.54143646408839,-73.38
2000-09-30,523.3200000000002,-133.74,-3.01547798377752,0.0,9.789999999999992,-137.77,-45.269999999999996,6.1,661.0899999999999,-99.01,80.4,235.56,600.89,1359.84,2795.86,4226.45,1012.09,372.36,905.4,2386.22,1095.81,3482.03,520.0,441.71,5.52000000000001,-19.4,-38.00999999999999,92.5,-0.5071915657245402,7.18,7.88,-4.67,0.0,0.0,-12.655967555040558,0.0,-121.10986095017383,0.0,-24.020509849362693,-11.61,-11.37,0.57,0.32,9,2000,0.0,44.351177730192724,-207.12
2000-12-31,712.45,-147.02999999999997,-3.1759974587039386,0.0,-89.94999999999999,-149.4,79.41000000000001,5.5,861.8499999999999,-163.51000000000002,36.02,292.8,535.04,1266.37,2677.12,4014.05,1296.07,330.91,854.19,2589.82,760.62,3350.44,520.0,373.5,-23.5,-7.880000000000003,-13.01000000000002,228.81,-0.4335645786574169,7.66,8.97,-7.65,0.0,0.0,-14.646952986022871,0.0,-157.46304786107578,0.0,-37.38128250741211,-14.56,-13.97,0.49,0.28,12,2000,0.0,46.29411764705882,-354.15
2001-03-31,705.01,-45.0,-0.87,0.0,11.54,-20.89,83.55,6.9,725.9,-90.49,103.96,309.13,683.03,1513.55,2582.46,4168.68,1567.8,431.54,800.28,2901.54,656.77,3558.32,520.0,328.5,-47.41,-24.84,140.2,104.44,-1.9824999999999997,10.92,10.83,-0.87,0.0,0.0,-4.32,-1.84,-54.79999999999999,-33.8,-6.6,-7.08,-6.38,0.52,0.29,3,2001,0.0,51.724137931034484,-45.0
2001-06-30,958.46,103.64,1.9971555252387447,0.0,7.449999999999999,110.14,209.25,7.2,848.3100000000001,-96.89999999999999,732.05,233.91,533.83,1822.31,1271.79,3304.32,939.32,441.42,520.6,2021.48,893.18,2914.66,520.0,389.67,49.629999999999995,666.22,-82.61999999999999,99.11000000000001,0.9010439984561945,9.61,7.48,1.13,0.0,0.0,12.513151432469304,16.401418826739423,106.39713506139154,83.56240109140519,49.20425648021828,4.39,3.53,0.9,0.64,6,2001,0.0,51.89380530973452,58.64
2001-09-30,530.7699999999998,-21.93,-0.42414328520839006,0.0,48.31,6.209999999999994,50.870000000000005,8.7,524.5700000000002,12.22999999999999,29.41,385.76,372.22,1029.29,1215.7,2445.82,701.74,340.33,146.51,1233.89,844.2,2078.08,520.0,367.74,-10.25,-12.090000000000032,-680.2900000000001,44.66,-5.1265104879160965,12.3,5.65,0.71,0.0,0.0,-3.584309452465268,-6.834083356033778,-23.847605557068917,-21.67312448923999,-18.82957232361754,1.99,1.67,0.83,0.53,9,2001,0.0,51.70422535211268,36.71
2001-12-31,497.82000000000016,6.82,0.13160578911095797,0.0,30.86,32.790000000000006,72.58999999999997,9.25,465.02999999999975,-13.819999999999993,5.72,419.99,314.44,977.87,1194.86,2373.46,702.03,273.07,488.72,1512.66,488.12,2000.78,520.0,372.68,-53.68,42.180000000000064,-12.18999999999994,39.79999999999998,17.568376099706747,12.91,5.37,0.84,0.0,0.0,1.1468504479669193,2.519310820124052,7.31978865150471,7.313521709166092,9.337744084539398,1.89,1.62,0.65,0.44,12,2001,0.0,51.82142857142858,43.53
2002-03-31,633.19,25.32,0.49,0.0,74.82,49.63,88.75,11.1,583.56,33.27,63.93,401.37,303.62,971.19,1265.37,2327.37,634.76,297.01,478.5,1476.38,480.84,1957.22,520.0,370.15,145.04,-6.36,-80.47,39.12,5.6625,15.59,5.29,0.49,0.0,0.0,4.36,6.12,27.360000000000003,29.0,23.32,4.16,4.0,0.66,0.45,3,2002,0.0,51.673469387755105,25.32
2002-06-30,597.8699999999999,37.6,0.7230769230769231,0.0,79.89000000000001,59.93,97.25999999999999,13.3,537.94,45.27,29.09,409.95,276.28,921.35,1128.24,2250.43,674.65,0.0,212.33,1213.21,634.1,1847.31,520.0,403.12,49.83000000000001,-15.64,-69.03,37.330000000000005,4.597678191489361,17.16,4.58,1.21,0.0,0.0,6.692943420216147,9.417927527018437,37.31315956770502,37.93464717101081,25.241958041958043,5.28,5.11,0.76,0.53,6,2002,0.0,52.0,62.92
2002-09-30,541.44,12.11,0.23241903238704514,0.0,59.70999999999998,33.25999999999999,80.35000000000002,10.2,508.18000000000006,23.349999999999994,59.24,305.81,226.41,797.3,1236.38,2124.77,402.4,252.61,262.18,982.22,729.34,1711.56,520.0,413.21,198.42000000000002,-32.81,-135.45,47.09,10.966399669694468,12.84,4.14,1.44,0.0,0.0,2.2789977342396375,4.035052645608423,11.724248967079834,12.408593895775022,8.070105291216846,4.39,4.23,0.81,0.58,9,2002,0.0,52.10416666666667,75.03
2002-12-31,635.98,30.349999999999994,0.5846507876257353,0.0,84.74000000000004,49.610000000000014,68.94,10.6,586.3700000000001,36.3,9.33,385.59,181.85,777.24,1264.37,2133.31,406.26,251.94,312.04,1062.04,627.71,1689.74,520.0,443.56,34.639999999999986,-61.41,-23.150000000000034,19.33,4.531166392092257,12.43,3.81,2.03,0.0,0.0,5.690985006642626,9.838261529702029,27.372025052192065,29.74518884038717,20.690301765040804,4.54,4.38,0.73,0.56,12,2002,0.0,51.91133004926109,105.38
2003-03-31,600.16,71.77,1.38,0.0,85.98,89.98,121.73,10.5,510.18,50.85,27.44,327.3,341.27,781.67,692.59,2111.98,195.9,290.91,85.46,654.96,941.68,1596.64,520.0,515.33,134.39,-2.26,-114.02,31.75,1.9025000000000003,10.6,3.1,1.38,0.0,0.0,13.6,16.2,55.72,64.84,24.72,12.6,11.96,1.19,0.67,3,2003,0.0,52.007246376811594,71.77
2003-06-30,609.68,52.05,1.000476498142465,0.0,81.24,66.48,97.21,14.3,543.2,48.37,9.27,334.13,339.18,768.25,674.39,2076.18,149.3,274.61,84.93,567.44,941.36,1508.8,520.0,567.38,54.940000000000026,-5.880000000000001,-67.23,30.729999999999997,3.5742468780019214,13.11,2.66,2.38,0.0,0.0,10.021579712485867,12.15705055726054,36.689743175577455,42.91119366822807,17.43687611048296,10.75,10.23,1.35,0.76,6,2003,0.0,52.02521008403361,123.82
2003-09-30,583.4100000000001,33.46000000000001,0.6424796541200408,0.0,72.16,61.09,91.47000000000003,25.0,522.3199999999999,40.52000000000001,10.11,340.99,317.18,750.0,674.08,2054.12,160.98,259.74,110.0,592.05,861.23,1453.28,520.0,600.84,82.17999999999998,-30.83,-50.50999999999999,30.380000000000003,9.730113568439926,21.64,2.42,3.02,0.0,0.0,6.518402848423196,8.858560528992882,22.2783011190234,26.39697863682605,12.662380467955241,9.2,8.77,1.27,0.73,9,2003,0.0,52.079470198675494,157.28
2003-12-31,627.5,22.939999999999998,0.4416923759849073,0.0,70.18,53.00999999999999,80.5,29.25,574.49,20.120000000000005,12.87,351.34,382.0,831.53,1319.59,2359.92,143.83,313.81,210.0,758.96,760.86,1519.82,520.0,840.1,36.99000000000001,-23.64,-10.590000000000003,27.489999999999995,16.556828683522234,18.1,1.81,3.47,0.0,0.0,3.8899478415270217,6.130231938741537,10.921384973920762,14.297085784041723,8.604727555210298,7.82,7.44,1.1,0.59,12,2003,0.0,51.93659942363112,180.22
2004-03-31,619.3,50.83,0.98,0.0,81.66,82.91,103.17,21.9,536.39,46.34,22.57,366.38,347.77,818.47,1317.48,2347.87,175.88,241.52,260.0,777.21,680.58,1457.79,520.0,890.08,32.63,-25.05,2.12,20.26,5.5875,12.79,1.64,0.98,0.0,0.0,8.64,14.879999999999999,22.84,28.920000000000005,21.12,8.64,8.21,1.05,0.61,3,2004,0.0,51.86734693877551,50.83
2004-06-30,616.6400000000001,59.36,1.142056447953535,0.0,98.77000000000001,87.55000000000001,120.52,19.3,529.09,67.72,11.68,376.44,369.7,839.1,1350.56,2401.08,129.98,274.25,260.0,771.0,680.63,1451.64,520.0,949.44,90.87,-55.78,-45.97,32.97,4.223083726415094,10.57,1.53,2.12,0.0,0.0,9.890639803974953,16.398206733823397,25.017500680642527,31.30958526182049,22.539453670932026,9.35,8.92,1.09,0.61,6,2004,0.0,51.97641509433962,110.19
2004-09-30,540.6599999999999,34.099999999999994,0.6546330307020584,0.0,72.41999999999999,58.34,86.76999999999998,18.2,482.30999999999995,33.93000000000001,10.83,279.69,434.44,801.6,1393.31,2405.66,187.75,275.16,185.0,747.09,675.06,1422.15,520.0,983.5,88.35,-66.99,-22.21999999999999,28.43,6.950038856304986,9.62,1.45,2.77,0.0,0.0,5.671910735324692,9.698967357405223,13.867821747868874,17.214249081710445,13.045394691246793,8.52,8.12,1.07,0.49,9,2004,0.0,52.09025270758122,144.29
2004-12-31,587.6399999999999,15.890000000000015,0.30553876888500464,0.0,57.140000000000015,33.97999999999996,66.88,16.6,553.6700000000001,12.120000000000005,8.85,348.83,319.23,750.8,1362.84,2457.53,252.47,265.97,385.0,983.33,474.82,1458.15,520.0,999.38,-43.91,-22.78,64.72,32.900000000000006,13.583546255506594,8.64,1.46,3.08,0.0,0.0,2.5871594456236755,4.329127231864157,6.36076164315146,6.912318641528287,7.075008115869652,7.11,6.78,0.76,0.44,12,2004,0.0,52.006493506493506,160.18
2005-03-31,581.1,7.87,0.15,0.0,48.31,20.11,49.83,16.8,560.99,0.31,5.05,310.32,318.34,709.9,1373.5,2427.47,276.54,284.54,355.0,1009.08,411.2,1420.28,520.0,1007.19,104.61,-39.97,-68.44,29.72,28.0,8.67,1.41,0.15,0.0,0.0,1.28,3.36,3.12,3.32,5.68,1.41,1.35,0.7,0.39,3,2005,0.0,52.46666666666667,7.87
2005-06-30,559.6999999999999,27.23,0.5197749287749288,0.0,58.75999999999999,38.78,75.15,12.2,520.9100000000001,17.060000000000002,2.91,270.26,412.48,776.14,1391.14,2513.14,246.42,365.16,458.53,1167.89,310.82,1478.72,520.0,1034.42,76.14999999999999,-48.18000000000001,-30.11,36.370000000000005,5.868261109070878,6.13,1.43,0.67,0.0,0.0,4.344387464387464,7.447521367521367,10.519623931623933,10.985094017094017,13.591726495726494,3.22,3.08,0.66,0.31,6,2005,0.0,52.38805970149254,35.1
2005-09-30,520.24,18.67,0.35763622838013764,0.0,45.19,29.269999999999996,60.540000000000006,11.8,490.98,5.329999999999998,1.78,257.85,406.64,743.36,1371.94,2453.44,380.5,284.37,376.63,1101.9,298.44,1400.34,520.0,1053.1,-39.349999999999994,-3.3599999999999994,41.58,31.269999999999996,8.251261381896091,5.83,1.33,1.03,0.0,0.0,3.0416440394271897,5.041629161242328,7.097169425330111,7.333278779988842,9.055488190440766,3.39,3.24,0.67,0.31,9,2005,0.0,52.20388349514563,53.77
2005-12-31,517.7600000000002,-2.260000000000005,-0.043436225975538825,0.0,31.110000000000014,9.299999999999997,41.139999999999986,11.2,508.46000000000004,-10.87,3.08,267.92,356.69,716.02,1305.88,2359.52,324.14,276.66,282.36,972.61,397.9,1370.51,520.0,989.01,86.94,-29.269999999999996,-56.370000000000005,31.83999999999999,-64.44448008849542,5.89,1.39,0.99,0.0,0.0,-0.3825897883906047,-0.7107746068724536,-0.9143544942729588,-0.9090894971850146,-1.2337643176082345,2.48,2.36,0.74,0.37,12,2005,0.0,52.03030303030303,51.51
2006-03-31,826.35,228.85,4.4,0.0,59.71,281.09,309.37,11.1,545.26,17.31,2.2,325.2,303.57,724.72,1045.89,2108.28,342.45,247.87,27.95,739.3,387.83,1127.13,520.0,981.15,11.92,231.38,-244.18,28.28,0.63,5.88,1.15,4.4,0.0,0.0,43.4,49.56,93.28,92.08,82.12,40.83,27.69,0.98,0.57,3,2006,0.0,52.01136363636363,228.85
2006-06-30,524.34,-4.349999999999994,-0.08370601336302885,0.0,43.24,26.510000000000048,55.26999999999998,11.3,497.8399999999999,7.080000000000002,3.59,266.39,327.63,686.12,1026.82,2050.07,261.79,294.04,126.04,786.58,287.08,1073.66,520.0,976.4,91.72,-9.669999999999987,-80.67000000000002,28.759999999999998,-33.80402298850579,6.02,1.1,4.32,0.0,0.0,-0.848685968819598,-1.0447750556792859,-1.7818530066815121,-1.73069933184855,-1.8872605790645856,21.19,16.62,0.87,0.46,6,2006,0.0,51.96759259259259,224.5
2006-09-30,545.6799999999998,18.710000000000008,0.3600296040458864,0.0,43.7,33.91999999999996,63.710000000000036,10.3,511.75,8.93,1.34,296.55,339.18,725.29,995.25,2056.61,306.13,287.6,121.89,788.32,276.83,1065.15,520.0,991.47,-32.120000000000005,-1.960000000000008,31.840000000000032,29.79,7.149412079102081,5.4,1.07,4.68,0.0,0.0,3.640299329797296,4.658844619875829,7.548312980551789,7.320601948933024,8.286835245261301,15.45,12.83,0.92,0.49,9,2006,0.0,51.96794871794872,243.21
2006-12-31,609.75,58.47,1.1241249005568814,0.0,54.43000000000001,49.74000000000001,80.02999999999997,11.2,560.0100000000002,10.700000000000003,6.16,329.44,348.39,775.51,976.84,2088.66,249.25,306.79,120.0,762.43,276.3,1038.73,520.0,1049.93,73.42,-11.72999999999999,-56.870000000000005,30.290000000000006,2.489492047203694,5.55,0.99,5.8,0.0,0.0,11.194733492442323,13.636797931583134,22.27317820206842,22.939900556881465,22.870127287191725,14.07,12.04,1.02,0.56,12,2006,0.0,52.01379310344828,301.68
2007-03-31,616.99,33.05,0.64,0.0,60.94,55.0,82.68,12.5,561.99,19.85,16.43,347.75,308.12,763.59,956.47,2055.58,224.52,269.74,121.97,708.03,264.57,972.6,520.0,1082.98,52.79,-6.78,-34.73,27.68,4.8825,6.0,0.9,0.64,0.0,0.0,6.44,10.56,12.2,12.8,16.32,5.68,5.36,1.08,0.64,3,2007,0.0,51.64062499999999,33.05
2007-06-30,609.99,45.32000000000001,0.8732065841520991,0.0,71.56,76.5,104.13,14.2,533.49,31.36,4.18,314.82,335.8,747.51,885.05,1978.66,237.57,307.74,102.26,750.08,43.97,794.05,528.0,1184.61,111.63,42.28,-166.16,27.630000000000003,4.063757722859664,6.33,0.67,1.51,0.0,0.0,9.159994896006125,15.104739058313132,15.31292076049509,16.77019267576879,24.75049125941049,6.85,6.39,1.0,0.55,6,2007,0.0,51.90066225165563,78.37
2007-09-30,568.5,34.39,0.6618153600567577,0.0,50.150000000000006,47.99000000000001,75.26999999999998,14.8,520.51,8.399999999999999,0.79,308.39,363.98,759.51,914.86,2016.16,398.24,274.1,1.88,754.44,42.73,797.16,528.0,1219.0,-19.799999999999983,-44.28,60.67999999999998,27.28,5.590456528060483,6.41,0.65,2.17,0.0,0.0,6.819443064916636,10.747637460092232,11.284409365023057,12.443348705214614,17.35969137992196,6.75,6.28,1.01,0.52,9,2007,0.0,51.963133640552996,112.76
2007-12-31,575.6300000000001,29.510000000000005,0.5683376678147186,0.0,52.400000000000006,47.29999999999998,75.87,14.5,528.3199999999999,5.439999999999998,10.72,288.75,359.41,718.73,1038.24,2098.24,329.59,287.74,2.42,713.68,43.92,757.6,528.0,1340.63,102.91,-19.89,-73.07999999999998,28.569999999999993,6.375875127075568,5.71,0.57,2.74,0.0,0.0,5.625298376326704,8.985542981654602,8.803011175933086,9.873311309481974,13.59032262599283,6.46,6.0,1.01,0.5,12,2007,0.0,51.92335766423358,142.27
2008-03-31,596.4,51.34,0.99,0.67,72.93,76.08,104.65,13.8,520.32,34.15,9.63,311.96,304.49,697.97,1025.69,2064.8,267.21,243.24,4.93,629.1,43.74,672.83,528.0,1391.97,86.3,-24.3,-63.09,28.57,3.485,5.23,0.48,0.99,0.67,0.68,9.96,14.76,14.76,16.6,21.2,9.26,8.61,1.11,0.63,3,2008,34.74525252525253,51.85858585858586,51.34
2008-06-30,644.3100000000001,72.50999999999999,1.3934097698829229,0.0023076220419780413,79.09,87.44000000000001,115.97999999999999,14.5,556.87,40.46,20.7,350.27,259.22,713.07,1031.51,2085.11,232.56,260.84,3.27,615.73,42.86,658.59,528.0,1426.52,117.86,-34.900000000000006,-71.9,28.54,2.6004913115432355,5.37,0.46,2.38,0.67,0.28,13.910679047234558,18.852014533710133,20.3273895841744,22.224300363342753,26.064959224868794,10.75,9.98,1.16,0.74,6,2008,0.12008360920125227,52.03781512605042,123.85
2008-09-30,642.3499999999999,48.95000000000002,0.9404745370370372,0.00013358815748533187,71.16999999999999,69.86999999999998,100.01999999999998,15.0,572.48,30.349999999999994,9.57,392.31,308.68,806.97,1041.49,2188.37,195.51,345.2,2.44,670.66,42.24,712.9,528.0,1475.47,46.16,-19.209999999999994,-38.06999999999999,30.150000000000006,3.989050051072521,5.37,0.48,3.32,0.67,0.2,8.951504629629634,12.577430555555559,13.26862268518519,14.537696759259264,17.427106481481488,9.81,9.18,1.2,0.74,9,2008,0.0069530221727305275,52.048192771084345,172.8
2008-12-31,633.7600000000002,-10.580000000000013,-0.20348662310442633,-0.0007036257469776018,59.20999999999998,0.7300000000000182,31.700000000000045,11.9,633.0299999999997,8.440000000000012,33.77,331.78,365.74,794.44,1033.39,2128.53,185.37,328.22,2.22,622.47,42.24,664.71,528.0,1463.82,74.57999999999998,-39.83,-10.550000000000011,30.97,-14.604399810964066,4.29,0.45,3.12,0.67,0.21,-1.9879077795586264,-2.8905535692269795,-2.8905535692269795,-3.018384909382324,-4.056688447786961,6.89,6.45,1.28,0.69,12,2008,-0.03658402842138031,51.993589743589745,162.22
2009-03-31,604.83,37.8,0.73,0.77,64.82,54.71,85.1,10.2,550.12,33.13,65.47,367.27,301.18,810.16,1009.92,2120.65,205.22,257.78,2.0,577.49,41.78,619.27,528.0,1501.38,18.79,-6.52,19.44,30.39,3.4925000000000006,3.59,0.41,0.73,0.77,1.05,7.12,10.44,10.079999999999998,10.44,14.200000000000001,6.53,6.25,1.4,0.88,3,2009,39.87123287671233,51.78082191780822,37.8
2009-06-30,601.3000000000001,44.61,0.855282125955588,0.005571557514798208,70.52000000000001,59.660000000000004,90.5,11.9,541.64,43.10999999999999,163.74,329.78,350.07,858.3,992.08,2148.71,205.0,293.66,1.77,603.82,40.7,644.52,528.0,1504.18,152.81,-11.02,-42.45,30.839999999999996,3.477624411566913,4.18,0.43,1.58,0.77,0.49,8.314641427011285,11.692464506734622,11.86568620313069,12.16882417182381,16.023006916636334,7.12,6.83,1.42,0.84,6,2009,0.29060256632564574,52.15822784810126,82.41
