,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-06-30,,,,,,,,,,,68.63,929.33,309.52,1311.54,278.09,1819.19,458.96,642.61,30.14,1260.04,124.97,1385.0,250.0,434.19,,,,,,0.0,3.19,0.13,0.0,0.0,,,,,,3.83,3.8,1.04,0.8,6,2013,,460.2307692307692,59.83
2013-09-30,758.1400000000001,21.60000000000001,0.04244136067788286,0.0,89.16000000000003,32.25,36.43999999999998,3.3,725.8999999999999,29.61,224.52,725.85,311.94,1488.7,274.97,1998.15,0.0,676.47,31.47,839.73,117.6,957.32,350.0,1040.82,46.80000000000001,-6.819999999999993,115.92000000000002,4.1899999999999995,19.443297453703696,1.11,0.92,0.16,0.0,0.0,4.329018789144051,0.0,8.297286012526099,0.0,11.034753776249543,3.51,3.49,1.77,1.4,9,2013,0.0,508.93750000000006,81.43
2013-12-31,827.3499999999999,28.679999999999993,0.05209336118427026,0.06,99.56,37.870000000000005,42.360000000000014,2.36,789.4700000000003,32.17999999999999,216.17,790.06,312.42,1552.29,275.86,2059.49,0.0,769.12,29.93,917.36,114.62,1031.98,350.0,1027.51,43.06999999999999,-1.9000000000000057,-49.53,4.490000000000002,11.325819386331942,0.8,1.0,0.2,0.06,0.3,5.573989646716917,0.0,11.168816637907545,0.0,14.440279720279715,3.51,3.48,1.69,1.35,12,2013,33.032999999999994,550.55,110.11
2014-03-31,775.59,19.96,0.03,0.0,91.54,27.0,31.63,2.74,748.59,22.45,113.81,1073.67,402.11,1594.01,275.25,2100.92,0.0,862.41,27.78,998.99,112.14,1111.12,350.0,989.79,-91.91,-3.27,-7.18,4.63,22.8325,0.97,1.12,0.03,0.0,0.0,3.8000000000000003,0.0,8.08,0.0,9.8,2.59,2.57,1.6,1.19,3,2014,0.0,665.3333333333334,19.96
2014-06-30,849.7799999999999,46.68,0.07004801920768308,0.08,123.23,60.44,65.26,3.3,789.34,51.06999999999999,132.26,1109.37,391.84,1639.82,281.66,2202.01,61.67,833.0,26.45,1058.98,106.56,1165.54,350.0,1036.47,81.49,-59.25,-3.790000000000001,4.819999999999999,11.777634961439588,1.11,1.12,0.1,0.08,0.8,8.489819927971189,12.188355342136854,18.016350540216088,25.385402160864345,21.43469387755102,4.14,4.1,1.55,1.18,6,2014,53.312,666.4,66.64
2014-09-30,1219.0900000000001,80.86999999999999,0.11512914378686188,0.06410331502948956,181.49999999999997,102.00999999999999,106.94000000000001,6.25,1117.07,98.11,165.33,1343.98,328.06,1847.89,299.91,2355.82,0.0,1052.82,25.33,1178.43,102.05,1280.48,350.0,1075.34,95.76,48.760000000000005,-111.45,4.9300000000000015,13.570847038456785,2.03,1.19,0.21,0.14,0.67,13.7277798115382,19.078543827537114,30.087082909633246,30.569528845501996,35.28434140058301,5.22,5.19,1.57,1.29,9,2014,45.02800000000002,702.4285714285714,147.51
2014-12-31,1163.6399999999999,87.71000000000001,0.12305203639146332,0.002034690927642191,193.99,115.19999999999999,120.53,6.55,1048.4499999999998,109.26999999999998,398.0,1320.6,333.7,2061.12,347.56,2612.44,0.0,1138.63,25.81,1307.77,103.02,1410.79,350.0,1201.65,249.36999999999998,-37.82,21.120000000000005,5.33,13.308394139778816,1.91,1.17,0.33,0.14,0.42,13.423858515432363,19.449679449026444,29.189434571890146,31.47149051951365,34.82745514837174,5.9,5.87,1.58,1.32,12,2014,1.4503030303030187,712.7878787878788,235.22
2015-03-31,1003.41,63.66,0.06,0.0,178.48,83.99,89.78,7.2,919.42,79.67,872.73,1076.47,298.5,2254.28,379.06,2836.3,250.0,815.97,27.84,1246.5,110.48,1356.98,362.87,1479.33,39.37,-27.54,462.9,5.79,30.0,1.77,0.92,0.06,0.0,0.0,8.96,13.6,17.2,20.64,21.12,6.37,6.34,1.81,1.57,3,2015,0.0,1061.0,63.66
2015-06-30,1134.38,67.64000000000001,0.07212185833968013,0.01,184.27,103.96,111.25999999999999,5.75,1030.42,75.16000000000001,467.8,1279.32,429.29,2451.07,454.22,3120.03,137.02,1016.88,31.29,1345.12,177.38,1522.49,521.04,1555.37,56.949999999999996,-353.28,-108.58999999999997,7.3,19.930850827912476,1.93,0.98,0.14,0.01,0.08,8.675229246001525,14.548009139375477,17.391670982482864,20.87412642802742,21.822013709063214,6.24,6.14,1.82,1.5,6,2015,9.37857142857143,937.8571428571429,131.3
2015-09-30,1259.56,60.66999999999999,0.060047403240089586,0.10071767166000639,195.14999999999998,88.94999999999999,99.03,4.92,1170.61,77.41999999999999,522.45,1353.8,450.73,2592.61,467.09,3274.59,233.56,1114.82,35.41,1537.34,165.47,1702.81,528.29,1522.78,95.58000000000001,-16.410000000000025,-24.53000000000003,10.080000000000002,20.480069639030827,1.71,1.12,0.19,0.11,0.59,7.407953326040526,12.439293639631188,15.941005365421677,18.684223576600505,20.15064437151638,5.73,5.65,1.69,1.39,9,2015,101.76195488721804,1010.3684210526316,191.97
