,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,285.76,24.43,0.28,0.0,-40.16,16.46,68.66,13.63,0.0,269.3,-68.14,213.77,240.7,473.81,990.32,1327.83,2934.87,487.99,94.98,0.0,859.24,0.0,859.24,890.5,2002.74,-19.78,73.69,59.46,52.2,12.165,6.06,0.43,0.28,0.0,0.0,3.3200000000000003,0.0,4.88,0.0,3.1600000000000006,12.15,8.55,1.15,0.6,3,2000,0.0,87.24999999999999,24.43
2000-06-30,405.45000000000005,-35.6,-0.4143240823634736,0.0,39.68,-46.57,0.5200000000000102,10.75,0.0,452.00999999999993,14.700000000000003,76.28,461.49,485.38,1091.35,1281.35,2984.66,436.46,225.52,0.0,960.5,0.0,960.5,890.5,1951.61,-51.97,-12.079999999999998,-73.44,47.09,-6.486287219101123,4.91,0.49,-0.13,0.0,0.0,-4.716920322291854,0.0,-7.266606982990152,0.0,-18.99516562220233,-1.77,-1.62,1.14,0.63,6,2000,0.0,85.92307692307692,-11.17
2000-09-30,391.95000000000005,-53.55,-0.6040095797280594,0.0,20.47,-29.18,20.629999999999995,7.5,0.0,421.1400000000001,1.8699999999999974,167.0,360.63,440.24,1030.78,1233.18,2926.84,375.12,136.36,0.0,945.45,0.0,945.45,890.5,1910.97,185.82,-26.08,-69.03,49.80999999999999,-3.1030550887021477,3.49,0.49,-0.73,0.0,0.0,-7.314307787391842,0.0,-11.219684796044499,0.0,-9.895828182941903,-6.48,-5.98,1.09,0.62,9,2000,0.0,88.65753424657534,-64.72
2000-12-31,447.17999999999984,-8.700000000000003,-0.09716698447289569,0.0,45.05000000000001,8.130000000000003,57.09,5.88,0.0,439.04999999999995,23.59,224.45,421.4,342.94,1062.45,1191.98,2927.46,408.1,92.73,0.0,950.81,0.0,950.81,890.5,1906.46,-77.03999999999999,-14.5,148.99,48.96000000000001,-15.105954022988502,2.74,0.5,-0.82,0.0,0.0,-1.1897030781803326,0.0,-1.8248433669299924,0.0,-1.2276219013892675,-5.09,-4.8,1.12,0.76,12,2000,0.0,89.53658536585367,-73.42
2001-03-31,258.5,-42.25,-0.4799999999999999,0.0,31.22,-28.72,17.93,5.25,0.0,287.22,4.74,300.91,334.93,368.96,1082.9,1145.85,2627.41,398.24,136.67,0.0,966.24,0.0,966.24,890.5,1600.26,121.44,-1.95,-43.03,46.65,-2.735,2.92,0.6,-0.48,0.0,0.0,-6.44,-4.12,-10.56,-9.4,-6.92,-16.24,-16.34,1.12,0.74,3,2001,0.0,88.02083333333334,-42.25
2001-06-30,399.57000000000005,2.049999999999997,0.022947761194029817,0.0,63.64,16.54,63.48,6.5,0.0,383.03,25.310000000000002,175.55,427.72,345.64,1019.04,1099.85,2514.85,360.86,189.86,0.0,844.99,0.0,844.99,890.55,1604.95,50.75999999999999,-0.34999999999999987,-175.77,46.940000000000005,70.79121951219523,3.61,0.53,-0.45,0.0,0.0,0.32636815920397966,0.08975124378109439,0.5099502487562182,0.46099502487562116,0.1489054726368157,-6.1,-6.11,1.21,0.8,6,2001,0.0,89.33333333333334,-40.2
2001-09-30,504.28999999999985,32.24,0.3645226130653267,0.0,51.239999999999995,40.89,88.13,5.0,0.0,463.4000000000001,24.779999999999998,295.51,479.69,304.89,1154.62,1054.2,2618.7,376.27,229.7,0.0,920.47,0.0,920.47,890.57,1632.32,104.07,-21.98,37.870000000000005,47.24000000000001,3.4294168734491315,2.73,0.56,-0.09,0.0,0.0,4.860301507537688,-16.849045226130656,7.938492462311558,7.290452261306533,-27.379698492462314,-0.69,-0.68,1.25,0.92,9,2001,0.0,88.44444444444444,-7.96
2001-12-31,609.3800000000001,147.17000000000002,0.824600244235328,0.0,170.85,152.92,199.33,6.65,0.0,456.4599999999998,137.89,126.76,495.06,328.18,1030.38,1008.15,2458.32,317.07,107.51,0.0,481.65,133.2,614.85,890.58,1778.57,-6.7999999999999545,0.7600000000000016,-162.70999999999998,46.41,2.0171592376163616,3.33,0.35,0.78,0.0,0.0,23.934550678830547,28.501567416133902,33.110871345449326,31.96911716112348,38.86192945909059,7.93,7.86,2.14,1.46,12,2001,0.0,178.47435897435898,139.21
2002-03-31,628.81,21.88,0.11999999999999998,0.0,132.01,30.18,74.03,8.45,0.0,598.63,26.45,132.53,626.91,405.39,1245.66,967.05,2611.21,348.3,200.39,0.0,612.1,133.2,745.3,893.88,1799.34,9.48,-42.17,38.46,43.85,17.605,4.2,0.41,0.12,0.0,0.0,3.36,4.6,4.88,5.16,6.039999999999999,3.5,3.48,2.04,1.37,3,2002,0.0,182.33333333333334,21.88
2002-06-30,638.5800000000002,91.98,0.5170138766906728,0.0,169.40000000000003,105.41,149.57,8.05,0.0,533.17,89.67999999999999,314.94,420.68,285.94,1104.1,930.71,2395.04,206.11,34.69,0.0,307.55,133.2,440.75,894.87,1880.73,342.32,-23.75,-136.16,44.160000000000004,3.8931256794955424,3.83,0.23,0.64,0.0,0.0,15.348849464254348,17.83697874582821,19.549587212366063,21.100628842438084,21.00368874055858,9.18,8.98,3.59,2.66,6,2002,0.0,177.90625,113.86
