,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,616.45,-5.94,-0.05,0.0,359.85,165.21,245.91,1.65,451.24,160.13,342.36,129.51,46.31,760.99,9544.12,10685.52,851.99,204.83,932.9,2460.46,5748.75,8209.2,1111.34,1564.83,111.86,-25.63,6.15,80.7,-8.25,1.17,5.25,-0.05,0.0,0.0,-0.24,0.0,-1.52,0.0,8.04,-0.97,-0.96,0.0,0.31,0.29,3,2000,0.0,118.8,-5.94
2000-06-30,565.72,-32.02,-0.261491043203372,0.0,320.22,125.99999999999997,207.73999999999998,0.98,439.72,129.91000000000003,483.3,112.23,42.69,843.53,9277.17,10674.82,905.29,190.02,894.28,2430.24,5785.05,8215.29,1325.25,1558.71,141.19,-13.489999999999998,19.1,81.74,-0.9395159275452841,0.84,5.27,-0.31,0.0,0.0,-1.214668071654373,0.0,-8.232750263435195,0.0,11.91049525816649,-3.25,-3.21,0.0,0.35,0.33,6,2000,0.0,122.45161290322581,-37.96
2000-09-30,597.71,123.22999999999999,0.9827184238301866,0.0,330.5899999999999,142.36,225.39,0.92,455.3499999999999,130.13,382.04,126.69,29.23,921.53,9193.16,10639.42,698.46,162.48,226.26,1254.79,5698.0,6952.79,2411.75,3096.75,-217.58,-325.19,603.4,83.03,0.2335358678893127,0.71,2.25,0.68,0.0,0.0,4.624557288612642,0.0,15.896915679605955,0.0,26.706818341738007,4.87,4.79,0.0,0.73,0.71,9,2000,0.0,125.39705882352939,85.27
2000-12-31,758.5,-55.66,-0.4323471800067545,0.0,399.9,37.69999999999999,265.34000000000003,0.97,720.8000000000002,12.689999999999998,511.63,202.27,62.95,957.33,9118.14,10644.64,8.02,153.33,44.0,389.36,6561.89,6951.24,2411.75,3094.79,184.88,-185.36999999999995,-19.970000000000027,227.64000000000001,-0.5585788717211643,0.75,2.25,0.23,0.0,0.0,-2.105342789598109,-0.0,-7.218318135764944,-0.0,-34.587774400540354,1.19,1.17,0.0,2.46,2.3,12,2000,0.0,128.7391304347826,29.61
2001-03-31,638.92,33.57,0.14,0.0,384.51,144.61,267.16,0.75,494.31,130.31,424.65,126.39,61.43,916.95,9032.05,10536.17,8.22,153.01,113.82,495.69,6363.97,6859.66,2411.75,3127.35,223.53,-103.83,-106.83,122.55,1.34,0.58,2.19,0.14,0.0,0.0,1.28,5.44,4.28,5.72,5.76,5.38,5.25,0.0,1.85,1.73,3,2001,0.0,239.78571428571428,33.57
2001-06-30,723.7900000000001,20.79,0.0879635761589404,0.0,360.18000000000006,121.75999999999999,250.07999999999998,1.25,602.03,77.0,344.72,123.4,209.67,883.24,9300.33,10556.78,17.08,320.14,193.53,740.8,6108.1,6848.9,2411.75,3149.42,56.29999999999998,-196.10000000000002,-30.08,128.32,3.54948051948052,0.96,2.17,0.23,0.0,0.0,0.7801986754966888,3.839801324503311,2.6465562913907283,3.533841059602649,4.145761589403973,4.17,3.99,0.0,1.19,0.91,6,2001,0.0,236.3478260869565,54.36
2001-09-30,756.5900000000001,-3.8399999999999963,-0.01596199524940616,0.0,358.40999999999985,104.69,238.72000000000003,1.02,651.9000000000001,95.35000000000002,199.03,115.98,183.62,833.54,9012.57,10507.94,3.87,300.47,266.68,761.72,6033.48,6795.2,2411.75,3145.24,121.54000000000002,-73.75999999999999,-23.289999999999992,134.02999999999997,-15.919062500000017,0.78,2.16,0.21,0.0,0.0,-0.14593824228028487,-1.0671733966745833,-0.48950118764845557,-0.4925415676959616,-1.1583847980997615,2.47,2.38,0.0,1.09,0.85,9,2001,0.0,240.57142857142858,50.52
2001-12-31,770.75,-333.31,-1.3790187064606243,0.0,381.96000000000004,-172.74,55.57999999999993,1.42,943.49,-51.650000000000034,331.05,116.84,405.96,933.38,8659.88,10199.38,273.77,341.33,308.78,1108.95,5827.61,6936.56,2411.75,2736.59,-16.310000000000002,90.31,-157.48000000000002,228.32000000000005,-0.2566498904923345,1.25,2.53,-1.17,0.0,0.0,-13.05942501502882,8.957728349658757,-48.70175465893419,-45.73156052194207,10.277814632766363,-10.09,-9.78,0.0,0.84,0.48,12,2001,0.0,241.70085470085473,-282.79
2002-03-31,809.15,93.45,0.39,0.0,425.27,192.79,277.34,1.46,616.36,181.27,283.14,112.25,178.6,656.77,8564.8,9498.98,113.75,292.44,224.24,904.54,5242.04,6146.58,2411.75,2818.62,201.87,-2.08,-258.04,84.55,0.935,1.25,2.18,0.39,0.0,0.0,3.92,7.680000000000001,13.279999999999998,12.56,8.96,11.87,11.55,0.0,0.73,0.53,3,2002,0.0,239.6153846153846,93.45
2002-06-30,714.12,31.03,0.12962403598971722,0.0,363.72,147.01000000000002,232.03000000000003,2.33,567.11,118.55999999999997,301.08,100.68,175.3,652.15,8513.53,9442.04,193.27,278.72,250.49,940.2,5121.18,6061.38,2411.75,2836.86,94.96999999999997,4.300000000000001,-35.93000000000001,85.02,4.503022881082823,1.98,2.14,0.52,0.0,0.0,1.3161825192802057,3.3901670951156815,4.3773039845758355,4.147969151670951,3.9884318766066835,8.4,8.17,0.0,0.69,0.51,6,2002,0.0,239.3846153846154,124.48
