,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2011-03-31,140.88,12.0,0.8,0.0,20.71,16.74,27.15,25.5,124.14,9.11,14.62,65.1,84.05,181.94,333.04,762.36,25.0,44.79,25.94,117.83,117.85,235.68,150.0,526.68,10.28,-4.22,-5.55,10.41,7.97,7.26,0.45,0.8,6.279999999999999,0.0,9.12,0.0,10.4,9.0,8.52,1.54,0.83,3,2011,0.0,15.0,12.0
2011-06-30,123.07999999999998,-4.97,-0.332275960170697,0.0,3.3000000000000007,-5.039999999999999,5.440000000000005,25.0,128.12,-8.27,12.19,46.68,81.44,148.79,323.5,721.77,30.0,30.51,28.95,106.63,110.08,216.71,150.0,505.06,7.42,7.05,-16.91,10.48,-18.809139839034206,7.42,0.43,0.47,-2.743044096728307,-0.0,-3.930753911806543,-0.0,-5.372972972972972,2.78,2.66,1.4,0.63,6,2011,0.0,14.957446808510639,7.03
2011-09-30,137.37,8.36,0.5595061728395061,0.0,18.599999999999998,12.73,23.949999999999996,22.0,124.63999999999999,21.21,5.99,60.75,83.4,159.33,330.5,739.99,43.85,29.41,33.08,125.24,101.32,226.56,150.0,513.42,1.2100000000000009,-8.98,1.5800000000000018,11.219999999999999,9.830454545454547,6.43,0.44,1.03,4.519506172839505,0.0,6.518518518518518,0.0,8.626172839506172,4.0,3.83,1.27,0.61,9,2011,0.0,14.941747572815535,15.39
2011-12-31,147.7,10.469999999999999,0.6963805104408353,0.0,15.410000000000004,12.11,23.050000000000004,23.0,135.59000000000003,-12.13,17.36,73.2,102.46,200.98,440.88,782.47,25.89,93.12,35.62,157.47,101.11,258.58,150.0,523.89,31.889999999999997,-11.58,-8.940000000000001,10.939999999999998,8.255687679083096,6.59,0.49,1.72,5.344315545243619,0.0,8.000278422273782,0.0,9.474013921113688,4.95,4.71,1.28,0.63,12,2011,0.0,15.034883720930232,25.86
2012-03-31,181.54,11.19,0.75,0.0,12.63,13.86,24.56,21.0,167.67,0.71,26.88,81.83,122.04,239.19,432.83,815.09,49.86,98.75,35.88,187.24,92.77,280.01,150.0,535.09,-2.88,-2.93,15.33,10.7,7.0,5.89,0.52,0.75,5.48,7.04,8.36,8.44,8.84,6.65,6.16,1.28,0.63,3,2012,0.0,14.92,11.19
2012-06-30,232.09,14.320000000000002,0.9542924343394747,0.0,19.689999999999998,21.22,31.91,21.2,210.88000000000002,7.62,16.64,108.31,150.2,284.28,423.46,860.13,78.84,112.58,36.32,234.24,84.43,318.67,150.0,541.46,-27.990000000000002,5.1,12.65,10.690000000000001,5.553591131284916,5.87,0.59,1.7,6.668820070560565,9.969549196393572,10.575805566444531,10.957522540180323,12.57420619364955,6.59,6.17,1.21,0.57,6,2012,0.0,15.005882352941178,25.51
2012-09-30,178.29999999999995,18.499999999999996,1.231651897296069,0.0,26.67,21.78,32.46000000000001,31.0,156.53000000000003,15.889999999999999,5.13,74.9,116.6,205.69,415.8,786.14,57.47,52.85,35.6,150.05,76.14,226.18,150.0,559.96,30.400000000000002,-10.73,-31.19,10.68,6.292240540540542,8.3,0.4,2.93,9.416041808679845,12.526698477618723,13.216087252897069,13.787775505566913,15.032038173142464,7.88,7.44,1.37,0.59,9,2012,0.0,15.020477815699657,44.01
2012-12-31,131.73000000000002,1.9500000000000028,0.12983028720626652,0.0,12.46,4.130000000000003,14.429999999999993,61.5,127.58999999999992,-3.4399999999999977,8.51,48.78,83.03,147.66,424.51,744.81,26.72,33.47,35.48,98.01,67.89,165.9,150.0,578.91,49.39,-6.51,-39.5,10.299999999999997,118.43538461538445,15.94,0.29,3.06,1.047127937336816,1.3560052219321168,1.347519582245433,1.4154046997389054,1.6003916449086184,6.72,6.35,1.51,0.66,12,2012,0.0,15.019607843137255,45.96
2013-03-31,102.17,5.23,0.35,0.0,12.9,7.24,17.14,49.0,94.93,0.45,9.35,52.12,93.15,162.06,416.14,747.92,20.42,39.3,35.36,98.74,94.41,193.14,150.0,554.78,18.69,-2.63,-15.21,9.9,35.0,13.25,0.35,0.35,2.8,3.72,3.76,3.84,4.48,5.48,5.12,1.64,0.7,3,2013,0.0,14.942857142857145,5.23
2013-06-30,150.96999999999997,17.5,1.1702595688517377,0.0,26.630000000000003,21.36,31.519999999999996,43.75,129.60999999999999,8.260000000000002,8.17,63.84,104.41,184.09,412.86,770.17,40.86,46.93,36.02,130.65,83.0,213.64,150.0,556.52,-8.090000000000002,11.79,-4.890000000000001,10.159999999999998,9.345277142857142,11.79,0.38,1.52,9.084909810822701,10.809502859656842,12.564892212934447,12.749670039595248,13.76594808622965,9.74,8.98,1.41,0.61,6,2013,0.0,14.953947368421053,22.73
2013-09-30,151.27000000000004,12.499999999999996,0.8338064149872266,0.0,28.590000000000003,15.57,25.61,33.25,135.71,4.159999999999998,6.12,63.7,112.38,189.8,406.83,779.29,52.06,44.15,36.23,135.02,75.25,210.27,150.0,569.02,0.40000000000000036,-4.5,2.0400000000000027,10.040000000000003,9.970090000000003,8.77,0.37,2.35,6.414987226795343,8.004541583877376,8.785126312801587,8.856088560885608,9.736020437127447,9.44,8.71,1.41,0.57,9,2013,0.0,14.991489361702126,35.23
2013-12-31,105.35999999999996,-23.11,-1.5444801980198022,0.0,1.4599999999999937,-27.700000000000003,-17.749999999999993,33.0,133.05,-25.259999999999998,8.18,37.89,95.44,151.51,405.8,744.55,54.55,40.6,34.71,132.23,66.41,198.63,150.0,545.91,17.16,-8.49,-6.600000000000001,9.949999999999996,-5.341505841627002,9.07,0.36,0.81,-12.43211221122112,-16.85580858085809,-16.932079207920793,-16.474455445544557,-20.51679867986799,2.54,2.38,1.15,0.42,12,2013,0.0,14.96296296296296,12.12
2014-03-31,94.59,-7.34,-0.49,0.0,-0.63,-9.17,0.66,28.5,103.76,-17.0,3.22,45.77,99.71,160.65,399.37,753.11,86.36,36.92,30.69,155.18,59.35,214.54,150.0,538.57,-24.88,-2.77,22.7,9.83,-14.54,7.94,0.4,-0.49,-3.8800000000000003,-4.88,-5.44,-5.36,-6.12,-8.46,-7.76,1.04,0.39,3,2014,0.0,14.979591836734693,-7.34
2014-06-30,131.87,4.42,0.2876027397260274,0.0,18.63,7.67,17.59,36.0,124.2,-0.9200000000000017,2.72,65.93,126.26,209.52,403.48,799.35,112.85,60.94,27.12,202.8,56.1,258.91,150.0,540.44,-16.09,0.75,14.830000000000002,9.92,31.29255656108597,9.99,0.48,-0.19,2.24027397260274,1.1504109589041096,3.2695890410958905,3.2090410958904108,1.5136986301369861,-1.39,-1.29,1.03,0.41,6,2014,0.0,15.368421052631579,-2.92
2014-09-30,129.54999999999998,-12.93,-0.8647192429022083,0.0,12.120000000000001,-15.32,-5.33,28.5,144.87999999999997,-18.17,2.22,53.2,120.21,189.82,395.35,779.3,119.7,55.34,24.15,200.67,51.12,251.79,150.0,527.51,9.759999999999998,-7.530000000000001,-2.740000000000002,9.989999999999998,-8.24065158546017,8.1,0.48,-1.06,-6.62407570977918,-7.048277602523659,-9.789274447949527,-9.430334384858044,-9.49559621451104,-4.71,-4.45,0.95,0.35,9,2014,0.0,14.952830188679243,-15.85
