,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,24.1,-1325.17,-1.84,0.0,3.15,-346.36,-167.5,2.6,0.0,370.46,-215.67,449.3,0.25,904.98,1640.12,24436.48,27418.93,52.86,301.34,0.0,34652.3,0.0,34652.3,0.0,-7233.36,-88.38,35.63,3.66,178.86,-0.3525,0.0,-4.79,-1.84,-19.32,0.0,73.28,0.0,19.16,-9008.63,-5498.63,0.0,0.05,0.02,3,2000,0.0,720.2010869565217,-1325.17
2000-06-30,8.75,-2584.22,-3.595997534142155,0.0,0.4500000000000002,-1019.89,-839.0,1.4,0.0,1028.6399999999999,-261.74,385.5,0.25,830.88,1476.78,24343.42,27114.26,47.12,257.12,0.0,36931.84,0.0,36931.84,7186.4,-9817.58,-69.05000000000001,10.979999999999997,-5.73,180.89,-0.09833154684972643,-1.49,-3.76,-5.44,-38.12815032524256,0.0,105.28869250701516,0.0,36.80609240827853,-22702.61,-11900.73,0.0,0.04,0.02,6,2000,0.0,718.6378676470588,-3909.39
2000-09-30,100.45000000000002,-3603.0099999999998,-5.011907579468612,0.0,-284.44,-1726.2600000000002,-1537.3000000000002,1.4,0.0,1826.71,-145.05,447.68,0.25,757.59,1467.76,24250.94,26964.21,47.28,264.77,0.0,40384.8,0.0,40384.8,7186.4,-13420.59,79.26,22.599999999999994,-32.43,188.96000000000004,-0.06776361986228181,-1.09,-3.01,-10.45,-53.44755795751025,0.0,107.3939086310633,0.0,44.20070837548586,-6538.78,-5635.71,0.0,0.04,0.02,9,2000,0.0,718.88995215311,-7512.4
2000-12-31,5.289999999999992,-1937.0,-2.695573263910936,0.0,307.54999999999995,-831.9399999999996,-643.27,1.4,0.0,837.23,-244.23000000000002,385.89,0.25,756.34,1393.85,24158.38,26749.39,47.63,269.48,0.0,42106.98,0.0,42106.98,7186.4,-15357.59,-67.05,16.89,0.3500000000000014,188.66999999999996,-0.13415513680949923,-0.95,-2.74,-13.15,-28.968700658242852,0.0,50.45129214553305,0.0,20.94962643130781,-8059.19,-6818.24,0.0,0.03,0.02,12,2000,0.0,718.5855513307985,-9449.4
2001-03-31,51.43,-2581.66,-3.59,0.0,15.94,-1050.38,-860.0,1.4,0.0,1101.81,-201.78,365.13,0.25,723.53,1342.27,24065.95,26556.23,47.22,272.34,0.0,44495.48,0.0,44495.48,7186.4,-17939.25,-25.94,-3.56,-0.41,190.38,-0.0975,-0.81,-2.48,-3.59,-38.88,-15.56,57.56,82.04000000000002,23.440000000000005,-5295.71,-5019.76,0.0,0.03,0.01,3,2001,0.0,719.125348189415,-2581.66
2001-06-30,69.88,-1864.4800000000005,-2.5957642359439883,0.0,16.450000000000003,-448.3599999999999,-254.49,1.4,0.0,518.25,-203.22,346.03,0.25,671.66,1272.78,23974.22,26347.0,48.94,272.56,0.0,46150.73,0.0,46150.73,7186.4,-19803.73,-21.529999999999998,30.24,1.71,193.87,-0.13711761456277352,-0.74,-2.33,-6.19,-28.31437822470728,-9.410169540320371,37.65745208203071,50.355310089200984,12.697858007170268,-3803.05,-3665.11,0.0,0.03,0.01,6,2001,0.0,718.2778675282714,-4446.14
2001-12-31,60.5,-7406.999999999999,-10.304563179039476,0.0,6.68,-4339.27,-3952.2300000000005,1.4,0.0,4399.76,-360.17999999999995,311.25,0.25,656.92,1215.93,19171.12,21396.05,46.81,270.66,0.0,48606.78,0.0,48606.78,7186.4,-27210.73,-46.61,24.880000000000003,-2.12,387.03999999999996,-0.03200523828810585,-0.54,-1.79,-16.49,-138.47733174500596,-60.615077523761634,108.88217636845594,139.20221308446537,53.61622321173967,-8614.83,-6519.52,0.0,0.03,0.01,12,2001,0.0,718.8077622801699,-11853.14
2002-06-30,6979.33,15569.43,21.65976097129126,0.0,-29.92,12653.57,12267.2,1.4,0.0,-5674.24,443.06999999999994,234.75,0.25,643.1,1163.66,24465.72,26545.03,46.71,309.65,0.0,50039.47,0.0,50039.47,7186.4,-23494.44,62.599999999999994,8.64,0.72,-386.36999999999995,0.016111673645085273,-0.62,-2.13,5.17,234.61249794822257,431.8545765804068,-265.11212268149154,-287.73547069792727,-486.15061181985266,16185.93,51.9,0.0,0.02,0.01,6,2002,0.0,718.8181818181819,3716.29
2002-12-31,-1029.4300000000003,-4712.47,-6.575451524824832,0.0,10.78,-1480.6600000000008,-1050.75,1.4,0.0,451.22999999999996,-414.69999999999993,199.58,0.25,617.87,1067.41,24259.66,26239.81,46.81,320.27,0.0,54457.86,0.0,54457.86,7186.4,-28218.06,-78.36,87.88000000000001,0.1,429.91,-0.05337656260941714,-0.52,-1.93,-1.39,-71.9042181131924,423.8564436146078,66.79523419462346,67.93056395430546,-357.818095926439,-1689.01,-16.25,0.0,0.02,0.01,12,2002,0.0,716.6762589928057,-996.18
2003-09-30,-3654.37,2887.89,4.014965665984743,0.0,-10.56,-3443.1899999999996,-3813.99,1.4,0.0,-211.17999999999995,492.29999999999995,159.87,0.25,598.7,1016.69,23953.79,25873.14,46.81,315.31,28704.9,52084.94,0.0,52084.94,7186.4,-26211.8,22.14,38.609999999999985,0.0,-370.80000000000007,0.08679401743141187,-0.56,-1.99,2.63,44.63786922942734,0.0,-44.088292180091024,0.0,-44.088292180091024,6625.95,76.36,0.0,0.02,0.01,9,2003,0.0,719.2813688212929,1891.71
