,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2009-06-30,,,,,,,,,,,17.29,7.18,1478.33,1567.7,2506.24,4083.33,897.89,702.99,101.27,2018.31,380.52,2398.83,700.0,1684.5,,,,,,0.0,1.42,0.4,0.0,0.0,,,,,,14.11,12.63,8.83,0.78,0.04,6,2009,,702.8499999999999,281.14
2009-09-30,1043.75,45.31,0.06107030173073978,0.0,190.86,84.34999999999997,110.27000000000004,2.62,959.3999999999999,92.18,16.65,8.68,1654.32,1747.35,2527.9,4277.39,528.56,689.01,106.39,1485.76,418.68,1904.44,960.0,2372.95,-99.33000000000001,-141.20999999999998,239.89,25.919999999999995,10.717156808651511,1.06,0.8,0.44,0.0,0.0,4.236058201868587,0.0,7.639339561954357,0.0,9.010645428090061,10.73,9.98,7.73,1.18,0.06,9,2009,0.0,741.9318181818181,326.45
2009-12-31,1193.2599999999998,32.53000000000003,0.04077803777369216,0.0,159.16999999999996,63.24000000000001,91.53999999999996,2.6,1130.02,49.28999999999999,20.48,9.03,1867.73,1994.5,2580.49,4580.69,760.23,831.39,128.4,1800.94,374.28,2175.22,960.0,2405.47,-16.67,-84.74000000000001,105.25,28.299999999999997,15.946083615124488,1.04,0.9,0.45,0.0,0.0,2.8417761435177473,0.0,5.408073987408774,0.0,6.731094768510786,8.52,8.04,7.22,1.11,0.07,12,2009,0.0,797.7333333333333,358.98
2010-03-31,1460.64,76.99,0.08,0.0,205.95,119.53,148.89,3.6,1341.11,107.02,84.91,8.2,2049.53,2256.22,2648.68,4910.13,794.68,996.32,142.15,2051.81,375.87,2427.68,960.0,2482.45,94.73,-60.14,29.85,29.36,11.25,1.39,0.98,0.08,0.0,0.0,6.280000000000001,0.0,12.400000000000002,0.0,16.72,5.33,5.27,6.92,1.1,0.1,3,2010,0.0,962.3749999999999,76.99
2010-06-30,1527.4399999999998,140.12,0.14843904011791256,0.13,305.40000000000003,206.28,237.52000000000004,4.54,1321.16,188.83000000000004,35.03,12.18,2470.16,2651.77,2704.54,5361.32,1085.83,1053.46,156.27,2416.58,446.96,2863.54,960.0,2497.78,-183.87,-98.49999999999999,232.48,31.240000000000002,7.646573294319155,1.74,1.15,0.23,0.13,0.57,10.455271521348624,17.812684814149513,22.43365667173322,26.796473676937957,28.551926673115013,7.36,7.27,9.31,1.1,0.08,6,2010,122.71434782608696,943.9565217391305,217.11
2010-09-30,1436.1800000000003,93.14999999999998,0.09607426029781471,0.0034332775596344115,240.51,149.05,183.41000000000003,8.65,1287.13,102.73999999999995,25.24,9.9,2570.62,2736.08,2813.12,5555.35,1171.7,1033.18,171.78,2449.0,515.4,2964.41,960.0,2590.95,-0.45000000000000284,-154.62,145.27000000000004,34.35999999999999,22.507589371980686,3.21,1.14,0.32,0.13,0.41,6.7011796557725765,11.600966930961127,14.375111197060527,15.01160317153355,18.362192999419836,7.14,7.01,8.23,1.12,0.07,9,2010,3.328777173913039,969.5625,310.26
2010-12-31,1546.2699999999995,51.870000000000005,0.05442962472040428,-0.002262964957335768,186.43999999999994,97.49000000000001,132.9699999999999,10.7,1448.7800000000002,203.07,90.89,9.14,2680.9,2932.89,2925.24,5865.75,1359.31,1067.99,187.01,2732.61,490.33,3222.94,960.0,2642.81,35.190000000000005,-115.62,146.07999999999993,35.480000000000004,49.14970503181029,3.89,1.22,0.38,0.13,0.34,3.535060889735731,6.279459862480326,7.849324828100406,8.221738049871593,10.467676248860906,6.19,6.07,7.34,1.07,0.09,12,2010,-2.156546052631583,952.9736842105262,362.13
2011-03-31,2002.85,107.5,0.11,0.06,307.85,178.54,229.94,7.05,1824.31,205.91,72.72,12.62,2874.64,3122.11,4496.64,7626.84,1468.86,1182.94,195.7,3008.95,599.71,3608.65,960.0,4018.19,148.78,-199.64,32.7,51.4,16.0225,1.68,0.9,0.11,0.06,0.51,5.64,11.4,10.72,13.24,15.480000000000002,5.45,5.37,5.84,1.04,0.08,3,2011,58.63636363636363,977.2727272727273,107.5
2011-06-30,2131.3300000000004,118.46000000000001,0.0838803328022659,0.01848018152850867,317.03,196.29999999999998,250.72000000000003,6.9,1935.04,207.82000000000002,28.77,15.52,2818.58,3015.44,4513.01,7536.78,1239.39,973.99,219.56,2567.76,885.7,3453.46,1440.0,4083.32,37.66,-71.07,-10.560000000000002,54.419999999999995,20.56739574539929,2.43,0.85,0.16,0.06,0.35,6.291024960169941,12.18361833952912,11.596456009913261,14.406447158789167,15.81144273322712,5.57,5.47,5.9,1.17,0.08,6,2011,26.098636363636366,1412.25,225.96
2011-09-30,1971.2799999999997,118.41,0.08252286784563115,0.0009460754421116834,335.44000000000005,197.52000000000004,252.85999999999996,8.0,1773.7500000000005,226.41999999999996,28.53,12.98,3052.77,3244.95,4736.75,7989.5,1430.07,1202.6,240.22,2969.73,818.04,3787.77,1440.0,4201.73,166.38,-272.64000000000004,106.02,55.34,24.233282873068156,2.74,0.9,0.24,0.06,0.23,5.927892673577837,11.621970554926385,11.278125272236256,13.946364665911666,15.679344890669919,5.75,5.64,5.89,1.09,0.06,9,2011,1.3575000000000017,1434.875,344.37
