,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-03-31,6990.29,1062.79,0.77,0.0,1577.28,1458.69,2170.54,,5531.6,1456.78,4991.31,2890.12,1566.03,11025.44,42480.51,54081.1,0.0,1782.68,2985.02,6180.98,26633.78,32814.76,13828.65,20984.81,1464.01,142.58,608.15,711.85,0.0,0.0,1.56,0.77,0.0,0.0,7.88,0.0,20.24,0.0,12.2,15.23,15.2,1.78,1.53,3,2005,0.0,1380.246753246753,1062.79
2005-06-30,7268.4800000000005,723.9300000000001,0.5105174845527,0.7,1757.7700000000002,1110.2199999999998,1639.4099999999999,22.7,6158.26,1572.8700000000001,1469.38,4394.75,1638.1,11319.97,43835.72,55721.42,0.0,1874.5,3064.88,6349.22,26464.02,32813.24,14628.65,22616.85,234.8599999999999,-1850.4299999999998,158.40999999999997,529.1899999999999,11.118718108104375,14.68,1.45,1.26,0.7,0.56,5.2024162711560855,0.0,12.803454374496287,0.0,8.427590221187428,12.56,12.53,1.78,1.52,6,2005,992.6222222222221,1418.031746031746,1786.72
2005-09-30,6472.959999999999,821.5899999999999,0.5732807066644686,0.007378170369149087,1238.9299999999994,1178.3400000000001,1738.4400000000005,22.3,5294.619999999999,1075.9299999999998,3415.06,3529.04,1669.21,10195.74,43857.0,54613.61,0.0,1674.11,1497.64,4617.65,26269.32,30886.97,14628.65,23438.44,2341.9100000000003,-1006.94,-1592.86,560.1000000000001,9.722549416375566,13.92,1.32,1.82,0.7,0.38,6.022597313969582,0.0,14.023328055330847,0.0,9.449681977985746,12.63,12.58,2.21,1.85,9,2005,10.573931623931458,1433.1373626373625,2608.31
2005-12-31,7864.310000000001,1257.54,0.8750423839517829,0.0019393784429935367,1669.5,1618.5500000000002,2375.25,23.3,6245.760000000002,1607.3199999999997,3239.63,4631.41,1682.12,13211.44,43588.45,57357.36,0.0,3554.13,3575.83,8668.2,23686.23,32354.43,14628.65,24695.98,2223.86,-13.099999999999909,-366.1200000000001,756.7,6.655506186681935,13.8,1.31,2.69,0.7,0.26,8.76994151350932,0.0,20.36343986445413,0.0,14.338984492414346,13.57,13.52,1.52,1.33,12,2005,2.78711752931099,1437.1189591078066,3865.85
2006-03-31,8462.59,1678.66,1.15,0.0,1627.81,2054.35,2783.94,29.5,6408.24,1492.59,7755.42,3249.68,1554.49,13219.04,42948.01,56721.04,0.0,2031.82,4521.56,8080.57,21984.16,30064.74,14628.65,26374.64,2159.32,-487.9,-62.34,729.59,6.4125,16.36,1.14,1.15,0.0,0.0,11.84,14.84,25.44,28.36,16.88,21.25,19.84,1.64,1.44,3,2006,0.0,1459.704347826087,1678.66
2006-06-30,8159.950000000001,1236.95,0.8442591773248136,2.25,1564.2200000000003,1626.85,2376.2999999999997,26.5,6533.1,1419.59,3986.03,4791.74,1529.58,11444.44,42501.28,54484.36,0.0,2029.86,4714.1,8174.74,21723.55,29898.29,14628.65,24320.14,369.8399999999997,-796.12,-3331.5899999999997,749.4499999999999,7.849129956748454,15.94,1.23,1.99,2.25,1.13,9.078968037563323,11.33598252166785,20.347070424370887,21.076781874118968,13.491176803481947,18.39,17.54,1.4,1.21,6,2006,3296.5439698492464,1465.1306532663318,2915.61
2006-09-30,8635.59,1233.73,0.8444218116616136,0.5936930031349903,1661.7999999999997,1675.9899999999998,2424.8200000000006,28.25,6959.5999999999985,1449.23,6040.11,4849.83,1449.2,14558.81,41800.47,56903.62,0.0,3911.59,4695.58,10482.26,21455.58,31937.84,14628.65,24676.16,3988.0299999999997,-1053.3600000000001,-880.5900000000006,748.8299999999999,8.366079490650304,16.75,1.29,2.84,2.85,1.0,8.670190150722766,11.429427619814234,20.004471650913157,20.515882043891317,13.724827755739465,17.1,16.43,1.39,1.25,9,2006,867.4063822634298,1461.0352112676057,4149.34
2006-12-31,8733.73,1447.04,0.9903121660787866,0.0003132652551208776,1568.63,1807.13,2561.63,33.0,6926.600000000002,1404.1800000000003,4367.97,4764.76,1637.98,13039.43,40992.06,54609.3,0.0,3822.85,3482.92,8909.87,19259.06,28168.92,14628.65,26123.2,1631.6800000000003,-328.98,-2964.62,754.5,8.33439220754091,18.48,1.08,3.83,2.85,0.74,10.601252952801632,13.238637833742526,22.15403299990351,22.77459414836019,16.217331346334593,17.17,16.46,1.46,1.28,12,2006,0.4577418821027095,1461.1958224543082,5596.38
2007-03-31,8263.67,1350.21,0.92,0.0,1524.0,1714.77,2431.31,32.0,6548.9,1431.04,3352.48,4608.47,1466.19,12760.8,41284.53,54560.13,0.0,2484.43,3479.56,7760.13,18985.3,26745.43,14628.65,27473.41,934.71,-1937.51,-10.35,716.54,8.695,17.04,0.97,0.92,0.0,0.0,9.88,12.319999999999999,19.64,20.04,14.64,16.92,16.34,1.64,1.46,3,2007,0.0,1467.6195652173913,1350.21
2007-06-30,8065.58,1251.4699999999998,0.8562223640109466,0.98,1521.7199999999998,1602.7600000000002,2329.2000000000003,30.5,6462.82,1401.31,4450.74,4428.76,1616.66,12803.52,41403.83,54720.5,0.0,2537.89,3420.46,8007.65,19044.9,27052.56,14628.65,27298.59,1803.33,408.3599999999999,-1112.3400000000001,726.44,8.902885886197831,16.34,0.99,1.78,0.98,0.55,9.139452200116848,11.698498816149565,18.33662725623443,19.394879616247962,13.661075920174655,16.42,15.93,1.6,1.4,6,2007,1432.385617977528,1461.6179775280898,2601.68
