,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2014-09-30,,,,,,,,,,,210.55,19830.01,4114.74,,,0.0,9,2014,,,,,,,,,,,,
2014-12-31,562.32,,,,,,,10.2,216.83,-31.87,156.43,20287.75,4225.16,-15.229999999999563,-38.88999999999942,0.0,12,2014,,,,,,,,,,,,
2015-03-31,1114.26,,,,,,,10.4,486.4,-66.01,204.87,20404.3,4398.99,-18990.45,19195.32,0.23,3,2015,,,,,,,,,,,,
2015-06-30,-616.0,,,,,,,10.9,-252.26,11.240000000000002,196.45,20364.1,4374.37,19301.97,-19515.25,0.42,6,2015,,,,,,,,,,,,
2015-09-30,506.21000000000004,,,,,,,11.1,240.51,-48.93,257.94,20370.64,4373.06,359.38,-297.90000000000003,0.6,9,2015,,,,,,,,,,,,
2015-12-31,574.6600000000001,,,,,,,11.6,249.26999999999998,-46.63000000000001,146.22,20357.89,4298.88,199.12,-310.8399999999999,0.78,12,2015,,,,,,,,,,,,
2016-03-31,2126.02,,,,,,,13.9,956.95,-198.24,254.63,20517.74,4409.64,1304.56,-1254.79,0.19,3,2016,,,,,,,,,,,,
2016-06-30,-1638.3,,,,,,,14.6,-720.9300000000001,148.96,236.93,20412.12,4376.99,-952.0699999999999,884.5899999999999,0.41,6,2016,,,,,,,,,,,,
2016-09-30,539.06,,,,,,,16.0,239.37999999999997,-41.769999999999996,262.56,20431.39,4347.17,320.56999999999994,-294.94,0.58,9,2016,,,,,,,,,,,,
2016-12-31,487.73,,,,,,,14.6,232.40999999999997,-52.44000000000001,136.68,20366.94,4278.04,168.59000000000003,-294.47,0.75,12,2016,,,,,,,,,,,,
2017-03-31,1911.78,,,,,,,15.0,919.59,-190.46,206.03,20471.96,4447.31,1205.47,-1254.08,0.17,3,2017,,,,,,,,,,,,
2017-06-30,-1911.78,,,,,,,13.9,-919.59,190.46,289.62,20536.92,4418.03,-857.28,989.4799999999999,0.32,6,2017,,,,,,,,,,,,
2017-09-30,1157.5,,,,,,,14.1,517.35,-91.46,268.44,20569.51,4404.07,302.29,-323.48,0.51,9,2017,,,,,,,,,,,,
