,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-09-30,,,,,,,,,,,418.4,1984.8,4200.74,6779.18,10201.84,17053.71,0.0,4432.84,0.0,4817.85,40.99,4858.84,7670.41,12194.86,,,,,,0.0,0.4,0.21,0.0,0.0,,,,,,15.63,15.6,0.0,1.41,0.54,9,2004,,7500.571428571428,1575.12
2004-12-31,4576.710000000001,209.75,0.027028579112204253,0.0,659.23,209.91000000000008,343.7099999999998,1.92,4366.799999999999,449.0400000000002,3185.64,1743.91,4292.7,9332.98,10015.34,19415.03,0.0,5958.18,0.0,6385.98,37.24,6423.23,8000.0,12991.8,2121.35,-15.819999999999999,661.72,133.8,17.76360488676996,1.18,0.49,0.23,0.0,0.0,4.319872035498384,0.0,6.4586552522032425,0.0,6.557368323743466,12.18,12.16,0.0,1.46,0.79,12,2004,0.0,7760.304347826086,1784.87
2005-03-31,4430.9,377.55,0.05,0.0,610.11,377.55,507.64,1.58,4053.35,421.43,4489.26,1848.19,5000.16,11414.44,9805.69,21226.65,0.0,7657.65,0.0,7952.8,38.5,7991.29,8000.0,13235.36,1381.16,-77.54,0.0,130.09,7.900000000000001,0.96,0.6,0.05,0.0,0.0,7.12,0.0,11.4,0.0,11.36,8.54,8.52,0.0,1.44,0.81,3,2005,0.0,7551.0,377.55
2005-06-30,2999.0300000000007,27.610000000000014,0.0034072958831079096,0.1,429.87,27.639999999999986,160.89,1.15,2971.39,287.27000000000004,2253.99,1579.98,4107.98,8008.38,9604.74,17628.26,0.0,4888.99,0.0,5196.34,39.75,5236.09,8000.0,12392.17,-1422.52,-13.689999999999998,-799.06,133.24999999999997,84.37776168055049,0.74,0.42,0.05,0.1,2.0,0.6269424424918553,0.0,0.8913486030210291,0.0,0.8886227663145428,5.48,5.45,0.0,1.54,0.75,6,2005,810.32,8103.2,405.16
2005-09-30,2874.5200000000004,24.139999999999986,0.002811553692056835,0.00562310738411367,50.039999999999964,25.589999999999975,158.54000000000008,1.26,2848.9400000000005,-108.25999999999999,814.66,1256.65,2618.77,4850.95,9414.36,14280.42,1550.15,0.0,0.0,1896.35,39.32,1935.67,8000.0,12344.74,-1489.7800000000002,50.730000000000004,-0.2900000000000773,132.95000000000005,112.03769676884845,0.82,0.16,0.05,0.1,2.0,0.6770221290472859,0.6185418122525037,0.7827365478686228,0.7872350337759138,0.7827365478686228,4.18,4.17,0.0,2.56,1.18,9,2005,48.27999999999997,8586.0,429.3
2005-12-31,3208.1499999999996,-82.15000000000003,-0.009465648854961836,0.0010687022900763333,-3.7100000000000364,-81.28999999999996,54.76999999999998,1.22,3289.4300000000003,-165.00000000000006,2959.4,1253.47,2208.97,6533.62,9200.79,15745.9,0.0,3371.06,0.0,3764.98,39.45,3804.43,8000.0,11941.47,2388.17,6.159999999999997,-249.58000000000004,136.06,-32.22177419354837,0.82,0.32,0.04,0.1,2.5,-2.082442748091604,-1.8836641221374055,-2.7545038167938944,-2.6314503816793904,-2.7639694656488563,2.59,2.57,0.0,1.74,1.15,12,2005,9.274999999999977,8678.75,347.15
2006-03-31,3373.87,2.51,0.0,,131.06,3.9,135.58,1.03,3369.98,-17.53,2691.49,1256.93,1824.28,5898.34,9571.42,15471.9,0.0,3564.46,0.0,3751.98,40.86,3792.84,8000.0,11679.07,489.96,-562.98,-194.89,131.68,0.0,0.71,0.32,0.0,0.03,0.0,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.11999999999999998,0.07,0.07,0.0,1.57,1.09,3,2006,inf,inf,2.51
2006-06-30,3678.0,529.36,0.06966965611897645,-inf,662.04,531.0400000000001,664.01,1.0,3146.9599999999996,500.99,3262.64,1171.07,2623.96,7169.04,9393.36,16671.49,0.0,4300.16,0.0,4491.59,42.27,4533.86,8000.0,12137.64,703.1399999999999,-131.99,0.0,132.96999999999997,3.5894392757291818,0.66,0.37,0.07,0.03,0.36,12.699783029687707,12.4211044052118,17.437319645778103,17.278074717506158,17.47713087784609,7.6,7.54,0.0,1.6,1.01,6,2006,-inf,7598.142857142857,531.87
2006-09-30,4115.750000000001,951.17,0.12185935645700723,0.0007968670530030958,1051.83,952.8499999999999,1073.62,1.1,3162.9000000000005,898.3699999999999,4206.02,1100.36,2154.09,7696.53,9193.27,17004.14,0.0,3748.4,0.0,3943.22,43.68,3986.9,8000.0,13017.24,938.9300000000003,4.460000000000036,0.0,120.77000000000004,2.256905074802612,0.68,0.31,0.19,0.03,0.13,22.37081238537059,24.397525892760815,29.220590948322368,29.990228989103457,29.220590948322368,13.41,13.28,0.0,1.95,1.41,9,2006,6.219924812030058,7805.473684210526,1483.04
2006-12-31,3949.9799999999996,579.9299999999998,0.07308967168693678,0.15048784289793737,674.8099999999997,580.0700000000002,724.9899999999998,1.32,3369.8899999999994,515.71,4798.4,1055.35,3622.0,9621.23,9035.78,18771.44,0.0,6002.8,0.0,6370.1,45.09,6415.19,8000.0,12356.25,1661.6499999999996,29.75999999999999,-1099.04,144.92000000000002,4.51773817529702,0.85,0.52,0.26,0.18,0.67,12.357776797529773,13.470988720146194,18.778423341105295,19.09327115760287,18.744689646480555,13.81,13.65,0.0,1.51,0.94,12,2006,1194.045789473684,7934.499999999999,2062.97
