,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2009-09-30,,,,,,,,,0.0,,,1578.17,9104.28,7932.95,20294.88,49583.45,71152.51,9190.06,8109.22,4400.16,23415.0,26211.08,49626.09,3351.54,16085.39,,,,,,0.0,3.09,1.03,0.0,0.0,,,,,,5.83,5.78,4.25,0.87,0.53,9,2009,,3345.349514563107,3445.71
2009-12-31,21307.65,1378.3900000000003,0.4114511722393815,0.0,2869.08,2059.8500000000004,2857.620000000001,,0.0,19247.79,1768.4499999999998,1396.82,9962.81,9673.95,23566.0,49505.32,74260.11,10004.45,9003.96,4692.4,25785.36,26008.94,51794.3,3351.54,17179.03,1841.8499999999995,-2278.72,278.24000000000024,797.77,0.0,0.0,3.01,1.44,0.0,0.0,7.428979498766611,0.0,32.09319143467175,0.0,19.2696298998777,6.03,5.96,4.27,0.91,0.54,12,2009,0.0,3350.069444444445,4824.1
2010-03-31,24462.48,1529.3,0.39,0.0,3255.33,2214.58,3011.66,16.3,0.0,22247.89,1873.09,1711.39,11334.11,9082.01,23986.05,47823.94,72927.62,6347.62,9740.78,4621.81,23053.21,22768.48,45821.69,4334.27,23965.94,2585.01,198.83,-2352.61,797.08,10.4475,2.95,1.91,0.39,0.0,0.0,8.4,0.0,25.52,0.0,17.76,6.35,6.25,5.43,1.04,0.65,3,2010,0.0,3921.282051282051,1529.3
2010-06-30,24658.609999999997,2089.45,0.5023340932642487,0.33,3300.8999999999996,2661.2700000000004,3457.8,22.0,0.0,21997.35,1930.6700000000003,1633.49,11875.38,8953.2,24374.48,48236.08,73690.87,9006.78,8360.71,4831.68,24341.07,22148.71,46489.78,4334.27,23973.48,764.8499999999999,-1806.3899999999999,1047.98,796.5299999999999,10.95003320251741,3.98,1.94,0.87,0.33,0.38,11.340047806563039,0.0,34.85159295336787,0.0,22.81867053540587,7.54,7.37,7.36,1.0,0.63,6,2010,1372.6293103448274,4159.482758620689,3618.75
2010-09-30,25046.12000000001,2933.42,0.6984152120595162,0.003191976988092386,3700.300000000001,3527.1900000000005,4377.419999999999,28.25,0.0,21518.93,2281.01,2224.89,10583.21,9438.73,23992.77,47735.93,73713.63,5986.4,9326.49,5656.08,22877.33,20634.71,43512.04,4334.27,26889.56,4689.58,-555.2800000000002,-3554.51,850.2300000000002,10.112752239706554,4.55,1.62,1.56,0.33,0.21,15.920285218484869,20.77337553818048,43.641996712539516,54.60174311716577,29.602060141907188,9.13,8.83,8.04,1.05,0.64,9,2010,13.406651193634161,4200.108974358975,6552.17
2010-12-31,26484.48999999999,4008.2700000000004,0.9450924677380869,0.003192637406133664,4477.039999999999,4500.5599999999995,5388.6,57.75,0.0,21983.930000000008,3172.6000000000004,1482.64,11770.72,11384.26,26144.24,48748.09,78004.71,5364.89,10858.32,5976.28,24079.45,21520.66,45600.11,4334.27,32068.81,2343.6400000000003,-3749.1399999999994,659.3800000000001,888.04,15.274457783532547,7.81,1.42,2.49,0.33,0.13,20.5567100613232,25.733843097446698,49.99501198813686,65.11649147194625,36.33102450276693,10.9,10.49,9.64,1.09,0.61,12,2010,13.540424003706903,4241.140562248996,10560.44
2011-03-31,47339.05,11056.93,2.45,0.0,7162.58,11782.36,12872.61,52.5,0.0,35556.69,5043.41,4955.26,28514.46,17920.26,73618.73,66255.49,147212.66,9332.24,23201.53,6989.71,44005.92,41936.49,85942.41,4814.26,60876.24,2397.58,-40065.2,41023.56,1090.25,5.3575,4.15,1.41,2.45,0.0,0.0,30.039999999999996,42.8,72.64,104.24,45.68,27.27,23.36,31.26,1.67,1.27,3,2011,0.0,4513.032653061225,11056.93
2011-06-30,51990.55,2366.58,0.507747258354931,0.66,5315.299999999999,3301.1099999999988,4592.399999999998,46.5,0.0,48689.44,2713.0200000000004,5211.63,27252.17,18486.5,70464.6,67053.28,145817.82,10433.61,21132.44,5153.13,41945.64,42445.23,84390.87,4814.26,61045.38,3363.12,1616.3499999999985,-4711.019999999997,1291.29,22.90115763042027,3.67,1.38,2.88,0.66,0.23,6.49493367979016,9.689510180273265,15.507447515590183,22.270358915067668,10.239569710157776,14.61,13.51,13.37,1.68,1.24,6,2011,3076.221041666667,4660.940972222223,13423.51
2011-09-30,52118.44999999998,3602.379999999999,0.7638127463527602,0.5077487543725073,5582.390000000001,4449.680000000002,5658.450000000001,27.5,0.0,47668.76999999999,3185.42,4050.33,26618.31,20341.3,63900.6,66481.18,139017.56,10305.28,21205.22,5722.04,42534.84,35652.41,78187.26,4814.26,60457.69,2573.46,6277.639999999999,-10111.260000000002,1208.77,9.003581090834395,2.19,1.29,3.61,1.16,0.32,10.36754143248899,15.53861720004064,23.832650346031834,32.98994000313639,17.138180735338942,11.93,11.24,12.21,1.5,1.02,9,2011,2394.702060826407,4716.313019390582,17025.89
2011-12-31,44320.72,-1457.92,-0.3081041908482609,0.0038224760709188897,2281.4300000000003,-991.8199999999997,194.38000000000102,29.25,0.0,45312.54000000001,-301.64000000000124,12018.02,24508.78,21422.27,67770.41,66825.36,145826.11,12420.06,17978.08,6458.51,43201.34,43847.91,87049.25,4814.26,58637.75,355.0,-3967.300000000003,11756.57,1186.2000000000003,-23.732312695483976,2.4,1.48,3.29,1.16,0.35,-4.00067204651602,-6.207035188274387,-9.94549090215359,-12.859838142031364,-6.768927329638997,8.37,7.95,8.12,1.57,1.07,12,2011,18.087596595070863,4731.905775075988,15567.97
