,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-06-30,,,,,,,,,,,4.01,6.5,0.0,22.6,37.88,1077.44,0.64,9.61,51.41,170.38,512.82,683.2,250.0,394.25,,,,,,0.0,1.73,0.11,0.0,0.0,,,,,,11.67,11.46,0.0,0.13,0.13,6,2015,,259.3636363636364,28.53
2015-09-30,127.23000000000002,14.93,0.05840082834790612,0.0,36.129999999999995,23.560000000000002,30.550000000000004,,103.68,20.699999999999996,23.72,12.24,0.0,51.69,52.32,1228.66,92.96,1.57,60.29,235.25,584.24,819.48,250.0,409.18,3.020000000000003,-146.11999999999998,162.81,6.989999999999999,0.0,0.0,2.0,0.17,0.0,0.0,4.86444546709618,0.0,14.59333640128854,0.0,8.849443166129776,11.78,11.55,0.0,0.22,0.22,9,2015,0.0,255.6470588235294,43.46
2015-12-31,163.03000000000003,14.689999999999998,0.055576956147893375,0.0,14.340000000000003,25.560000000000002,34.519999999999996,3.06,137.47999999999996,-9.869999999999997,8.05,10.43,0.0,232.96,60.01,1449.58,0.0,1.64,69.17,130.62,573.18,703.8,370.39,745.77,28.779999999999994,-264.46,220.01,8.96,13.765597345132745,1.52,0.94,0.22,0.0,0.0,4.052065348237316,0.0,7.88182287188306,0.0,6.861227858985382,11.49,10.78,0.0,1.78,1.78,12,2015,0.0,264.3181818181818,58.15
2016-03-31,144.77,11.08,0.029999999999999995,0.0,34.02,19.5,29.17,2.84,125.28,14.85,15.38,22.47,0.0,64.36,74.29,1508.59,0.0,99.46,72.43,196.51,555.22,751.74,370.39,756.85,28.88,-0.2,-21.36,9.67,23.6675,1.39,0.99,0.03,0.0,0.0,2.9199999999999995,0.0,5.839999999999999,0.0,5.96,7.91,7.65,3.07,0.33,0.33,3,2016,0.0,369.33333333333337,11.08
2016-06-30,139.74999999999997,6.9399999999999995,0.01925638179800222,0.07,29.849999999999994,13.549999999999997,24.17,2.72,126.19,10.9,2.26,24.52,0.0,35.06,77.75,1561.89,15.04,136.32,73.32,292.69,531.33,824.02,370.39,737.87,15.419999999999998,-33.72,5.18,10.62,35.31296829971181,1.37,1.12,0.05,0.07,1.4,1.7715871254162041,3.8512763596004436,3.7588457269700335,4.898823529411764,4.005327413984461,6.5,6.33,2.71,0.12,0.12,6,2016,25.228,360.4,18.02
2016-09-30,128.27000000000004,-6.18,-0.015658783783783783,0.006077702702702713,13.580000000000005,-3.0299999999999976,8.259999999999998,2.58,131.29999999999998,-6.640000000000001,43.76,24.55,0.0,88.08,79.17,1814.09,0.57,140.07,73.74,299.77,782.63,1082.4,370.39,731.69,23.38000000000001,-214.51,232.64000000000001,11.29,-41.19093851132686,1.31,1.48,0.03,0.07,2.33,-1.3570945945945945,-4.11304054054054,-3.3822972972972978,-4.342702702702702,-4.133918918918919,2.95,2.87,1.5,0.29,0.29,9,2016,2.3986666666666707,394.6666666666667,11.84
2016-12-31,149.23999999999995,-6.1899999999999995,-0.02191150442477876,-0.027793510324483787,20.769999999999996,-6.460000000000001,8.300000000000004,2.5,155.70000000000005,-3.34,70.06,33.54,96.48,230.79,126.56,2264.92,13.28,140.21,74.17,629.76,909.66,1539.42,370.39,725.5,-88.89000000000001,-344.51000000000005,459.68999999999994,14.760000000000005,-28.523828756058162,1.28,2.12,0.02,0.07,3.5,-1.095575221238938,-5.565522123893804,-3.4181946902654863,-3.3743716814159286,-6.310513274336283,1.04,1.01,0.74,0.37,0.21,12,2016,-7.85166666666667,282.5,5.65
2017-03-31,185.84,-4.02,-0.01,0.0,37.78,9.01,31.19,2.34,176.82,1.35,2.6,32.34,204.74,259.07,118.72,2320.18,80.67,108.88,84.92,720.14,878.57,1598.7,370.39,721.48,-38.22,-93.45,64.21,22.18,-58.5,1.2,2.22,-0.01,0.0,0.0,-0.68,1.88,-2.24,-2.16,2.24,-2.26,-2.16,0.61,0.36,0.08,3,2017,0.0,401.99999999999994,-4.02
2017-06-30,193.24999999999997,6.09,0.029420289855072466,0.0,38.53999999999999,22.14,45.95,2.14,171.12,8.030000000000001,49.25,56.19,209.06,336.32,132.67,2429.8,70.0,110.24,95.73,783.22,918.61,1701.83,370.39,727.57,8.099999999999998,-41.42,79.98,23.810000000000002,18.18472906403941,1.09,2.34,0.01,0.0,0.0,1.0591304347826087,18.35826086956522,3.295072463768116,3.295072463768116,22.241739130434784,0.58,0.55,1.05,0.43,0.16,6,2017,0.0,206.99999999999997,2.07
2017-09-30,189.83999999999997,-6.16,-0.015061124694376529,0.0,38.790000000000006,7.6200000000000045,33.040000000000006,2.66,182.21999999999997,8.959999999999999,17.76,39.96,222.48,306.26,154.36,2472.12,60.0,134.17,105.89,423.75,1089.55,1513.3,480.85,942.1,29.68,-81.72,20.55000000000001,25.419999999999995,-44.15340909090909,1.36,1.61,-0.01,0.0,0.0,-1.024156479217604,10.904254278728608,-2.590513447432763,-2.9519804400977994,11.386210268948656,-0.75,-0.72,0.95,0.72,0.2,9,2017,0.0,409.0,-4.09
