,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2000-03-31,386.1,148.37,0.1,0.0,,159.98,176.11,1.68,28.66,226.12,460.57,184.8,7135.96,1593.22,14930.53,5506.41,-273.66,-1163.29,3.63,16.13,4.19,4.55,0.29,0.1,0.0,0.0,8.32,0.0,10.76,0.0,38.43,0.0,3,2000,,0.0,,1483.7,148.37
2000-06-30,352.16999999999996,132.7,0.08970363254705233,0.0,,172.71,190.07,1.3,39.44,179.46999999999997,342.5,199.18,7811.31,2154.58,14930.53,5616.26,2498.12,-2532.17,-3.63,17.360000000000003,3.6219269027882444,3.46,0.38,0.19,0.0,0.0,6.798591098302914,0.0,9.442487636531824,0.0,38.07,0.0,6,2000,,0.0,,1479.3157894736842,281.07
2000-09-30,205.43000000000006,-32.629999999999995,-0.022327725004025117,0.0,,-32.51999999999998,-22.20999999999998,0.68,29.87,237.94,441.51,210.94,8144.33,2412.62,14930.53,5692.88,-1661.88,212.6300000000001,1398.95,10.309999999999995,-7.651921544590867,1.79,0.42,0.17,0.0,0.0,-1.6023426179359197,-0.0,-2.2905619062952827,-0.0,26.33,0.0,9,2000,,0.0,,1461.4117647058822,248.44
2000-12-31,162.0,-184.72,-0.11595731324544883,0.0,,-148.86,-133.05000000000004,0.75,25.72,310.86,280.26,206.46,7459.17,1900.01,14930.53,5514.74,-1055.67,881.8299999999999,26.079999999999927,15.810000000000002,-1.6230110437418794,2.04,0.34,0.04,0.0,0.0,-9.85637162586315,-0.0,-13.451048336472065,-0.0,5.76,0.0,12,2000,,0.0,,1593.0,63.72
2001-03-31,257.85,41.04,0.03,0.0,,53.95,73.18,1.44,5.87,203.9,325.21,193.42,7774.04,2046.68,14933.31,5685.4,528.26,-407.83,-185.18,19.23,11.9725,3.77,0.36,0.03,0.0,0.0,2.12,2.88,2.88,2.92,15.92,0.0,3,2001,,0.0,,1368.0,41.04
2001-06-30,252.45999999999998,35.1,0.023049645390070924,0.0,,51.75,67.16,1.3,0.0,200.72,251.18,194.63,8079.25,2306.79,14933.38,5724.3,-51.599999999999966,44.91999999999996,-89.59999999999997,15.41,14.1,3.39,0.4,0.05,0.0,0.0,1.7333333333333334,2.452482269503546,2.452482269503546,2.470921985815603,14.92,0.0,6,2001,,0.0,,1522.8,76.14
2001-09-30,126.93,-90.18,-0.06423076923076924,0.0,,-82.45,-136.59,0.75,0.0,209.37,247.28,180.45,8065.54,2439.04,14933.48,5626.5,106.69999999999999,-85.82999999999998,-21.24000000000001,-54.14,-2.929281437125748,2.0,0.43,-0.01,0.0,0.0,-4.367692307692308,7.450769230769231,-6.423076923076923,-6.423076923076923,-2.2,0.0,9,2001,,0.0,,1403.9999999999998,-14.04
2001-12-31,193.96000000000004,36.45,0.032530120481927716,0.0,,41.900000000000006,72.0,1.38,0.0,152.05999999999995,411.97,165.86,7721.67,2060.06,14933.53,5661.61,258.52,-90.21000000000004,-4.090000000000032,30.1,10.5702037037037,3.63,0.36,0.02,0.0,0.0,1.886746987951807,5.595180722891567,2.6024096385542173,2.6024096385542173,2.7,0.0,12,2001,,0.0,,1120.5,22.41
2002-03-31,528.23,247.34,0.17,0.0,,254.94,273.31,1.64,34.1,273.29,387.14,177.72,8117.97,2210.49,14940.36,5907.48,-32.86,0.18,6.81,18.37,2.405,4.14,0.37,0.17,0.0,0.0,12.2,12.84,16.76,17.08,46.82,0.0,3,2002,,0.0,,1454.941176470588,247.34
2002-06-30,437.5,164.01000000000002,0.1076521210647867,0.0,,171.01999999999998,188.95,1.51,42.35,266.47999999999996,363.29,167.46,9254.97,2240.51,17332.55,7014.46,-582.9499999999999,12.5,545.85,17.929999999999996,3.4987698920797508,3.72,0.32,0.27,0.0,0.0,7.08111729670597,7.830695028564484,9.34579895466148,10.302706697459586,42.59,0.0,6,2002,,0.0,,1523.5185185185185,411.35
2002-09-30,245.19000000000005,44.51999999999998,0.027344637725667396,0.0,,50.49000000000001,69.44000000000005,1.21,40.64,194.70000000000005,603.88,175.66,8732.18,1632.14,17332.55,7100.04,212.22999999999996,22.560000000000002,5.0,18.950000000000003,11.084440139263258,2.96,0.23,0.28,0.0,0.0,2.039128698971197,2.214915655779059,2.5078939171254953,2.7969658016539793,37.65,0.0,9,2002,,0.0,,1628.1071428571427,455.87
2002-12-31,311.42999999999984,78.13999999999999,0.048287859777906776,0.0,,81.15000000000003,100.94999999999993,1.37,49.29,230.27999999999997,513.38,206.78,8606.68,1480.63,17332.55,7121.16,115.5,-46.46,-160.35999999999996,19.799999999999997,7.0902914640389065,3.33,0.21,0.33,0.0,0.0,3.6289058257336,3.9976494822194337,4.389805434355162,4.893169790827885,35.08,0.0,12,2002,,0.0,,1618.212121212121,534.01
2003-03-31,205.36,51.88,0.03,0.0,,59.19,80.01,1.54,0.0,146.17,4770.66,187.18,8154.4,5331.17,12999.41,2817.86,1032.78,3051.79,-561.41,20.82,12.8325,7.1,1.89,0.03,0.0,0.0,2.56,2.92,7.359999999999999,4.76,25.26,0.0,3,2003,,0.0,,1729.3333333333335,51.88
2003-06-30,350.1,130.45000000000002,0.07870070750836396,0.0,,137.84,163.62,2.92,0.0,212.25000000000003,732.92,173.74,5204.22,2251.1,12999.41,2947.29,305.48,-10.63000000000011,-4332.59,25.78,9.277235530854734,12.88,0.76,0.11,0.0,0.0,10.016453682882686,7.812833872648494,17.71481379915538,10.474348708385895,32.83,0.0,6,2003,,0.0,,1657.5454545454547,182.33
2003-09-30,683.3599999999999,328.22,0.186433845852512,0.0,,336.63,358.32000000000005,6.0,0.0,346.73999999999995,1271.77,160.27,5623.95,2334.93,13000.62,3283.55,535.1600000000001,-4.920000000000073,8.609999999999673,21.690000000000005,8.045883477545548,23.76,0.71,0.29,0.0,0.0,23.349232004700816,19.10625482322985,39.986845558711195,25.277857996278524,41.21,0.0,9,2003,,0.0,,1760.5172413793105,510.55
2003-12-31,864.26,405.78000000000003,0.23027250008184827,0.0,,411.7800000000001,429.24,5.65,0.0,452.48000000000013,1832.21,155.27,7487.84,3541.91,13940.01,3939.29,320.90999999999985,-11.709999999999582,251.25,17.459999999999994,6.1366424540391336,19.99,0.9,0.52,0.0,0.0,21.681041546167865,20.813091353551666,41.201064245413775,29.35088712581712,43.57,0.0,12,2003,,0.0,,1762.173076923077,916.33
