,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-06-30,,,,,,,,,,,2.14,74.97,16.37,307.32,721.37,1158.26,59.34,191.46,68.71,392.39,265.4,657.79,275.0,499.61,,,,,,0.0,1.32,0.06,0.0,0.0,,,,,,5.34,5.31,4.69,0.78,0.74,6,2015,,531.1666666666667,31.87
2015-09-30,325.65999999999997,31.31,0.0545125039569484,0.0,83.06,44.23,58.389999999999986,,281.41999999999996,47.30999999999999,3.41,85.04,15.11,324.91,742.81,1206.75,64.67,179.72,67.59,394.41,280.45,674.85,275.0,530.92,25.209999999999994,-23.36,-0.5600000000000023,14.16,0.0,0.0,1.27,0.11,0.0,0.0,10.387109844887622,0.0,23.589047166824944,0.0,23.35117442228553,6.88,6.82,5.81,0.82,0.79,9,2015,0.0,574.3636363636364,63.18
2015-12-31,329.72,37.27,0.06307516177202589,0.0,88.75000000000003,49.33000000000001,63.879999999999995,6.2,280.4100000000001,53.77000000000001,589.34,90.34,19.43,854.67,774.87,1855.47,2.62,180.96,14.71,206.44,77.89,284.33,375.0,1570.21,132.81,-113.80000000000001,566.9,14.549999999999997,24.573460558089614,1.48,0.18,0.17,0.0,0.0,8.02909706321553,0.0,9.49837730214037,0.0,13.060268790443008,8.07,8.0,7.89,4.14,4.05,12,2015,0.0,590.8823529411765,100.45
2016-03-31,339.08,42.14,0.06,0.0,81.93,53.7,68.94,7.15,285.38,47.52,81.05,84.25,15.63,881.73,800.51,1906.78,4.3,171.62,16.46,207.78,93.04,300.82,375.0,1604.98,19.94,-524.6,-3.63,15.24,29.7925,1.67,0.19,0.06,0.0,0.0,8.84,0.0,10.52,0.0,12.64,12.96,12.43,153.43,4.24,4.17,3,2016,0.0,702.3333333333334,42.14
2016-06-30,331.66,37.870000000000005,0.0520647419072616,0.15,85.26999999999998,42.14,57.75,9.65,289.53,46.68999999999999,29.0,110.72,17.65,827.07,830.6,1876.43,14.09,208.06,14.95,251.59,93.54,345.13,375.0,1530.35,-12.190000000000001,68.69,-108.55000000000001,15.610000000000001,46.33798059149723,2.36,0.23,0.11,0.15,1.36,8.065301837270342,11.965424321959755,9.901767279090114,14.91891513560805,11.170253718285215,12.28,11.93,233.76,3.29,3.22,6,2016,109.10454545454546,727.3636363636364,80.01
2016-09-30,354.75,43.64,0.05646906591184796,0.0088214535161563,98.12,53.91999999999999,70.44,8.9,300.82000000000005,60.13000000000001,78.0,93.08,17.35,817.75,852.6,1879.16,1.86,180.24,14.8,211.35,92.81,304.16,375.0,1573.99,86.07,-20.439999999999998,-16.620000000000005,16.519999999999996,39.405645623281394,2.12,0.19,0.16,0.15,0.94,9.28916134249899,13.707865750101092,11.096171451678124,16.587788111605338,12.677305297209866,12.35,12.06,325.57,3.87,3.79,9,2016,6.817329545454541,772.8125,123.65
2016-12-31,337.44000000000005,32.25,0.04344130853110968,-0.006148773252084664,80.67000000000002,41.02000000000001,58.02000000000001,9.65,296.4200000000001,38.629999999999995,120.06,100.54,19.37,804.69,949.21,1958.53,21.66,168.25,20.89,229.83,121.42,351.25,375.0,1606.24,96.80000000000001,-70.14999999999998,15.400000000000006,17.000000000000007,55.53182170542636,2.25,0.22,0.21,0.15,0.71,6.586529826812059,8.274534958306607,8.034573444515715,8.125593329057088,9.135086593970492,11.74,11.44,381.56,3.5,3.42,12,2016,-4.564732142857139,742.3809523809524,155.9
2017-03-31,355.45,47.15,0.06,0.0,94.21,54.7,72.69,9.35,300.76,49.27,61.22,92.8,19.23,790.2,983.41,1988.48,12.14,159.17,19.73,213.76,120.24,333.99,375.0,1653.41,23.14,-65.18,-16.8,17.99,38.9575,2.12,0.2,0.06,0.0,0.0,9.48,11.24,11.4,11.56,12.32,13.81,13.26,188.62,3.7,3.61,3,2017,0.0,785.8333333333334,47.15
2017-06-30,357.65000000000003,33.809999999999995,0.0459375,0.2,84.79,39.67999999999999,58.370000000000005,9.2,317.97,41.24999999999999,36.64,102.48,19.37,820.79,1038.18,2076.0,165.38,168.68,26.16,375.07,162.7,537.76,375.0,1537.2,-8.040000000000001,-62.72999999999999,46.19,18.69,50.07020408163266,2.24,0.35,0.11,0.2,1.82,6.514772727272726,7.984772727272727,8.803295454545452,8.82,9.271022727272728,11.75,11.35,80.67,2.19,2.14,6,2017,147.2,735.9999999999999,80.96
2017-09-30,388.90999999999997,46.41000000000001,0.061943157729449645,0.003533014053544802,100.63999999999999,57.23000000000002,75.82,8.45,331.65999999999997,62.000000000000014,57.98,115.65,20.54,747.5,1090.96,2053.42,24.44,210.07,36.4,284.49,184.16,468.65,375.0,1583.61,91.73,43.629999999999995,-114.01,18.590000000000003,34.10667259211376,2.0,0.3,0.17,0.2,1.18,9.036413598178536,11.237217555154277,11.71818795634765,11.761912538274322,12.490655570385496,11.93,11.56,57.21,2.63,2.56,9,2017,2.64705882352942,749.2352941176471,127.37
