,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-06-30,,,,,,,,19.5,,,63.83,854.16,892.44,1892.01,2271.03,4739.14,2727.58,221.78,0.0,3171.4,59.3,3230.7,518.4,1508.45,,,,,,6.7,2.14,0.78,1.25,1.6,,,,,,3.09,3.03,0.0,0.6,0.32,6,1999,,51.705128205128204,40.33
1999-09-30,1405.4399999999998,67.81,1.310550212687257,0.0008817511013740647,305.25,28.08,175.82999999999998,16.25,1377.3600000000001,68.75999999999999,62.5,937.83,861.29,1973.42,2203.41,4773.74,2697.54,254.5,0.0,3199.2,62.81,3262.02,518.4,1511.72,170.77000000000004,-77.25,-94.83999999999997,147.75,3.1017888217077125,5.57,2.16,2.09,1.25,0.6,5.6936822637321995,0.0,17.93384501572036,0.0,17.231540595524322,4.01,3.95,0.0,0.62,0.35,9,1999,0.045623236412723145,51.74162679425838,108.14
1999-12-31,1435.0100000000002,149.78000000000003,2.891999069478909,1.25119561571705,248.50000000000006,260.99,409.2,18.25,1174.02,185.57999999999998,728.86,838.63,867.79,2548.73,2139.39,5309.4,2963.5,358.15,0.0,3645.57,63.29,3708.86,518.4,1600.55,546.74,-81.55,201.16,148.20999999999998,1.5756229136066229,5.91,2.32,4.98,2.5,0.5,11.289249379652608,0.0,37.421771091811415,0.0,51.544947270471475,6.28,6.18,0.0,0.7,0.46,12,1999,64.80087815376336,51.791164658634536,257.92
2000-03-31,5557.99,308.8,5.96,0.0,983.85,342.07,930.41,20.0,5215.91,255.16,72.06,808.56,897.75,1920.0,2078.05,4616.15,2394.73,265.84,0.0,2933.62,56.22,2989.85,518.4,1626.3,1061.13,-277.42,-759.55,588.34,0.84,6.38,1.84,5.96,0.0,0.0,26.76,0.0,75.96,0.0,81.32,5.65,5.56,0.0,0.65,0.35,3,2000,0.0,51.81208053691275,308.8
2000-06-30,-4119.5199999999995,-215.41000000000003,-4.151814969482815,1.25,-683.8,-186.19,-661.81,20.0,-3933.31,-115.82999999999998,59.98,850.94,998.87,2068.56,2043.33,4734.84,2293.78,275.87,0.0,2942.66,73.6,3016.26,518.4,1718.58,-896.4300000000001,201.60000000000002,658.5999999999999,-475.62,-1.204172160066849,6.03,1.76,1.8,1.25,0.69,-18.175723310846987,-30.354380554663248,-50.098567298425955,-53.42001927401221,-80.26842274333441,6.61,6.49,0.0,0.7,0.36,6,2000,64.85416666666667,51.88333333333333,93.39
2000-09-30,1567.8,106.76,2.0589238071446414,-0.0007473561495546304,367.96,188.82999999999998,304.40999999999997,22.5,1378.96,201.42999999999998,39.59,929.57,991.62,2113.69,2034.35,4770.27,2244.19,276.32,0.0,2921.89,90.84,3012.72,518.4,1757.54,198.41000000000003,-104.42000000000002,-114.39,115.58000000000001,2.7324711970775573,6.64,1.71,3.86,1.25,0.32,8.961119160629528,15.404590557082187,24.30170172370722,26.115261553834625,39.7916362727954,6.73,6.66,0.0,0.72,0.38,9,2000,-0.038752158894652666,51.85233160621762,200.15
2000-12-31,1608.5800000000004,148.35,2.86057962697274,0.00018770303521388417,432.95000000000005,248.26000000000005,366.38,26.5,1360.3200000000002,235.59000000000003,70.17,912.89,915.36,2031.69,2013.58,4672.19,2003.21,271.76,0.0,2725.02,117.99,2843.01,518.4,1829.18,366.73,-159.96999999999997,-176.17999999999998,118.12,2.313936636332996,7.51,1.55,6.72,1.25,0.19,12.702335724533715,20.22838450502152,32.43692969870875,34.599391678622666,51.848005738880914,7.63,7.55,0.0,0.75,0.41,12,2000,0.009734301751791463,51.86011904761905,348.5
2001-03-31,6120.51,433.41,8.36,1.5,1511.55,775.97,1241.34,27.0,5344.54,808.43,49.23,977.41,1004.87,2157.87,1972.78,4564.59,1969.78,276.65,0.0,2635.99,135.39,2771.38,518.4,1793.21,866.66,-321.97,-567.52,465.37,0.8075,7.81,1.55,8.36,1.5,0.18,38.0,67.6,96.68,101.4,160.92,7.09,7.08,0.0,0.82,0.44,3,2001,77.76495215311006,51.84330143540671,433.41
2001-06-30,-4550.81,-265.78000000000003,-5.121215772833026,1.501576117314648,-1089.6299999999999,-511.11,-882.75,30.0,-4039.7,-561.67,139.05,1006.0,1066.88,2361.55,1955.44,4772.86,1870.49,290.92,0.0,2642.67,160.48,2803.15,518.4,1969.71,-603.3499999999999,247.76000000000005,468.24,-371.64,-1.4648230679509364,7.9,1.42,3.23,3.0,0.93,-22.260640696772654,-35.32529022251387,-53.970955079639694,-57.649351548052266,-78.83184155580744,10.82,10.68,0.0,0.89,0.49,6,2001,77.9285462989023,51.89783281733746,167.63
2001-09-30,1537.7,143.36,2.7658767162931284,-0.0038296752695397072,373.72999999999996,227.86,326.83,29.5,1309.8500000000001,200.44,56.15,954.87,1149.61,2275.23,1949.17,4686.89,1774.56,305.6,0.0,2467.57,187.68,2655.26,518.4,2031.63,174.75,-83.95,-173.70000000000002,98.96999999999998,2.6682317243303566,7.53,1.31,6.0,3.0,0.5,12.243614264124249,19.21362358918293,28.230381684298536,30.258691276246825,40.934975401138296,10.16,10.01,0.0,0.92,0.46,9,2001,-0.19849845201235894,51.83166666666667,310.99
