,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2003-09-30,,,,,,,,15.1,0.0,,,186.14,102.08,0.48,351.34,98.27,498.48,50.0,16.3,25.17,99.95,19.78,119.73,125.0,353.25,,,,,,5.34,0.34,0.5,0.0,0.0,,,,,,18.87,18.59,3.52,3.51,9,2003,,100.74,50.37
2003-12-31,108.83999999999997,14.71,0.1378779963122311,0.0,58.47999999999999,29.97,37.91,15.1,0.0,78.88,29.179999999999993,201.12,100.11,0.67,371.42,106.14,543.26,50.0,26.45,36.51,126.65,20.05,146.7,125.0,367.96,73.97999999999999,-58.72,-0.12000000000000455,7.940000000000001,27.374745071380012,5.13,0.4,0.61,0.0,0.0,10.831333743085434,0.0,15.993847572218812,0.0,27.86491702519976,17.36,17.13,2.93,2.93,12,2003,0.0,106.68852459016394,65.08
2004-03-31,137.22,30.02,0.24,0.0,73.52,57.04,66.4,14.3,0.0,80.18,55.42,156.92,124.36,9.36,358.76,154.05,602.53,50.0,59.03,53.37,175.08,3.14,178.22,125.0,397.98,55.56,-81.52,-18.25,9.36,14.895,4.49,0.45,0.24,0.0,0.0,19.92,0.0,30.16,0.0,53.36,22.14,21.88,2.05,2.0,3,2004,0.0,125.08333333333334,30.02
2004-06-30,136.27,19.500000000000004,0.15751211631663978,0.0,72.03000000000002,32.98,45.58,12.2,0.0,103.29999999999998,29.909999999999997,91.09,145.76,7.89,313.57,194.25,597.06,50.0,36.57,40.46,142.74,4.71,147.45,125.0,417.48,-13.270000000000003,-52.730000000000004,0.17999999999999972,12.600000000000001,19.363589743589742,3.65,0.35,0.4,0.0,0.0,13.057754442649436,0.0,18.680936995153473,0.0,31.203150242326334,18.42,18.11,2.2,2.14,6,2004,0.0,123.8,49.52
2004-09-30,123.67000000000002,15.18,0.12200309119010819,0.0,65.61999999999998,27.08,41.07000000000001,9.05,0.0,96.58000000000001,24.310000000000002,74.33,114.57,9.32,285.46,205.47,590.25,50.0,25.35,32.8,117.23,3.89,121.12,125.0,432.67,18.35,-35.0,-0.10999999999999943,13.990000000000002,18.540513833992094,2.61,0.28,0.52,0.0,0.0,10.285799072642968,20.186819165378672,14.03035548686244,15.447468315301391,23.236896445131375,16.6,16.29,2.44,2.36,9,2004,0.0,124.42307692307692,64.7
2004-12-31,144.7,19.849999999999994,0.15964518036664693,0.4,67.02000000000001,30.189999999999998,45.42999999999998,9.0,0.0,114.50999999999999,25.83,73.48,127.23,19.29,293.16,214.95,606.85,65.0,32.47,0.45,164.11,1.94,166.06,125.0,402.51,57.400000000000006,-23.30000000000001,-34.95,15.239999999999995,14.098765743073052,2.79,0.41,0.68,0.4,0.59,13.081513897102303,24.050076877587223,19.730266114725012,20.61301005322294,31.24350088704908,15.95,15.6,1.79,1.67,12,2004,49.73529411764706,124.33823529411764,84.55
2005-03-31,134.99,22.4,0.18,0.24,68.69,36.71,51.91,7.75,0.0,98.28,32.75,65.32,130.93,20.38,286.66,215.73,635.71,65.0,33.23,0.71,165.17,2.92,168.1,125.0,424.91,29.33,-37.21,-0.28,15.2,10.765,2.28,0.4,0.18,0.24,1.33,14.080000000000002,23.72,21.08,21.76,31.200000000000003,17.1,16.59,1.74,1.61,3,2005,29.866666666666664,124.44444444444444,22.4
2005-06-30,129.2,11.060000000000002,0.08924686192468621,-0.001004184100418395,57.31,22.759999999999998,38.8,6.35,0.0,106.44,22.090000000000003,71.37,138.2,20.93,293.61,210.91,638.47,100.0,20.23,0.7,183.5,2.73,186.22,125.0,405.97,8.190000000000005,-6.979999999999997,4.84,16.04,17.788860759493666,1.96,0.46,0.27,0.24,0.89,6.928200836820086,12.732552301255234,10.894728033472806,10.749288702928874,17.280836820083685,12.89,12.67,1.6,1.49,6,2005,-0.12444444444444258,123.92592592592592,33.46
2005-09-30,160.25,15.659999999999997,0.12433631921824102,0.003854505971769802,66.44,32.25,55.709999999999994,5.0,0.0,128.00000000000003,31.379999999999995,60.0,151.3,12.57,309.45,207.2,648.04,81.89,43.9,1.04,174.18,2.55,176.72,125.0,421.63,24.279999999999994,-18.150000000000006,-17.509999999999998,23.460000000000004,10.052975734355046,1.48,0.42,0.39,0.24,0.62,9.666351791530943,18.886368078175895,14.85659609120521,14.665309446254069,24.688729641693808,11.95,11.57,1.78,1.7,9,2005,0.48547008547008375,125.94871794871794,49.12
2005-12-31,132.29000000000002,17.869999999999997,0.14404836542767577,-0.0036625443521995293,62.920000000000016,30.900000000000006,47.43000000000001,4.86,0.0,101.38999999999999,32.379999999999995,36.44,138.85,10.81,262.03,229.02,681.8,88.0,28.06,0.94,186.58,2.3,188.88,125.0,439.5,34.68000000000001,-64.02,5.799999999999999,16.53,8.434667039731394,1.38,0.43,0.54,0.24,0.44,10.488855052992983,20.305484400656816,16.26145991939095,16.976366621883862,26.41953724436483,12.33,12.03,1.4,1.35,12,2005,-0.4543589743589749,124.05555555555554,66.99
