,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,65.66,6.39,0.29,0.0,2.63,13.66,23.21,6.0,52.0,-16.3,127.47,8.65,2.3,154.83,525.92,1280.02,0.0,12.2,143.13,205.27,715.66,920.93,220.0,359.09,-0.29,88.18,0.0,9.55,5.1725,3.68,2.56,0.29,0.0,0.0,2.0,0.0,7.12,0.0,5.08,17.9,9.73,0.75,0.74,3,2000,0.0,22.03448275862069,6.39
2000-06-30,5.480000000000004,-48.35,-2.20086987607245,0.0,-5.88,-40.870000000000005,-30.6,5.0,46.349999999999994,-11.029999999999998,107.67,5.04,2.73,124.03,530.42,1259.3,0.0,15.04,148.23,207.41,741.15,948.56,220.0,310.74,2.93,-22.85000000000001,-10.86,10.27,-0.5684343329886247,3.54,3.05,-1.91,0.0,0.0,-15.348474737845569,0.0,-62.22354623450905,0.0,-11.937702573879884,-59.96,-58.98,0.6,0.58,6,2000,0.0,21.968586387434556,-41.96
2000-09-30,382.8,269.46999999999997,12.24702122983605,0.0,-0.08999999999999986,277.12,292.25,6.0,105.68,-9.0,1314.96,7.32,2.65,1343.66,146.71,1614.79,0.1,44.16,383.49,479.91,554.67,1034.58,220.0,580.21,13.96,1193.19,0.10999999999999943,15.130000000000003,0.12242160537351096,2.28,1.78,10.34,0.0,0.0,66.75455672278142,0.0,185.7662291767395,0.0,104.32472242978331,210.54,50.12,2.8,2.79,9,2000,0.0,22.002901353965182,227.51
2000-12-31,39.22000000000003,24.75,1.125356774756204,0.0,7.609999999999999,29.25000000000003,33.289999999999964,6.0,9.969999999999999,-15.440000000000005,1060.72,9.89,3.03,1095.58,41.33,1359.45,0.0,33.3,676.27,754.5,0.0,754.5,220.0,604.96,-73.75,1.9800000000000182,-182.49,4.039999999999999,1.32500202020202,2.18,1.25,11.47,0.0,0.0,7.283913422659161,0.0,16.365258067073654,0.0,18.111670498691826,180.28,51.15,1.45,1.45,12,2000,0.0,21.993025283347862,252.26
2001-03-31,94.5,55.07,2.5,0.0,9.56,55.36,59.34,13.0,39.15,-3.03,141.33,9.32,2.11,465.24,37.79,708.53,0.0,24.83,0.0,48.5,0.0,48.5,220.0,660.02,-8.73,-234.43,-676.27,3.98,1.3,4.33,0.07,2.5,0.0,0.0,31.08,22.28,33.36,43.24,33.56,152.46,58.28,9.59,9.55,3,2001,0.0,22.028,55.07
2001-06-30,33.31999999999999,0.4299999999999997,0.019524324324324313,4.69,1.9900000000000002,0.4299999999999997,4.409999999999997,23.0,32.88,-4.550000000000001,122.01,6.76,2.56,354.48,34.21,594.17,0.0,10.57,0.0,36.9,0.0,36.9,220.0,557.28,-5.029999999999999,88.86000000000001,-103.18000000000006,3.98,294.60174418604674,9.08,0.07,2.52,4.69,1.86,0.28945585585585565,0.1865657657657656,0.3086702702702701,0.39637477477477445,0.3102198198198196,87.17,43.42,9.61,9.54,6,2001,103.29166666666667,22.023809523809522,55.5
2001-09-30,36.650000000000006,0.8200000000000003,0.037272727272727284,-0.005075757575757481,3.08,0.8200000000000003,4.75,14.5,35.83,-4.18,315.6,8.34,2.88,346.6,33.0,585.04,0.0,10.48,0.0,26.95,0.0,26.95,220.0,558.09,-7.5699999999999985,101.13999999999999,0.0,3.9300000000000006,97.1863414634146,5.72,0.05,2.56,4.69,1.83,0.5608380681818184,0.2999289772727274,0.587627840909091,0.5765625000000002,0.590539772727273,59.09,34.24,12.86,12.75,9,2001,-0.11166666666666458,22.0,56.32
2001-12-31,40.02000000000001,-1.5300000000000011,-0.06953276145281992,0.0008559956196385187,3.6599999999999984,-1.5300000000000011,2.4200000000000017,19.0,41.55,-4.959999999999999,30.13,9.11,3.3,342.96,29.34,577.62,0.0,8.94,0.0,21.05,0.0,21.05,220.0,556.56,-5.190000000000001,-180.79999999999998,0.0,3.9499999999999993,-68.30844771241824,7.51,0.04,2.49,4.69,1.88,-1.0600255521080497,-0.6355685344040889,-1.0991202774228883,-1.0533235991969345,-1.1058222303340033,41.57,26.79,16.29,16.14,12,2001,0.018835341365459612,22.004016064257026,54.79
2002-03-31,49.41,13.21,0.6,0.0,14.03,13.21,17.07,22.2,36.2,7.75,40.05,12.19,2.97,338.03,26.08,589.38,0.0,8.05,0.0,19.61,0.0,19.61,220.0,569.78,10.53,-0.63,0.0,3.86,9.25,8.57,0.03,0.6,0.0,0.0,8.96,8.16,9.28,8.6,9.28,30.06,26.74,17.24,17.09,3,2002,0.0,22.01666666666667,13.21
2002-06-30,38.58,3.8999999999999986,0.17779076563413204,2.0,5.970000000000001,3.8999999999999986,7.809999999999999,20.1,34.67999999999999,-0.7199999999999998,16.86,9.61,2.73,293.89,26.65,546.22,0.0,6.43,0.0,16.54,0.0,16.54,220.0,529.68,5.660000000000002,30.509999999999998,-43.79,3.9099999999999997,28.264403846153854,8.35,0.03,0.78,2.0,2.56,2.853769725306837,2.735242548217416,2.9449444769140842,2.8720046756282867,2.9449444769140842,22.23,19.45,17.77,17.6,6,2002,43.87179487179487,21.935897435897434,17.11
