,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,84.46,-2612.33,-108.85,0.0,9.94,-2455.92,-1937.01,0.26,0.0,2540.38,-1555.55,2.84,124.48,776.0,910.52,286.55,1218.21,1526.73,136.06,1555.26,4086.88,29.57,4116.45,240.0,-2898.3,1.13,0.06,-1.61,518.91,-0.0,-0.02,-1.42,-108.85,-857.76,0.0,360.52,0.0,342.44,-3108.07,-3092.98,0.0,0.22,0.03,3,2000,0.0,23.99935691318328,-2612.33
2000-06-30,36.02000000000001,-582.6199999999999,-24.275301460116744,0.0,4.190000000000001,-487.5,-984.49,0.24,0.0,523.52,-10.799999999999955,11.49,103.47,351.53,472.0,277.27,769.77,1546.02,116.29,1587.85,4223.56,27.08,4250.64,240.0,-3480.93,5.47,1.38,1.77,-496.98999999999995,-0.0,-0.02,-1.22,-133.12,-302.74831343213503,0.0,66.9467298079782,0.0,62.161694424012886,-2672.48,-2651.85,0.0,0.11,0.03,6,2000,0.0,24.000525841346153,-3194.95
2000-09-30,27.92,-362.78999999999996,-15.116334976698692,0.0,-6.370000000000001,-243.46000000000004,-233.9699999999998,0.13,0.0,271.3800000000001,-110.61000000000013,24.28,35.18,331.32,398.4,268.68,686.57,1587.13,116.32,1661.12,4505.53,24.7,4530.23,240.0,-3843.72,12.15,-0.010000000000000009,0.4,9.489999999999998,-0.0,-0.01,-1.18,-148.24,-211.36356237386656,0.0,37.75412750791232,0.0,34.03826642756356,-2417.44,-2397.4,0.0,0.09,0.01,9,2000,0.0,23.999865083648135,-3557.74
2000-12-31,24.599999999999994,-2460.6100000000006,-102.5235427650436,0.0,-13.94,-2678.4300000000003,-2663.15,0.13,0.0,2703.02,-70.83999999999992,19.81,13.03,301.89,341.3,207.89,564.85,0.0,2.63,0.0,22.45,6846.68,6869.13,240.0,-6304.33,-1.7300000000000004,-0.050000000000000044,-2.71,15.279999999999998,-0.0,-0.0,-1.09,-250.76,-1742.4913757425213,0.0,156.1157663479193,0.0,-1768.4616079822542,-3594.98,-3478.82,0.0,15.2,1.76,12,2000,0.0,24.00043866645398,-6018.35
2001-03-31,27.56,-46.15,-1.92,0.0,-1.53,-46.18,-37.41,0.13,0.0,73.74,-28.97,8.35,19.84,283.06,320.06,199.69,535.3,0.0,2.4,0.0,24.37,6861.4,6885.77,240.0,-6350.48,-11.42,-0.04,0.0,8.77,-0.0175,-0.0,-1.08,-1.92,-34.48,-21.08,2.9200000000000004,4.0,-36.16,-170.3,-167.45,0.0,13.13,1.52,3,2001,0.0,24.036458333333332,-46.15
2001-06-30,17.77,-28.15,-1.1744952893674294,0.0,-6.29,-28.15,-19.860000000000007,0.13,0.0,45.93000000000001,-29.78,12.34,9.24,271.32,297.81,191.96,504.65,0.0,0.64,0.0,22.7,6860.58,6883.28,240.0,-6378.63,4.06,-0.07,0.0,8.29,-0.026394316163410304,-0.0,-1.08,-3.1,-22.307833109017498,-17.670471063257065,1.7579542395693133,2.2883714670255717,-23.368667563930014,-168.71,-163.91,0.0,13.12,1.17,6,2001,0.0,23.96774193548387,-74.3
2001-12-31,29.650000000000006,-151.24,-403.30666666666673,0.0,-8.23,-151.24,-135.35,0.13,0.0,180.88,-37.459999999999994,14.37,2.76,168.03,189.73,147.41,351.23,0.0,0.65,0.0,34.17,6846.92,6881.1,3.75,-6529.87,1.8900000000000006,0.11,0.0,15.890000000000004,-0.0,-0.0,-1.05,-601.44,-172.22879134521594,-132.10197747627916,9.253844107475395,9.414780526735834,-190.81694776979697,-321.51,-300.8,0.0,5.55,0.64,12,2001,0.0,0.37499999999999994,-225.54
2002-12-31,-15.550000000000004,101.58999999999999,21.219565147236786,0.0,1.3000000000000007,111.89999999999999,89.60000000000001,0.13,0.0,-127.45000000000002,33.03999999999999,11.7,4.24,125.49,146.46,89.09,248.32,0.0,0.72,0.0,56.4,6774.48,6830.89,75.0,-6582.57,5.05,-0.39,0.0,-22.300000000000004,0.003050251008957575,-0.0,-1.04,-25.89,163.65866236385637,124.31763775716013,-6.163427188382411,-6.196211375554658,194.18074062121818,-234.31,-208.56,0.0,2.6,0.37,12,2002,0.0,4.787562765546543,-123.95
2003-12-31,30.479999999999997,-0.6099999999999994,-0.08134312780989073,0.0,24.009999999999998,9.260000000000005,6.390000000000001,0.13,0.0,21.22,35.650000000000006,11.19,25.73,104.56,150.09,82.1,238.04,0.0,1.51,0.0,93.65,6840.61,6934.26,75.0,-6696.22,3.98,-0.68,-3.0,-2.87,-0.510491803278689,-0.0,-1.04,-16.61,-1.0250899165061005,-0.8411496467565823,0.03643545279383426,0.03682723185613355,-1.4164771997430945,-144.94,-138.54,0.0,1.6,0.49,12,2003,0.0,7.4990969295605066,-124.56
2004-03-31,58.77,1.59,0.21,0.0,16.14,6.2,8.18,0.13,0.0,52.57,6.08,8.42,52.9,106.08,175.51,80.5,261.86,0.0,18.51,0.0,115.88,6840.61,6956.49,75.0,-6694.63,-2.39,-0.38,0.0,1.98,0.155,-0.0,-1.04,0.21,2.44,0.0,-0.08,0.0,17.0,2.71,2.71,0.0,1.51,0.6,3,2004,0.0,7.571428571428572,1.59
2004-06-30,56.68999999999999,0.039999999999999813,0.005398773006134945,0.0,11.68,4.69,6.6899999999999995,0.13,0.05,51.99999999999999,4.779999999999999,1.65,86.78,88.87,186.01,78.78,269.65,0.0,11.62,0.0,123.63,6840.61,6964.24,75.0,-6694.59,-18.36,0.71,10.87,2.0,6.010625000000028,-0.0,-1.04,0.22,0.058895705521472115,0.0,-0.0019631901840490708,0.0,0.7322699386503033,1.41,1.41,0.0,1.5,0.79,6,2004,0.0,7.409090909090908,1.63
2004-09-30,67.54,3.3,0.4417849898580122,0.0,16.42,8.2,10.26,0.13,0.0,59.34,8.0,4.22,98.76,103.26,216.2,78.06,299.13,0.0,24.22,48.3,148.72,6841.7,6990.42,75.0,-6691.29,-1.9100000000000001,-1.34,5.83,2.06,0.0746969696969697,-0.0,-1.04,0.66,4.417849898580122,0.0,-0.1874239350912779,0.0,33.977281947261666,2.7,2.69,0.0,1.45,0.76,9,2004,0.0,7.469696969696969,4.93
2004-12-31,59.16,2.1000000000000005,0.280796586059744,0.0,12.280000000000001,7.039999999999999,9.110000000000003,0.13,0.0,52.110000000000014,6.48,1.03,67.0,103.0,180.66,75.62,280.98,0.0,2.99,0.0,128.48,6841.7,6970.18,75.0,-6689.19,16.009999999999998,-19.2,0.0,2.0699999999999994,0.11716666666666664,-0.0,-1.04,0.94,2.98719772403983,12.032432432432437,-0.13143669985775253,-0.13143669985775253,20.468278805120914,2.91,2.9,0.0,1.41,0.6,12,2004,0.0,7.4787234042553195,7.03
2005-06-30,-208.55,-187.2,-24.957229283454517,0.0,-52.730000000000004,-196.53,-200.51000000000002,0.13,72.68,-12.01000000000002,-32.1,1.0,5.15,22.03,36.13,71.49,112.49,3.6,2.52,62.15,137.88,6841.7,6979.58,75.0,-6867.09,3.0200000000000005,20.21,-13.1,-3.9799999999999995,-0.0024061164529914528,-0.0,-1.02,-24.02,-665.6785036354554,-370.6387522895044,10.888916023755343,11.055159016484431,2789.2664927568408,-547.46,-536.06,0.0,0.26,0.1,6,2005,0.0,7.50083263946711,-180.17
2005-12-31,2786.8399999999997,6834.13,90.49576407131994,0.0,-3.4,2712.25,2716.24,0.13,76.91,74.59000000000003,-24.42,30.81,14.11,6.23,62.59,61.16,124.79,0.0,21.78,0.0,22.52,18.55,41.06,200.0,83.73,-15.470000000000002,-52.49,97.77000000000001,3.9899999999999993,0.0,0.31,0.49,88.11,21906.034660202346,5147.0942238907355,32648.398475253834,-827.7009005764988,10210.913035786209,10063.46,235.92,0.0,2.78,2.5,12,2005,0.0,75.51878333900805,6653.96
2006-03-31,30.54,5.43,0.03,0.0,13.09,5.46,7.28,0.13,0.0,25.08,5.42,0.99,25.01,11.03,47.26,59.51,107.82,0.0,0.79,0.0,18.6,0.0,18.6,206.32,89.22,-30.88,-0.2,1.26,1.82,1.0825,0.3,0.21,0.03,20.16,0.0,24.360000000000003,0.0,24.48,17.8,17.78,0.0,2.54,1.95,3,2006,0.0,181.0,5.43
2006-06-30,35.54,7.6,0.05249424405218726,0.0,16.29,8.25,9.399999999999999,0.13,0.0,27.29,7.77,0.81,36.0,21.93,87.0,58.46,146.5,35.0,1.48,0.0,49.68,0.0,49.68,206.32,96.82,-15.080000000000002,-20.11,35.0,1.1500000000000001,0.6172105263157894,0.28,0.51,0.09,20.741059094397546,24.70729086722947,31.40322333077514,-0.8865694551036071,33.036377590176514,19.87,19.72,0.0,1.75,1.31,6,2006,0.0,144.77777777777777,13.03
2006-09-30,25.730000000000004,1.8500000000000014,0.008702956989247319,0.0,8.099999999999998,2.8699999999999974,3.8200000000000003,0.13,0.79,22.869999999999997,1.6600000000000001,6.59,29.52,39.31,83.1,57.56,141.72,35.98,0.45,0.0,43.04,0.0,43.04,206.32,98.67,-15.32,21.33,-0.21999999999999886,0.9499999999999997,3.740108108108106,0.27,0.44,0.07,5.221774193548391,0.0,7.499462365591404,0.0,8.354838709677425,16.66,16.21,0.0,1.93,1.02,9,2006,0.0,212.57142857142856,14.88
2006-12-31,16.64999999999999,-4.98,-0.025151515151515154,0.0,11.82,-4.129999999999999,-4.239999999999998,0.13,1.36,20.77000000000001,-4.029999999999999,0.93,25.85,52.26,86.8,56.92,144.88,36.8,11.17,1.88,51.19,0.0,51.19,206.32,93.69,-6.189999999999998,-0.28,0.8200000000000003,-0.10999999999999988,-1.2921686746987953,0.29,0.55,0.05,-13.74278787878788,-18.571878787878788,-21.268121212121212,-22.455272727272728,-26.741090909090907,9.4,9.13,0.0,1.7,0.67,12,2006,0.0,198.0,9.9
