,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2000-03-31,183.0,74.39,6.2,1.25,,102.82,104.61,4.3,0.0,80.18,1057.94,19.56,1613.6,88.61,120.0,1524.97,-0.6,119.63,0.0,1.79,0.1725,0.34,0.06,6.2,1.25,0.2,18.44,0.0,19.52,0.0,40.65,3,2000,,14.997983870967742,,11.998387096774193,74.39
2000-06-30,51.83000000000001,-4.700000000000003,-0.3918352704835703,-0.0003700142103971078,,0.38000000000000966,2.180000000000007,3.58,0.0,51.44999999999999,1034.33,19.57,1587.65,67.36,120.0,1520.27,-6.94,-1.6700000000000017,-15.0,1.7999999999999998,-2.2982872340425518,0.28,0.04,5.81,1.25,0.22,-1.1842732099296893,-0.0,-1.235528770268332,-0.0,29.68,6,2000,,-0.004438259952250334,,11.994836488812393,69.69
2000-09-30,47.21000000000001,6.109999999999999,0.5094353562005277,-0.0001214810239830788,,8.920000000000002,11.14,3.35,0.0,38.28999999999999,765.95,21.71,1575.55,47.43,120.0,1528.1,-80.33,-188.05,0.0,2.2199999999999998,1.6437806873977088,0.26,0.03,6.32,1.25,0.2,1.55087598944591,0.0,1.599240105540897,0.0,26.88,9,2000,,-0.0014570034205565463,,11.993670886075948,75.8
2000-12-31,46.21999999999997,0.480000000000004,0.04002097535395943,4.1486064002944624e-06,,1.3599999999999994,2.6399999999999864,2.9,0.0,44.85000000000002,531.77,20.94,1580.63,52.04,120.0,1528.58,-180.3,-49.19,0.0,1.2800000000000002,18.275416666666516,0.23,0.03,6.36,1.25,0.2,0.12157315154693336,0.0,0.12560041950708023,0.0,23.24,12,2000,,4.975718493938075e-05,,11.9937106918239,76.28
2001-03-31,57.83,9.47,0.79,0.0,,13.71,16.49,5.25,0.0,44.12,504.46,19.11,1588.92,47.71,120.0,1541.2,-80.41,59.72,0.0,2.78,1.6625,0.41,0.03,0.79,0.0,0.0,2.4,3.44,2.44,2.4800000000000004,16.38,3,2001,,0.0,,11.987341772151899,9.47
2001-06-30,49.97,-5.120000000000001,-0.4237241379310346,10.0,,-6.890000000000001,-4.619999999999999,5.05,0.0,56.86000000000001,497.82,21.46,1448.93,45.06,120.0,1403.86,217.35,-103.99000000000001,-120.0,2.27,-2.9800048828124988,0.43,0.03,0.36,10.0,27.78,-1.4124137931034486,-2.118620689655173,-1.4594942528735635,-1.4124137931034486,4.04,6,2001,,120.83333333333331,,12.083333333333332,4.35
2001-09-30,50.040000000000006,4.960000000000001,0.4155531686358755,-0.1235230934479034,,7.0,9.730000000000002,4.4,0.0,43.02999999999999,500.5,20.53,1455.96,45.75,120.0,1410.21,3.8499999999999943,-1.1599999999999966,0.0,2.7300000000000004,2.6465927419354833,0.37,0.03,0.78,10.0,12.82,1.3638668098818476,1.939248120300752,1.4064876476906556,1.3425563909774438,5.9,9,2001,,-1.4743589743589496,,11.935897435897436,9.31
2001-12-31,64.69999999999999,5.799999999999999,0.4836532097948378,0.04683602301074157,,10.82,13.149999999999999,4.8,0.0,53.890000000000015,505.83,22.06,1479.01,53.4,120.0,1425.59,5.27000000000001,0.04999999999999716,0.0,2.329999999999999,2.4814267241379313,0.4,0.04,1.26,10.0,7.94,1.5661151555261414,2.472005294506949,1.6275314361350097,1.5661151555261414,6.79,12,2001,,0.5616605616605597,,11.992063492063492,15.11
2002-03-31,65.05,13.59,1.13,0.0,,18.46,20.96,6.2,0.0,46.59,469.63,26.64,1401.63,49.92,120.0,1351.69,-36.36,39.76,0.0,2.5,1.3725,0.55,0.04,1.13,0.0,0.0,3.88,4.92,4.04,3.7600000000000002,20.89,3,2002,,0.0,,12.026548672566372,13.59
2002-06-30,77.01,19.330000000000002,1.6088760631834753,7.0,,26.060000000000002,27.979999999999997,6.5,0.0,50.95,560.47,24.29,1341.74,52.04,120.0,1289.68,73.7,101.60000000000002,-84.0,1.92,1.0090584583548887,0.6,0.04,2.74,7.0,2.55,5.754374240583233,7.4924301336573516,5.989246658566222,5.730886998784933,23.17,6,2002,,84.10218978102189,,12.014598540145984,32.92
2002-09-30,65.46000000000001,14.670000000000002,1.2237844084891785,-0.01587924838530973,,19.82999999999999,23.070000000000007,6.2,0.0,45.62999999999998,450.24,25.22,1352.31,49.76,120.0,1302.54,-106.52000000000001,-3.710000000000008,0.0,3.24,1.2651738241308794,0.57,0.04,3.97,7.0,1.76,4.340273166631646,5.647287245219584,4.500567346081109,4.327942845135532,22.93,9,2002,,-0.19035099008989675,,11.987405541561714,47.59
2002-12-31,68.92999999999998,2.779999999999994,0.2318046456223938,0.003181994800190064,,5.450000000000003,7.219999999999999,8.1,0.0,63.48000000000002,279.15,26.59,1368.9,60.69,120.0,1308.19,5.3500000000000085,-2.75,0.0,1.7699999999999996,8.742275179856133,0.74,0.05,4.2,7.0,1.67,0.8124200913241992,1.0817550129045044,0.8499503672821106,0.814627754615841,18.22,12,2002,,0.038161209067993695,,11.992857142857142,50.37
2003-03-31,73.81,21.33,1.78,0.0,,28.39,30.57,8.15,0.0,45.42,596.7,12.1,1390.87,59.84,120.0,1331.01,148.02,-0.23,0.0,2.18,1.145,0.73,0.04,1.78,0.0,0.0,6.12,8.12,6.4,6.36,28.9,3,2003,,0.0,,11.98314606741573,21.33
2003-06-30,73.85,14.230000000000004,1.184499437570304,7.0,,18.03,21.089999999999996,9.3,0.0,55.81,315.45,11.86,1317.37,52.91,120.0,1264.44,230.79999999999998,-1.15,-83.92,3.06,1.9616725228390721,0.88,0.04,2.96,7.0,2.36,4.321822272215974,5.5863554555680555,4.497896512935884,4.449876265466817,24.08,6,2003,,84.0945945945946,,12.013513513513514,35.56
2003-09-30,129.16,65.44,5.455493069306931,-0.010658282044421236,,77.33,80.09,12.5,0.0,51.83999999999999,58.76,13.15,1383.86,57.01,120.0,1326.83,-254.05,-2.6500000000000004,0.0,2.76,0.571057457212714,1.13,0.04,8.42,7.0,0.83,18.91928712871287,23.45473267326733,19.722708910891086,19.904126732673266,36.49,9,2003,,-0.1278487513641977,,11.995249406175772,101.0
2003-12-31,136.60000000000002,46.620000000000005,3.8844736485571065,0.0037191852612528256,,55.94,17.27000000000001,14.5,0.0,80.65,80.84,13.32,1455.13,85.82,120.0,1369.3,23.61,-1.5199999999999996,0.0,-38.67,0.934103389103389,1.27,0.06,12.3,7.0,0.57,12.80928871426636,16.081089283294947,13.617764530551417,13.933575396287766,35.71,12,2003,,0.044636270590743266,,12.001626016260163,147.62
2004-03-31,165.07,70.42,5.87,10.0,,94.14,96.81,16.4,0.0,70.93,243.8,12.7,1541.22,99.49,120.0,1441.71,163.61,-0.64,0.0,2.67,0.6975,1.37,0.07,5.87,10.0,1.7,18.279999999999998,25.68,19.52,20.32,42.66,3,2004,,119.96592844974445,,11.996592844974446,70.42
