,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2005-03-31,24.81,,,,,,,,0.0,11.07,-1.17,42.92,1942.18,28.45,-1857.08,1900.0,0.0,3,2005,,,,,,,,,,,,
2005-06-30,60.269999999999996,,,,,,,,0.0,17.11,-1.6400000000000001,63.14,1987.52,30.62,17.339999999999918,0.0,0.0,6,2005,,,,,,,,,,,,
2005-09-30,62.92,,,,,,,,0.0,22.82,-1.7600000000000002,93.61,2036.36,39.35,30.470000000000027,0.0,0.0,9,2005,,,,,,,,,,,,
2005-12-31,60.629999999999995,,,,,,,,0.0,29.299999999999997,-1.6399999999999997,133.56,2161.64,68.55,104.53999999999996,-64.59999999999991,0.0,12,2005,,,,,,,,,,,,
2006-03-31,74.57,,,,,,,10.3,0.0,31.62,-1.76,36.96,2144.16,59.42,-45.3,-51.3,0.61,3,2006,,,,,,,,,,,,
2006-06-30,66.41,,,,,,,10.4,0.0,27.94,-1.7499999999999998,80.18,2181.38,58.18,43.19,0.0,0.61,6,2006,,,,,,,,,,,,
2006-09-30,71.03,,,,,,,10.2,0.0,25.480000000000004,-1.6500000000000004,53.45,2173.5,61.74,30.25,-57.0,0.91,9,2006,,,,,,,,,,,,
2006-12-31,65.16000000000003,,,,,,,10.2,0.0,22.97999999999999,-2.5999999999999996,89.65,2427.7,96.65,36.16,0.0,0.91,12,2006,,,,,,,,,,,,
2007-03-31,81.98,,,,,,,10.2,0.0,38.49,-1.64,28.74,2341.68,63.99,35.97,-96.9,0.51,3,2007,,,,,,,,,,,,
2007-06-30,66.68999999999998,,,,,,,11.0,0.0,20.6,-1.7100000000000002,36.67,2378.77,54.93,7.899999999999999,0.0,0.51,6,2007,,,,,,,,,,,,
2007-09-30,70.67000000000002,,,,,,,11.9,0.0,20.11,-2.1699999999999995,40.7,2346.76,59.92,80.00999999999999,-76.0,0.91,9,2007,,,,,,,,,,,,
2007-12-31,66.47999999999999,,,,,,,10.2,0.0,20.679999999999993,-2.1100000000000003,9.7,2392.22,59.57,-31.019999999999996,0.0,0.91,12,2007,,,,,,,,,,,,
2008-12-31,13.810000000000002,,,,,,,11.7,0.0,2.3800000000000097,-78.48,49.53,2397.91,65.13,128.60000000000002,-11.400000000000006,0.5,12,2008,,,,,,,,,,,,
2009-12-31,2.069999999999993,,,,,,,11.2,0.0,11.259999999999991,85.92,107.97,2395.49,64.93,21.319999999999993,5.700000000000017,0.97,12,2009,,,,,,,,,,,,
2010-12-31,6.689999999999998,,,,,,,11.2,0.0,-1.1400000000000006,-0.14,70.72,2426.02,63.16,-114.72999999999999,13.299999999999983,0.0,12,2010,,,,,,,,,,,,
2011-12-31,-9.300000000000011,,,,,,,12.0,0.21,-1.6899999999999977,0.21000000000000002,67.02,2450.41,62.41,41.14999999999998,-7.599999999999994,1.38,12,2011,,,,,,,,,,,,
2012-12-31,2.930000000000007,,,,,,,18.0,0.0,5.810000000000002,-0.06,96.7,2505.94,65.37,33.380000000000024,0.0,0.91,12,2012,,,,,,,,,,,,
2013-12-31,6.3799999999999955,,,,,,,18.7,0.0,4.430000000000007,0.0,58.93,2518.61,66.54,-59.85000000000002,-7.599999999999994,0.95,12,2013,,,,,,,,,,,,
2014-12-31,24.560000000000002,,,,,,,18.5,0.0,4.22999999999999,0.18,42.35,2554.16,71.8,23.100000000000023,-1.9000000000000057,0.96,12,2014,,,,,,,,,,,,
2015-12-31,24.220000000000027,,,,,,,20.0,0.14,4.1200000000000045,0.0,39.01,2592.99,73.43,45.53,-32.29999999999998,1.13,12,2015,,,,,,,,,,,,
2016-12-31,-6.189999999999998,,,,,,,20.8,0.0,-0.4000000000000057,-0.21,35.4,2599.84,72.67,3.5299999999999727,-3.8000000000000114,0.58,12,2016,,,,,,,,,,,,
