,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-03-31,87.49,16.11,0.27,0.0,40.7,23.71,24.3,,0.0,63.78,20.65,63.99,72.61,0.32,151.11,18.76,170.74,0.0,26.37,0.69,50.51,0.0,50.51,70.0,119.27,-8.44,-5.43,54.54,0.59,0.0,0.0,0.42,0.27,0.0,0.0,37.76,0.0,54.04,0.0,78.88,19.08,18.41,2.99,2.99,3,2002,0.0,59.66666666666666,16.11
2002-06-30,121.83,16.47,0.21232044198895025,0.0,41.89999999999999,19.479999999999997,17.26,1.17,0.0,102.35,18.5,150.36,110.18,0.0,274.8,46.15,321.64,0.0,34.57,1.28,53.3,0.78,54.08,100.0,266.69,-16.32,-27.049999999999997,129.73000000000002,-2.2199999999999998,1.3748087431693987,0.44,0.2,0.42,0.0,0.0,20.483867403314918,0.0,24.710055248618787,0.0,32.555801104972375,15.87,15.56,5.16,5.16,6,2002,0.0,77.57142857142857,32.58
2002-09-30,136.51,20.54,0.26293674698795183,0.0,66.32,32.74000000000001,39.14999999999999,1.17,0.0,103.76999999999998,32.169999999999995,160.28,167.38,0.0,361.87,49.98,462.2,0.0,47.48,2.22,74.04,0.53,74.56,200.0,387.23,-33.83,-56.57,100.33000000000001,6.41,1.1120545277507303,0.6,0.19,0.68,0.0,0.0,17.77143072289157,0.0,21.2205421686747,0.0,30.253192771084333,15.57,15.36,4.89,4.89,9,2002,0.0,78.11764705882352,53.12
2002-12-31,134.44,-22.929999999999996,-0.21266644584299435,0.0,19.980000000000018,-27.56000000000001,-24.359999999999992,2.44,0.0,162.0,-31.18999999999999,100.76,122.66,0.0,343.27,53.55,436.46,0.0,42.07,5.76,70.04,0.37,70.41,200.0,364.29,-32.129999999999995,-21.299999999999997,-6.100000000000023,3.2,-2.873513955516791,1.34,0.19,0.28,0.0,0.0,-21.023597217621724,-0.0,-25.185783371977468,-0.0,-40.10281550182179,6.4,6.29,4.9,4.9,12,2002,0.0,107.82142857142857,30.19
2003-03-31,131.92,-40.78,-0.2,0.0,11.03,-40.81,-21.93,1.29,0.0,172.73,-44.91,51.2,121.8,6.56,265.64,151.31,496.5,13.9,58.02,3.69,135.92,1.09,137.01,200.0,323.51,3.61,-137.31,84.14,18.88,-1.6125,0.8,0.42,-0.2,0.0,0.0,-32.84,-48.92,-50.43999999999999,-73.68,-45.28000000000001,-31.92,-30.91,1.95,1.91,3,2003,0.0,203.9,-40.78
2003-06-30,128.73,-31.409999999999997,-0.156636653276077,0.14,37.69,-35.95,-33.49,1.34,0.0,164.68000000000004,-34.88000000000001,46.61,140.09,3.52,272.58,144.33,493.59,34.49,73.39,4.12,186.6,1.44,188.04,200.0,272.83,-34.39,21.58,8.230000000000004,2.460000000000001,-2.137430754536772,0.98,0.69,-0.36,0.14,-0.39,-25.46215819365563,-32.771868679872554,-46.05117606316664,-46.573298240753566,-43.51018146557695,-28.09,-27.7,1.46,1.44,6,2003,28.07388888888889,200.52777777777777,-72.19
2003-09-30,147.65000000000003,-23.61,-0.11583194154488517,0.002267977267455345,22.689999999999998,-31.629999999999995,-36.980000000000004,1.68,0.0,179.28000000000003,-44.11999999999999,26.99,149.55,4.48,308.33,109.14,477.94,33.91,57.56,6.46,157.32,7.29,164.61,208.73,249.22,-82.32,51.260000000000005,11.429999999999993,-5.35,-3.6315544260906396,1.41,0.66,-0.47,0.14,-0.3,-19.755507306889353,-22.732634655532358,-37.89429645093946,-29.672693110647185,-33.33002505219207,-24.46,-23.46,1.96,1.93,9,2003,0.4622813238770682,203.82978723404256,-95.8
2003-12-31,197.95999999999998,-12.519999999999996,-0.06125923190546527,0.00037509035481944505,71.6,-2.5,5.670000000000002,1.59,0.0,200.44999999999993,-4.040000000000006,31.83,179.52,19.43,358.04,67.42,528.89,26.97,75.45,6.67,191.14,5.85,197.0,208.73,245.04,-17.319999999999993,0.7999999999999972,21.36,8.17,-6.510447284345049,1.36,0.8,-0.53,0.14,-0.26,-9.468596750369274,-10.61980797636632,-20.439778434268828,-16.43596750369276,-15.178419497784336,-18.45,-17.87,1.87,1.77,12,2003,0.07665997591328733,204.37735849056602,-108.32
2004-03-31,169.04,-4.05,-0.02,0.0,35.87,-0.8,4.7,1.53,0.0,169.83,-9.85,13.24,202.85,1.76,359.35,68.35,544.97,33.28,85.91,6.41,227.66,6.46,234.12,217.06,240.99,2.2,-11.46,-9.34,5.5,-19.135,1.38,0.97,-0.02,0.0,0.0,-2.96,-0.6,-6.72,-5.72,-1.0,-2.62,-2.4,1.58,1.57,3,2004,0.0,202.5,-4.05
2004-06-30,168.89000000000001,-28.48,-0.13132493083307717,0.0,46.98,-31.009999999999998,-25.63,1.17,0.0,199.91,-31.990000000000002,16.62,179.38,0.15,325.52,68.48,552.57,78.41,81.05,5.72,264.46,5.39,269.84,217.06,216.83,-8.16,-28.0,39.54,5.380000000000001,-2.2272998595505618,1.17,1.24,-0.15,0.0,0.0,-20.626769136181984,-21.292148785736245,-52.52997233323086,-46.54155548724254,-38.66205963725791,-10.32,-9.63,1.23,1.23,6,2004,0.0,216.86666666666667,-32.53
2004-09-30,163.26999999999998,-98.32,-0.45083683607183794,0.0,23.88000000000001,-107.53,-99.86000000000001,1.23,68.96,270.79999999999995,-30.310000000000002,17.81,179.0,2.85,325.9,65.81,553.38,93.49,120.2,5.54,306.63,13.46,320.09,241.38,178.52,-40.63,-54.85999999999999,96.67999999999999,7.67,-0.6787377949552481,1.66,1.79,-0.6,0.0,0.0,-71.08194115399311,-81.21074207107374,-220.3089338937715,-183.88131753916696,-169.72504088651127,-27.61,-26.11,1.06,1.05,9,2004,0.0,218.08333333333334,-130.85
