,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,220.05,36.76,3.01,0.0,26.63,42.69,51.43,7.9,0.0,177.36,-64.2,6.2,176.29,28.95,216.94,253.14,471.04,50.96,53.14,12.0,149.96,10.06,160.02,122.0,311.02,26.91,-16.57,-9.92,8.74,0.655,0.31,0.51,3.01,0.0,0.0,31.2,0.0,47.28,0.0,53.2,32.5,16.71,0.0,1.45,1.25,3,2000,0.0,12.212624584717608,36.76
2000-06-30,105.12,8.410000000000004,0.6888864290458272,0.0,24.290000000000003,13.11,21.669999999999995,10.0,0.0,92.00999999999999,13.090000000000003,4.2,58.76,26.55,201.0,246.39,448.34,36.81,43.92,12.0,121.86,7.06,128.92,122.0,319.43,15.309999999999999,-0.14999999999999858,-17.159999999999997,8.56,3.6254161712247313,0.38,0.4,3.7,0.0,0.0,7.49955280053133,0.0,10.530653088332969,0.0,12.727642240425066,20.7,13.89,0.0,1.65,1.43,6,2000,0.0,12.208108108108108,45.17
2000-09-30,99.14999999999998,12.780000000000001,1.0475409836065575,0.0,17.539999999999992,9.88000000000001,18.460000000000008,9.9,0.0,89.26999999999998,10.25,20.8,64.52,29.55,220.94,238.25,460.15,35.17,66.49,15.0,123.88,4.06,127.94,122.0,332.22,17.14,-6.790000000000003,-1.75,8.579999999999998,2.357902973395931,0.36,0.39,4.75,0.0,0.0,11.10613977566868,0.0,15.384517687661777,0.0,17.22818981880932,18.24,13.66,0.0,1.78,1.54,9,2000,0.0,12.200000000000001,57.95
2000-12-31,118.84999999999997,11.030000000000001,0.9034430269643376,0.0,24.400000000000006,15.559999999999988,23.83,10.0,0.0,103.28000000000003,17.23,18.27,72.04,31.65,232.56,227.02,460.51,12.38,53.53,19.0,117.07,0.2,117.26,122.0,343.24,18.209999999999994,3.9300000000000033,-22.67,8.27,2.767330009066183,0.36,0.34,5.65,0.0,0.0,9.581293128443027,0.0,12.856074224412874,0.0,15.126674398376341,15.82,12.7,0.0,1.99,1.72,12,2000,0.0,12.208849557522123,68.98
2001-03-31,119.52,15.47,1.27,0.0,25.99,20.21,28.31,9.5,0.0,99.31,18.44,32.49,74.78,33.78,257.7,219.12,477.69,4.19,56.08,3.0,92.46,26.51,118.97,122.0,358.71,12.29,-0.19,2.12,8.1,1.87,0.32,0.33,1.27,0.0,0.0,12.96,17.04,17.24,18.48,21.0,13.14,12.94,0.0,2.79,2.42,3,2001,0.0,12.181102362204724,15.47
2001-06-30,112.48,12.519999999999998,1.024322972490175,0.0,23.070000000000004,16.33,24.430000000000003,15.75,0.0,96.15,16.139999999999997,47.08,72.31,34.16,276.25,211.34,488.46,3.68,54.7,3.5,91.47,25.76,117.23,122.0,371.23,17.67,7.670000000000001,-0.75,8.1,3.845271565495208,0.52,0.32,2.29,0.0,0.0,10.252175777063236,13.955841371918542,13.490646659521255,14.510496605930687,16.460735977134686,12.17,12.06,0.0,3.02,2.65,6,2001,0.0,12.222707423580784,27.99
2001-09-30,107.69,10.95,0.8970338983050847,0.0,22.679999999999993,14.82,22.770000000000003,13.75,0.0,92.86999999999998,14.440000000000005,52.75,62.74,37.35,278.42,205.96,491.66,2.63,53.71,4.25,84.46,25.01,109.47,122.0,382.19,13.96,-7.24,-1.06,7.949999999999999,3.831767123287671,0.44,0.29,3.19,0.0,0.0,8.908474576271187,12.136671802773497,11.461787365177196,12.26040061633282,14.18382126348228,11.54,11.46,0.0,3.3,2.85,9,2001,0.0,12.206896551724137,38.94
2001-12-31,111.38999999999999,8.560000000000002,0.7010189473684213,0.0,20.060000000000002,12.43,20.36999999999999,13.9,0.0,98.96000000000004,11.449999999999996,39.46,88.67,32.73,291.77,202.16,502.7,0.0,57.81,5.0,87.73,24.23,111.96,122.0,390.74,-8.68,-1.98,-2.63,7.940000000000005,4.952540887850466,0.43,0.29,3.89,0.0,0.0,6.811957894736843,9.551157894736845,8.765440000000002,9.327696842105265,11.079343157894739,10.61,10.53,0.0,3.33,2.95,12,2001,0.0,12.210796915167094,47.5
2002-03-31,102.59,12.34,1.01,0.0,22.83,17.27,24.71,22.0,0.0,85.32,16.64,30.7,84.41,32.29,291.99,208.3,506.48,0.0,47.52,5.75,79.92,23.48,103.4,122.0,403.08,23.87,-28.3,0.0,7.44,5.445,0.67,0.26,1.01,0.0,0.0,9.76,14.04,12.24,12.96,16.2,12.11,12.03,0.0,3.65,3.25,3,2002,0.0,12.217821782178218,12.34
2002-06-30,106.82,19.64,1.6090306441525954,1.0,25.010000000000005,21.34,28.43,19.8,0.0,85.48000000000002,20.740000000000002,27.03,88.44,35.81,259.96,212.97,479.63,0.0,50.27,0.0,68.96,0.15,69.11,122.0,410.52,10.489999999999998,-0.05000000000000071,-12.2,7.089999999999999,3.0775050916496944,0.59,0.17,2.62,1.0,0.38,16.385090681676047,19.60315196998124,19.136410256410258,20.09445903689806,23.091432145090682,15.37,15.27,0.0,3.77,3.25,6,2002,12.206106870229007,12.206106870229007,31.98
