,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-09-30,,,,,,,,,,,0.25,70.79,119.74,191.82,46.9,242.85,55.93,52.52,6.93,130.3,11.49,141.79,85.0,101.06,,,,,,0.0,1.4,0.07,0.0,0.0,,,,,,5.89,5.86,7.24,1.47,0.55,9,2013,,181.7142857142857,12.72
2013-12-31,66.71000000000001,3.4999999999999982,0.015104808877928479,0.0,23.72,3.6799999999999997,5.259999999999998,1.08,63.05000000000001,6.59,62.12,72.66,117.76,253.64,46.98,304.5,39.45,45.91,5.98,106.7,10.5,117.2,110.0,187.3,0.39000000000000057,-1.0999999999999996,62.53,1.5799999999999992,17.876757142857148,0.63,0.63,0.07,0.0,0.0,4.600493218249073,0.0,7.4747225647348925,0.0,9.658446362515408,5.75,5.72,6.06,2.38,1.27,12,2013,0.0,231.71428571428567,16.22
2014-03-31,77.96,4.11,0.01,0.02,24.12,5.86,7.43,0.88,72.1,5.03,24.2,68.78,104.79,229.42,48.21,281.34,25.17,37.41,5.36,80.64,9.3,89.94,110.0,191.41,12.64,-32.58,-17.98,1.57,22.0,0.51,0.47,0.01,0.02,1.5,5.84,0.0,8.6,0.0,11.68,5.33,5.27,7.61,2.84,1.55,3,2014,8.22,411.0,4.11
2014-06-30,78.17999999999999,5.31,0.011273885350318471,0.0025477707006369412,-129.1,7.179999999999999,8.719999999999999,1.64,71.01000000000002,-148.13,11.7,83.24,115.45,232.68,50.74,286.93,14.95,58.82,3.8,90.66,6.15,96.81,110.0,190.12,2.3099999999999987,6.52,-21.330000000000002,1.5399999999999998,36.367231638418076,0.95,0.51,0.02,0.02,0.75,7.395668789808917,0.0,11.161146496815286,0.0,14.971719745222927,0.0,6.03,10.11,2.57,1.29,6,2014,1.1999999999999993,471.0,9.42
2014-09-30,83.68,7.729999999999999,0.018029154518950437,-0.0019708454810495645,186.34,10.330000000000002,11.91,1.55,73.33999999999997,163.79999999999998,10.6,91.45,133.23,239.6,75.16,318.09,23.93,72.29,0.34,117.39,2.85,120.24,110.0,197.86,-0.10999999999999943,-2.400000000000002,1.4100000000000037,1.5800000000000005,21.492965717981892,0.86,0.61,0.04,0.02,0.38,9.717714285714283,15.018285714285714,15.631276967930026,20.67944023323615,20.98593586005831,7.23,7.15,12.05,2.04,0.91,9,2014,-0.8450000000000006,428.74999999999994,17.15
2014-12-31,82.05000000000001,4.850000000000001,0.011022727272727276,0.0005113636363636395,30.33,7.009999999999998,8.599999999999998,1.51,75.05000000000001,7.330000000000002,31.87,80.81,172.21,300.39,89.3,397.72,56.37,74.7,0.27,150.34,3.01,153.36,140.38,244.37,-22.439999999999998,-28.619999999999997,72.33,1.5899999999999999,34.24742268041236,0.87,0.63,0.05,0.02,0.3,4.876454545454547,7.627727272727275,7.936363636363639,8.985727272727274,10.828727272727274,6.9,6.84,12.35,2.0,0.85,12,2014,0.22500000000000142,440.0,22.0
2015-03-31,72.67,3.55,0.01,0.0,27.7,5.22,6.74,1.57,67.45,2.3,5.23,59.02,175.04,267.09,98.63,373.83,69.4,36.89,0.18,122.7,3.21,125.91,140.38,247.91,-33.31,-5.5,12.17,1.52,39.25000000000001,0.89,0.51,0.01,0.0,0.0,3.7999999999999994,6.36,5.72,6.48,8.32,5.09,4.89,6.87,2.18,0.75,3,2015,0.0,355.0,3.55
2015-06-30,79.21,-2.9899999999999998,-0.0,,20.099999999999998,-2.5599999999999996,-0.7300000000000004,1.26,81.77,-2.96,1.53,74.75,172.52,263.21,104.6,370.78,61.42,40.91,0.08,115.11,3.42,118.52,161.53,252.26,0.5900000000000034,-2.51,-1.7799999999999994,1.83,-0.0,0.81,0.47,0.0,0.0,0.0,-3.2035714285714283,-17.299285714285713,-4.698571428571428,-5.3392857142857135,-22.211428571428566,0.38,0.37,1.36,2.29,0.79,6,2015,,inf,0.56
2015-09-30,70.91,3.8400000000000003,0.008727272727272728,,29.570000000000007,6.3100000000000005,8.42,0.99,64.6,8.39,3.89,67.32,194.8,272.28,106.78,383.51,71.97,38.72,0.02,123.92,3.49,127.42,161.53,256.09,1.1099999999999994,-5.370000000000001,6.449999999999999,2.11,28.359375,0.62,0.5,0.01,0.0,0.28,4.014545454545454,8.936727272727273,6.004363636363636,6.772363636363636,12.078545454545454,2.0,1.97,3.05,2.2,0.63,9,2015,,440.0,4.4
2015-12-31,73.91999999999999,-8.13,-0.02179624664879357,0.0,8.569999999999993,-9.58,-7.38,0.59,83.5,-11.34,15.72,71.83,176.62,269.23,106.83,380.94,67.28,26.84,0.0,105.17,3.4,108.57,180.96,272.38,-5.299999999999997,-2.3499999999999996,19.650000000000002,2.2,-6.767220172201721,0.39,0.4,-0.01,0.0,-0.28,-8.54412868632708,-1.3949597855227884,-11.944343163538877,-12.554638069705094,-1.9180697050938338,-1.27,-1.26,-0.17,2.56,0.88,12,2015,0.0,373.0,-3.73
