,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-01-31,,,,,,,,,0.0,,,60.1,67.28,0.56,187.14,64.7,262.22,7.0,58.14,5.97,122.53,8.24,130.77,15.0,124.66,,,,,,0.0,1.05,0.57,0.0,0.0,,,,,,6.69,6.68,0.0,1.53,1.52,1,2004,,14.666666666666666,8.36
2004-04-30,194.94,12.73,0.25351351351351353,0.0,46.63999999999999,18.130000000000003,20.94,,0.0,176.81,17.04,116.72,128.9,0.57,323.3,63.9,396.31,0.06,89.42,6.87,161.6,11.04,172.64,65.0,216.58,-29.24,-1.1799999999999997,87.03999999999999,2.81,0.0,0.0,0.8,0.42,0.0,0.0,12.844684684684687,0.0,23.5163963963964,0.0,32.9809009009009,6.61,6.59,0.0,2.0,2.0,4,2004,0.0,50.214285714285715,21.09
2004-07-31,134.07,4.859999999999999,0.11986127167630056,0.0,34.480000000000004,7.960000000000001,11.059999999999995,,0.0,126.10999999999996,7.25,56.69,118.92,0.65,268.57,62.82,340.75,0.12,59.7,1.66,108.97,2.69,111.67,65.0,221.44,-32.96,-1.4800000000000004,-25.28,3.0999999999999996,0.0,0.0,0.5,0.64,0.0,0.0,5.708393063583815,0.0,8.779838150289017,0.0,12.937526011560692,5.73,5.71,0.0,2.46,2.46,7,2004,0.0,40.546875,25.95
2004-10-31,187.82,15.220000000000002,0.32532426524168084,0.0,55.739999999999995,23.96,26.869999999999997,,0.0,163.87,22.46,73.68,99.38,0.56,296.54,61.43,369.98,0.0,69.44,1.73,124.0,2.0,126.0,65.0,236.66,40.05,-2.589999999999999,-0.75,2.91,0.0,0.0,0.53,0.88,0.0,0.0,16.458450327908675,0.0,25.730191887296577,0.0,38.46220063152782,6.44,6.41,0.0,2.39,2.39,10,2004,0.0,46.784090909090914,41.17
2005-01-31,-460.48,-27.67,-0.4304222222222222,0.0,-121.25999999999999,-45.870000000000005,-54.38999999999999,,0.0,-414.62,-43.21,47.97,147.59,0.58,317.91,58.82,389.28,0.0,65.17,1.49,129.47,1.73,131.2,65.0,250.16,-26.79,8.049999999999999,-65.95,-8.52,-0.0,0.0,0.52,0.21,0.0,0.0,-28.448859259259265,-45.58376296296296,-44.272000000000006,-59.029333333333334,-57.14367407407407,7.45,7.44,0.0,2.46,2.45,1,2005,0.0,64.28571428571429,13.5
2005-04-30,224.85999999999999,14.98,0.13149578651685392,0.0,50.160000000000004,20.2,23.03,,0.0,204.65,19.740000000000002,101.03,164.85,0.59,356.77,57.31,426.6,0.0,107.94,1.27,156.7,1.48,158.18,115.0,259.58,41.04,-0.64,-7.33,2.8299999999999996,0.0,0.0,0.61,0.25,0.0,0.0,14.054269662921348,19.587612359550562,23.080140449438204,25.163033707865168,29.875842696629213,7.02,7.01,0.0,2.28,2.27,4,2005,0.0,113.92,28.48
2005-07-31,96.16000000000003,-4.949999999999999,-0.04417764555886102,0.0,18.92,-5.890000000000001,-2.8800000000000026,,0.0,102.06,-6.960000000000001,92.74,79.61,0.52,256.55,77.1,346.77,0.0,48.82,1.15,80.34,1.22,81.57,115.0,257.23,13.989999999999998,-5.26,-17.01,3.0100000000000007,-0.0,0.0,0.32,0.21,0.0,0.0,-5.713642158946025,-7.935146621334464,-7.699532511687207,-8.271738206544835,-10.240798980025497,4.7,4.68,0.0,3.19,3.19,7,2005,0.0,112.04761904761905,23.53
2005-10-31,217.68,18.17,0.156863309352518,0.0,62.55,25.130000000000003,28.090000000000003,,0.0,192.54999999999995,23.22,55.67,110.5,0.27,336.49,82.51,429.24,0.0,66.76,1.83,140.71,4.16,144.87,115.0,275.4,39.43,-0.71,-0.9100000000000001,2.959999999999999,0.0,0.0,0.53,0.36,0.0,0.0,16.92380815347722,25.098129496402876,26.387894484412474,28.392258992805754,34.771366906474825,5.82,5.79,0.0,2.39,2.39,10,2005,0.0,115.83333333333334,41.7
2006-01-31,-500.15000000000003,-26.680000000000003,-0.2309187749667111,0.31,-128.28,-37.3,-46.09,2.3,0.43,-462.84999999999997,-33.06999999999999,86.68,107.48,0.25,357.64,81.8,451.38,4.77,79.5,1.91,147.36,3.67,151.03,115.0,290.42,-93.81,2.96,30.05,-8.79,-2.489728260869565,0.91,0.52,0.13,0.31,2.38,-23.660292942743013,-34.24703062583223,-36.733848202396814,-39.504873501997345,-47.320585885486025,6.86,6.83,0.0,2.43,2.43,1,2006,35.816923076923075,115.53846153846153,15.02
2006-04-30,318.42,23.900000000000002,0.2087872559095581,-0.002891928215669219,76.03999999999999,31.429999999999996,34.64,2.64,1.25,287.0,32.89,31.18,201.96,0.38,395.36,101.65,520.82,0.0,99.49,2.35,209.64,6.32,215.96,115.0,294.77,-22.099999999999998,-30.120000000000005,-24.24,3.21,3.159196652719665,1.03,0.73,0.34,0.31,0.91,18.348715313463515,26.798458376156223,32.423432682425485,34.486742034943475,40.79948612538541,7.25,7.23,0.0,1.89,1.88,4,2006,-0.3310407239819,114.47058823529412,38.92
