,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-09-30,,,,,,,,,,,65.37,393.13,546.26,1141.02,2343.11,226.0,377.49,283.6,931.08,647.1,1578.18,259.74,764.92,,,,,,0.0,2.06,0.48,0.0,0.0,,,,,,12.54,12.5,0.59,0.59,9,2014,,260.95833333333337,125.26
2014-12-31,467.0300000000001,81.32000000000001,0.03149191596475942,0.0,194.43000000000006,122.30999999999997,206.94000000000005,,344.72000000000014,121.20999999999998,60.63,473.71,604.64,1162.58,2365.4,220.0,275.2,314.13,875.05,734.11,1609.16,259.74,756.25,145.60999999999999,-45.85000000000002,-104.5,84.63000000000002,0.0,0.0,2.13,0.08,0.0,0.0,13.746221318617486,0.0,43.017957207861365,0.0,34.389172233517286,14.1,14.06,0.69,0.69,12,2014,0.0,2582.25,206.58
2015-03-31,415.86,54.32,0.02,0.0,134.03,75.0,160.5,4.46,340.86,72.95,719.63,455.86,1251.77,1122.28,2834.61,0.0,238.55,3.31,302.87,5.32,308.19,349.5,2526.42,152.18,81.32,425.51,85.5,55.75,0.62,0.12,0.02,0.0,0.0,7.68,0.0,8.6,0.0,11.84,13.13,13.06,4.13,4.13,3,2015,0.0,2716.0,54.32
2015-06-30,565.9399999999999,131.08,0.042420711974110036,0.0,242.98999999999998,166.4,259.21,5.6,399.53999999999996,160.86,747.07,646.12,1510.16,1066.87,3051.98,0.0,291.47,3.01,389.44,5.03,394.47,349.5,2657.5,79.32999999999998,-51.08,-0.8100000000000023,92.81,33.00156774488862,0.74,0.15,0.06,0.0,0.0,17.16624811218986,0.0,19.73977130528587,0.0,25.650390507011867,19.03,18.88,3.88,3.88,6,2015,0.0,3090.0,185.4
2015-09-30,575.0,110.34,0.033578819233110166,0.0,206.14999999999998,138.92999999999998,233.02000000000004,5.75,436.07000000000005,135.38,823.78,633.8,1618.25,1025.88,3132.46,0.0,267.69,2.6,359.93,4.84,364.77,349.5,2767.69,160.69,-83.0,-0.9900000000000091,94.08999999999997,42.81046900489397,0.73,0.13,0.09,0.0,0.0,14.088180158247107,20.729324406573344,15.953670115642117,24.98264150943396,20.47561777236762,19.13,19.0,4.5,4.5,9,2015,0.0,3286.0,295.74
2015-12-31,613.28,104.46999999999997,0.03132455460883035,0.0,222.33000000000004,138.92000000000002,240.91999999999996,7.1,474.3599999999999,134.12,428.59,670.1,1667.06,1242.19,3392.61,0.0,290.66,2.13,408.0,4.66,412.66,350.74,2957.96,351.49000000000007,-712.49,-34.19,102.0,56.66800445103859,0.84,0.14,0.12,0.0,0.0,12.320991479473275,18.83649883810999,14.12737412858249,22.50147172734314,18.168241673121603,18.58,18.44,4.09,4.09,12,2015,0.0,3335.0833333333335,400.21
2016-03-31,557.15,60.44,0.02,0.07,152.76,79.67,188.84,6.6,477.47,76.68,809.76,614.43,1718.98,1285.8,3529.32,0.0,364.71,1.88,479.58,4.33,483.9,350.74,3022.28,170.96,211.02,-0.8,109.17,82.5,0.77,0.16,0.02,0.07,3.5,6.84,10.0,8.0,8.72,10.44,10.92,10.85,3.58,3.58,3,2016,211.54000000000002,3022.0,60.44
2016-06-30,613.12,110.62,0.0323336840874547,0.008167894306091427,206.07,127.02,235.42999999999998,5.3,486.11,120.12,381.89,753.9,1633.33,1271.4,3439.6,0.0,430.09,1.66,516.64,4.8,521.44,350.74,2894.09,-13.730000000000018,-163.06,-251.07999999999998,108.41000000000001,40.97893690110288,0.64,0.18,0.05,0.07,1.4,12.855872793171987,16.477245410966916,15.28736583654858,15.934039518297675,18.28793171986438,14.74,14.62,3.16,3.16,6,2016,27.94399999999999,3421.2,171.06
2016-09-30,658.06,122.29000000000002,0.03334992329981252,0.004689892619737522,242.04000000000002,151.18,270.40999999999997,5.2,506.88,143.7,431.85,802.39,1880.29,1265.14,3690.46,0.0,458.1,9.1,601.95,23.85,625.8,350.74,3028.0,159.6,-119.15,9.509999999999991,119.22999999999999,38.98059939488101,0.6,0.21,0.08,0.07,0.88,13.256594511675475,17.492034770751665,16.15803783875916,16.875061189705132,19.32628055224135,16.2,16.04,3.12,3.12,9,2016,17.197250000000025,3666.875,293.35
2016-12-31,619.7400000000002,58.25,0.01656712172923777,-0.0030037684869169516,182.03999999999996,67.44999999999999,175.18000000000006,5.8,552.29,58.72000000000003,343.68,760.98,1583.45,1505.9,3672.51,0.0,335.07,10.2,464.96,31.44,496.4,351.61,3135.04,40.98000000000002,-175.29,46.129999999999995,107.73000000000002,87.5227467811159,0.65,0.16,0.1,0.07,0.7,6.341894197952218,7.978725824800909,7.4353242320819115,7.647383390216154,8.787201365187713,14.52,14.36,3.41,3.41,12,2016,-10.561250000000001,3516.0,351.6
