,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1997-06-30,,,,,,,,4.64,0.0,,,2109.93,721.61,40.9,10150.01,2984.98,14461.5,6168.69,114.27,696.53,7642.97,2964.98,10607.95,1839.96,3853.54,,,,,,2.21,2.75,0.11,,,,,,2.43,1.49,1.33,1.32,6,1997,,177.27272727272728,19.5
2000-03-31,129.37,-35.8,-0.72,0.0,-1.47,-30.27,-9.55,1.59,0.0,159.64,-16.74,6.52,163.52,186.42,378.02,438.57,837.6,177.16,30.16,60.78,305.14,120.72,425.87,500.0,411.74,-29.86,-3.84,31.67,20.72,-0.55,1.93,1.03,-0.72,-17.08,0.0,-34.76,0.0,-22.72,-27.9,-27.67,1.24,0.63,3,2000,0.0,49.72222222222222,-35.8
2000-06-30,136.64999999999998,-69.36,-1.3850893875998478,0.0,-46.71,-63.33,-43.42999999999999,2.14,0.0,199.98000000000002,-63.63000000000001,4.9,143.73,143.43,309.45,419.76,750.51,166.11,17.82,61.06,301.74,106.4,408.14,500.0,342.37,11.399999999999999,-2.1799999999999997,-10.850000000000001,19.9,-0.3866176470588235,3.12,1.19,-2.1,-36.96209965766451,0.0,-81.04751616584252,0.0,-55.03421833396729,-39.75,-39.53,1.03,0.55,6,2000,0.0,50.076190476190476,-105.16
2000-09-30,159.01,-59.21000000000001,-1.1851365821013569,0.0,-20.050000000000004,-53.390000000000015,-33.82,1.46,0.0,212.39999999999998,-43.75999999999999,8.14,126.52,123.31,274.06,401.14,699.37,178.06,27.26,61.06,324.04,92.17,416.21,500.0,283.16,8.920000000000002,-4.050000000000001,-1.629999999999999,19.57,-0.3123057760513427,2.59,1.47,-3.29,-33.86104520289591,0.0,-83.64398612885563,0.0,-56.42546936788952,-38.9,-38.67,0.85,0.47,9,2000,0.0,49.96048632218845,-164.37
2000-12-31,129.89999999999998,-60.129999999999995,-1.2026,0.0,-37.00999999999999,-54.03,-34.040000000000006,0.79,0.0,183.93000000000006,-52.150000000000006,6.5,106.92,122.01,255.74,382.05,664.25,206.86,28.49,63.34,362.84,78.37,441.21,500.0,223.04,-12.14,-3.5700000000000003,14.080000000000002,19.99000000000001,-0.1680109762181939,1.78,1.98,-4.49,-36.21191982182627,0.0,-107.83224053452116,0.0,-71.44890334075724,-40.44,-40.46,0.7,0.37,12,2000,0.0,50.0,-224.5
2001-03-31,119.59,-28.18,-0.56,0.0,-11.88,-22.22,-2.35,1.65,0.0,141.81,-22.94,6.71,98.74,93.92,217.1,362.22,605.98,208.62,0.0,93.01,349.04,62.08,411.12,500.0,194.86,22.11,-0.24,-21.66,19.87,-0.735,4.23,2.11,-0.56,-18.6,-12.32,-57.84,-37.16,-34.6,-23.72,-23.56,0.62,0.35,3,2001,0.0,50.32142857142857,-28.18
2001-06-30,96.66999999999999,-31.42,-0.6273456375838926,0.0,-10.76,-24.939999999999998,-5.33,2.14,0.0,121.61000000000001,-26.16,5.21,65.86,92.51,182.22,342.76,551.66,209.05,30.86,67.77,340.42,47.81,388.22,500.0,163.44,22.14,-0.2,-23.44,19.609999999999996,-0.848854232972629,6.53,2.38,-1.19,-22.774228187919466,-15.2671677852349,-76.90519463087249,-49.70264429530202,-47.0878255033557,-27.83,-27.56,0.54,0.26,6,2001,0.0,50.084033613445385,-59.6
2001-09-30,93.69999999999999,-30.169999999999995,-0.604945973042219,0.0,-17.68,-22.78,-5.780000000000001,3.6,0.0,116.47999999999996,-22.29,2.44,67.65,89.33,179.4,325.77,535.32,207.68,38.86,79.43,368.18,33.87,402.06,500.0,133.26,-8.810000000000002,-4.84,10.89,17.0,-1.487736161750083,13.5,3.02,-1.8,-22.54431992870669,-15.231195276818536,-90.55369054249748,-57.96726746128995,-56.25997549292636,-29.21,-28.96,0.49,0.24,9,2001,0.0,49.87222222222222,-89.77
2001-12-31,98.88,-32.03,-0.6416518883415435,0.0,8.719999999999999,-0.5100000000000051,14.340000000000002,2.56,0.0,99.39000000000004,-0.8400000000000034,3.2,69.42,107.38,193.15,310.99,509.78,186.27,37.94,82.17,378.84,29.7,408.54,500.0,101.24,-6.519999999999996,24.16,-16.89,14.850000000000001,-0.998204807992507,12.65,4.04,-2.44,-25.12961247947455,-12.622660098522168,-126.55268637110017,-79.01785221674878,-56.59159277504105,-30.02,-29.79,0.51,0.23,12,2001,0.0,49.91803278688525,-121.8
2002-03-31,87.75,-16.99,-0.33,0.0,-0.72,-7.9,6.44,2.7,0.0,95.64,-8.5,5.15,61.92,106.45,181.24,299.86,486.65,180.48,29.67,90.9,380.41,21.99,402.4,500.0,84.25,6.81,-2.92,-1.95,14.34,-2.0425,16.0,4.78,-0.33,-13.96,-5.8,-80.68,-48.68,-29.76,-19.96,-19.36,0.48,0.2,3,2002,0.0,51.48484848484848,-16.99
