,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-06-30,,,,,,,,,0.0,,,3.36,64.98,0.0,68.34,9.92,128.71,0.25,23.61,0.11,25.56,21.62,47.18,70.0,81.52,,,,,,0.0,0.58,0.08,0.0,0.0,,,,,,6.24,6.13,2.67,2.67,6,2012,,103.75,8.3
2012-09-30,68.69,5.51,0.031918899348298335,0.0,21.85,6.41,6.949999999999999,2.3,0.0,62.28,6.01,92.82,61.74,0.0,156.37,10.38,217.67,2.51,26.71,0.11,29.47,22.85,52.32,100.0,165.35,11.92,-3.02,80.55,0.5399999999999998,18.0144056261343,1.39,0.32,0.08,0.0,0.0,10.118291093410571,0.0,13.326140477914553,0.0,16.932976104272264,6.85,6.76,5.31,5.31,9,2012,0.0,172.625,13.81
2012-12-31,64.19999999999999,1.4699999999999989,0.006734293193717274,0.0,18.230000000000004,-0.3200000000000003,0.19000000000000128,2.04,0.0,64.51999999999998,0.10000000000000142,66.01,56.96,0.0,142.96,10.16,208.45,0.77,20.19,0.11,21.07,20.57,41.64,100.0,166.82,-6.429999999999999,-18.619999999999997,-1.769999999999996,0.5100000000000002,75.72435374149666,1.22,0.25,0.07,0.0,0.0,2.8207068062827205,0.0,3.524921465968584,0.0,4.032879581151829,5.76,5.69,6.79,6.79,12,2012,0.0,218.28571428571425,15.28
2013-03-31,63.56,2.54,0.01,0.0,18.14,3.48,3.99,1.76,0.0,60.09,2.93,39.79,64.31,0.0,144.32,10.32,215.54,1.43,18.69,0.11,20.23,21.63,41.86,100.0,173.6,-5.51,-21.44,0.74,0.51,44.0,1.01,0.24,0.01,0.0,0.0,4.72,0.0,5.84,0.0,7.12,4.03,4.0,7.13,7.13,3,2013,0.0,254.0,2.54
2013-06-30,71.75999999999999,5.989999999999999,0.014044548651817116,0.03,21.950000000000003,7.539999999999999,8.1,1.21,0.0,64.21,6.98,59.84,68.08,0.0,148.27,10.19,213.02,0.34,22.27,0.11,22.73,22.68,45.41,100.0,167.53,8.719999999999999,24.450000000000003,-13.120000000000001,0.56,21.538606010016693,0.72,0.27,0.02,0.03,1.5,11.235638921453694,18.11746776084408,14.297350527549824,19.24103165298945,16.263587338804218,6.36,6.3,6.52,6.52,6,2013,12.794999999999998,426.49999999999994,8.53
2013-09-30,79.36000000000001,7.890000000000002,0.019220462850182706,-0.0011693057247259362,23.849999999999994,10.21,11.100000000000001,1.18,0.0,69.14999999999999,9.86,63.98,65.18,0.02,173.53,9.96,230.41,0.0,31.34,0.11,31.5,23.56,55.07,100.0,175.29,19.259999999999998,-14.76,-0.3699999999999992,0.8899999999999999,15.34822560202788,0.67,0.31,0.04,0.03,0.75,13.704190012180272,18.220998781973208,18.009573690621195,18.52852618757613,20.50823386114495,7.71,7.65,5.51,5.51,9,2013,-0.4799999999999969,410.50000000000006,16.42
2013-12-31,79.11000000000001,2.9099999999999966,0.0075271598551474314,-0.0018546301086394268,29.040000000000006,4.93,5.059999999999999,0.98,0.0,74.18,4.57,29.31,59.1,0.0,158.36,9.92,222.44,0.0,21.46,0.12,21.93,22.44,44.37,100.0,178.04,1.0100000000000016,-35.65,-0.02999999999999936,0.1299999999999999,32.548797250859145,0.55,0.25,0.05,0.03,0.6,5.232881531298494,7.310377651319186,6.5395964821520876,6.750356958096217,7.858354888773919,6.64,6.58,7.22,7.22,12,2013,-0.7170000000000023,386.59999999999997,19.33
2014-03-31,73.23,8.03,0.02,0.0,25.76,10.14,10.68,1.04,0.0,63.09,9.71,32.94,55.32,0.0,168.32,9.61,234.07,0.25,23.62,0.12,24.34,23.53,47.87,100.0,186.16,13.91,-10.5,0.23,0.54,13.0,0.56,0.26,0.02,0.0,0.0,13.72,18.04,17.24,17.84,19.32,11.03,10.97,6.92,6.92,3,2014,0.0,401.49999999999994,8.03
2014-06-30,67.27,5.280000000000001,0.015867768595041326,0.04,22.749999999999996,6.84,7.370000000000001,1.27,0.0,60.42999999999999,5.68,29.47,51.68,0.0,165.37,9.35,231.28,0.92,29.3,0.12,30.34,24.61,54.95,100.0,176.34,14.879999999999999,-3.0,-15.360000000000001,0.53,20.009114583333332,0.72,0.31,0.04,0.04,1.0,9.123966942148762,12.122975206611573,11.9801652892562,12.281652892561986,13.408264462809917,9.58,9.47,5.45,5.45,6,2014,13.31,332.75,13.31
2014-09-30,64.28999999999999,3.389999999999999,0.008119760479041914,0.008119760479041914,19.67000000000001,4.669999999999998,5.109999999999999,1.54,0.0,59.61999999999999,3.599999999999998,31.1,53.59,0.0,174.77,9.35,239.61,0.0,34.06,0.12,34.18,25.7,59.87,100.0,179.82,8.350000000000001,-5.75,-0.9599999999999991,0.43999999999999995,47.41519174041299,0.86,0.33,0.04,0.04,1.0,5.659473053892214,7.478299401197603,7.543257485029937,7.64069461077844,8.558227544910176,8.26,8.15,5.11,5.11,9,2014,3.389999999999999,417.5,16.7
2014-12-31,62.62000000000003,1.0199999999999996,0.002302483069977426,0.002302483069977426,17.269999999999996,1.360000000000003,1.8200000000000003,1.61,1.14,61.26000000000002,1.4000000000000021,36.04,45.79,0.0,165.67,9.29,233.68,0.0,29.74,0.12,29.87,24.17,54.04,100.0,179.73,0.4299999999999997,4.529999999999999,-0.030000000000001137,0.45999999999999996,174.81127450980398,0.9,0.3,0.04,0.04,1.0,1.7452821670428886,2.3232054176072228,2.270248306997742,2.281760722347629,2.5995033860045136,6.72,6.63,5.55,5.55,12,2014,1.0199999999999996,442.99999999999994,17.72
2015-03-31,59.25,1.59,0.0,,15.82,2.29,2.75,1.52,0.0,56.97,1.1,24.14,49.51,0.0,163.73,10.28,233.23,0.0,26.66,0.15,26.81,21.99,48.8,100.0,184.71,-6.4,-5.47,-0.03,0.46,0.0,0.82,0.26,0.0,0.0,0.0,2.72,3.92,3.44,3.44,4.44,2.74,2.68,6.11,6.11,3,2015,,inf,1.59
2015-06-30,64.11,2.51,0.006121951219512195,,16.92,3.5,3.9800000000000004,1.33,-0.79,60.599999999999994,1.1099999999999999,29.7,53.94,0.0,157.68,10.34,229.16,0.0,32.12,0.12,32.24,22.79,55.03,100.0,174.6,1.9300000000000006,15.669999999999998,-12.030000000000001,0.4799999999999999,54.31274900398407,0.76,0.32,0.01,0.03,3.0,4.383317073170732,6.146439024390244,5.754634146341464,5.730146341463414,7.199414634146342,3.4,3.32,4.89,4.89,6,2015,,409.99999999999994,4.1
