,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-06-30,,,,,,,,,,,16.59,1.05,1438.19,1852.47,11.41,1907.48,65.8,68.13,87.19,363.81,1108.73,1472.54,300.0,434.94,,,,,,0.0,3.39,0.62,0.0,0.0,,,,,,28.48,28.41,5.09,1.14,6,2005,,150.43548387096774,93.27
2005-09-30,228.60000000000002,71.03000000000002,0.47555082166768115,0.0,88.97,72.4,73.32000000000001,,156.2,69.74,5.34,0.34,1474.42,2100.57,11.19,2155.23,107.41,76.74,1.62,331.67,1317.59,1649.26,300.0,505.97,-151.95999999999998,-0.7000000000000001,141.40999999999997,0.9199999999999999,0.0,0.0,3.26,1.1,0.0,0.0,13.177080949482656,0.0,56.14958247108948,0.0,15.805580036518567,29.69,29.5,6.33,1.89,9,2005,0.0,149.36363636363637,164.3
2005-12-31,288.77,67.64999999999998,0.4112373356326793,0.0,94.42000000000002,68.37,73.19999999999999,5.9,220.41000000000003,67.73000000000002,174.31,0.42,1489.54,2637.15,10.31,2688.41,2.62,78.21,394.92,560.1,1047.07,1607.17,450.0,1081.24,-197.03999999999996,-130.03,496.03,4.83,3.5829674796747977,2.46,1.49,1.41,0.0,0.0,10.068023280879498,0.0,25.024229359775806,0.0,12.879603362793702,27.61,27.43,4.71,2.05,12,2005,0.0,164.5035460992908,231.95
2006-03-31,161.01,-34.35,-0.08,0.0,55.56,41.93,42.82,8.25,119.08,39.82,74.97,460.43,966.38,1654.06,615.94,2311.29,2.86,74.15,295.27,515.22,749.18,1264.4,450.0,1046.89,196.58,-11.68,-364.24,0.89,-25.7825,3.55,1.21,-0.08,0.0,0.0,-5.96,0.0,-13.12,0.0,9.32,-21.63,-21.33,3.21,1.33,3,2006,0.0,429.375,-34.35
2006-06-30,113.35000000000002,34.940000000000005,0.0,,51.14,38.330000000000005,39.24999999999999,7.0,75.02,35.74999999999999,394.39,68.66,1086.06,1694.46,622.55,2357.99,11.7,72.66,339.75,565.93,788.99,1354.92,450.0,1003.07,262.19999999999993,-7.16,14.379999999999995,0.92,0.0,3.14,1.35,0.0,0.35,0.0,7.106440677966103,890.6738983050849,14.212881355932206,18.950508474576274,1061.2284745762715,0.22,0.22,2.99,1.08,6,2006,inf,inf,0.59
2006-09-30,129.72999999999996,26.22,0.05867959716523685,-inf,40.14,28.809999999999988,29.760000000000005,9.45,100.91999999999999,26.200000000000003,40.0,2.48,1395.13,1752.82,625.02,2424.1,2.52,78.88,405.6,563.58,831.23,1394.81,450.0,1029.3,-449.59,-3.6999999999999993,98.91000000000003,0.9499999999999997,40.26101258581236,4.13,1.36,0.06,0.35,5.83,4.342290190227527,18.620992167101825,10.171130175307722,13.65278627377844,22.924162625885863,6.76,6.63,3.11,0.63,9,2006,-inf,446.8333333333333,26.81
2006-12-31,146.23000000000008,13.080000000000002,0.02951115567811482,-0.002851591877663568,45.21000000000001,18.230000000000004,19.16000000000001,16.3,128.01,16.53,1.38,0.75,1468.87,1844.31,1216.15,3109.41,44.31,71.78,495.04,693.41,1373.62,2067.04,450.0,1042.37,-709.8000000000001,-2.460000000000001,673.63,0.9300000000000002,138.08252866972475,7.04,1.98,0.09,0.35,3.89,1.6788568563549764,5.757954374529957,5.023454499874656,4.931642015542743,6.912168463274004,7.37,7.25,2.66,0.54,12,2006,-1.2638888888888857,443.22222222222223,39.89
2007-03-31,136.66,-38.74,-0.09,0.0,51.38,0.99,3.03,15.9,135.67,-0.16,18.89,201.43,1468.7,1744.55,1279.15,3072.61,91.73,49.65,269.81,702.37,1366.6,2068.97,450.0,1003.64,100.71,-64.4,-18.8,2.04,-44.1675,7.13,2.06,-0.09,0.0,0.0,-5.04,0.15999999999999998,-15.440000000000001,-15.12,0.15999999999999998,-28.59,-28.35,2.48,0.39,3,2007,0.0,430.44444444444446,-38.74
2007-06-30,69.06,-33.35999999999999,-0.07403051317614423,0.0,16.46999999999999,-11.870000000000001,123.26,14.3,80.92000000000002,-13.29,60.24,66.57,1435.38,1627.03,1358.64,3033.62,0.0,73.81,139.73,685.33,1366.72,2052.04,453.8,981.58,165.63,-80.88,-43.39,135.13,-48.29360011990408,6.61,2.09,-0.16,0.0,0.0,-4.404815533980582,-0.7403051317614424,-13.603106796116501,-13.455045769764213,-0.8513509015256587,-35.49,-35.05,2.37,0.28,6,2007,0.0,450.62499999999994,-72.1
2007-09-30,127.02000000000001,-0.9400000000000119,-0.0020591456736035307,0.0,33.58000000000001,18.14,110.54,13.9,108.89000000000001,16.08,56.81,22.47,1360.24,1515.03,1497.47,3060.82,70.0,101.95,44.28,661.67,1408.7,2070.37,457.1,990.46,107.10000000000002,-139.89000000000001,29.36,92.4,-1687.6902127659362,6.41,2.09,-0.16,0.0,0.0,-0.12303395399781097,0.01338444687842295,-0.37939759036145054,-0.37219058050383824,0.01544359255202648,-22.26,-21.95,2.29,0.23,9,2007,0.0,456.50000000000006,-73.04
2007-12-31,85.21999999999997,-22.47999999999999,-0.0494221105527638,0.0,24.97,-5.66,55.09,11.0,90.88,3.4699999999999998,58.48,11.54,1311.54,1463.14,1683.98,3196.64,138.38,83.14,39.79,711.13,1511.53,2222.66,459.12,973.97,16.55000000000001,-187.58999999999997,172.70999999999998,60.75,-55.64209964412814,5.19,2.28,-0.21,0.0,0.0,-2.8147068676716906,0.047068676716917904,-9.234874371859293,-8.914807370184251,0.05648241206030148,-23.14,-22.85,2.06,0.21,12,2007,0.0,454.85714285714283,-95.52
2008-03-31,31.12,-25.02,-0.05,0.0,9.84,-7.11,14.61,3.96,38.24,-7.71,37.5,22.02,1304.34,1439.27,1831.16,3312.49,70.02,81.9,202.67,659.59,1697.74,2357.34,461.2,955.16,0.85,-137.88,116.05,21.72,-19.8,1.91,2.47,-0.05,0.0,0.0,-3.04,-0.88,-10.48,-10.2,-1.08,-81.95,-80.4,2.18,0.2,3,2008,0.0,500.4,-25.02
2008-06-30,56.16,-28.44,-0.06383838383838385,0.0,8.690000000000001,-9.780000000000001,38.56,2.5,65.93,-10.52,41.75,15.03,1402.51,1514.78,1984.31,3542.1,107.2,148.19,209.74,850.13,1748.29,2598.42,466.9,943.68,-41.93,-142.55,188.72999999999996,48.34,-9.78878164556962,1.24,2.75,-0.12,0.0,0.0,-3.213198653198653,-1.0852525252525254,-12.065454545454546,-11.810101010101011,-1.3406060606060606,-62.21,-61.25,1.78,0.13,6,2008,0.0,445.5,-53.46
2008-09-30,812.23,502.34,1.085523525218321,0.0,-23.59,665.61,599.6500000000001,1.82,146.62,-80.22999999999999,631.99,23.42,1395.17,2193.61,1491.92,3727.45,0.0,185.48,32.0,795.93,1485.5,2281.43,466.9,1446.02,-41.31,1145.3700000000001,-513.8299999999999,-65.96000000000001,0.4199816857108731,0.59,1.58,0.97,0.0,0.0,53.89568347888076,85.5437301728747,138.9470112279451,164.9548119764748,99.06241489930493,294.7,49.9,2.76,1.0,9,2008,0.0,462.7628865979382,448.88
2008-12-31,60.139999999999986,-101.30000000000001,-0.21858277231141035,0.12,4.029999999999999,-124.61000000000001,91.07999999999993,1.01,184.75000000000003,-9.52000000000001,198.08,15.33,1288.52,1675.44,1667.31,3385.58,0.0,255.13,150.0,695.4,1401.5,2096.89,466.9,1288.68,27.36,-159.23000000000002,-302.03,215.69,-1.158028134254689,0.37,1.63,0.75,0.12,0.16,-11.972507048736983,-18.570792335577423,-31.440945969273265,-35.81260141550147,-22.70929282467346,162.82,36.22,2.41,0.56,12,2008,55.6128,463.44,347.58
2009-03-31,119.43,-37.84,-0.08,0.0,2.55,-24.45,95.54,1.01,143.89,-23.04,184.42,4.58,180.25,397.1,2769.56,3207.34,0.0,181.54,155.0,520.28,1436.22,1956.5,466.9,1250.85,-54.86,1.48,39.72,119.99,-3.1575,0.38,1.56,-0.08,0.0,0.0,-4.72,-3.0,-12.12,-13.72,-3.64,-32.54,-31.68,0.76,0.42,3,2009,0.0,473.00000000000006,-37.84
2009-06-30,85.81,-56.86999999999999,-0.12009291521486642,0.0,9.670000000000002,-36.36,-124.21000000000001,1.16,122.15000000000003,-35.300000000000004,29.72,11.92,111.58,168.12,2754.98,2973.02,84.01,51.18,290.0,502.05,1277.0,1779.05,466.9,1193.97,-198.39,-16.099999999999998,59.8,-87.85,-2.4147969052224374,0.45,1.49,-0.2,0.0,0.0,-7.661927990708477,-4.491475029036004,-19.046736353077815,-21.280464576074326,-5.908571428571428,-47.1,-46.15,0.33,0.11,6,2009,0.0,473.54999999999995,-94.71
2009-09-30,76.49000000000001,-23.690000000000012,-0.050021114864864887,0.0,22.189999999999998,-1.4199999999999946,226.66000000000003,1.57,77.91999999999996,-3.309999999999995,21.22,17.96,73.54,123.8,2758.09,2925.44,88.6,32.56,428.0,616.16,1139.0,1755.16,466.9,1170.28,-10.490000000000009,-2.5999999999999996,4.579999999999998,228.08000000000004,-7.846686365555083,0.63,1.5,-0.25,0.0,0.0,-3.2413682432432447,-1.4966317567567577,-8.099418918918921,-7.243057432432437,-2.1529087837837846,-43.4,-42.03,0.2,0.08,9,2009,0.0,473.6,-118.4
2009-12-31,65.35999999999996,-88.82999999999998,-0.18860782705206774,0.0,6.520000000000003,-66.39000000000001,-2.3400000000000034,1.75,131.75,-27.880000000000003,17.25,28.39,674.68,730.4,2058.51,2838.62,65.4,32.54,571.0,761.16,996.0,1757.16,466.9,1081.45,23.07000000000002,-3.84,-23.19999999999999,64.04999999999995,-2.3212186198356415,0.76,1.62,-0.44,0.0,0.0,-12.51670124981904,-7.081366597500361,-32.85205423925107,-29.988644501278767,-10.613476813202722,-61.47,-59.7,0.96,0.07,12,2009,0.0,470.9772727272727,-207.23
2010-03-31,65.02,-21.95,-0.05,0.0,19.92,-8.42,42.06,1.56,73.45,-6.2,10.31,3.12,0.19,22.58,2040.98,2120.04,2.0,25.38,10.0,73.53,987.0,1060.53,466.9,1059.51,-3.42,629.88,-633.4,50.48,-7.799999999999999,0.69,1.0,-0.05,0.0,0.0,-4.16,-1.28,-8.28,-7.6,-1.64,-34.06,-33.76,0.31,0.3,3,2010,0.0,438.99999999999994,-21.95
