,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,985.89,50.62,0.97,0.0,332.85,-10.14,188.67,0.51,0.0,996.03,14.79,140.67,115.85,0.0,661.7,6219.06,7277.87,1186.72,155.47,3361.74,7335.29,106.62,7441.91,520.0,-230.91,84.42,6.15,-211.9,198.81,0.1325,-1.15,-32.23,0.97,0.0,0.0,2.8,0.0,-87.68,0.0,70.64,5.17,5.13,0.0,0.09,0.09,3,2000,0.0,52.18556701030928,50.62
2000-06-30,1028.2600000000002,-282.57,-5.433335632679457,0.0,358.28,-284.67,-86.30999999999999,0.5,0.0,1312.93,-93.60999999999999,288.77,107.37,0.0,788.38,5951.06,7216.07,99.49,226.78,1448.93,2516.58,5122.24,7638.82,520.0,-487.59,279.94,87.97999999999999,-219.79999999999998,198.36,-0.022573610078918498,-0.53,-15.67,-4.46,0.0,0.0,-15.642159086009915,0.0,231.80607717180428,0.0,-30.55337615865488,-11.59,-11.52,0.0,0.31,0.31,6,2000,0.0,52.006726457399104,-231.95
2000-09-30,1060.31,-170.93,-3.2880944698173153,0.0,461.05000000000007,309.43,494.52,0.55,0.0,750.8800000000001,659.47,260.0,93.64,0.0,767.93,5636.01,6870.84,0.0,225.15,854.57,1401.14,5175.27,6576.41,520.0,227.42,-269.82,129.84,111.20999999999998,185.08999999999997,-0.041247294214005734,1.26,28.92,-7.75,0.0,0.0,-9.944894757744242,0.0,-300.6379021048451,0.0,0.4582118745035743,-13.22,-13.1,0.0,0.55,0.55,9,2000,0.0,51.98451612903226,-402.88
2000-12-31,1121.63,36.24000000000001,0.6968470434213399,0.0,469.6099999999999,142.63,334.4,0.54,0.0,978.9899999999998,251.90999999999997,257.49,104.72,0.0,762.54,5478.77,6691.35,0.0,211.9,817.35,1369.17,4956.97,6326.15,520.0,303.92,371.37,6.280000000000001,-398.39,191.76999999999998,0.20233995584988956,0.92,20.82,-7.05,0.0,0.0,2.1666506655029467,-0.0,47.69794457778749,-0.0,-1.166353916648484,-8.79,-8.74,0.0,0.56,0.56,12,2000,0.0,52.00567375886525,-366.64
2001-03-31,1042.85,44.24,0.85,0.0,427.77,80.2,265.6,0.54,0.0,962.65,187.55,195.25,201.56,0.0,691.58,5337.25,6454.58,0.0,158.89,778.61,1295.1,4956.32,6251.41,520.0,148.37,245.22,0.22,-307.27,185.4,0.1575,1.88,42.13,0.85,0.0,0.0,2.76,4.68,119.27999999999999,-428.8,6.199999999999999,4.26,4.24,0.0,0.53,0.53,3,2001,0.0,52.04705882352942,44.24
2001-06-30,1168.4500000000003,232.0,4.4596003475238915,0.0,466.15,247.29000000000002,427.5799999999999,0.64,0.0,921.16,255.82999999999998,376.35,119.65,0.0,784.39,5140.12,6345.91,0.0,115.82,691.73,1174.92,4860.74,6035.66,520.0,258.92,379.4,69.12,-268.40999999999997,180.29,0.035720689655172416,1.28,23.31,5.31,0.0,0.0,14.613379669852302,16.225890529973935,358.41413263828554,-811.6640602374747,21.26498696785404,12.56,12.49,0.0,0.67,0.67,6,2001,0.0,52.022598870056505,276.24
2001-09-30,982.8699999999999,294.89,5.669273545427486,0.0,427.72000000000014,256.04999999999995,429.90999999999997,0.69,0.0,726.8200000000002,219.26,285.22,187.07,0.0,777.12,4915.03,6106.72,0.0,133.62,617.8,1068.03,4590.93,5658.96,520.0,408.5,127.75,70.49000000000001,-313.62,173.85999999999996,0.0290513411780664,0.88,13.85,10.98,0.0,0.0,19.310640309561748,18.56712902491552,288.75086862885854,370.97082485598725,23.91627965612032,17.97,17.88,0.0,0.73,0.73,9,2001,0.0,52.01548269581056,571.13
2001-12-31,861.8400000000001,102.19000000000005,1.965425800510902,0.0,313.77,148.16000000000008,320.08000000000015,0.72,0.0,713.6799999999998,142.14,276.56,120.82,0.0,802.33,4765.6,5802.97,0.0,119.26,590.11,1022.45,4306.48,5328.93,520.0,434.53,342.56000000000006,15.539999999999992,-355.53999999999996,171.92000000000007,0.09883354535668847,0.86,12.26,12.95,0.0,0.0,7.042143408780376,7.10892235489812,94.06725182676888,110.70735103665426,9.29441513693341,16.68,16.6,0.0,0.78,0.78,12,2001,0.0,51.9938223938224,673.32
2002-03-31,941.0,114.67,2.21,0.0,328.14,168.38,333.66,0.85,0.0,772.62,140.19,256.85,127.06,0.0,708.35,4616.16,5534.56,0.0,104.38,497.57,892.68,4113.25,5005.92,520.0,484.2,239.48,51.21,-313.54,165.28,0.095,0.91,10.34,2.21,0.0,0.0,8.28,11.24,94.72,145.04,14.52,12.96,12.19,0.0,0.79,0.79,3,2002,0.0,51.8868778280543,114.67
2002-06-30,867.96,73.01,1.4043377024722932,0.0,309.68000000000006,121.37,285.71999999999997,1.13,0.0,746.59,-8.579999999999984,256.44,89.39,0.0,588.78,4474.19,5297.2,0.0,101.97,438.0,835.96,3938.74,4774.71,520.0,480.58,192.49000000000004,19.990000000000002,-206.58999999999997,164.35,0.19922202438022188,1.22,9.94,3.61,0.0,0.0,5.508427109974424,7.749143222506395,60.76386402387042,78.98524296675191,10.098783034953113,11.37,10.38,0.0,0.7,0.7,6,2002,0.0,51.98891966759003,187.68
2002-09-30,711.6300000000001,2.3799999999999955,0.045831842576028535,0.0,320.28,36.04000000000002,192.45000000000005,0.85,0.0,675.5900000000001,103.79999999999998,370.16,87.5,0.0,622.5,4328.58,5212.05,0.0,94.77,424.78,818.06,3905.77,4723.83,520.0,444.89,279.56999999999994,12.280000000000001,-191.62,156.41000000000003,4.591785714285723,0.99,10.62,3.66,0.0,0.0,0.1828264758497313,0.2885152057245075,2.1398211091234307,2.230983899821105,0.3711627906976737,7.82,7.54,0.0,0.76,0.76,9,2002,0.0,51.92896174863388,190.06
2002-12-31,882.23,312.37,6.005800210974663,0.0,415.65999999999997,287.45,437.06000000000006,1.0,0.0,594.79,275.11,329.72,142.02,0.0,629.3,4207.7,5103.84,0.0,100.23,393.39,796.12,3631.13,4427.25,520.0,633.57,392.3700000000001,12.509999999999991,-445.8399999999999,149.60999999999996,0.04021112782917694,0.82,6.99,9.66,0.0,0.0,24.47083812670422,27.97733017534781,197.209091813785,233.96508647970862,35.41308281750692,15.23,14.77,0.0,0.79,0.79,12,2002,0.0,52.011387163561075,502.43
2003-03-31,871.41,185.01,3.56,0.0,394.32,251.78,397.48,1.23,2.17,619.63,351.83,251.65,108.85,0.0,560.87,4098.78,4897.87,0.0,97.85,484.86,853.38,3181.25,4034.63,520.0,817.94,271.45,-1.06,-347.81,145.7,0.085,0.78,4.93,3.56,0.0,0.0,15.12,19.32,90.48,113.67999999999999,24.92,21.55,21.23,0.0,0.66,0.66,3,2003,0.0,51.9691011235955,185.01
2003-06-30,932.38,281.73,5.420438359686336,0.0,497.94,337.38,485.63,2.6,4.68,595.0000000000001,429.02000000000004,457.03,68.74,0.0,630.38,3987.12,4951.4,0.0,74.02,17.54,317.54,3488.8,3806.35,520.0,1098.02,396.39000000000004,-52.21,-126.13,148.25,0.12011021190501543,1.23,3.47,8.98,0.0,0.0,22.768255559840597,27.76616531687878,102.63823370613189,142.7663787119167,30.687648798046023,26.4,25.88,0.0,1.99,1.99,6,2003,0.0,51.97550111358574,466.74
2003-09-30,1071.0700000000002,556.4,1.0713177082315224,0.0,525.3199999999999,525.7500000000001,672.07,7.7,6.32,545.3199999999999,507.2599999999999,416.69,84.62,0.0,625.76,4065.33,5013.06,0.0,81.88,587.2,883.28,2422.98,3306.26,520.0,1648.23,543.57,-187.36999999999998,-401.35999999999996,146.32,1.7974826563623294,2.43,2.01,1.97,0.0,0.0,44.39714604062005,47.44251617569443,135.04041284672675,212.6538460034795,58.73213831929159,37.77,35.59,0.0,0.71,0.71,9,2003,0.0,519.3604060913706,1023.14
2003-12-31,1115.6599999999999,513.42,0.9857011766543449,0.5,841.4900000000002,542.8599999999999,705.2299999999998,17.5,6.7,572.8,793.3900000000001,897.27,70.19,0.0,1073.54,4618.0,5867.92,0.0,52.29,938.58,1426.28,2483.77,3910.05,520.0,1900.95,984.9399999999998,-681.8100000000001,178.14,162.37,4.436816251801644,4.79,2.06,2.95,0.5,0.17,35.00408653095226,40.3903587233821,108.03284896131618,162.055956161816,49.879820898630705,40.4,38.51,0.0,0.75,0.75,12,2003,260.4338983050847,520.8677966101694,1536.56
2004-03-31,1391.81,626.4,1.2,0.0,1051.2,792.54,965.78,18.5,0.0,599.27,969.94,1009.58,34.06,0.0,1197.38,6005.44,7751.33,0.0,83.9,1126.12,1641.65,3548.93,5190.59,520.0,2525.81,816.73,-1932.8,1229.92,173.24,3.855,3.81,2.06,1.2,0.0,0.0,32.32,50.12,99.2,149.88,51.88,45.03,45.01,0.0,0.73,0.73,3,2004,0.0,522.0,626.4
2004-06-30,2062.61,887.93,1.7121470221153912,0.75,1564.39,967.29,1310.01,17.38,5.35,1095.32,1497.87,2132.09,66.14,0.0,2374.78,10354.2,12887.34,0.0,136.77,2360.81,2889.74,7181.84,10071.58,520.0,2783.04,1569.13,-4330.7699999999995,3874.9300000000003,342.72,2.5368732614057414,3.25,3.62,2.92,0.75,0.26,27.558530835418967,46.27487773470776,127.61358831958688,183.03555288477412,41.2791610811382,45.04,43.84,0.0,0.82,0.82,6,2004,388.9546232876712,518.6061643835616,1514.33
2004-09-30,2521.67,1216.5300000000002,2.365472525138601,0.9937001348814901,1903.46,1327.54,1752.94,20.25,6.45,1194.1299999999999,1866.8799999999997,1545.33,95.76,0.0,1883.9,11895.22,13875.74,0.0,144.17,2287.66,2833.47,7711.83,10545.3,520.0,3294.72,1676.4899999999998,-1903.9800000000005,-367.71000000000004,425.4,2.138166876279253,3.2,3.2,5.31,1.75,0.33,35.06779607889091,58.25031777535282,147.7017081798408,196.8999729023092,49.82192979500964,46.45,45.7,0.0,0.66,0.66,9,2004,511.04631833191456,514.286252354049,2730.86
