,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2011-06-30,,,,,,,,,,,3.11,91.82,157.14,261.76,164.27,432.9,135.74,51.39,6.49,220.98,5.53,226.51,150.0,206.39,,,,,,0.0,1.1,0.04,0.0,0.0,,,,,,2.98,2.96,1.18,0.47,6,2011,,159.0,6.36
2011-09-30,203.35,19.560000000000002,0.12074074074074076,0.0,54.21999999999999,30.500000000000004,36.56999999999999,2.12,172.86,29.57,66.14,153.5,196.11,426.86,176.79,616.57,183.01,70.57,12.64,290.32,4.37,294.69,200.0,321.89,-59.17,-24.300000000000004,146.5,6.07,4.389570552147239,1.32,0.92,0.16,0.0,0.0,12.677777777777779,0.0,24.299074074074078,0.0,39.120000000000005,6.23,6.2,1.47,0.79,9,2011,0.0,162.0,25.92
2011-12-31,299.65999999999997,58.14,0.33890792291220556,0.0,104.22,82.28999999999999,88.93,3.0,217.36,81.28,46.89,117.17,147.82,367.44,197.51,570.44,64.46,60.96,11.64,186.85,3.55,190.41,200.0,380.03,172.75,-72.31,-119.69999999999999,6.640000000000001,2.212105263157895,1.58,0.5,0.49,0.0,0.0,40.77961456102784,0.0,61.197087794432555,0.0,89.83134903640256,11.77,11.71,1.97,1.18,12,2011,0.0,171.55102040816328,84.06
2012-03-31,121.2,1.31,0.01,0.19,24.98,2.93,8.39,3.54,118.27,1.33,23.33,116.26,217.48,387.75,231.77,625.66,71.56,74.95,18.2,226.97,17.35,244.32,200.0,381.34,-43.01,-4.04,23.49,5.46,88.5,1.86,0.64,0.01,0.19,19.0,0.84,0.0,1.36,0.0,2.92,1.1,1.08,1.71,0.75,3,2012,24.89,131.0,1.31
2012-06-30,201.23000000000002,5.34,0.024090225563909773,0.07771428571428574,33.650000000000006,9.040000000000001,15.419999999999998,3.26,192.19,7.130000000000001,29.9,137.49,225.77,413.31,236.76,655.35,130.8,85.16,17.37,274.58,32.09,306.67,200.0,348.68,-36.32,11.2,31.69,6.38,33.83218632958802,1.87,0.88,0.03,0.19,6.33,3.2441503759398493,7.066466165413534,6.134977443609022,7.708872180451127,10.085774436090224,2.09,2.06,1.51,0.68,6,2012,17.226666666666674,221.66666666666669,6.65
2012-09-30,223.83999999999997,21.509999999999998,0.10693892045454545,-0.019386837121212176,58.93999999999999,30.58,37.41,3.72,193.27000000000004,27.15,39.13,149.84,270.57,482.76,251.19,737.77,183.6,93.16,15.56,336.38,31.19,367.57,200.0,370.2,-26.10000000000001,-16.11,51.449999999999996,6.830000000000002,8.696085541608555,2.01,0.99,0.14,0.19,1.36,11.671619318181817,19.187897727272727,23.251576704545453,24.870937499999997,32.387215909090905,5.22,5.15,1.44,0.63,9,2012,-3.8995238095238207,201.14285714285714,28.16
2012-12-31,423.43000000000006,90.72,0.4502422611036339,0.00032878292636033974,146.68,120.61999999999999,129.38,4.68,302.80999999999995,117.36,43.54,258.26,176.25,524.69,259.37,786.97,137.24,77.44,17.15,291.12,34.94,326.06,200.0,460.92,96.73,-49.75,-42.58,8.759999999999998,2.597879188712522,2.03,0.71,0.59,0.19,0.32,46.12312247644684,73.38185733512786,78.72371467025572,86.29388963660834,100.45744279946163,12.39,12.26,1.8,1.2,12,2012,0.06624697336562235,201.4915254237288,118.88
2013-03-31,161.89,8.96,0.04,0.0,37.82,12.66,21.24,6.45,149.23,10.71,60.71,145.98,189.97,450.08,259.91,715.06,63.75,69.35,16.7,212.31,30.89,243.2,200.0,471.87,107.98,-13.97,-76.84,8.58,40.3125,2.73,0.52,0.04,0.0,0.0,5.0,7.56,7.6,8.4,10.080000000000002,5.6,5.53,2.12,1.23,3,2013,0.0,224.00000000000003,8.96
2013-06-30,175.81,11.34,0.05586206896551724,0.31,48.18,16.01,25.01,5.65,159.79999999999998,14.119999999999997,24.01,210.68,190.11,437.0,273.42,715.33,138.77,68.08,17.19,264.13,29.99,294.12,200.0,421.21,-63.09,15.450000000000001,10.939999999999998,8.999999999999998,25.285493827160494,2.68,0.7,0.1,0.31,3.1,6.345931034482758,9.340137931034482,10.770206896551723,11.775724137931032,14.188965517241376,6.08,6.01,1.65,0.93,6,2013,62.93,203.0,20.3
2013-09-30,166.74,6.050000000000001,0.029848197343453512,-0.0004705882352940914,31.819999999999993,10.170000000000002,19.299999999999997,5.95,156.58000000000004,7.850000000000001,20.16,129.63,211.71,376.61,298.34,680.1,64.0,104.09,19.74,227.05,25.8,252.85,200.0,427.26,103.71,-29.31,-78.25,9.130000000000003,49.83634297520661,2.79,0.59,0.13,0.31,2.38,3.5542314990512334,5.032865275142316,5.666565464895636,6.0706641366223915,7.870740037950665,5.29,5.22,1.66,0.73,9,2013,-0.09538461538461007,202.6923076923077,26.35
