,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,month,year,dividend,ROCE%,number_of_shares,return_old
2013-12-31,,,,,,,,,131.63,,,100.41,6.46,145.3,6046.45,4915.85,750.0,1130.6,,,,,,0.0,4.35,0.79,0.0,0.0,,,,,12,2013,,,728.392405063291,575.43
2014-03-31,742.21,186.46,0.25,0.0,-76.98,225.49,237.41,,48.19,233.44,-76.98,123.91,4.5,166.92,6448.73,5356.67,750.0,1092.06,-118.13,-29.68,171.31,11.92,0.0,0.0,4.91,0.25,0.0,0.0,11.56,0.0,68.28,0.0,3,2014,0.0,,745.84,186.46
2014-06-30,497.3499999999999,176.9,0.21421180096873624,0.0,-420.95,221.3,234.75000000000003,16.8,119.93,264.49,-420.95,125.49,2.46,177.09,7341.63,4400.87,1000.0,2940.76,-312.15,-423.13,736.8499999999999,13.450000000000001,19.605829282080272,5.71,1.5,0.44,0.0,0.0,9.63953104359313,0.0,24.069616908850726,0.0,6,2014,0.0,,825.8181818181819,363.36
2014-09-30,696.75,224.26999999999998,0.25189013494886237,0.0,-292.96,280.96,296.60999999999996,20.9,164.92,292.96,-292.96,174.94,5.51,206.26,7625.78,4460.74,1000.0,3165.03,-320.65,355.92,14.180000000000064,15.650000000000002,20.745353926071253,6.6,1.41,0.66,0.0,0.0,11.770139033065023,0.0,28.3490897333356,0.0,9,2014,0.0,,890.3484848484848,587.63
2014-12-31,753.0700000000002,267.06000000000006,0.2905916765142918,0.0,-303.7700000000001,334.06999999999994,351.6600000000001,24.9,188.81,303.7700000000001,-303.7700000000001,347.99,0.0,245.5,8591.74,5159.65,1000.0,3432.09,-378.30000000000007,-91.80999999999999,643.16,17.589999999999996,21.418455871339773,7.26,1.5,0.93,0.0,0.0,12.436073898138508,18.135420327838165,31.121431162175764,46.81963097731342,12,2014,0.0,,919.0215053763441,854.69
2015-03-31,814.88,278.12,0.26999999999999996,0.0,-332.93,347.9,367.6,39.0,46.69,332.93,-332.93,285.52,0.04,284.66,10070.81,6360.6,1000.0,3710.21,-604.17,-368.76,910.46,19.7,36.11,10.51,1.71,0.27,0.0,0.0,11.04,16.84,30.0,46.32,3,2015,0.0,,1030.0740740740741,278.12
2015-06-30,1320.87,290.93999999999994,0.28630794643798546,0.0,68.95999999999998,366.13,388.81999999999994,40.0,98.14,369.11999999999995,68.95999999999998,245.46,0.0,305.02,10805.72,6807.57,1020.0,3998.15,-878.86,329.53999999999996,509.26,22.69,34.9281259022479,10.2,1.7,0.56,0.0,0.01,10.777449126629879,16.094596703335323,29.101157698660945,33.53893086844972,6,2015,0.0,,1016.1785714285712,569.06
2015-09-30,555.6700000000001,369.81000000000006,0.362377325934368,0.0,-831.96,460.70000000000005,486.21000000000015,36.75,119.69,393.8800000000001,-831.96,490.03,68.65,335.38,12364.97,7990.91,1020.0,4367.96,-293.03,-708.89,1246.49,25.510000000000005,25.35616701819853,8.58,1.83,0.92,0.0,0.0,11.958451755834142,18.512754694473145,33.85864667099812,39.27855102410345,9,2015,0.0,,1020.5108695652174,938.87
2015-12-31,1085.33,397.2399999999999,0.3894772137024646,0.0,-455.1899999999998,475.6700000000001,506.4899999999998,47.75,168.1,455.1899999999998,-455.1899999999998,332.8,90.72,390.9,13639.68,8867.89,1020.0,4765.83,-650.04,614.01,-121.19999999999982,30.819999999999993,30.649739137549094,10.22,1.86,1.31,0.0,0.0,11.65458532605848,17.660264499180453,33.34638495333468,38.76933486015373,12,2015,0.0,,1019.9312977099236,1336.11
2016-03-31,1425.69,420.06,0.4000000000000001,0.0,-165.4,526.41,559.5,42.25,38.38,459.81,-165.4,308.72,81.56,401.73,14984.84,9787.74,1020.0,5185.35,-642.72,-183.44,802.06,33.09,26.4075,8.31,1.89,0.4,0.0,0.0,11.2,16.8,32.4,37.76,3,2016,0.0,,1050.1499999999999,420.06
2016-06-30,1557.56,433.90000000000003,0.4166448077193311,0.0,-214.52,544.2300000000001,580.3699999999999,38.0,95.54,519.0699999999999,-214.52,555.05,207.57,427.48,17299.63,11657.63,1045.5,5629.83,-1170.84,-60.77000000000001,1477.96,36.14,22.800476146577555,7.06,2.07,0.82,0.0,0.0,10.040123659187785,15.486992364981967,30.831715771230503,36.05501897044358,6,2016,0.0,,1041.4146341463415,853.96
2016-09-30,1762.6499999999996,543.04,0.520883035075161,0.0,-192.88999999999993,679.3699999999999,719.48,36.0,133.64,551.2299999999999,-192.88999999999993,545.34,218.42,453.3,19140.9,12934.65,1045.5,6193.36,-1076.88,-253.10999999999999,1306.5500000000002,40.11,17.28113490718916,6.08,2.09,1.34,0.0,0.0,11.350585540443808,17.274658267716532,35.07797394416607,41.14198539727988,9,2016,0.0,,1042.5373134328358,1397.0
2016-12-31,589.4500000000007,607.6199999999999,0.5819708473426384,0.0,-1550.67,760.6499999999999,802.69,41.25,158.12,593.3700000000001,-1550.67,713.1,276.85,463.13,22236.7,15379.44,1045.5,6842.23,-1842.4900000000002,-147.68,2171.6699999999996,42.03999999999999,17.71635133800731,6.3,2.25,1.92,0.0,0.0,10.924077780327442,16.974149714160287,35.52447047320689,41.87765222336402,12,2016,0.0,,1044.0729166666667,2004.62
2017-03-31,1787.91,690.15,0.61,0.0,-499.57,869.61,912.49,43.25,40.56,601.63,-499.57,772.72,999.5,482.53,28183.64,19380.07,1045.5,7452.99,-0.04,-200.3,262.04,42.88,17.725,4.25,2.6,0.61,0.0,0.0,9.8,16.12,37.04,43.68,3,2017,0.0,,1131.3934426229507,690.15
2017-06-30,1716.07,630.11,0.5774870858770241,0.01,-786.74,866.2199999999999,910.3799999999999,50.25,110.42,684.68,-786.74,804.18,784.87,487.32,31743.56,22352.83,1087.32,8044.32,-1524.56,-1016.22,2571.88,44.160000000000004,21.754295995937216,4.68,2.78,1.21,0.01,0.0,7.941640585945193,13.516061381849031,31.327481253692458,36.86372108524078,6,2017,10.911239669421489,,1091.1239669421489,1320.26
2017-09-30,1809.7800000000002,621.5699999999999,0.5729699819242673,-5.8099322939940625e-05,-682.27,832.5300000000002,880.7000000000003,60.0,207.34,682.27,-682.27,2776.24,453.28,496.83,33078.48,23086.37,1087.32,8642.67,2726.6899999999996,-417.81999999999994,-944.77,48.17,26.179731003748575,4.86,2.67,1.79,0.01,0.0,7.515829707028936,12.598937703094503,28.770135181761532,33.52034441737948,9,2017,-0.06302737891869548,,1084.8212290502793,1941.83
