,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,,,,,,,,,0.0,,,2.28,47.41,16.99,89.02,61.89,152.68,11.96,51.39,5.06,68.42,31.21,99.62,35.0,53.06,,,,,,0.0,1.88,0.43,0.0,0.0,,,,,,5.78,5.75,0.0,1.3,1.05,9,2005,,34.93023255813954,15.02
2005-12-31,66.17000000000002,1.870000000000001,0.05203670811130849,0.0,9.310000000000002,2.16,3.6700000000000017,2.16,0.0,64.02000000000001,1.5799999999999983,19.79,48.79,25.29,109.83,60.2,172.11,6.0,55.78,0.0,72.59,3.72,76.31,50.0,95.8,-2.0,0.33000000000000007,19.18,1.5099999999999998,10.38689839572192,1.13,0.8,0.47,0.0,0.0,4.344511545293075,0.0,7.80772054470101,0.0,11.239928952042634,5.19,5.16,0.0,1.51,1.16,12,2005,0.0,35.93617021276596,16.89
2006-03-31,87.64,5.82,0.11999999999999998,0.0,14.97,7.45,8.71,2.2,0.0,80.19,6.84,29.99,51.51,0.0,126.98,59.29,192.55,6.0,67.45,0.0,98.4,3.53,101.94,50.0,90.61,14.92,-4.49,-0.22,1.26,4.5825,1.21,1.13,0.12,0.0,0.0,12.079999999999998,0.0,25.679999999999996,0.0,31.640000000000004,6.69,6.64,0.0,1.29,1.29,3,2006,0.0,48.50000000000001,5.82
2006-06-30,88.66000000000001,8.28,0.16442553191489362,0.22,19.57,10.780000000000001,12.18,2.12,0.0,77.88,9.850000000000001,10.39,67.97,35.28,130.27,58.85,195.18,6.04,66.02,0.0,92.98,3.3,96.28,50.0,98.9,-9.780000000000001,1.4500000000000002,-11.28,1.4000000000000001,3.222735507246377,1.07,0.97,0.28,0.22,0.79,16.959319148936167,0.0,33.495829787234044,0.0,41.90502127659574,8.07,8.0,0.0,1.4,1.02,6,2006,11.078571428571427,50.357142857142854,14.1
2006-09-30,92.37,7.790000000000001,0.15658291457286433,0.1973151471643934,19.0,10.27,11.409999999999997,2.28,0.0,82.11000000000001,10.25,7.8,55.41,38.71,122.26,58.3,189.02,6.62,59.45,0.0,89.34,2.99,92.33,50.0,96.68,10.23,-3.13,-9.690000000000001,1.1399999999999997,3.6389666238767644,1.18,0.96,0.44,0.42,0.95,16.4839104613979,23.743663773412518,32.227610781178626,41.62258565555048,40.69732297852901,8.22,8.15,0.0,1.37,0.94,9,2006,9.816428571428572,49.75,21.89
2006-12-31,95.34999999999997,4.09,0.0818629715165512,0.0017782909930715571,13.390000000000008,5.219999999999999,6.68,3.04,0.0,90.12,7.400000000000002,17.88,59.9,29.91,114.79,67.24,185.55,6.0,63.11,0.95,82.0,2.77,84.77,50.0,100.77,18.46,-7.51,-0.8599999999999994,1.46,9.289914425427874,1.51,0.84,0.52,0.42,0.81,8.816012317167052,11.876428021555041,16.234056966897615,16.64337182448037,20.503525789068515,7.2,7.14,0.0,1.4,1.04,12,2006,0.08884615384615202,49.96153846153846,25.98
2007-03-31,78.83,1.46,0.030000000000000002,0.20000000000000004,10.94,2.35,4.09,2.94,1.03,76.49,2.44,23.28,52.91,24.47,108.41,73.6,183.03,6.0,56.72,1.7,75.23,5.57,80.8,50.0,102.23,7.14,-0.08,-1.67,1.74,24.499999999999996,1.44,0.79,0.03,0.2,6.67,3.2,5.0,5.72,6.040000000000001,8.72,1.88,1.85,0.0,1.44,1.12,3,2007,9.733333333333334,48.666666666666664,1.46
2007-06-30,63.290000000000006,1.58,0.031184210526315786,0.007894736842105269,9.660000000000002,2.22,4.01,2.36,1.05,61.06000000000002,2.2900000000000005,8.75,40.88,25.67,84.27,72.68,158.51,0.0,48.66,1.74,59.59,5.11,64.7,50.0,93.81,4.2299999999999995,-2.2199999999999998,-16.53,1.7899999999999998,18.918227848101264,1.26,0.69,0.06,0.2,3.33,3.991578947368421,5.3636842105263165,6.735789473684211,6.548684210526315,9.604736842105265,2.17,2.14,0.0,1.41,0.98,6,2007,0.40000000000000036,50.66666666666667,3.04
2007-09-30,80.03999999999999,1.9100000000000001,0.03858585858585859,0.04528619528619526,10.349999999999998,2.67,4.43,2.12,0.0,77.35999999999999,0.8999999999999995,25.22,44.26,27.08,103.31,77.34,182.13,0.0,65.84,3.07,80.04,8.86,88.9,50.0,93.22,18.980000000000004,-5.7700000000000005,3.26,1.7600000000000002,13.735602094240836,1.14,0.95,0.1,0.25,2.5,4.198141414141414,6.0193939393939395,8.195636363636362,8.04129292929293,10.942949494949495,2.26,2.23,0.0,1.29,0.95,9,2007,2.2416666666666654,49.5,4.95
2007-12-31,76.57000000000002,3.0699999999999994,0.06124688279301745,0.003117206982543606,11.400000000000002,4.16,5.890000000000002,2.02,2.84,72.41999999999999,6.420000000000001,18.67,46.19,25.02,95.63,86.2,186.55,0.0,61.92,3.82,75.29,14.97,90.26,50.0,96.29,-3.0500000000000007,-10.68,7.18,1.7299999999999995,8.248583061889253,1.05,0.94,0.16,0.25,1.56,6.584039900249375,9.386084788029924,12.754663341645882,12.463740648379051,15.694513715710722,2.72,2.68,0.0,1.27,0.94,12,2007,0.15624999999999822,50.12499999999999,8.02
