,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,1169.64,-120.69,-0.68,0.0,44.23,-113.97,-97.63,0.6,1283.62,-16.37,34.93,90.74,235.52,423.54,1343.09,2088.17,143.91,759.73,5.88,941.46,220.27,1161.73,1770.0,926.44,-45.34,85.38,-38.3,16.34,-0.22,1.15,1.25,-0.68,0.0,0.0,-23.12,0.0,-52.12,0.0,-39.76,-10.47,-10.32,0.0,0.45,0.2,3,2000,0.0,177.48529411764704,-120.69
2000-06-30,1181.5399999999997,-22.110000000000014,-0.12541386554621856,0.0,26.770000000000003,-15.97999999999999,0.19999999999998863,0.48,1197.5,-34.75,53.06,95.74,242.99,467.67,1328.74,2119.74,156.64,785.44,5.99,996.67,218.75,1215.42,1770.0,904.32,-7.979999999999997,-94.25999999999999,13.509999999999998,16.180000000000003,-0.9526458616010849,0.94,1.34,-0.81,0.0,0.0,-4.174268907563028,0.0,-9.779184873949584,0.0,-7.165621848739499,-6.19,-6.07,0.0,0.47,0.23,6,2000,0.0,176.2962962962963,-142.8
2000-09-30,870.0300000000002,-37.81,-0.21353302696417695,0.0,35.260000000000005,-29.560000000000002,-13.689999999999998,0.38,899.5999999999999,-19.869999999999997,15.76,79.68,262.84,415.95,1313.07,1987.63,164.65,697.75,6.61,903.87,217.24,1121.11,1770.0,866.52,-93.23000000000002,63.18,-7.25,15.869999999999997,-0.44185202327426604,0.78,1.29,-1.02,0.0,0.0,-7.611824372958307,0.0,-17.451091301699794,0.0,-12.326298654559547,-5.7,-5.61,0.0,0.46,0.17,9,2000,0.0,177.06862745098042,-180.61
2000-12-31,719.4899999999998,-10.469999999999999,-0.05917730793384969,0.0,5.519999999999996,-17.439999999999998,-1.9399999999999977,0.32,736.9299999999998,-43.16000000000001,36.99,83.55,192.69,382.14,1298.28,1941.18,544.98,278.02,12.39,875.82,209.31,1085.13,1770.0,856.05,-29.069999999999993,106.51,50.66,15.5,-1.368767908309456,0.66,1.27,-1.08,0.0,0.0,-2.156684111366966,0.0,-4.891990789198241,0.0,-3.640500314004605,-4.96,-4.85,0.0,0.44,0.22,12,2000,0.0,176.92592592592592,-191.08
2001-03-31,787.02,-22.78,-0.13,0.0,46.53,-12.2,3.06,0.34,799.22,-22.09,24.8,86.93,160.95,317.93,1283.1,1862.92,354.97,404.88,15.99,825.82,204.54,1030.36,1770.0,832.56,174.22,-0.25,-186.15,15.26,-0.655,0.72,1.24,-0.13,0.0,0.0,-4.88,-2.48,-10.96,-10.36,-4.72,-2.95,-2.89,0.0,0.38,0.19,3,2001,0.0,175.23076923076923,-22.78
2001-06-30,751.4200000000001,-12.21,-0.06979136896256075,0.0,44.94,-0.9500000000000011,14.290000000000001,0.38,752.3699999999999,-13.510000000000002,22.97,118.43,206.44,396.2,1267.35,1921.64,165.75,452.81,6.31,698.28,403.0,1101.28,1770.0,820.36,-26.560000000000002,5.12,19.599999999999994,15.24,-1.361199836199836,0.82,1.34,-0.2,0.0,0.0,-2.540405830237211,-0.9072877965132896,-5.960182909402686,-5.667059159759931,-1.4935352957987997,-2.31,-2.27,0.0,0.57,0.27,6,2001,0.0,174.95,-34.99
2001-09-30,926.5999999999999,3.7500000000000036,0.021606914212548036,0.0,42.91,12.61,27.33,0.26,913.99,-6.079999999999998,23.38,126.96,186.74,383.0,1252.54,1894.99,157.96,443.14,12.54,675.48,395.41,1070.89,1770.0,824.1,26.560000000000002,0.9900000000000002,-27.139999999999986,14.719999999999999,2.999039999999997,0.56,1.3,-0.18,0.0,0.0,0.7922535211267613,0.014404609475032023,1.8197823303457124,1.7765685019206163,0.019206145966709366,-1.29,-1.27,0.0,0.57,0.29,9,2001,0.0,173.55555555555554,-31.24
2001-12-31,602.4099999999999,-30.780000000000005,-0.1737020316027088,0.0,18.77000000000001,-22.48,-7.229999999999997,0.3,624.8899999999999,-28.229999999999997,34.09,111.97,155.52,343.96,1236.84,1843.01,252.94,131.51,17.76,660.33,388.66,1048.99,1770.0,794.02,-73.14,-0.6100000000000003,84.47,15.25,-0.43321312540610785,0.67,1.32,-0.35,0.0,0.0,-6.690009674298614,-2.4219026120606255,-15.504147049338924,-14.92844888745566,-3.8710738471460817,-2.06,-2.02,0.0,0.52,0.29,12,2001,0.0,177.20000000000002,-62.02
2002-03-31,679.66,10.57,0.06,0.0,56.36,19.67,39.51,0.4,659.98,7.44,31.79,122.14,141.95,335.09,1224.03,1822.47,0.12,204.3,19.61,635.92,381.95,1017.87,1770.0,804.6,100.25,0.26,-102.82,19.84,1.6825000000000003,0.89,1.27,0.06,0.0,0.0,2.32,4.28,5.24,5.16,6.639999999999999,1.58,1.56,0.0,0.53,0.3,3,2002,0.0,176.16666666666669,10.57
2002-06-30,803.5500000000001,19.06,0.10935538305771178,0.0,61.43000000000001,27.18,42.98,0.67,776.3799999999999,4.69,28.45,127.42,199.56,396.96,1213.8,1873.78,49.91,200.63,23.81,674.88,375.25,1050.13,1770.0,823.66,-61.4,-0.23,58.28999999999999,15.8,1.5351324763903464,1.44,1.27,0.17,0.0,0.0,4.065447181910226,6.355477556530543,9.263044211947351,9.263044211947351,10.060695241309483,2.05,2.0,0.0,0.59,0.29,6,2002,0.0,174.2941176470588,29.63
