,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2001-09-30,,,,,,,,,0.0,,,52.4,40.29,185.8,287.83,132.61,448.73,132.12,35.27,16.62,240.75,7.77,248.52,120.0,200.2,,,,,,0.0,1.24,0.29,0.0,0.0,,,,,,7.65,7.63,1.2,0.42,9,2001,,113.41379310344828,32.89
2001-12-31,160.10999999999996,2.6000000000000014,0.021978021978021987,0.0,21.64,4.840000000000003,16.909999999999997,0.63,0.0,155.27000000000004,4.590000000000003,47.99,62.88,142.18,262.84,132.34,423.9,65.82,48.17,15.23,148.27,6.71,154.98,150.0,268.91,36.489999999999995,-10.569999999999999,-30.33,12.07,7.132124999999996,0.35,0.58,0.3,0.0,0.0,2.452747252747254,0.0,3.86813186813187,0.0,5.219047619047621,6.02,6.0,1.77,0.81,12,2001,0.0,118.30000000000001,35.49
2002-03-31,176.93,9.34,0.060000000000000005,0.0,28.49,10.79,19.76,0.66,0.0,166.14,10.67,45.76,99.55,127.72,285.18,120.48,435.63,58.44,64.1,12.84,169.22,3.16,172.37,150.0,263.26,7.87,3.03,-13.13,8.97,2.7525,0.38,0.65,0.06,0.0,0.0,8.56,0.0,14.2,0.0,16.2,5.29,5.28,1.69,0.93,3,2002,0.0,155.66666666666666,9.34
2002-06-30,141.32,-6.89,-0.05624489795918367,0.1,10.690000000000001,-5.859999999999999,3.139999999999997,0.58,0.0,147.18,-6.05,45.89,74.86,128.24,267.98,125.9,402.9,55.52,59.36,10.48,143.45,3.1,146.54,150.0,256.36,13.07,6.860000000000001,-19.79,8.999999999999998,-2.572677793904209,0.34,0.57,0.02,0.1,5.0,-6.861877551020408,-0.0,-10.799020408163264,-0.0,-21.373061224489792,0.77,0.77,1.87,0.97,6,2002,12.25,122.5,2.45
2002-09-30,149.76,12.82,0.08395546823837591,0.019777341191879502,30.369999999999997,14.05,23.92,0.51,0.0,135.70999999999998,13.849999999999998,38.13,67.06,199.89,330.26,148.1,487.7,121.41,68.75,7.4,216.24,2.27,218.51,150.0,269.19,-35.160000000000004,-32.010000000000005,59.400000000000006,9.870000000000001,1.521640015600624,0.28,0.81,0.1,0.1,1.0,10.511224623444663,13.600785854616895,19.041100196463656,21.862003929273087,23.473948919449903,3.27,3.26,1.53,0.6,9,2002,3.0199999999999996,152.7,15.27
2002-12-31,259.4,33.07000000000001,0.21891601158460908,-0.0010839884153909707,57.60000000000001,34.69,44.71,0.5,0.0,224.71000000000004,34.04,53.58,115.42,143.65,336.78,155.8,502.18,96.85,56.99,9.72,173.59,26.35,199.93,150.0,302.25,28.96,-16.76,3.2399999999999984,10.02,0.5700816449954641,0.25,0.66,0.32,0.1,0.31,26.352014894497316,31.715457178320236,43.75583781547374,46.32810095159289,44.686230864708314,6.66,6.65,1.94,1.11,12,2002,-0.1637499999999985,151.0625,48.34
2003-03-31,146.19,3.52,0.02,0.0,22.09,4.81,15.32,0.8,0.0,141.38,4.76,54.7,71.23,167.96,316.74,152.03,474.02,75.62,48.02,9.51,173.72,24.54,198.26,150.0,275.76,26.02,-0.6,-24.29,10.51,10.03,0.44,0.72,0.02,0.0,0.0,2.96,4.24,5.12,5.24,6.4,2.42,2.41,1.82,0.86,3,2003,0.0,176.0,3.52
2003-06-30,179.92000000000002,6.610000000000001,0.0326258637709773,0.2,29.099999999999998,12.02,22.58,0.67,0.0,167.89999999999998,11.09,55.92,78.61,149.1,295.22,142.2,442.04,71.94,34.85,12.02,137.8,21.86,159.66,200.0,282.38,35.239999999999995,-0.5100000000000001,-33.51,10.56,5.141626323751891,0.48,0.57,0.05,0.2,4.0,5.977058242843041,10.388075024679171,9.37014807502468,9.81385982230997,14.433682132280358,3.12,3.11,2.14,1.06,6,2003,40.52,202.6,10.13
2003-09-30,187.18999999999994,14.08,0.0697893432465923,-0.0008426270136307042,35.650000000000006,14.350000000000001,24.950000000000003,1.17,0.0,172.84000000000003,16.809999999999995,62.52,79.06,180.34,338.96,152.48,495.95,65.21,67.07,10.71,180.15,19.34,199.49,200.0,296.46,39.61000000000001,-22.32,-10.700000000000003,10.600000000000001,4.195482954545454,0.79,0.67,0.12,0.2,1.67,11.352399834779016,14.748814539446508,19.00596447748864,19.913225939694343,22.96069392812887,4.74,4.72,1.88,0.88,9,2003,-0.1699999999999946,201.75000000000003,24.21
2003-12-31,206.3900000000001,3.0299999999999976,0.015572687224669592,-0.007378854625550722,31.11,1.1499999999999986,-4.910000000000004,1.38,0.0,205.24,-2.429999999999996,46.28,81.1,170.48,314.36,207.11,525.77,103.34,47.24,10.72,209.63,16.65,226.28,200.0,299.49,-27.08,-6.59,28.93,-6.060000000000002,22.11564356435645,0.92,0.76,0.14,0.2,1.43,2.3047577092510996,2.798634361233478,4.048898678414093,4.026651982378851,4.551674008810569,3.8,3.78,1.5,0.69,12,2003,-1.4357142857142975,194.57142857142856,27.24
