,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,243.13,-134.94,-1.7999999999999998,0.0,-22.3,-92.19,-30.96,0.83,0.0,335.32,-86.36,2.76,65.33,313.52,1906.74,1798.12,5042.61,318.55,95.86,0.0,533.19,1540.46,2073.65,750.36,2891.3,-63.0,-8.64,18.65,61.23,-0.115,0.22,0.72,-1.8,0.0,0.0,-10.72,0.0,-18.68,0.0,-8.16,-57.82,-55.5,0.0,3.58,2.99,3,2000,0.0,74.96666666666667,-134.94
2000-06-30,251.25,-140.5,-1.8720410978797561,0.0,-7.07,-97.31,-28.299999999999997,0.32,0.0,348.56,-106.63000000000001,10.19,62.79,278.52,1856.96,1853.12,4984.9,312.53,117.41,33.0,586.14,1569.72,2155.87,750.36,2750.8,20.020000000000003,-7.879999999999999,-11.11,69.01000000000002,-0.044109608540925264,0.09,0.78,-3.67,0.0,0.0,-11.283255881498693,0.0,-20.4241214057508,0.0,-8.794002323555038,-57.99,-55.71,0.0,3.17,2.69,6,2000,0.0,75.05177111716621,-275.44
2000-09-30,321.65,-96.39999999999998,-1.2858864027538723,0.0,34.43,-53.96000000000001,14.809999999999995,0.49,0.0,375.61,-44.389999999999986,2.63,83.79,280.27,1873.49,1695.22,4870.17,343.69,120.85,66.5,648.7,1490.25,2138.95,750.36,2654.4,-16.32,-16.01,31.160000000000004,68.76999999999998,-0.09643153526970956,0.14,0.81,-4.96,0.0,0.0,-7.922719449225472,0.0,-14.528442340791736,0.0,-5.983519793459551,-46.68,-45.57,0.0,2.89,2.46,9,2000,0.0,74.96774193548387,-371.84
2000-12-31,391.31999999999994,-59.08000000000004,-0.7869655620532818,0.0,54.33,-11.849999999999994,61.89,0.49,0.0,403.1700000000001,-35.889999999999986,43.84,68.69,1405.98,1662.47,1728.38,4826.64,260.5,127.01,112.1,633.78,1533.95,2167.73,750.36,2582.03,101.33,-8.229999999999997,-59.22,73.74000000000001,-0.16411137440758283,0.14,0.84,-5.74,0.0,0.0,-4.897283950617287,0.0,-9.15293047433399,0.0,-3.339805068226123,-37.02,-35.69,0.0,2.62,0.4,12,2000,0.0,75.07317073170732,-430.92
2001-03-31,371.12,-59.15,-0.7900000000000001,0.0,27.86,-28.57,36.58,0.49,0.0,399.68,-47.49,5.32,101.26,230.13,1633.47,1693.21,4366.66,226.08,126.47,128.6,598.96,1155.93,1754.89,750.36,2522.88,-14.98,351.89,-375.43,65.15,-0.155,0.15,0.7,-0.79,0.0,0.0,-5.4,-2.44,-9.36,-8.76,-3.04,-16.83,-15.94,0.0,2.73,2.34,3,2001,0.0,74.87341772151898,-59.15
2001-06-30,398.78,-33.48,-0.4445687142394472,0.0,49.769999999999996,-4.030000000000001,58.16,0.91,0.0,402.82,-18.57999999999999,4.82,99.01,1368.87,1615.94,1694.82,4349.98,236.64,158.34,132.45,660.1,1111.56,1771.66,750.36,2489.4,93.24000000000001,-65.0,-28.74000000000001,62.19,-0.511844384707288,0.27,0.71,-1.23,0.0,0.0,-3.0794515815610493,-1.0120263413580912,-5.378197128360143,-5.11796178343949,-1.2722616862787433,-12.6,-12.03,0.0,2.45,0.37,6,2001,0.0,75.3089430894309,-92.63
2001-09-30,599.86,156.20999999999998,2.0883689839572193,0.0,106.45000000000002,192.6,221.88,0.97,0.0,407.26,36.22999999999999,10.46,118.03,1438.94,1753.91,1717.35,4601.28,208.11,175.4,208.71,773.79,1085.37,1859.16,750.36,2645.62,11.659999999999997,-19.71999999999997,13.699999999999989,29.28,0.11599961590167082,0.28,0.7,0.85,0.0,0.0,13.562113872286881,33.21735136835482,23.58628499528153,23.58628499528153,41.079446366782,5.55,4.64,0.0,2.27,0.41,9,2001,0.0,74.8,63.58
2001-12-31,453.55999999999995,41.5,0.552912066996574,0.0,113.55999999999997,66.93,118.49000000000001,1.48,0.0,386.6400000000001,28.14,12.19,112.06,1430.77,1668.16,1711.89,4509.71,229.22,157.32,249.73,747.8,977.9,1725.7,750.36,2687.11,131.74,-18.120000000000005,-111.88999999999999,51.56,0.6709927710843373,0.41,0.64,1.4,0.0,0.0,3.680814617434336,7.677578987438142,6.176817662733156,6.303197563760944,9.525885039969548,6.6,5.76,0.0,2.23,0.32,12,2001,0.0,75.05714285714286,105.08
2002-03-31,461.27,30.96,0.41,1.0,103.1,53.05,105.93,2.28,0.0,408.22,29.22,27.28,132.54,1409.78,1676.16,1718.79,4520.93,277.57,143.55,247.82,786.46,919.55,1706.01,750.36,2718.07,62.67,-45.94,-1.65,52.88,1.39,0.63,0.63,0.41,1.0,2.44,2.72,4.76,4.56,4.72,5.68,7.08,6.71,0.0,2.13,0.34,3,2002,75.51219512195122,75.51219512195122,30.96
2002-06-30,494.47,42.24,0.5655081967213115,-0.010955617752898902,121.67000000000002,62.06,109.03999999999999,3.95,0.0,432.40999999999997,44.480000000000004,7.28,148.55,1397.55,1669.13,1742.95,4539.03,461.12,176.36,66.0,914.63,841.76,1756.4,750.36,2685.71,91.95,-56.82000000000001,-54.54,46.98,1.7459517045454547,1.1,0.65,0.98,1.0,1.02,3.7161967213114755,5.978229508196721,6.301377049180329,6.532196721311476,7.3400655737704925,8.01,7.66,0.0,1.82,0.3,6,2002,-0.8183175709308159,74.6938775510204,73.2
