,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,941.1,206.52,0.47,0.0,411.9,330.24,564.75,16.38,610.86,273.85,311.12,624.38,28.0,1483.11,1207.45,10548.02,132.87,157.41,1310.22,2382.75,4379.16,6761.9,4375.0,3760.75,463.48,-288.13,-183.38,234.51,8.71,19.05,1.8,0.47,0.0,0.0,7.84,0.0,21.96,0.0,16.16,23.95,21.94,0.0,0.62,0.61,3,2000,0.0,439.404255319149,206.52
2000-06-30,985.85,152.21,0.3479279681097204,0.0,465.95000000000005,274.9,518.4000000000001,14.13,710.9499999999999,339.3299999999999,1020.97,504.62,32.54,1944.82,1284.45,10888.45,0.0,228.44,2229.6,3520.53,3425.01,6945.54,4375.0,3918.1,953.8399999999999,-1.240000000000009,-242.75,243.5,10.151957657184154,15.77,1.77,0.82,0.0,0.0,5.583819585760878,0.0,15.546439940902628,0.0,13.93409082039417,19.9,18.62,0.0,0.55,0.54,6,2000,0.0,437.4756097560976,358.73
2000-09-30,1110.7699999999998,98.40999999999997,0.22388414927593292,0.0,497.0300000000001,225.33000000000004,487.73,15.25,885.44,376.6500000000001,711.96,501.12,30.5,1756.69,1914.07,11178.71,540.0,177.45,2076.34,3868.09,3329.53,7197.62,4375.0,3956.74,539.6600000000001,-821.4699999999999,-27.189999999999998,262.4,17.024876536937306,16.86,1.82,1.04,0.0,0.0,3.521869886686791,0.0,9.945622785142405,0.0,9.782015137594607,16.02,15.05,0.0,0.45,0.45,9,2000,0.0,439.55769230769226,457.14
2000-12-31,1196.1799999999998,253.39999999999998,0.5777408731387396,0.0,570.9499999999998,371.3899999999999,-369.0200000000002,14.38,824.79,414.43999999999994,643.41,568.06,26.54,1761.02,2707.08,11831.62,1157.59,743.94,2493.1,5032.22,2561.4,7593.62,4375.0,4214.14,294.3499999999999,-177.01,-123.66000000000003,-740.41,6.217926006314128,14.92,1.8,1.62,0.0,0.0,8.573389253244011,0.0,24.051138570664563,0.0,25.22088552368621,17.69,16.78,0.0,0.35,0.34,12,2000,0.0,438.6049382716049,710.54
2001-03-31,1229.6,278.75,0.64,0.0,558.21,379.91,631.19,14.5,849.7,410.86,1052.94,518.29,59.24,2140.76,2833.74,12217.97,930.09,799.88,2395.58,4939.35,2754.65,7694.0,4375.0,4500.4,873.63,-174.54,-314.55,251.28,5.665,14.1,1.71,0.64,0.0,0.0,9.12,13.36,24.76,27.0,20.88,24.08,22.67,0.0,0.43,0.42,3,2001,0.0,435.546875,278.75
2001-06-30,1290.2000000000003,363.19000000000005,0.8316809982241331,0.0,589.99,458.74999999999994,717.19,16.13,831.44,444.12,419.86,423.77,38.4,1517.0,3192.84,11743.7,523.87,793.97,2143.24,4327.92,2520.62,6848.54,4375.0,4871.86,555.5200000000001,-134.9,-1033.98,258.44000000000005,4.847381398166249,14.48,1.41,1.47,0.0,0.0,12.379034177649,16.76940461725395,29.827362058759388,33.06356294980839,25.59540704738761,26.78,25.48,0.0,0.35,0.34,6,2001,0.0,436.6938775510205,641.94
2001-09-30,1358.9399999999996,529.74,1.2116816878328553,0.0,592.75,619.4,882.9699999999998,13.5,739.5399999999997,457.1299999999999,313.91,428.24,38.21,1321.42,3835.57,12109.69,1720.72,167.38,2023.23,4606.36,2089.38,6695.74,4375.0,5390.96,-304.27,-730.9199999999998,894.6199999999999,263.56999999999994,2.786870540265036,10.96,1.24,2.68,0.0,0.0,17.506087668988116,22.642171241294548,39.29827324866857,45.33859688652191,35.138768947152805,32.25,30.21,0.0,0.29,0.28,9,2001,0.0,437.1940298507463,1171.68
2001-12-31,1282.6599999999999,391.47,0.8940587275693311,0.0,516.6099999999999,470.5,746.3299999999999,12.75,812.1600000000003,377.6200000000001,799.42,661.61,39.79,1882.08,5664.44,14376.57,2509.97,925.97,2249.22,6619.61,1961.2,8580.82,4375.0,5776.84,1080.1,-1791.07,1172.23,275.8299999999999,3.563775959843666,9.66,1.49,3.57,0.0,0.0,10.888984166586699,14.745708089434796,27.10725957201804,31.344647154783612,24.903417330390557,32.45,30.29,0.0,0.28,0.28,12,2001,0.0,437.8571428571429,1563.15
2002-03-31,1302.57,389.26,0.89,0.0,524.83,471.27,736.34,12.63,831.3,363.01,873.25,732.18,42.17,2022.63,6431.91,15155.96,3042.82,582.29,2132.65,6829.22,2157.72,8986.94,4375.0,6150.56,607.99,-1121.54,567.13,265.07,3.5475000000000003,8.98,1.46,0.89,0.0,0.0,10.28,13.76,25.32,29.24,22.64,32.6,29.88,0.0,0.3,0.29,3,2002,0.0,437.3707865168539,389.26
2002-06-30,1398.11,414.36,0.948734974241557,0.0,535.0399999999998,483.15,758.16,12.5,914.96,306.08000000000004,738.99,627.59,81.42,1903.67,7595.19,15994.17,4438.93,163.94,1622.06,7205.84,2235.89,9441.73,4375.0,6534.43,553.3699999999999,-1661.2600000000002,970.67,275.01000000000005,3.2921733516748724,8.37,1.44,1.84,0.0,0.0,10.353586023244818,14.1897752669172,25.36834822428511,29.060164754485953,22.398395261441973,33.28,29.76,0.0,0.26,0.25,6,2002,0.0,436.75,803.62
2002-09-30,1374.44,354.9999999999999,0.8119573285460286,0.0,525.2800000000002,407.87,682.9699999999998,8.8,966.5800000000002,350.2199999999999,499.74,811.99,165.4,2137.48,8022.4,16523.74,5308.79,187.63,1176.91,7219.2,2358.82,9578.02,4375.0,6928.08,-171.9999999999999,-453.7999999999997,397.01,275.0999999999999,2.708886197183099,5.56,1.38,2.65,0.0,0.0,8.591427732992695,11.66767361171048,20.491964578550338,23.053460150869128,17.942724965907715,31.19,28.43,0.0,0.3,0.27,9,2002,0.0,437.2150943396226,1158.62
2002-12-31,1353.75,251.9000000000001,0.5750489181294844,0.0,526.8699999999999,312.79999999999995,603.3100000000004,8.35,1040.94,236.3800000000001,519.7,759.67,407.87,2272.16,11649.33,20307.27,2617.01,1094.42,759.97,5328.55,7774.61,13103.15,4375.0,7186.8,582.7199999999999,-2882.78,2321.7500000000005,290.5100000000001,3.6256915442635953,5.08,1.82,3.22,0.0,0.0,4.9647080509315735,6.900587017553812,14.022621444573637,15.544179451549791,7.986393670419423,28.23,25.98,0.0,0.43,0.35,12,2002,0.0,438.04968944099375,1410.52
2003-03-31,1427.88,352.7,0.81,0.0,620.12,466.31,762.62,5.75,961.57,449.99,370.48,1204.77,550.23,2685.47,13882.16,22171.94,1037.12,1147.24,634.12,3916.91,10464.86,14381.77,4375.0,7521.4,287.28,-1778.43,1256.66,296.31,1.7749999999999997,3.34,1.91,0.81,0.0,0.0,6.36,10.0,18.76,20.64,10.2,25.01,24.7,0.0,0.69,0.55,3,2003,0.0,435.43209876543204,352.7
2003-06-30,1503.9899999999998,260.18,0.5943284166557891,0.0,630.93,390.46999999999997,705.62,11.25,1113.52,349.54999999999995,1102.67,947.7,654.16,3227.1,15435.07,24101.2,947.0,491.61,691.77,4337.59,11724.38,16061.96,4375.0,7753.36,1196.18,-1730.22,1268.82,315.15000000000003,4.734755938196633,6.35,2.07,1.4,0.0,0.0,4.313126223730583,7.250806683200626,13.414841404516382,14.569536614019057,7.369672366531785,21.34,20.9,0.0,0.74,0.59,6,2003,0.0,437.7714285714286,612.88
2003-09-30,1513.54,205.32000000000005,0.46925983867025184,0.0,981.1299999999999,324.3399999999999,685.4199999999998,10.65,1189.19,710.8600000000001,630.03,1010.24,655.9,2779.25,16733.83,24748.09,892.0,388.64,678.91,3868.62,12680.37,16548.99,4375.0,7896.26,-191.55999999999995,-1286.1100000000001,999.6799999999998,361.0799999999999,5.678623611922852,5.9,2.1,1.87,0.0,0.0,3.3224600342214625,5.74153214373014,10.39899877780494,11.081558543143487,5.6813062820826215,18.93,18.41,0.0,0.72,0.55,9,2003,0.0,437.5401069518717,818.2
2003-12-31,1771.4300000000003,262.0899999999999,0.5992486276833072,0.0,60.570000000000164,396.49,-576.05,16.75,1374.94,-339.8700000000001,820.12,923.29,547.96,2670.89,17104.47,25115.99,897.0,414.61,1578.27,4652.68,12020.07,16672.76,4375.0,8078.42,589.25,-1392.33,997.9000000000005,-972.54,6.986499103361443,9.07,2.06,2.47,0.0,0.0,4.172905423543677,6.7445796961926865,12.974824537855572,13.73177017282396,7.482116468725988,18.61,17.38,0.0,0.57,0.46,12,2003,0.0,437.36437246963555,1080.29
2004-03-31,1515.48,190.51,0.44,0.5,680.97,305.5,305.5,12.75,1209.98,389.77,997.2,1067.75,564.85,3022.48,17911.7,26596.94,1407.0,433.83,2648.03,6045.0,11889.49,17934.49,4379.11,8267.41,615.41,-926.49,486.6,0.0,7.245,6.75,2.17,0.44,0.5,1.14,2.88,5.0,9.2,9.64,5.96,12.85,12.57,0.0,0.5,0.41,3,2004,216.48863636363635,432.9772727272727,190.51
2004-06-30,1279.3400000000001,248.87,0.28320588101415634,0.2536430466069958,288.25,365.09000000000003,1030.92,12.9,914.2399999999998,111.78000000000003,474.93,902.03,439.14,2370.46,18349.81,26280.41,928.0,424.34,2937.1,5363.78,12123.66,17487.44,4379.78,8719.34,499.0300000000001,-1234.4999999999998,1691.1100000000001,665.83,11.387475388757183,6.48,2.01,0.5,0.5,1.0,3.783630570349128,6.026621147981247,11.418861122490782,12.075898766443625,7.272727024443534,16.9,15.72,0.0,0.44,0.36,6,2004,222.89136363636365,878.76,439.38
2004-09-30,1161.5,96.12,0.10949243697478991,-0.0005075630252100374,712.6700000000001,168.48000000000002,499.30999999999995,13.8,993.0400000000004,440.57,481.88,870.0,482.68,2697.14,19109.35,27215.38,923.0,495.18,2838.76,5781.59,12525.65,18307.24,4384.41,8833.72,544.3199999999999,-692.9900000000002,148.90999999999985,330.8299999999999,31.50491573033708,6.85,2.07,0.61,0.5,0.82,1.4144268907563025,2.3190857142857144,4.350978151260504,4.595092436974791,2.807314285714286,14.47,13.54,0.0,0.47,0.38,9,2004,-0.4455737704917624,877.8688524590165,535.5
2004-12-31,1610.2099999999996,320.62,0.3670135027799841,-0.002447948540996681,220.51,477.85,757.1199999999999,17.9,1132.3599999999997,-38.360000000000014,992.9,991.24,325.55,2726.13,19638.11,27586.69,1392.1,585.47,2707.89,6135.14,12287.43,18422.57,4384.41,9091.59,901.3999999999999,-713.48,315.80999999999995,279.2700000000001,12.196145281018026,8.63,2.03,0.98,0.5,0.51,4.643844320889595,7.490071485305798,14.111294678316124,14.935202541699763,9.19780778395552,16.72,15.38,0.0,0.44,0.39,12,2004,-2.1385078621613047,873.5918367346939,856.12
2005-03-31,1284.38,201.02,0.23,0.0,414.93,295.5,619.65,16.1,988.88,242.44,1032.66,1015.05,385.33,2910.38,20171.06,28076.62,1397.62,380.53,2300.08,6245.63,12480.92,18726.54,4387.31,9297.1,468.36,-681.86,269.16,324.15,17.5,7.6,2.01,0.23,0.0,0.0,2.88,4.32,8.64,9.16,5.4,16.35,15.65,0.0,0.47,0.4,3,2005,0.0,874.0,201.02
2005-06-30,2766.0299999999997,582.35,0.6467499393645404,0.0,552.45,1032.75,1378.2400000000002,15.8,1733.2799999999997,292.03000000000003,2064.41,1259.85,429.09,5955.31,23031.57,33408.38,469.06,596.09,1800.75,5112.57,15123.25,20235.82,5435.52,13115.21,416.68999999999994,-2919.4,3521.88,345.49,6.107151712887439,6.55,1.54,0.87,0.0,0.0,6.958137278680572,13.232355081251516,17.75217074945428,21.35018190637885,13.946010186757217,27.45,19.34,0.0,1.16,1.08,6,2005,0.0,900.4252873563219,783.37
2005-09-30,1414.46,144.97000000000003,0.1499140401146132,0.0,444.0200000000001,224.91000000000008,634.6299999999999,15.8,1189.5500000000002,210.16999999999996,1648.53,1200.9,402.46,4860.48,24328.19,33374.08,28.0,522.14,2563.41,4937.8,15139.34,20077.13,5453.79,13239.33,-117.67999999999995,-699.4399999999996,387.09000000000015,409.7199999999999,26.35110091743119,6.51,1.52,0.96,0.0,0.0,1.7365042979942695,3.204412607449857,4.378739255014327,5.253237822349571,3.4105444126074502,21.83,16.99,0.0,0.98,0.9,9,2005,0.0,967.0208333333334,928.34
2005-12-31,1449.5900000000001,279.37,0.27989972758360865,0.0,277.24,51.419999999999845,580.6399999999999,14.9,1398.17,-59.99000000000001,677.14,1203.15,605.54,3221.4,8241.78,33687.13,38.0,582.61,2888.82,5590.82,14512.18,20103.0,5453.79,13526.24,1079.79,-2211.16,169.59999999999945,529.22,13.303960786770233,6.01,1.49,1.21,0.0,0.0,3.321785196777372,4.8485109835970555,8.262825015939256,9.88207963832377,5.2833965107517535,21.61,17.47,0.0,0.58,0.47,12,2005,0.0,998.1074380165289,1207.71
