,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2005-06-30,,,,,,,,,0.0,,,17.49,0.0,541.0,34.1,,,0.0,6,2005,,,,,,,,,,,,
2005-09-30,14.259999999999998,,,,,,,,0.0,3.7600000000000002,-1.45,37.52,0.0,541.73,24.34,20.029999999999973,0.0,0.0,9,2005,,,,,,,,,,,,
2005-12-31,14.98,,,,,,,9.95,0.0,4.32,-1.7800000000000002,36.75,0.0,540.6,24.92,11.610000000000014,-12.370000000000005,0.25,12,2005,,,,,,,,,,,,
2006-03-31,46.93,,,,,,,10.0,0.0,12.76,-5.32,37.88,0.0,578.23,25.41,-444.15,482.02,0.21,3,2006,,,,,,,,,,,,
2006-06-30,-30.52,,,,,,,9.75,0.0,-7.76,2.9200000000000004,40.15,0.0,580.95,26.82,456.52,-492.12,0.41,6,2006,,,,,,,,,,,,
2006-09-30,16.139999999999997,,,,,,,9.55,0.0,4.41,-1.94,40.68,0.0,581.44,26.19,11.140000000000002,-10.6,0.62,9,2006,,,,,,,,,,,,
2006-12-31,16.32,,,,,,,9.85,0.0,4.539999999999999,-1.8399999999999999,8.52,0.0,582.69,26.76,-21.05,-11.120000000000001,0.84,12,2006,,,,,,,,,,,,
2007-03-31,64.33,,,,,,,10.0,0.0,18.3,-8.27,23.82,0.0,581.78,26.9,28.87,-42.92,0.22,3,2007,,,,,,,,,,,,
2007-06-30,-47.129999999999995,,,,,,,10.2,0.0,-14.74,7.39,1.59,0.0,984.85,39.02,-428.43,420.24,0.57,6,2007,,,,,,,,,,,,
2007-09-30,22.390000000000004,,,,,,,10.1,0.0,3.9099999999999997,-0.93,32.77,0.0,1003.53,39.22,31.180000000000007,0.0,0.57,9,2007,,,,,,,,,,,,
2007-12-31,20.97,,,,,,,10.0,0.0,4.29,-1.2999999999999998,3.47,0.0,989.64,32.66,-5.269999999999982,-24.019999999999982,0.84,12,2007,,,,,,,,,,,,
2008-03-31,81.36,,,,,,,9.9,0.0,17.09,-5.08,35.48,0.0,1006.22,30.28,-324.09,335.74,0.2,3,2008,,,,,,,,,,,,
2008-09-30,-43.73,,,,,,,9.4,0.0,-8.35,3.3200000000000003,51.56,0.0,1002.8,30.81,373.02,-368.59000000000003,0.56,9,2008,,,,,,,,,,,,
2008-12-31,18.83,,,,,,,7.4,0.0,4.359999999999999,-0.97,32.32,0.0,1002.17,30.11,-4.839999999999996,-14.399999999999999,0.72,12,2008,,,,,,,,,,,,
