,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,3648.1,-295.55,-0.58,0.0,955.75,443.39,930.99,11.25,0.0,3204.71,218.43,855.32,2348.66,4614.03,8106.97,63837.35,77817.07,12206.79,1311.88,14979.45,53981.99,167.06,54149.04,5075.0,23668.03,-291.78,-68.58,-16.38,487.6,-4.85,0.24,2.29,-0.58,0.0,0.0,-1.52,0.0,-5.0,0.0,7.44,-8.65,-8.1,0.0,0.15,0.06,3,2000,0.0,509.56896551724145,-295.55
2000-06-30,3376.14,-1323.78,-2.6077811193518308,0.0,839.5699999999999,-668.48,61.25,13.0,0.0,4044.62,98.29000000000002,926.58,1891.5,4571.6,7994.07,63200.45,76327.5,13551.22,1029.24,15298.24,54457.31,143.06,54600.37,5075.0,21727.12,694.8499999999999,-114.45,-160.4,729.7299999999999,-1.2477274169423922,0.3,2.51,-3.19,0.0,0.0,-6.932283351756591,0.0,-24.361090080465377,0.0,-3.368043326560985,-23.82,-23.05,0.0,0.15,0.06,6,2000,0.0,507.62695924764887,-1619.33
2000-09-30,3723.83,-2545.88,-5.01204405060009,0.0,828.6699999999998,-1627.01,-1153.39,10.25,0.0,5350.84,104.25,1657.72,1777.99,4311.39,8008.11,62595.55,75310.65,15035.24,1003.08,16504.09,56369.14,145.32,56514.46,5075.0,18796.19,330.13000000000005,-20.849999999999994,58.879999999999995,473.6200000000001,-0.5112684513802692,0.28,3.01,-8.2,0.0,0.0,-13.520294438935853,0.0,-54.178973737218534,0.0,-23.911117470667744,-39.27,-38.75,0.0,0.14,0.07,9,2000,0.0,507.9524390243903,-4165.21
2000-12-31,3561.6499999999996,-1552.1000000000004,-3.059509979343433,0.0,876.7400000000002,-612.3299999999999,-145.89000000000001,9.6,0.0,4173.969999999999,227.31999999999994,858.99,1806.12,4295.65,8036.0,61911.75,74431.65,14723.4,1152.42,17764.32,57406.24,125.86,57532.1,5075.0,16899.55,-373.11000000000007,-58.97000000000003,-417.1700000000001,466.4399999999998,-0.7827642387732747,0.29,3.4,-11.27,0.0,0.0,-8.33967582656879,0.0,-36.73583765791955,0.0,-15.723763798009907,-40.56,-39.95,0.0,0.14,0.07,12,2000,0.0,507.3034605146407,-5717.31
2001-03-31,4407.82,-857.09,-1.69,0.0,1252.04,-175.56,265.61,7.0,0.0,4583.37,311.59,1240.3,2029.64,3939.36,8265.4,61204.7,73496.97,15517.71,934.95,18389.29,57838.46,118.58,57957.04,5075.0,15539.93,-239.43,-11.93,607.63,441.17,-1.035,0.23,3.73,-1.69,0.0,0.0,-4.68,-0.92,-22.08,-17.48,-4.48,-19.84,-19.44,0.0,0.14,0.07,3,2001,0.0,507.1538461538462,-857.09
2001-06-30,4187.4400000000005,-505.90999999999997,-0.9984577402787966,0.0,1132.54,374.32,824.4599999999999,10.75,0.0,3813.13,238.45999999999998,1419.06,1918.63,3841.9,8256.31,60510.59,72768.32,15859.1,913.04,19143.86,57862.38,87.92,57950.3,5075.0,14818.01,-39.75999999999999,-57.910000000000004,288.23,450.13999999999993,-2.6941550868731596,0.37,3.91,-2.69,0.0,0.0,-2.7763806309611154,0.4008677916360968,-13.659198826118853,-11.075828613352897,1.9746450476889215,-16.4,-15.86,0.0,0.14,0.08,6,2001,0.0,506.69144981412643,-1363.0
2001-09-30,10170.81,5935.81,11.695576264922442,0.0,973.0900000000001,6658.3,7127.4,10.75,0.0,3512.5,170.12,1443.22,1911.32,3741.02,8116.53,59797.77,70452.95,15504.24,892.2,19503.29,52833.03,90.21,52923.23,5075.0,17529.72,288.03,-5.890000000000001,-245.97000000000003,469.10000000000014,0.22918708230216261,0.31,3.02,9.01,0.0,0.0,33.69779798417166,48.859210944692656,135.46618634931258,130.74122546093102,202.0829426107798,37.91,24.37,0.0,0.15,0.08,9,2001,0.0,507.5260821309657,4572.81
2001-12-31,1716.9900000000016,-2050.6800000000003,-4.040981075519501,0.0,819.1400000000003,-1454.0200000000004,-1000.7299999999996,11.7,0.0,3171.0200000000004,-79.80999999999995,808.34,1695.85,3841.34,7724.47,59089.24,69388.78,14937.62,1016.13,19982.98,54109.9,61.57,54171.46,5075.0,15217.32,227.09,-379.33,-477.36,453.28999999999996,-0.7225658683948738,0.39,3.56,4.97,0.0,0.0,-11.805844107956371,-24.424762878995136,-53.89058866910113,-51.093611828097686,-115.00128034637392,16.23,12.31,0.0,0.14,0.07,12,2001,0.0,507.4708249496982,2522.13
2002-03-31,4512.72,25.94,0.05000000000000001,0.0,589.75,534.19,975.17,13.2,0.0,3978.54,-304.28,1515.06,1620.55,3416.54,7870.39,57855.36,68841.5,15214.6,931.62,20067.63,53784.86,59.9,53844.75,5075.0,14996.75,275.93,31.84,388.23,440.98,66.0,0.45,3.59,0.05,0.0,0.0,0.16,3.0,0.68,0.68,14.2,0.71,0.57,0.0,0.15,0.08,3,2002,0.0,518.8,25.94
2002-06-30,3852.04,258.61,0.508949569495695,0.0,805.4200000000001,748.1399999999999,1192.6599999999999,20.9,0.0,3103.8900000000003,90.38999999999999,589.14,1337.41,4100.02,7049.82,57002.22,67297.74,14805.27,1027.94,19918.48,52185.26,36.44,52221.71,5075.0,15076.03,-245.75,261.12,-940.83,444.52,10.265850121805036,0.7,3.46,0.56,0.0,0.0,1.526848708487085,6.652697944122298,6.870819188191882,6.907172728870145,30.864156035846076,4.23,3.4,0.0,0.14,0.06,6,2002,0.0,508.125,284.55
2002-09-30,3304.76,-1386.05,-2.7305751248297776,0.0,999.19,-644.55,-198.02999999999997,13.9,0.0,3949.2999999999993,146.64999999999998,420.62,1461.66,3865.24,7327.5,56293.2,66735.59,14945.91,998.62,20981.13,53437.85,36.23,53474.09,5075.0,13261.51,481.93,-538.13,-114.07999999999993,446.52,-1.2735137621297934,0.53,4.03,-2.17,0.0,0.0,-8.304975034044485,4.680985928279618,-41.82687426236949,-35.9882251475261,24.15992737176577,-10.23,-9.44,0.0,0.14,0.06,9,2002,0.0,507.6036866359447,-1101.5
2002-12-31,4010.199999999999,-389.3499999999999,-0.7678096387966594,0.0,1000.8599999999997,211.39999999999998,670.9199999999998,12.7,0.0,3798.8100000000013,99.1,682.94,1461.57,3718.05,6912.61,55601.04,65650.1,700.16,1191.12,2106.75,53013.86,36.13,53050.0,5075.0,12600.1,735.9,514.8,-987.0600000000001,459.52,-4.135400025683833,0.51,4.21,-2.94,0.0,0.0,-2.3713304490726763,1.3162450950799875,-12.358078948250995,-11.198529697823387,7.0199738404266006,-10.31,-9.51,0.0,0.13,0.06,12,2002,0.0,507.09183673469386,-1490.85
2003-03-31,5004.05,317.88,0.64,0.0,1538.89,878.21,1304.25,15.6,9.08,4125.84,486.13,571.85,1612.81,4045.84,7416.48,54935.28,65495.61,507.92,1577.08,41214.23,53244.37,28.07,53272.44,5075.0,12223.17,503.23,-6.08,-608.7,426.04,6.095,0.65,4.36,0.64,0.0,0.0,1.9599999999999997,5.239999999999999,10.4,9.36,28.68,6.99,6.35,0.0,0.14,0.06,3,2003,0.0,496.6875,317.88
2003-06-30,5615.61,1142.9899999999998,2.3237387994825003,0.0,1702.07,1635.8200000000002,2067.79,19.1,9.55,3979.79,604.2600000000001,423.46,1629.88,4062.38,7271.37,60421.66,71247.4,865.11,1066.4,39898.17,51817.29,34.91,51852.2,5075.0,19395.19,452.04999999999995,2.0200000000000005,-602.6699999999998,431.96999999999997,2.0545661160640076,0.5,2.67,2.97,0.0,0.0,6.41570981675303,11.36050079747,23.565997522024546,26.539131339544245,40.49721220916303,15.9,13.76,0.0,0.14,0.06,6,2003,0.0,491.8754208754208,1460.87
