,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-06-30,,,,,,,,,,,23.68,173.6,472.06,4944.74,5794.83,172.26,0.0,361.04,832.66,3124.36,3957.02,1365.0,1837.81,,,,,,0.0,2.15,0.5,0.0,0.0,,,,,,557.66,75.72,6.83,0.57,0.57,6,2014,,1296.12,648.06
2014-09-30,238.58000000000004,111.49000000000001,0.08513488249621487,0.0,8.630000000000003,147.79999999999995,191.48000000000002,,90.78,-5.59,9.06,185.09,425.55,4994.65,5913.32,177.64,248.53,602.47,1047.56,2916.46,3964.02,1365.0,1949.3,136.77999999999997,-122.22000000000003,-29.180000000000064,43.67999999999999,0.0,0.0,2.03,0.58,0.0,0.0,7.538840629319994,0.0,22.880733592258576,0.0,10.533239944704103,377.14,69.4,5.69,0.41,0.41,9,2014,0.0,1309.5689655172414,759.55
2014-12-31,254.23000000000002,-178.28999999999996,-0.12575938478477786,0.0,546.98,-136.01999999999998,-91.31000000000006,7.8,390.25,483.59,7.53,197.17,1660.55,4742.18,6881.39,0.0,0.0,429.07,660.76,2733.13,3393.88,1815.0,3487.34,211.72000000000003,-1351.1100000000001,1137.8600000000001,44.709999999999994,-15.502222783106177,4.06,0.97,0.41,0.0,0.0,-10.367480989574371,-0.0,-20.452770188899976,-0.0,-14.526742593675804,70.44,43.1,3.75,2.51,2.51,12,2014,0.0,1417.7073170731708,581.26
2015-03-31,194.84,140.43,0.08,0.0,-1.2,145.75,153.85,6.45,49.09,-24.58,107.05,18.94,1287.58,1241.42,4193.87,0.36,0.0,107.89,158.27,405.18,563.45,1815.0,3630.42,-57.17,82.63,73.65,8.1,20.1575,3.22,0.16,0.08,0.0,0.0,13.4,0.0,15.48,0.0,14.44,574.12,72.07,24.66,8.14,8.14,3,2015,0.0,1755.375,140.43
2015-06-30,199.30999999999997,140.86,0.07511465036083757,0.0,4.08,147.5,156.63000000000002,6.65,51.81,-18.1,230.73,17.19,1293.61,1330.69,4475.51,0.0,0.0,120.51,167.58,535.34,702.92,1815.0,3772.59,-2.219999999999999,-8.97999999999999,133.57,9.13,22.131168713616354,3.2,0.19,0.15,0.0,0.0,12.599230687191156,11.437457428276867,14.942807778449287,20.090665149845353,13.640820505528103,483.57,71.37,19.49,7.72,7.72,6,2015,0.0,1875.2666666666669,281.29
2015-09-30,183.25,124.88999999999999,0.06764439411098527,0.0,2.6500000000000004,131.58999999999997,142.70999999999998,5.3,51.66999999999999,-16.67,78.74,278.62,1367.14,1400.36,4600.7,0.0,0.0,92.21,142.43,534.29,676.72,1815.0,3923.98,-8.14,-132.88,-37.47999999999999,11.120000000000001,19.586988950276247,2.45,0.17,0.22,0.0,0.0,10.859999999999998,9.93757644394111,12.72944507361268,17.00949037372593,11.720928652321629,435.77,70.35,18.95,9.6,9.6,9,2015,0.0,1846.2727272727273,406.18
2015-12-31,188.22000000000003,120.41000000000003,0.06859796046259899,0.0,3.7800000000000002,133.27000000000004,146.82,3.8,54.94,-19.300000000000004,337.43,47.56,1023.6,1977.47,4844.39,152.95,0.0,93.24,284.43,519.64,804.07,1815.0,4040.33,-19.980000000000004,152.27,130.46999999999997,13.549999999999997,13.852452661739056,1.71,0.2,0.3,0.0,0.0,9.94213106971268,8.707367781385898,11.917752331035532,12.795806224956799,11.195187147496156,408.65,68.78,18.21,3.6,3.6,12,2015,0.0,1755.3000000000002,526.59
2016-03-31,207.38,129.39,0.08,0.0,9.25,138.85,152.04,4.32,68.53,-28.22,415.38,189.6,931.57,2181.21,4986.84,160.0,0.0,92.22,284.85,512.38,797.24,1815.0,4189.6,-13.59,83.99,-12.34,13.19,13.5,1.87,0.19,0.08,0.0,0.0,10.36,12.08,12.36,13.24,11.8,323.96,62.39,15.33,3.27,3.27,3,2016,0.0,1617.3749999999998,129.39
2016-06-30,236.14999999999998,160.53000000000003,0.08859271523178809,0.06,17.53,170.97,185.75000000000003,3.94,65.18,-6.050000000000004,1002.65,52.2,1149.34,2558.04,5961.77,603.51,0.0,207.12,844.03,805.65,1649.68,1815.0,4312.08,30.3,-236.75,722.89,14.78,11.120553167632215,1.66,0.38,0.16,0.06,0.38,10.764014900662254,13.156018211920532,14.883576158940398,15.880244205298014,13.399648178807949,292.73,65.37,10.87,1.36,1.36,6,2016,108.72,1812.0,289.92
2016-09-30,-250.29999999999998,103.50999999999999,0.05788119868845792,-0.00079455049182828,17.11,115.10000000000002,132.35999999999996,4.88,-365.4,-13.139999999999993,649.42,169.28,1048.22,2865.75,6322.11,696.28,0.0,73.13,1015.08,791.87,1806.95,1815.0,4418.14,-1.5300000000000011,-389.94000000000005,33.25,17.259999999999998,21.07592841271375,2.0,0.41,0.22,0.06,0.27,6.545837378949241,8.187558650840048,9.366230333223191,9.923994611493784,8.429607299900871,260.33,203.61,10.18,1.03,1.03,9,2016,-1.4209090909090918,1788.3181818181818,393.43
