,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,4282.68,374.22,5.0,0.0,592.92,462.41,532.83,11.7,3820.26,257.34,1964.52,1631.8,2469.73,6524.63,2197.76,10103.86,331.48,704.13,0.0,1450.87,1355.03,2805.9,749.09,6854.96,392.16,-99.67,-4.22,70.42,0.585,1.28,0.41,5.0,0.0,0.0,14.8,0.0,21.84,0.0,21.36,9.19,8.74,0.0,4.5,2.79,3,2000,0.0,74.84400000000001,374.22
2000-06-30,4224.709999999999,241.64,3.2252148215503524,12.0,488.17999999999995,412.34,490.5899999999999,8.35,3812.38,153.57000000000005,961.17,1358.14,2895.01,5753.45,2384.75,9563.69,383.38,823.95,0.0,1493.37,1332.11,2825.48,749.09,6245.77,74.34999999999997,-310.2,-790.88,78.24999999999999,0.6499101969872537,1.0,0.45,8.22,12.0,1.46,10.107242555126165,0.0,15.474753353034778,0.0,17.01281200272789,7.67,7.24,0.0,3.85,1.91,6,2000,899.0656934306569,74.92214111922141,615.86
2000-09-30,5537.02,364.36,4.865716267776622,-0.006253623683763452,758.72,507.8299999999999,592.0500000000001,9.0,5029.19,421.25999999999993,837.04,1959.59,2447.5,5973.64,2504.86,9809.35,65.31,952.06,0.0,1300.68,1332.11,2632.79,749.09,6582.96,284.1,-161.83000000000004,-221.15999999999997,84.22,0.4640683664507629,1.02,0.4,13.09,12.0,0.92,14.85363040949991,0.0,22.139194874619985,0.0,24.161310726163517,7.27,6.98,0.0,4.59,2.71,9,2000,-0.46829083325428655,74.88311688311688,980.22
2000-12-31,5764.209999999999,529.54,3.5355044510385754,6.000462445566303,1189.68,798.81,874.47,10.0,4965.4,668.09,2115.92,1904.91,2595.08,6995.05,2568.14,10898.47,321.72,1061.27,0.0,1747.03,1492.56,3239.6,749.09,6997.47,1098.58,112.58000000000004,276.23,75.66000000000003,0.7056418778562527,1.07,0.46,10.08,12.0,1.19,19.43124470114455,0.0,30.276264306909702,0.0,33.44699448919033,7.9,7.62,0.0,4.0,2.52,12,2000,898.7359307359307,149.77777777777777,1509.76
2001-03-31,8176.95,476.31,3.18,0.0,1475.61,793.37,918.44,13.0,7383.58,591.54,919.31,2606.13,6496.8,10725.6,3683.06,15940.76,393.53,1861.08,143.75,3184.26,4468.75,7653.01,749.09,7568.76,800.15,-1838.68,-137.97,125.07,1.0225,1.29,1.01,3.18,0.0,0.0,11.96,24.36,25.16,26.4,24.88,5.97,5.83,0.0,3.37,1.33,3,2001,0.0,149.7830188679245,476.31
2001-06-30,8460.009999999998,311.24999999999994,2.078793996647874,5.1,1335.4200000000003,555.7099999999999,683.24,13.7,7904.299999999999,436.47,587.31,2895.94,7403.86,11256.35,3813.82,16658.71,1592.94,1834.54,145.16,4267.75,4571.8,8839.55,749.09,7120.41,-580.54,-190.90999999999985,566.27,127.53,1.6447036144578315,1.44,1.24,5.26,5.1,0.97,7.477335060185891,16.26676062776169,17.484001218954745,18.62220021331708,17.215259789730304,4.83,4.73,0.0,2.64,0.9,6,2001,763.6038022813688,149.72623574144487,787.56
2001-09-30,9232.91,191.3900000000001,1.2766501864242308,0.006447899384709799,1394.4499999999994,420.97,548.5599999999997,12.7,8811.94,355.78999999999996,779.65,3130.11,7725.9,12060.26,4002.15,17688.86,2832.0,1874.82,142.5,5592.64,4045.59,9638.23,749.09,7301.2,-183.34,-366.8599999999999,758.3,127.59,2.480750039186999,1.3,1.32,6.53,5.1,0.78,4.324579191991422,10.0646173961898,10.486909035190772,11.026503907247566,11.440975330711481,3.84,3.78,0.0,2.16,0.78,9,2001,0.9666418227659506,149.91577335375192,978.95
2001-12-31,10017.399999999998,526.6800000000001,0.703112185596727,4.079306607433891,1591.88,753.0400000000002,867.7600000000002,16.8,9264.36,608.69,635.58,3104.1,8061.4,12372.17,4109.62,18097.2,2863.21,1704.9,141.95,5348.92,4102.2,9451.12,749.09,7839.23,-77.19,-145.4100000000003,174.61000000000013,114.72000000000003,5.974722222222222,1.61,1.21,2.01,5.1,2.54,11.641578873959737,24.346571202752333,26.879174299130597,28.404333069877726,27.690726672555677,4.26,4.2,0.0,2.31,0.81,12,2001,3055.6847797764626,749.0696517412937,1505.63
2002-03-31,8463.07,304.63,0.35,0.0,1449.48,515.62,651.19,24.2,7947.45,531.09,445.02,3131.18,7399.01,11469.92,4213.05,17239.29,2085.71,1526.07,139.28,4557.28,2154.95,6712.24,859.09,9716.04,1154.82,-176.59,-1205.73,135.57,17.285,2.14,0.69,0.35,0.0,0.0,7.08,12.44,12.56,14.08,16.28,3.6,3.6,0.0,2.52,0.89,3,2002,0.0,870.3714285714286,304.63
2002-06-30,8407.619999999999,270.21000000000004,0.31494102706840166,1.23,1414.3899999999999,434.15,589.3899999999999,17.5,7973.47,481.5799999999999,675.98,2806.01,6503.96,10465.12,4209.06,16216.99,2552.23,1326.97,135.58,4802.02,1778.26,6580.28,859.09,8883.28,1421.07,-137.82000000000002,-1051.25,155.24,13.891807112986195,1.69,0.74,0.67,1.23,1.84,6.656067079535175,10.867815740032011,12.165184747060053,13.500158652842531,15.643637881845386,3.43,3.41,0.0,2.18,0.82,6,2002,1055.3032835820895,857.9701492537314,574.84
