,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-03-31,178.83,21.7,0.43,0.0,56.65,33.23,34.96,,145.6,32.52,23.07,90.9,78.74,201.98,28.43,288.42,105.72,0.0,11.08,154.16,55.36,209.51,50.0,78.9,-19.34,-17.36,26.3,1.73,0.0,0.0,2.66,0.43,0.0,0.0,30.079999999999995,0.0,109.99999999999999,0.0,99.0,12.18,12.13,0.0,1.31,0.8,3,2004,0.0,50.46511627906977,21.7
2004-06-30,169.35,28.05,0.563819095477387,0.0,65.5,42.36000000000001,44.49,,127.00000000000003,41.35,31.0,79.2,35.25,150.42,26.68,256.02,47.65,0.0,12.13,97.3,51.76,149.06,50.0,106.96,89.14,-21.18,-60.040000000000006,2.13,0.0,0.0,1.39,1.0,0.0,0.0,43.82002010050252,0.0,104.89290452261307,0.0,107.39626130653265,14.36,14.29,0.0,1.55,1.18,6,2004,0.0,49.75,49.75
2004-09-30,320.12999999999994,42.06999999999999,0.7514136353735569,0.0,86.03,59.99000000000001,62.13000000000001,7.35,260.13,56.49000000000001,43.1,217.8,64.7,331.04,42.81,429.7,40.13,0.0,20.96,91.71,34.74,126.45,70.0,303.25,-131.44,4.869999999999997,138.68,2.14,2.4444592346089857,1.7,0.42,1.64,0.0,0.0,39.16514484861686,0.0,55.494646046612935,0.0,73.51024613373991,13.85,13.74,0.0,3.61,2.9,9,2004,0.0,55.98780487804878,91.82
2004-12-31,302.2700000000001,42.72,0.7176096328229523,0.0,105.0,62.97999999999999,65.92999999999998,6.45,239.27999999999997,60.339999999999975,118.79,141.79,54.36,334.57,41.76,426.79,0.0,0.0,9.87,56.81,24.0,80.81,70.0,345.98,133.95999999999998,3.1000000000000014,-61.37,2.9499999999999993,2.2439080056179774,1.3,0.23,2.26,0.0,0.0,40.033726772707,0.0,49.39440463802587,0.0,68.16656459045637,13.98,13.86,0.0,5.89,4.93,12,2004,0.0,59.530973451327434,134.54
2005-03-31,311.79,53.95,0.77,1.5,96.93,68.95,71.94,7.5,242.84,66.21,178.86,150.64,157.98,494.05,42.3,590.78,90.17,0.0,9.95,274.38,21.48,295.86,70.0,294.92,-20.43,-7.23,87.74,2.99,2.435,1.78,1.0,0.77,1.5,1.95,36.52,62.71999999999999,73.16,115.44,87.16,17.46,17.3,0.0,1.8,1.22,3,2005,105.0974025974026,70.06493506493507,53.95
2005-06-30,271.05,36.879999999999995,0.5278432236045358,-0.004201512458696364,75.56,48.17999999999999,51.21000000000001,8.25,222.85999999999999,44.86,21.53,158.7,211.31,403.16,109.51,565.77,163.96,0.0,10.03,215.02,18.94,233.96,70.0,331.81,-55.059999999999995,-68.57,-33.709999999999994,3.0299999999999994,3.9097783351409983,1.74,0.71,1.3,1.5,1.15,26.067334581085543,46.304031707585594,44.452520092480455,67.23910602223934,54.22980072663217,15.75,15.58,0.0,1.87,0.89,6,2005,-0.2935564435564544,69.86923076923077,90.83
2005-09-30,282.39,40.58999999999999,0.5806513468269668,0.0007515540311155449,83.94999999999999,53.110000000000014,56.389999999999986,8.1,229.29000000000002,50.599999999999994,26.41,152.21,260.12,448.61,120.35,596.73,165.93,0.0,10.08,207.92,16.41,224.33,70.0,372.39,-5.840000000000003,10.89,-0.1700000000000017,3.280000000000001,3.4886683912293672,1.52,0.6,1.88,1.5,0.8,27.20413331304215,40.979159945213816,43.59826814792268,48.058164662912795,54.087055242733214,15.34,15.19,0.0,2.16,0.91,9,2005,0.052536824877236654,69.90425531914893,131.42
2005-12-31,270.53999999999996,33.08000000000001,0.47257142857142875,0.002051671732523021,92.55000000000001,44.5,48.07000000000002,7.45,226.04999999999995,43.0,85.23,152.38,340.05,585.92,130.77,725.6,244.26,0.0,10.24,305.98,14.13,320.12,70.0,405.48,-22.11,5.109999999999999,75.83,3.5699999999999985,3.9409386336154766,1.29,0.79,2.35,1.5,0.64,18.23522431610943,29.97912705167175,32.63357082066871,35.21562066869302,41.15996595744683,14.61,14.48,0.0,1.91,0.8,12,2005,0.14361702127661147,70.0,164.5
2006-03-31,245.18,31.41,0.45,1.0,78.24,42.76,46.5,6.9,202.41,40.56,51.87,146.18,400.01,607.31,144.82,766.56,252.14,0.0,10.27,318.06,11.61,329.67,70.0,436.88,-15.66,-22.98,5.28,3.74,3.8325,1.11,0.75,0.45,1.0,2.22,16.4,25.2,28.76,34.32,38.12,12.93,12.81,0.0,1.91,0.65,3,2006,69.8,69.8,31.41
2006-06-30,326.8,37.72,0.5401822652972661,0.0004050339939244609,94.50000000000001,51.24,55.14,5.4,275.57000000000005,49.78,23.41,177.48,451.84,659.26,146.25,818.94,347.89,0.0,9.71,406.01,8.32,414.32,70.0,404.61,-46.480000000000004,-4.550000000000001,22.56,3.8999999999999995,2.497073833510074,0.93,1.02,0.99,1.0,1.01,18.420760885288587,29.63909156661363,37.299858238102125,40.96654997830176,49.67494286127586,12.16,12.09,0.0,1.62,0.51,6,2006,0.028282828282826245,69.82828282828282,69.13
