,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-03-31,238.05,28.4,1.69,0.0,73.95,40.68,50.38,,0.0,197.37,35.74,54.67,153.65,253.75,516.2,434.0,960.75,50.91,72.43,0.0,196.62,78.18,274.8,84.1,685.95,6.13,-115.07,98.76,9.7,0.0,0.0,0.4,1.69,0.0,0.0,11.84,0.0,16.56,0.0,21.28,12.18,11.93,0.0,2.63,1.33,3,2002,0.0,16.80473372781065,28.4
2002-06-30,265.17,24.96,1.4828185907046476,0.0,72.61999999999999,36.61000000000001,46.60999999999999,,0.0,228.55,32.63999999999999,80.76,162.71,257.93,556.68,555.65,1122.92,91.93,82.06,0.0,258.64,170.19,428.82,84.1,694.1,33.97,-124.09,116.21,10.0,0.0,0.0,0.62,3.17,0.0,0.0,8.887556221889056,0.0,14.38848575712144,0.0,16.727316341829084,10.8,10.6,0.0,2.15,1.16,6,2002,0.0,16.83280757097792,53.36
2002-09-30,254.36,17.090000000000003,0.9557785663591201,0.0,63.110000000000014,24.299999999999997,34.64,4.6,0.0,230.07,19.47,75.93,157.6,233.13,526.46,633.29,1170.33,23.1,62.13,8.75,182.09,161.44,343.52,107.62,826.8,28.9,-80.22,46.78999999999999,10.34,1.2057709186658863,0.6,0.42,3.94,0.0,0.0,5.8414080908445705,0.0,8.267242015613911,0.0,9.975029098651527,9.47,9.3,0.0,2.89,1.61,9,2002,0.0,17.88071065989848,70.45
2002-12-31,257.26,16.310000000000002,0.8685131396957124,0.0,53.71999999999997,24.0,35.84,5.4,0.0,233.26,21.86,213.78,157.1,223.91,652.97,666.31,1329.92,21.98,76.32,38.1,194.72,292.09,486.81,107.62,843.11,42.540000000000006,-63.860000000000014,158.88,11.840000000000003,1.5559350091968114,0.69,0.58,4.62,0.0,0.0,4.902775472568004,0.0,7.737662517289073,0.0,8.316671277086215,8.69,8.55,0.0,3.35,2.2,12,2002,0.0,18.77922077922078,86.76
2003-03-31,251.38,9.92,0.46,1.6,47.1,16.57,34.03,5.2,0.0,234.8,10.0,209.34,175.08,264.4,711.03,671.31,1392.93,46.12,106.7,57.15,266.87,273.04,539.91,107.62,853.03,-3.77,-17.39,16.72,17.46,2.825,0.66,0.63,0.46,1.6,3.48,2.84,5.64,4.64,5.16,5.88,4.05,3.95,0.0,2.66,1.67,3,2003,34.504347826086956,21.565217391304348,9.92
2003-06-30,258.66,13.069999999999999,0.6083036102653328,-0.005900486033625357,57.49999999999999,20.490000000000002,38.42999999999999,5.5,0.0,238.19,14.100000000000001,96.52,162.74,282.08,616.61,700.26,1327.37,16.54,96.88,76.2,241.72,253.99,495.7,107.62,831.66,-17.8,-32.03,-62.99,17.939999999999998,2.260302218821729,0.71,0.6,1.07,1.6,1.5,3.9340756850804697,6.867577207481514,6.2763288386254885,6.844836885602436,7.75444976076555,4.62,4.51,0.0,2.55,1.38,6,2003,-0.12677773262901582,21.485981308411212,22.99
2003-09-30,269.96,5.940000000000001,0.27513307984790886,0.00767563341743372,55.66,12.57,31.190000000000012,6.95,-0.77,257.38,7.169999999999998,89.43,151.0,294.6,602.42,691.7,1304.64,51.21,69.73,76.2,232.1,234.94,467.03,107.62,837.61,4.0,-26.700000000000003,15.620000000000005,18.620000000000005,6.319305555555554,0.89,0.56,1.34,1.6,1.19,1.823269961977187,3.293384030418252,2.833460076045628,2.85809885931559,3.8025855513307993,3.79,3.71,0.0,2.6,1.33,9,2003,0.16571348863161006,21.589552238805968,28.93
2003-12-31,263.5,-9.280000000000001,-0.42976081424936396,0.0002855949261326845,47.20000000000002,-9.39,8.759999999999991,6.35,0.0,272.89,-12.66,66.7,135.81,285.92,529.9,688.02,1232.15,0.28,66.9,76.2,187.94,215.89,403.83,107.62,828.32,42.769999999999996,5.5,-71.00999999999999,18.15,-3.6949622844827585,0.83,0.49,0.91,1.6,1.76,-3.0036030534351155,-5.931643765903309,-4.477068702290077,-4.439287531806617,-7.27287531806616,1.92,1.88,0.0,2.82,1.3,12,2003,0.006166967360996978,21.59340659340659,19.65
2004-03-31,282.7,-16.32,-0.76,1.0,45.85,-13.84,4.79,4.98,0.0,296.53,-16.98,61.14,156.34,327.46,588.61,672.04,1274.97,55.0,90.08,76.2,266.13,196.84,462.96,107.62,812.0,-37.46,-2.86,34.76,18.63,-1.6375,0.66,0.57,-0.76,1.0,-1.32,-5.12,-4.16,-8.04,-7.84,-5.48,-5.84,-5.77,0.0,2.21,0.98,3,2004,21.473684210526315,21.473684210526315,-16.32
2004-06-30,266.71,11.29,0.11222664015904572,0.7865438945275715,60.43,15.6,33.82,4.86,0.0,251.12,9.88,32.08,176.35,375.64,631.12,656.5,1301.95,86.0,122.55,76.59,321.42,178.76,500.18,107.62,801.77,-17.28,-3.0800000000000005,-8.7,18.220000000000002,10.826306465899028,0.65,0.62,-0.05,1.0,-20.0,3.5014711729622268,-1.1671570576540755,5.656222664015903,5.566441351888667,-1.6160636182902584,-0.93,-0.92,0.0,1.96,0.79,6,2004,79.12631578947368,100.6,-5.03
