,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-09-30,,,,,,,,1.0,,,10.38,97.48,48.87,161.38,523.56,999.09,114.61,109.78,113.23,337.82,159.5,497.33,235.0,501.76,,,,,,0.47,0.99,0.41,0.0,0.0,,,,,,23.02,18.37,6.04,0.48,0.33,9,2014,,236.87804878048783,97.12
2014-12-31,157.04999999999995,12.899999999999991,0.0551081621523359,0.0,7.969999999999999,16.590000000000003,31.639999999999986,1.0,140.45999999999998,-12.180000000000001,8.12,78.2,62.21,153.09,511.7,1015.9,115.62,114.91,98.95,329.48,152.23,481.7,235.0,534.2,26.270000000000003,-1.8900000000000006,-26.630000000000003,15.050000000000004,4.541523255813956,0.44,0.9,0.47,0.0,0.0,5.079331030721684,0.0,9.661516087983998,0.0,9.145609889111064,20.16,16.05,5.73,0.46,0.28,12,2014,0.0,234.08510638297872,110.02
2015-03-31,171.48,37.46,0.16,0.0,21.1,46.52,58.54,15.2,124.96,12.29,12.74,91.81,64.19,168.74,437.85,942.42,185.88,76.45,76.21,339.06,130.23,469.29,235.0,473.13,-22.99,-2.66,30.26,12.02,23.75,7.55,0.99,0.16,0.0,0.0,15.88,0.0,31.68,0.0,30.84,27.96,21.85,4.62,0.5,0.31,3,2015,0.0,234.125,37.46
2015-06-30,155.68000000000004,25.79,0.11009169960474309,0.05,15.299999999999997,31.32999999999999,42.919999999999995,15.5,124.35000000000001,7.09,12.99,78.94,68.99,160.92,432.2,940.25,185.37,78.96,57.2,321.57,122.5,444.07,235.0,496.18,24.979999999999997,16.82,-41.54,11.59,35.19952016285382,7.34,0.89,0.27,0.05,0.19,10.976550197628459,0.0,20.79509881422925,0.0,20.517830830039525,24.51,19.33,5.85,0.5,0.29,6,2015,11.712962962962962,234.25925925925924,63.25
2015-09-30,143.98999999999995,12.569999999999993,0.05305196518069109,0.0005651787371650205,9.670000000000002,18.060000000000002,29.769999999999996,10.7,125.93,-0.07000000000000028,19.75,76.45,55.71,151.91,423.81,923.26,190.28,68.58,38.9,297.76,116.74,414.5,235.0,508.76,18.450000000000003,16.43,-28.119999999999997,11.71,50.42603023070805,4.94,0.81,0.32,0.05,0.16,5.444457926668424,6.618232656291213,9.880928514903715,9.953874967027165,10.16608282774993,19.9,16.09,4.65,0.51,0.32,9,2015,0.13391203703703702,236.93749999999997,75.82
2015-12-31,161.45000000000005,29.41000000000001,0.12576736672051703,-0.0006613489499192206,18.300000000000004,38.379999999999995,49.80000000000001,7.6,123.06,8.830000000000002,15.91,74.77,59.29,149.97,549.03,1110.68,255.0,47.79,34.23,337.03,141.79,478.82,235.0,631.86,-0.38000000000000256,-46.129999999999995,42.67,11.420000000000002,15.108251445086701,2.83,0.76,0.45,0.05,0.11,10.586817447495966,14.11948303715671,18.613570274636515,20.17867528271406,19.40730210016156,20.73,16.63,4.7,0.44,0.27,12,2015,-0.15465277777777686,233.84444444444443,105.23
2016-03-31,161.27,34.22,0.15,0.0,19.35,41.34,52.2,8.75,119.93,3.64,45.82,59.9,63.07,168.79,540.19,1157.16,275.0,46.3,33.13,354.43,136.65,491.08,235.0,666.08,21.82,0.07,8.03,10.86,14.5825,3.09,0.74,0.15,0.0,0.0,11.84,15.76,20.56,24.04,20.6,28.45,21.22,8.47,0.48,0.3,3,2016,0.0,228.13333333333333,34.22
2016-06-30,168.97,43.46000000000001,0.1846266735324408,0.05,17.33,51.17,62.03999999999999,9.55,117.79999999999998,12.45,21.49,73.75,59.9,155.15,534.71,1179.67,180.0,43.02,33.39,352.0,130.07,482.07,235.0,697.6,7.66,-6.71,-25.29,10.870000000000001,12.931771744132535,3.22,0.69,0.33,0.05,0.15,14.725375901132853,19.53685890834192,24.930195674562313,29.115066941297634,25.019711637487127,31.62,23.52,8.25,0.44,0.27,6,2016,11.769696969696971,235.3939393939394,77.68
2016-09-30,162.78999999999996,37.519999999999996,0.15959027777777776,-6.207912457912887e-05,10.219999999999999,42.33999999999999,53.480000000000004,9.8,120.45000000000002,0.120000000000001,48.95,61.78,62.38,173.12,536.48,1209.22,180.0,49.7,37.02,312.16,162.06,474.22,235.0,735.0,30.49,15.18,-18.2,11.139999999999997,15.351812366737741,3.13,0.65,0.49,0.05,0.1,12.41547222222222,16.480138888888888,20.414527777777774,24.12744444444444,19.58075,31.91,23.37,9.42,0.55,0.35,9,2016,-0.014594928880644176,235.10204081632654,115.2
2016-12-31,155.27999999999997,31.209999999999994,0.13216446964005188,0.0002208642489848912,11.920000000000002,33.84,44.97999999999999,13.9,121.44,0.3200000000000003,16.36,60.87,67.8,145.03,557.68,1252.37,50.0,48.68,82.53,181.43,304.69,486.11,235.0,766.26,-1.1899999999999977,-41.28,9.86,11.14,26.29375360461391,4.26,0.63,0.62,0.05,0.08,9.967759032852944,12.176184686838328,16.294600095621878,17.85499351137217,13.429615463424627,30.68,22.58,10.01,0.8,0.43,12,2016,0.0521560236998031,236.1451612903226,146.41
