,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-10-31,,,,,,,,11.2,0.0,,,143.02,124.06,639.33,988.43,540.41,1541.06,71.46,200.94,0.0,395.32,0.0,395.32,188.3,1145.74,,,,,,1.84,0.35,1.01,13.0,12.87,,,,,,8.0,7.34,0.0,2.5,0.88,10,1999,,18.801980198019802,18.99
2000-01-31,466.31,99.59,5.282687637038286,-12.965406651982452,115.66999999999999,101.14,124.16,13.4,0.0,365.1600000000001,88.78,31.98,209.1,1061.6,1399.92,586.02,1999.07,260.59,350.61,0.0,752.98,0.0,752.98,188.3,1246.09,-259.94,-41.65,190.55,23.02,0.6340380560297217,2.02,0.6,6.29,0.0,0.0,19.92135941980098,0.0,31.98167650531287,0.0,32.451995277449825,17.1,16.35,0.0,1.86,0.45,1,2000,-244.4257425742574,18.85214626391097,118.58
2000-04-30,1764.0699999999997,243.56,12.933282156072238,0.0,429.19,247.35999999999996,270.36,12.4,0.0,1516.7299999999998,227.73000000000002,208.24,442.99,806.05,1583.66,598.67,2194.28,137.25,337.71,0.0,705.79,0.0,705.79,188.3,1488.49,356.77,-57.800000000000004,-122.69999999999999,23.000000000000007,0.2378978485794055,1.57,0.47,19.23,0.0,0.0,44.38879991163638,0.0,65.45330314243111,0.0,66.47559065554758,14.85,14.55,0.0,2.24,1.1,4,2000,0.0,18.832033281331253,362.14
2000-07-31,1123.3400000000001,202.21000000000004,10.73843129263755,5.0,279.97,203.46000000000004,227.79000000000002,12.1,0.0,919.8700000000003,192.52999999999997,699.13,80.74,784.92,1659.01,599.53,2282.67,107.65,341.38,0.0,688.13,0.0,688.13,188.3,1594.54,639.33,-31.499999999999986,-116.95000000000002,24.33,0.2790910439641956,1.43,0.43,29.97,5.0,0.17,35.429298839372734,0.0,50.721799592451504,0.0,51.338085939576516,15.9,15.62,0.0,2.41,1.27,7,2000,94.15248581915249,18.830497163830497,564.35
2000-10-31,-3145.37,-536.7,-28.53341772151899,23.994424804551386,-790.61,-536.71,-596.38,13.3,0.0,-2608.6600000000003,-488.30999999999995,104.87,183.36,1141.3,1505.1,709.39,2238.77,113.1,407.9,0.0,1068.78,0.0,1068.78,188.3,1169.99,-873.03,29.849999999999994,89.93,-59.67,-0.11656069498788894,2.14,0.91,1.47,29.0,19.73,-96.27602169981918,-142.084773960217,-183.23500904159133,-185.56426763110312,-229.0437613019892,6.31,5.92,0.0,1.41,0.34,10,2000,451.323704657038,18.80952380952381,27.65
2001-01-31,661.4099999999999,156.95,8.332123510292524,-28.958107620079453,177.51999999999998,164.18,194.91000000000003,12.6,0.0,497.22,129.87,22.38,380.36,1420.56,1858.07,773.96,2643.32,650.46,408.7,0.0,1315.29,0.0,1315.29,188.3,1328.02,-287.84,-74.25,279.59000000000003,30.729999999999997,0.37931506849315066,1.79,0.99,9.8,0.0,0.0,23.73804983748646,29.11141928494041,47.272047670639225,48.76842903575298,50.87696641386782,17.11,16.36,0.0,1.41,0.33,1,2001,-545.4761904761905,18.83673469387755,184.6
2001-04-30,2026.4900000000002,373.98,19.85793762755559,0.0,533.01,379.28999999999996,406.94999999999993,12.7,0.0,1647.21,390.26,64.39,620.55,1060.88,1791.13,761.18,2562.77,39.93,586.49,0.0,861.55,0.0,861.55,188.3,1701.22,748.81,-89.44,-617.35,27.660000000000004,0.16056299802128457,1.41,0.51,29.66,0.0,0.0,58.3820688173583,65.07726019549571,87.92125317770059,93.78624082494898,91.0010412116438,18.03,17.7,0.0,2.08,0.85,4,2001,0.0,18.83277140930546,558.58
2001-07-31,1514.9699999999998,194.54999999999995,10.332877458074964,24.0,367.13,195.22000000000003,229.31000000000006,18.2,0.0,1319.75,173.82999999999993,184.94,150.33,870.92,1514.41,738.4,2262.89,34.48,442.99,0.0,819.38,0.0,819.38,188.3,1443.52,859.64,-9.03000000000003,-460.23,34.09,0.44518093035209466,2.37,0.57,40.0,24.0,0.6,34.387816180473486,35.15244911237103,53.90662169877709,51.23040643713567,55.35322454290759,16.35,16.13,0.0,1.85,0.79,7,2001,451.87800000000004,18.82825,753.13
2001-10-31,-4123.35,-719.35,-38.11830965068088,12.055014209591473,-1053.75,-737.88,-828.35,17.9,0.0,-3385.4700000000003,-697.6899999999999,285.5,47.78,765.23,1262.74,722.08,1994.47,14.93,338.01,0.0,743.58,0.0,743.58,188.3,1250.9,-785.88,257.57,729.98,-90.47,-0.11739765065684299,2.69,0.59,1.79,36.0,20.11,-143.95518058022498,-142.25156897572526,-229.98756660746005,-237.6538188277087,-241.06104203670813,6.39,6.18,0.0,1.7,0.67,10,2001,227.49630167597763,18.87150837988827,33.78
2002-01-31,869.46,176.43,9.36662765805623,-36.06782363685796,231.10999999999999,178.34,212.53000000000003,22.4,0.0,691.13,163.95999999999998,182.4,327.3,982.41,1649.18,720.41,2380.6,14.09,470.2,0.0,951.87,0.0,951.87,188.3,1428.73,-97.02,-31.42,-3.3400000000000034,34.190000000000005,0.5987106784560449,2.95,0.67,11.16,0.0,0.0,29.64420151277294,28.569892964178674,49.38462109319252,51.19751676894535,50.22392464678179,15.2,14.84,0.0,1.73,0.7,1,2002,-679.3743016759777,18.836021505376344,210.21
