,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-09-30,,,,,,,,,,,69.81,79.82,184.66,75.29,283.54,0.0,31.72,6.8,63.66,37.22,100.88,160.0,182.66,,,,,,0.0,0.55,0.11,0.0,0.0,,,,,,13.05,13.02,2.9,2.9,9,2012,,305.99999999999994,33.66
2012-12-31,105.37,14.410000000000004,0.04496567505720825,0.0,32.56999999999999,18.840000000000003,23.310000000000002,,86.53000000000003,23.250000000000007,79.82,107.97,199.91,56.81,302.14,0.0,30.42,7.57,65.68,39.39,105.07,160.0,197.07,16.509999999999998,-5.010000000000002,-1.4899999999999998,4.469999999999999,0.0,0.0,0.53,0.15,0.0,0.0,19.07743707093822,0.0,29.245675057208246,0.0,32.75899313501145,13.24,13.21,3.04,3.04,12,2012,0.0,320.4666666666667,48.07
2013-03-31,103.41,11.22,0.029999999999999995,0.0,25.53,14.51,20.98,3.94,88.9,12.93,134.86,108.47,263.39,147.73,480.77,0.0,26.96,11.15,61.68,45.76,107.45,202.0,373.32,-2.76,-69.54,127.34,6.47,32.8325,2.13,0.29,0.03,0.0,0.0,9.32,0.0,12.04,0.0,13.84,11.5,10.85,4.27,4.27,3,2013,0.0,374.00000000000006,11.22
2013-06-30,111.44,3.4399999999999995,0.009386084583901772,0.049999999999999996,21.769999999999996,3.889999999999999,14.470000000000002,2.28,107.54999999999998,8.580000000000002,98.59,88.64,245.87,178.77,499.5,0.0,38.39,15.88,81.02,61.93,142.94,202.0,356.56,12.459999999999999,-57.629999999999995,8.909999999999997,10.580000000000002,60.72819767441862,1.29,0.4,0.04,0.05,1.25,2.7501227830832193,0.0,3.857680763983629,0.0,4.12987721691678,7.03,6.82,3.03,3.03,6,2013,18.325,366.5,14.66
2013-09-30,134.13000000000002,9.96,0.02831844029244517,-0.0021019496344435408,32.32000000000001,14.370000000000005,27.239999999999995,2.0,119.75999999999999,18.38,107.56,125.91,254.04,192.74,521.27,0.0,39.2,18.36,89.06,65.69,154.75,202.0,366.52,32.120000000000005,14.64,-37.8,12.870000000000001,17.655456827309237,1.1,0.42,0.07,0.05,0.71,7.637887896019496,13.172120227457354,10.874281072298945,14.515223395613324,12.265930138099108,7.19,7.05,2.85,2.85,9,2013,-0.7392857142857139,351.7142857142857,24.62
2013-12-31,143.09999999999997,17.529999999999998,0.049907473309608534,-6.609049313675562e-05,41.92,22.689999999999998,35.67,1.73,120.42000000000002,27.39,121.26,144.62,275.66,184.01,533.14,0.0,31.15,18.69,84.35,64.74,149.09,202.0,384.05,20.240000000000002,-34.91,28.36999999999999,12.979999999999997,8.668040501996579,0.91,0.39,0.12,0.05,0.42,13.158937129300117,22.09237485172004,18.266135231316728,24.138581257413993,20.561879003558715,8.7,8.57,3.27,3.27,12,2013,-0.02321428571428541,351.25,42.15
2014-03-31,112.78,11.94,0.03,0.0,34.68,17.89,30.97,2.1,94.89,22.16,154.48,109.67,274.68,172.15,523.57,0.0,28.34,18.42,73.04,54.54,127.58,202.0,395.99,44.93,-5.6,-6.11,13.08,17.5,1.07,0.32,0.03,0.0,0.0,9.12,14.239999999999998,12.08,12.4,15.88,10.59,10.59,3.76,3.76,3,2014,0.0,398.0,11.94
2014-06-30,145.35999999999999,15.910000000000002,0.039989228007181334,0.05,36.79,20.869999999999997,34.61,2.32,124.49,22.599999999999998,141.92,111.87,296.36,173.85,544.79,1.25,51.12,17.67,102.56,50.54,153.09,202.0,391.7,26.660000000000004,-12.76,-26.450000000000003,13.74,14.502655562539283,1.2,0.39,0.07,0.05,0.71,11.67685457809695,16.955432675044886,16.24705206463196,17.001134649910234,20.01746499102334,10.94,10.79,2.89,2.89,6,2014,19.892857142857142,397.85714285714283,27.85
2014-09-30,153.60000000000002,12.509999999999998,0.030996035678889988,0.0007114540563499935,39.58,16.28,31.0,3.62,137.32999999999998,17.57,167.34,93.16,302.92,173.18,551.06,0.0,49.28,17.06,98.3,48.55,146.85,202.0,404.22,44.56,-12.52,-6.6299999999999955,14.719999999999999,29.1972821742606,1.81,0.36,0.1,0.05,0.5,9.075639246778987,12.733171456888005,12.373617443012883,12.981139742319128,15.076471754212088,9.96,9.8,3.08,3.08,9,2014,0.28714285714285737,403.59999999999997,40.36
2014-12-31,136.25,8.64,0.021159183673469386,0.0005795918367347061,28.540000000000006,11.050000000000004,26.200000000000003,3.52,125.19,13.159999999999997,177.3,83.46,305.74,166.92,546.25,0.0,36.3,17.66,87.11,47.27,134.38,202.0,411.87,22.22,-7.949999999999999,-4.310000000000002,15.149999999999999,41.58478009259259,1.73,0.33,0.12,0.05,0.42,6.326595918367348,8.64,8.393142857142857,8.682318367346939,10.149355102040818,9.11,8.94,3.51,3.51,12,2014,0.2366666666666717,408.33333333333337,49.0
2015-03-31,128.42,12.95,0.029999999999999995,0.0,33.66,18.4,33.55,3.56,110.02,19.54,181.41,83.78,311.02,161.22,543.0,0.0,33.86,17.65,79.71,38.46,118.18,202.0,424.82,15.99,-7.57,-4.3,15.15,29.6675,1.69,0.28,0.03,0.0,0.0,9.52,13.8,12.2,12.64,15.879999999999999,10.38,10.08,3.9,3.9,3,2015,0.0,431.6666666666667,12.95
2015-06-30,131.28,11.190000000000001,0.027812758906379454,0.06,34.24000000000001,14.18,29.660000000000004,3.48,117.11,18.119999999999997,179.96,79.32,311.9,149.2,530.29,0.0,33.97,17.18,81.12,37.4,118.52,202.0,411.77,28.519999999999996,-1.3699999999999992,-28.609999999999996,15.479999999999999,31.28060768543342,1.71,0.29,0.06,0.06,1.0,8.436536868268435,11.236354598177298,10.865517812758908,11.1436454018227,13.442833471416737,9.49,9.3,3.84,3.84,6,2015,24.14,402.33333333333337,24.14
