,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,148.98,-10.75,-0.1,0.0,38.63,17.88,24.82,,131.1,-18.43,107.96,49.17,2134.45,2588.14,208.49,4265.32,115.02,385.02,0.0,1141.34,1150.11,2291.45,1067.0,1691.4,-47.69,32.83,16.36,6.94,0.0,0.0,1.35,-0.1,0.0,0.0,-1.0,0.0,-2.56,0.0,2.28,-9.61,-7.22,0.0,2.27,0.4,3,2000,0.0,107.5,-10.75
2000-06-30,243.41,39.230000000000004,0.37191362359550567,0.2,97.02000000000001,65.60000000000001,71.91999999999999,0.6,177.79999999999998,32.72,155.94,49.1,2047.0,2511.22,202.68,4186.25,78.02,130.13,232.07,995.98,1166.08,2162.06,1067.0,1740.48,82.94999999999999,-10.189999999999998,-24.759999999999998,6.319999999999999,0.40291613561050216,0.37,1.24,0.27,0.2,0.74,3.746685393258428,0.0,9.036123595505618,0.0,14.435758426966293,8.81,7.26,0.0,2.52,0.47,6,2000,21.0962962962963,105.48148148148148,28.48
2000-09-30,251.81000000000006,-16.59,-0.15348191757779647,0.004828209201632252,29.900000000000006,-5.469999999999999,2.8900000000000006,0.7,257.28,-36.91,368.18,35.93,1918.87,2650.05,200.59,4335.61,67.0,126.82,220.54,1066.83,1223.18,2290.01,1067.0,1746.0,324.14,18.729999999999997,-130.64,8.360000000000001,-1.1395479204339964,0.43,1.31,0.11,0.2,1.82,-1.5069133725820016,-0.0,-3.7951892346509672,-0.0,-13.33897392767031,2.19,1.85,0.0,2.48,0.69,9,2000,0.5218855218855225,108.0909090909091,11.89
2000-12-31,355.4599999999999,34.6,0.32746827274682727,-0.004603140460314062,65.32999999999998,57.55999999999999,91.75,0.75,297.9000000000001,-11.069999999999997,277.53,6.09,1737.69,2401.14,196.93,4222.26,46.99,120.39,125.72,919.02,1209.29,2128.3,1067.0,1788.25,75.90000000000003,-138.81,-27.75,34.19,0.5710476878612717,0.45,1.19,0.44,0.2,0.45,3.274682727468273,0.0,7.7401591740159175,0.0,12.20563562056356,5.6,4.65,0.0,2.61,0.72,12,2000,-0.4863636363636381,105.6590909090909,46.49
2001-03-31,263.62,19.68,0.18,0.0,79.86,47.79,51.64,0.5,215.83,21.25,236.35,6.09,2736.4,3221.36,206.47,4254.21,73.1,127.02,48.84,902.58,1226.95,2129.53,1067.0,1804.97,447.5,-385.36,-103.32,3.85,0.695,0.3,1.18,0.18,0.0,0.0,1.84,4.48,4.36,4.52,5.72,8.3,7.47,0.0,3.57,0.54,3,2001,0.0,109.33333333333334,19.68
2001-06-30,332.26,92.72,0.8661565836298932,0.0,100.47000000000001,69.27000000000001,73.11,0.69,263.0,45.5,341.11,6.09,2573.07,3121.17,211.06,4324.07,76.33,153.41,32.14,1015.47,1076.99,2092.46,1067.0,1901.73,324.22,-53.91999999999996,-167.24,3.8400000000000003,0.20002157031924075,0.39,1.1,1.05,0.0,0.0,8.579074733096085,9.074021352313165,19.500896797153022,20.35880427046263,11.68074021352313,20.6,18.86,0.0,3.07,0.54,6,2001,0.0,107.04761904761905,112.4
2001-09-30,272.90999999999997,17.94999999999999,0.16800153433064816,0.0,85.00999999999996,35.50999999999999,40.81999999999999,0.85,237.39000000000004,21.83,346.95,6.03,2069.65,2667.51,244.13,4387.92,42.63,123.17,30.84,1202.22,915.08,2117.3,1067.0,1931.29,353.01,-142.81000000000006,-203.75,5.31,1.2708217270194992,0.47,1.1,1.22,0.0,0.0,1.6359493670886067,1.927886459532028,3.7180667433831966,3.9053471423091652,2.638450326045261,16.2,15.0,0.0,2.22,0.5,9,2001,0.0,106.84426229508196,130.35
2001-12-31,404.84000000000015,205.56000000000003,1.9276413324997768,0.0,127.55000000000001,224.34000000000003,254.06,0.97,180.5,35.650000000000006,296.16,13.39,3196.62,3769.64,297.44,4684.92,39.55,134.19,20.28,1348.74,824.28,2173.03,1067.0,2161.07,350.8299999999999,-305.14,-96.74999999999994,29.72,0.12664441039112667,0.48,1.01,3.15,0.0,0.0,17.550715370188446,20.70837545771189,38.038788961328926,41.63705278199519,27.660123247298387,32.93,26.37,0.0,2.79,0.42,12,2001,0.0,106.63809523809525,335.91
2002-03-31,698.84,134.96,1.26,0.0,159.18,157.86,165.46,2.85,540.97,101.46,362.56,13.65,2545.58,3183.86,307.75,4588.0,79.18,141.24,15.0,1113.29,833.48,1946.76,1067.0,2290.61,95.22,-127.28,100.09,7.6,0.565,1.33,0.85,1.26,0.0,0.0,11.76,14.28,23.56,26.36,18.16,21.01,19.31,0.0,2.86,0.57,3,2002,0.0,107.11111111111111,134.96
2002-06-30,547.0500000000001,415.44999999999993,1.9473864937046927,2.0,195.27999999999997,208.18,215.47,3.72,338.88,111.38000000000001,346.46,8.97,2302.33,2881.96,330.58,4418.06,379.96,92.17,126.26,1428.39,192.09,1620.49,1067.0,2471.5,343.98,-162.65,-191.18,7.290000000000001,0.47694692502106156,1.61,0.66,2.58,2.0,0.78,37.61928017296197,25.27073636016787,67.23767010047055,75.99336131247615,36.95505532239603,50.4,44.18,0.0,2.02,0.41,6,2002,426.6744186046511,213.33720930232556,550.41
