,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2003-12-31,3462.22,896.77,0.9,0.0,3388.77,1562.92,1915.57,,1899.31,2037.46,2305.44,1028.68,0.0,11672.97,13040.55,66426.72,0.0,3098.13,629.66,7179.19,20615.44,27794.63,10000.0,38612.51,2183.5,-4245.88,1723.83,352.65,0.0,0.0,0.72,0.9,0.0,0.0,5.4,0.0,9.28,0.0,10.56,26.46,25.9,0.0,1.63,1.63,12,2003,0.0,996.411111111111,896.77
2004-03-31,3669.56,1273.1100000000001,1.2145084981657972,0.0,3555.15,1844.1599999999999,1491.51,46.75,1825.3899999999999,2188.9799999999996,19287.87,1670.18,80.1,26289.86,52101.26,85247.71,0.0,4393.65,731.14,7002.9,24569.67,31572.58,13748.0,53655.94,1794.71,-1791.13,16978.85,-352.65,9.621299494937592,1.2,0.59,2.07,0.0,0.0,5.984534628643059,0.0,9.481380352830572,0.0,10.20891201356757,31.25,30.43,0.0,3.75,3.74,3,2004,0.0,1048.2512077294687,2169.88
2004-06-30,3677.3100000000004,1313.1599999999999,1.1197359777665488,0.0,3419.7299999999996,2050.9400000000005,2050.9400000000005,51.5,1626.38,1871.9000000000005,6146.16,1321.89,101.16,23371.66,55959.22,93342.6,0.0,3306.51,733.46,6005.52,30111.91,36117.43,14285.7,57143.49,3780.7799999999997,-21944.6,5022.110000000001,0.0,11.498201590057572,1.29,0.63,2.97,0.0,0.0,5.625070972483806,0.0,9.199177729799255,0.0,9.425387018236941,33.61,32.22,0.0,3.89,3.87,6,2004,0.0,1172.7407407407406,3483.04
2004-09-30,3651.869999999999,1287.3000000000002,1.0389416687280153,0.0,3610.2800000000007,1780.25,1780.25,49.75,1871.6099999999997,1568.2399999999998,15859.72,1435.12,112.05,24801.81,70611.75,108744.56,8.28,7196.76,742.24,10801.88,39464.16,50266.04,14285.7,58397.31,2710.99,-3192.7599999999984,10195.339999999997,0.0,11.969391905538723,1.22,0.86,3.85,0.0,0.0,4.738653429315311,0.0,8.818860710138063,0.0,7.976913176000034,34.14,32.99,0.0,2.3,2.29,9,2004,0.0,1239.0493506493506,4770.34
2004-12-31,3991.13,1830.04,1.28,0.0,3815.08,2493.49,2841.42,51.5,1497.64,2338.23,11786.98,837.45,0.0,23174.59,79988.03,116551.5,0.0,14.44,638.67,8930.21,47234.29,56164.5,14285.7,60225.67,1490.54,-12603.63,7040.34,347.93,10.057499999999997,1.22,0.93,1.28,0.0,0.0,6.28,10.92,12.16,14.8,9.28,47.97,45.85,0.0,2.6,2.6,12,2004,0.0,1429.71875,1830.04
2005-03-31,4741.400000000001,2619.25,1.8308241314906422,1.2,3611.05,3207.2,3546.8500000000004,46.75,1534.2,2061.97,9222.87,818.86,0.0,23141.8,11586.22,123446.36,17.2,15.1,620.36,6855.62,55288.98,62144.59,14285.7,61144.07,3760.12,-11973.38,5649.15,339.65000000000003,6.382822248735325,1.09,1.02,3.11,1.2,0.39,8.477127811403617,12.85697718062882,17.142636240838424,18.249372371771678,11.51476527715658,59.91,50.95,0.0,3.38,3.38,3,2005,1716.767845659164,1430.6398713826368,4449.29
2005-06-30,2944.3999999999996,769.3999999999996,0.5381254682688565,-0.0007232919862934138,3657.7300000000005,1367.9500000000007,1711.6699999999992,45.0,1576.4499999999998,2081.66,14564.66,815.67,0.0,29909.95,11397.75,130630.94,0.0,20.49,635.2,10384.7,57942.05,68326.75,14285.7,61907.17,1624.5900000000001,1382.9299999999967,2334.2700000000004,343.7199999999999,20.90799574343645,1.04,1.1,3.65,1.2,0.33,2.353008896868754,3.7211744709879286,4.971394736993381,5.171901760786708,3.4675920585434263,47.08,44.69,0.0,2.88,2.88,6,2005,-1.034147029027281,1429.7780821917806,5218.69
2005-09-30,5238.16,2190.17,1.5342417456936697,-0.0018931247034512432,3810.539999999999,2569.5299999999997,2917.87,50.0,2668.63,1160.83,19416.86,836.16,0.0,28699.0,11221.29,134520.79,0.0,1331.99,926.37,9494.91,60544.38,70039.29,14285.7,64095.25,2818.1000000000004,-2152.279999999999,4186.379999999999,348.34000000000015,8.144039252660752,1.11,1.09,5.19,1.2,0.23,6.515354157049803,9.365082563309334,13.669236670688878,14.307765027278151,9.116765980191284,49.74,43.8,0.0,3.02,3.02,9,2005,-2.7024847573047737,1427.5260115606934,7408.86
2005-12-31,5595.88,3299.46,2.31,0.0,4006.59,3993.55,4346.03,52.5,1602.33,2404.98,17288.98,915.68,0.0,31072.22,10981.27,140115.32,0.0,0.0,0.0,8466.73,63874.52,72341.24,14285.7,67396.81,-1687.34,-4753.38,4312.84,352.48,5.6825,1.11,1.07,2.31,0.0,0.0,9.4,12.44,19.6,20.68,12.12,82.35,58.96,0.0,3.67,3.67,12,2005,0.0,1428.3376623376623,3299.46
2006-03-31,6697.490000000001,3731.3900000000003,2.611126506752384,1.7000000000000002,4278.18,4956.13,5304.929999999999,48.25,1741.37,2555.94,20368.51,888.58,0.0,26832.25,10726.06,142400.23,0.0,0.0,0.0,8671.94,64656.27,73328.21,14285.7,68698.58,3994.0599999999995,289.02999999999975,-1203.5700000000002,348.79999999999995,4.621108923216281,1.0,1.07,4.92,1.7,0.35,10.486963368582746,14.286895439384997,21.71693021469666,22.990650461892944,14.201980756238578,84.86,57.19,0.0,3.09,3.09,3,2006,2429.358739837399,1429.0345528455287,7030.85
