,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2005-06-30,,,,,,,,,16.39,,,10.35,0.0,55.24,6945.72,6268.1,460.0,677.62,,,,,,0.0,9.25,0.77,0.0,0.0,,,,,0.0,6,2005,,,91.5064935064935,70.46
2005-09-30,207.26000000000005,36.88000000000001,0.3848108813117199,0.0,0.0,43.80999999999999,46.959999999999994,,38.52,136.76,0.0,26.88,0.0,60.68,7347.11,6505.29,575.0,841.82,-346.1,-8.68,371.32000000000005,3.1500000000000004,0.0,0.0,7.73,1.12,0.0,0.0,2.006513881125396,0.0,17.52263834544439,0.0,0.0,9,2005,0.0,,95.83928571428571,107.34
2005-12-31,241.29999999999995,31.299999999999983,0.31155510675129816,0.6,0.0,41.85000000000002,45.29000000000002,7.2,49.49,160.59999999999997,0.0,23.64,0.0,61.12,7875.67,7003.11,575.0,872.56,-484.79999999999995,-3.879999999999999,485.42999999999984,3.4399999999999995,5.78035782747604,4.75,8.03,1.38,0.6,0.43,1.58938257357184,0.0,14.349596076168488,0.0,0.0,12,2005,60.278260869565216,,100.46376811594203,138.64
2006-03-31,246.02,27.41,0.24,0.0,0.0,37.82,41.29,7.84,7.42,164.6,0.0,18.09,0.0,65.13,8341.73,7441.76,575.0,899.97,-453.26,-7.42,455.13,3.47,8.1725,5.01,8.27,0.24,0.0,0.0,1.32,0.0,12.2,0.0,0.0,3,2006,0.0,,114.20833333333334,27.41
2006-06-30,260.53,34.489999999999995,0.30088206785137317,0.6,0.0,43.96,55.940000000000005,6.66,15.43,140.64000000000001,0.0,23.52,0.0,60.59,8640.4,7752.34,575.0,888.06,-225.48000000000002,0.2699999999999996,230.64999999999998,11.979999999999999,5.532233980864019,4.31,8.73,0.54,0.6,1.11,1.60470436187399,2.340193861066236,15.534429725363486,17.62946042003231,0.0,6,2006,68.77777777777777,,114.62962962962962,61.9
2006-09-30,262.59999999999997,31.619999999999997,0.27048759623609925,0.01165288470677686,0.0,41.03999999999999,35.86999999999999,5.5,25.25,143.53999999999996,0.0,21.92,0.0,57.97,8894.18,7342.0,575.0,1552.17,-249.26999999999998,-0.6899999999999995,248.36,-5.17,5.087109424414928,2.04,4.73,0.8,0.6,0.75,1.420059880239521,2.042181351582549,8.155201026518391,10.562540633019674,0.0,9,2006,1.362222222222215,,116.89999999999999,93.52
2006-12-31,272.82000000000005,25.049999999999997,0.1732394366197183,0.11492957746478878,0.0,32.150000000000006,35.34,5.2,45.33,161.77999999999997,0.0,54.02,0.0,57.98,9443.84,7867.36,1150.0,1576.48,-467.45000000000005,-3.1999999999999993,471.0400000000001,3.1900000000000013,7.5023333333333335,3.79,4.99,0.82,0.6,0.73,1.064788732394366,1.5126760563380282,6.354929577464788,8.180281690140843,0.0,12,2006,16.61853658536586,,144.59756097560975,118.57
2007-03-31,293.13,31.48,0.14,0.0,0.0,42.03,45.27,5.1,12.57,175.66,0.0,26.67,0.0,59.85,10094.97,8487.01,1150.0,1607.96,-642.58,-7.2,637.51,3.24,9.1075,3.65,5.28,0.14,0.0,0.0,1.24,1.84,7.84,10.04,0.0,3,2007,0.0,,224.85714285714283,31.48
2007-06-30,300.92999999999995,41.39,0.18175929737889393,0.35,0.0,51.33,54.77,4.82,31.92,175.16,0.0,17.63,0.0,57.96,10431.0,8862.14,1150.0,1568.86,-308.90999999999997,-1.589999999999999,293.36,3.4399999999999995,6.628546750422808,3.53,5.65,0.32,0.35,1.09,1.5903938520653216,2.2265513928914507,10.542039247975845,13.47290791821051,0.0,6,2007,79.7015625,,227.71875,72.87
2007-09-30,310.98,45.42999999999999,0.19585207100591714,0.006400702662721862,0.0,63.32000000000001,66.59999999999998,4.96,57.56,172.90000000000003,0.0,45.91,0.0,56.11,10549.57,8935.29,1150.0,1614.28,-26.069999999999936,-1.4400000000000013,56.50999999999999,3.280000000000001,6.334244992295841,3.53,5.54,0.51,0.35,0.69,1.7204260355029586,2.473112426035503,11.25957396449704,11.47462721893491,0.0,9,2007,1.4847120098039142,,231.96078431372547,118.3
2007-12-31,310.6400000000001,48.08,0.20806346916696716,-0.0013289917481597356,0.0,58.81,62.31,5.0,85.27,180.14,0.0,43.74,0.0,37.52,10865.6,9203.24,1150.0,1662.36,-217.08000000000015,-1.9900000000000002,222.69999999999993,3.5,6.003937188019967,3.46,5.54,0.72,0.35,0.49,1.7685394879192209,2.450525303522058,11.570640702007452,11.871176824137516,0.0,12,2007,-0.3071078431372456,,231.08333333333334,166.38
2008-03-31,345.85,62.29,0.27,0.0,0.0,81.57,84.83,5.3,18.22,170.48,0.0,23.04,0.0,39.17,10966.88,9242.23,1150.0,1724.66,-66.63,-4.86,24.06,3.26,4.9075,3.53,5.36,0.27,0.0,0.0,2.28,3.08,14.44,14.96,0.0,3,2008,0.0,,230.7037037037037,62.29
2008-06-30,296.61,46.68,0.2013361475635496,0.5,0.0,64.20000000000002,67.47000000000001,5.2,30.6,201.69000000000003,0.0,23.16,0.0,35.8,11099.41,9443.07,1150.0,1656.33,-65.78,0.07000000000000028,87.64,3.2700000000000005,6.454628320479863,3.61,5.7,0.47,0.5,1.06,1.6792291456364137,2.31322382307057,11.274824263558777,11.583254106634854,0.0,6,2008,115.92553191489363,,231.85106382978725,108.97
2008-09-30,375.53,50.099999999999994,0.21731941912365624,-0.0028516817833444527,0.0,69.6,73.07999999999998,4.64,46.65,173.55,0.0,53.34,0.0,34.09,11595.67,9889.24,1150.0,1706.43,-403.1,-1.3499999999999996,421.96,3.4799999999999995,5.334083832335329,3.13,5.8,0.69,0.5,0.72,1.7259571257936759,2.456654303136984,11.741547746275224,12.069101653360155,0.0,9,2008,-0.6574159728646407,,230.53623188405797,159.07
2008-12-31,288.8699999999999,19.849999999999994,0.08653588195841716,-0.0025102304649151476,0.0,34.06,36.99000000000001,3.54,70.17,212.47000000000003,0.0,61.1,0.0,31.6,11937.7,10211.42,1150.0,1726.29,-277.4,0.7599999999999998,346.2800000000001,2.9299999999999997,10.230438287153655,2.36,5.92,0.78,0.5,0.64,0.6656606304493627,0.9718645204560695,4.597496087636932,4.686250838363514,0.0,12,2008,-0.5758082497213053,,229.38461538461536,178.92
2009-03-31,342.17,39.72,0.17,0.0,0.0,61.07,64.44,3.6,31.1,177.77,0.0,18.17,0.0,30.55,11879.17,10113.17,1150.0,1766.0,-16.51,-1.88,-38.35,3.37,5.295,2.34,5.73,0.17,0.0,0.0,1.32,2.12,9.0,9.12,0.0,3,2009,0.0,,233.6470588235294,39.72
