,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2007-09-30,,,,,,,,,0.0,,,21.34,45.55,49.4,117.37,15.13,149.45,14.98,62.58,1.87,91.2,0.7,91.9,50.0,57.55,,,,,,0.0,1.6,119.8,0.0,0.0,,,,,,1.85,1.85,0.0,1.29,0.75,9,2007,,0.037562604340567615,4.5
2007-12-31,92.47,1.1500000000000004,0.03460176991150444,0.0,18.65,1.4400000000000004,2.6799999999999997,,0.0,91.04000000000002,0.9799999999999995,4.44,56.52,49.24,114.33,15.22,149.24,12.06,62.83,0.66,89.94,0.61,90.55,50.0,58.7,-12.51,-3.6799999999999997,-0.7199999999999989,1.2400000000000002,0.0,0.0,1.54,0.17,0.0,0.0,3.0856637168141603,0.0,7.840353982300888,0.0,12.46477876106195,1.69,1.68,0.0,1.27,0.72,12,2007,0.0,33.23529411764706,5.65
2008-03-31,108.82,3.61,0.03,0.0,22.31,5.89,7.13,1.19,0.0,102.92,4.91,47.28,74.06,47.3,170.15,14.19,203.97,14.05,65.34,0.38,91.05,0.52,91.57,75.0,112.4,-4.71,-0.5,48.06,1.24,9.9175,1.59,0.81,0.03,0.0,0.0,7.08,0.0,12.84,0.0,20.88,3.35,3.32,0.0,1.87,1.35,3,2008,0.0,120.33333333333333,3.61
2008-06-30,86.04000000000002,-6.38,-0.04606498194945848,0.02,17.52,-6.34,-5.05,0.9,0.0,92.38000000000001,-5.98,47.74,50.13,57.05,157.05,15.44,206.1,38.63,54.59,0.37,102.05,0.43,102.48,75.0,103.62,-5.31,-15.57,21.340000000000003,1.2899999999999998,-4.884404388714734,1.3,0.99,-0.02,0.02,-0.8,-12.345415162454875,0.0,-24.598700361010827,0.0,-3.9615884476534293,-1.43,-1.42,0.0,1.54,0.98,6,2008,2.77,138.5,-2.77
2008-09-30,104.16999999999996,3.25,0.0,,27.090000000000003,6.37,7.68,0.63,8.54,97.81,15.040000000000001,41.29,48.07,72.75,165.77,14.99,214.78,37.47,58.74,0.37,107.56,0.34,107.9,75.0,106.88,-3.120000000000001,-2.66,-0.6700000000000017,1.31,0.0,0.88,1.01,0.0,0.02,0.0,5.958333333333334,88.02083333333334,12.187500000000002,15.708333333333332,149.5,0.16,0.16,0.0,1.54,0.86,9,2008,inf,inf,0.48
2008-12-31,107.19000000000005,1.94,0.01603305785123967,-inf,24.439999999999998,3.5,4.880000000000001,0.39,8.2,103.69,2.5600000000000005,53.62,46.28,72.06,173.55,16.46,217.38,41.57,59.1,0.37,108.93,0.24,109.18,75.0,108.21,3.7300000000000004,5.57,3.019999999999996,1.38,6.081185567010309,0.54,1.01,0.02,0.02,0.8,3.559338842975207,16.48198347107438,7.182809917355373,9.299173553719008,27.865454545454543,0.6,0.6,0.0,1.59,0.93,12,2008,-inf,121.0,2.42
2009-03-31,103.67,5.67,0.04,0.0,27.6,7.8,9.28,0.57,0.0,95.86,10.48,50.58,54.08,70.86,178.01,18.77,223.96,36.99,55.33,0.37,109.93,0.15,110.08,75.0,113.87,6.89,-5.08,-4.85,1.48,3.5625,0.75,0.97,0.04,0.0,0.0,10.12,14.6,19.92,20.04,27.36,5.51,5.47,0.0,1.62,0.97,3,2009,0.0,141.75,5.67
2009-06-30,82.77999999999999,1.9000000000000004,0.012549537648612948,0.0,21.28,2.2,3.8200000000000003,0.72,0.0,80.58999999999999,2.5,38.52,47.13,74.84,162.2,18.63,209.13,30.72,50.39,0.37,93.3,0.06,93.36,75.0,115.78,-4.75,-1.0300000000000002,-6.27,1.62,14.34315789473684,0.93,0.81,0.05,0.0,0.0,3.6343461030383097,4.839101717305153,6.565918097754294,6.927344782034347,8.66420079260238,4.1,4.06,0.0,1.74,0.94,6,2009,0.0,151.4,7.57
2009-09-30,81.24000000000001,0.2699999999999996,0.0017219387755102015,0.0,20.130000000000003,0.8499999999999996,2.67,0.75,0.0,80.40000000000003,4.609999999999999,28.64,45.9,79.6,157.23,22.64,208.16,34.66,48.78,0.34,92.11,0.0,92.11,75.0,116.05,-6.84,-7.2700000000000005,4.209999999999999,1.8199999999999998,108.88888888888906,0.97,0.79,0.05,0.0,0.0,0.5193367346938768,0.7066836734693867,0.9312244897959169,0.9684183673469373,1.2880102040816306,2.95,2.93,0.0,1.71,0.84,9,2009,0.0,156.79999999999998,7.84
2009-12-31,109.30000000000001,6.35,0.04027484143763214,0.0,32.25,8.15,10.260000000000002,0.85,0.0,101.14999999999998,10.11,27.46,60.76,88.5,181.08,22.63,232.8,44.64,51.77,0.24,110.41,0.0,110.41,75.0,122.4,-8.14,-2.9499999999999975,9.92,2.1100000000000003,5.273763779527559,1.04,0.9,0.09,0.0,0.0,10.918957011980266,15.10754052149401,20.746018322762506,22.034813248766735,27.780690627202254,3.8,3.76,0.0,1.64,0.84,12,2009,0.0,157.66666666666666,14.19
