,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,166.87,-2.87,-0.21999999999999997,0.0,15.5,6.65,16.07,0.8,0.0,160.22,-16.33,16.38,12.02,162.08,239.88,515.7,757.83,139.97,152.8,12.0,338.16,315.05,653.22,130.0,104.27,-3.6,-0.69,-13.15,9.42,-0.915,1.0,6.26,-0.22,-1.52,0.0,-11.0,0.0,6.32,-2.01,-1.72,0.71,0.23,3,2000,0.0,13.045454545454547,-2.87
2000-06-30,143.31,-13.14,-1.0095065584009992,0.0,14.350000000000001,-3.18,6.210000000000001,0.94,0.0,146.48999999999998,-18.72,24.64,11.83,147.74,236.22,507.58,745.92,144.4,148.53,12.0,334.44,320.02,654.46,130.0,91.13,7.609999999999999,-1.27,1.92,9.389999999999999,-0.23149923896499242,1.34,7.18,-1.23,-7.058338538413491,0.0,-57.681399125546534,0.0,2.757676452217364,-6.05,-5.16,0.71,0.26,6,2000,0.0,13.016260162601627,-16.01
2000-09-30,120.94999999999999,-23.45,-1.80658895083629,0.0,10.54,-13.200000000000001,-3.5199999999999996,0.94,0.0,134.15000000000003,-23.75,24.54,6.14,142.72,224.42,503.49,730.03,124.84,160.24,78.23,392.75,269.3,662.04,130.0,67.68,24.54,-3.58,-21.06,9.68,-0.13041151385927505,1.8,9.78,-3.04,-12.860060821084643,0.0,-138.5843892549417,0.0,-6.846021287379624,-10.93,-9.15,0.57,0.21,9,2000,0.0,12.980263157894736,-39.46
2000-12-31,127.98000000000002,-13.049999999999997,-1.0040373262235762,0.0,11.18,-3.039999999999999,7.259999999999998,0.94,0.0,131.01999999999998,-21.64,36.63,7.23,139.94,235.92,490.19,740.44,115.63,170.55,79.27,393.96,291.56,685.51,130.0,54.63,19.749999999999996,3.06,18.78,10.3,-0.2313659003831418,2.23,12.55,-4.04,-7.048143210816985,0.0,-95.55254237288135,0.0,-3.668215577985145,-11.28,-9.39,0.6,0.24,12,2000,0.0,12.997524752475247,-52.51
2001-03-31,114.59,-13.93,-1.07,0.0,33.22,-4.99,5.33,0.94,0.0,119.58,1.53,15.04,6.48,133.93,209.14,494.12,718.5,120.78,145.01,79.05,380.47,297.04,677.51,130.0,40.7,-10.98,-14.26,-1.5,10.32,-0.22,3.0,16.65,-1.07,-7.760000000000001,-2.72,-136.92,-76.88,-5.92,-12.18,-12.16,0.55,0.2,3,2001,0.0,13.018691588785046,-13.93
2001-06-30,113.60999999999999,-12.490000000000002,-0.9596782740348221,0.0,33.58,-4.459999999999999,6.4,0.94,0.0,118.07000000000001,-2.62,19.32,7.56,137.99,221.29,488.4,711.75,30.27,151.22,33.44,243.31,421.32,664.64,130.0,46.82,24.560000000000002,-5.1899999999999995,1.92,10.86,-0.2432586068855084,2.61,14.2,-2.03,-7.015579106737321,-2.458289174867525,-106.70866010598033,-72.42498107494322,-3.8198031794095386,-11.6,-11.58,0.91,0.34,6,2001,0.0,13.014778325123155,-26.42
2001-09-30,130.2,-3.0,-0.230455472467709,0.0,-30.309999999999995,3.5999999999999996,14.899999999999999,0.94,0.0,126.6,-70.72,15.88,7.53,138.35,220.64,485.42,707.77,32.57,159.8,37.76,254.73,408.93,663.66,130.0,43.83,5.1800000000000015,-9.780000000000001,-1.52,11.299999999999997,-1.0297,2.78,15.14,-2.26,-1.6968048946295036,-0.33038749150237934,-27.377294357579878,-21.524133242692045,-0.5261726716519374,-10.24,-8.21,0.87,0.32,9,2001,0.0,13.01769911504425,-29.42
2001-12-31,140.71000000000004,-8.14,-0.6263205537806177,0.0,106.29999999999998,0.7599999999999998,14.190000000000001,0.94,0.0,139.95,64.18,24.14,10.97,139.16,194.0,474.39,710.8,24.7,178.09,42.42,273.3,401.53,674.82,130.0,35.68,1.9100000000000001,-1.1099999999999994,-2.23,13.43,-0.36914004914004916,3.42,18.91,-2.89,-4.577124600638978,-0.6068157614483493,-91.2564217252396,-72.10705005324814,-1.0055804046858359,-7.63,-7.53,0.71,0.2,12,2001,0.0,12.996539792387544,-37.56
2002-03-31,119.38,-2.21,-0.17,0.0,37.02,3.6,14.74,0.94,0.0,115.78,-0.91,11.44,10.1,133.0,173.66,502.85,718.92,49.0,185.08,66.55,325.77,359.39,685.16,130.0,33.47,20.38,-39.61,6.54,11.14,-1.38,3.65,20.47,-0.17,-1.24,2.0,-26.4,-23.84,3.68,-1.87,-1.85,0.53,0.12,3,2002,0.0,12.999999999999998,-2.21
2002-06-30,112.85,1.1099999999999999,0.08072727272727272,0.0,34.18,6.98,18.549999999999997,0.94,0.0,105.87,-2.98,11.8,10.37,132.68,175.64,495.09,712.96,31.57,183.82,30.09,268.46,409.62,678.08,130.0,34.59,-0.34999999999999787,-3.8100000000000023,4.510000000000001,11.57,2.9060810810810818,3.53,19.6,-0.08,0.6054545454545454,-6.014181818181817,12.835636363636361,10.898181818181817,-9.606545454545453,-0.48,-0.47,0.65,0.16,6,2002,0.0,13.75,-1.1
