,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,303.38,10.63,0.47,0.0,61.91,29.87,39.51,2.75,0.0,273.51,27.0,1.62,308.32,749.79,1096.67,592.73,1888.69,951.6,153.84,54.91,1235.67,81.06,1316.73,225.0,571.96,-25.07,-23.64,48.92,9.64,1.4625,0.22,2.3,0.47,0.0,0.0,2.24,0.0,7.44,0.0,18.28,3.58,3.5,0.89,0.28,3,2000,0.0,22.617021276595747,10.63
2000-06-30,321.78999999999996,12.859999999999998,0.569365687526607,0.0,84.32,43.83,54.23,2.05,0.0,277.96000000000004,40.31,1.89,337.86,747.11,1145.26,592.37,1938.66,980.08,161.77,47.76,1274.21,79.63,1353.84,225.0,584.83,-0.6400000000000006,-14.280000000000001,15.200000000000003,10.399999999999999,0.8995975894245724,0.16,2.31,1.04,0.0,0.0,2.649740315027671,0.0,8.803269476372922,0.0,24.285636441038736,3.85,3.76,0.9,0.31,6,2000,0.0,22.58653846153846,23.49
2000-09-30,375.63,-10.7,-0.4768569194683346,0.0,94.29000000000002,20.819999999999993,31.35000000000001,2.15,0.0,354.80999999999995,49.25999999999999,3.51,339.92,747.65,1147.54,586.64,1936.71,977.74,157.06,24.26,1239.59,122.99,1362.58,225.0,574.12,-0.48999999999999844,-6.299999999999997,8.409999999999997,10.530000000000001,-1.1265957943925233,0.17,2.37,0.57,0.0,0.0,-2.2086004691164973,-0.0,-7.462392494136044,-0.0,-45.376700547302576,1.31,1.28,0.93,0.32,9,2000,0.0,22.438596491228072,12.79
2000-12-31,310.21000000000004,2.8400000000000016,0.12537428023032635,0.0,70.87999999999997,33.010000000000005,2.4399999999999977,2.25,0.0,277.20000000000005,16.599999999999994,7.23,317.82,777.68,1132.42,579.62,1913.52,994.6,131.37,30.26,1221.64,114.91,1336.55,225.0,576.96,-11.09,0.0,14.819999999999993,-30.57,4.485369718309856,0.18,2.32,0.69,0.0,0.0,0.5959820857325658,0.0,1.9696481126039678,0.0,13.39506078055023,1.23,1.19,0.93,0.29,12,2000,0.0,22.65217391304348,15.63
2001-03-31,246.68,-0.58,-0.03,0.0,62.02,27.74,38.26,2.0,0.0,218.94,25.14,2.82,295.24,810.56,1130.68,569.91,1902.09,1019.65,110.01,10.24,1191.6,134.1,1325.71,225.0,576.38,-12.75,2.61,6.32,10.52,-16.6675,0.16,2.3,-0.03,0.0,0.0,-0.12,5.84,-0.4,-0.4,15.6,-0.24,-0.24,0.95,0.27,3,2001,0.0,19.333333333333332,-0.58
2001-06-30,309.08,1.7199999999999998,0.07543859649122807,0.0,65.74000000000001,29.140000000000004,39.64000000000001,3.05,0.0,279.94,31.75,3.62,325.28,821.81,1168.37,535.21,1907.87,1038.31,120.53,12.32,1199.35,130.42,1329.77,225.0,578.1,-10.05,-1.8499999999999999,12.82,10.5,10.107558139534884,0.24,2.3,0.05,0.0,0.0,0.3621052631578947,17.863859649122805,1.207017543859649,1.207017543859649,48.46175438596491,0.21,0.21,0.97,0.29,6,2001,0.0,22.799999999999997,1.14
2001-09-30,212.94000000000005,6.0200000000000005,0.26905027932960895,0.0,55.86,28.050000000000004,35.53,2.3,0.0,184.89,18.260000000000005,2.12,273.06,859.66,1158.66,530.17,1893.21,1041.04,104.89,13.61,1182.37,126.71,1309.09,225.0,584.12,1.9200000000000017,-2.52,6.109999999999999,7.48,2.137890365448505,0.18,2.24,0.32,0.0,0.0,1.2779888268156425,14.932290502793299,4.136648044692738,4.170279329608938,40.18938547486034,0.95,0.93,0.98,0.25,9,2001,0.0,22.375,7.16
2001-12-31,171.70999999999992,-21.45,-0.960671798460462,0.0,52.93000000000001,4.699999999999989,11.61,4.03,0.0,167.01,-1.1700000000000017,1.88,236.48,934.27,1208.51,525.43,1929.96,1119.13,88.8,15.26,1244.74,122.55,1367.29,225.0,562.67,-63.86,-15.979999999999999,71.53,6.909999999999997,-1.047600233100233,0.32,2.43,-0.64,0.0,0.0,-4.443107067879636,27.979566130160954,-15.250664800559832,-15.070538838348496,78.53491952414277,-1.55,-1.52,0.97,0.22,12,2001,0.0,22.328124999999996,-14.29
2002-03-31,212.97,-2.01,-0.09,0.0,36.08,22.59,29.24,10.7,0.0,190.38,15.71,15.03,248.45,968.12,1265.89,522.67,1984.57,1154.88,97.82,16.46,1303.51,120.39,1423.9,225.0,560.67,-27.66,-3.9,45.44,6.65,-29.7225,0.86,2.54,-0.09,0.0,0.0,-0.4,4.64,-1.44,-1.4,13.28,-0.98,-0.94,0.97,0.23,3,2002,0.0,22.333333333333332,-2.01
2002-06-30,237.33,-23.83,-1.0605456656346748,0.0,46.75,3.9400000000000013,10.370000000000001,9.85,0.0,233.38,-7.600000000000001,3.95,222.68,1009.33,1261.75,520.41,1977.97,1141.48,121.4,16.58,1322.16,118.97,1441.13,225.0,536.84,-15.419999999999998,-4.17,8.560000000000002,6.43,-2.3232144355853968,0.83,2.68,-1.15,0.0,0.0,-4.8323993808049535,5.053730650154798,-17.743390092879253,-17.11628482972136,14.939860681114551,-5.98,-5.74,0.95,0.19,6,2002,0.0,22.469565217391306,-25.84
2002-09-30,248.15000000000003,-0.23999999999999844,-0.010674846625766801,0.0,54.07000000000001,24.89,31.33,6.35,0.0,223.26999999999998,25.799999999999997,5.01,214.79,989.56,1232.89,522.67,1949.83,1095.99,126.28,16.9,1298.32,114.91,1413.23,225.0,536.6,67.03999999999999,-8.809999999999999,-57.2,6.4399999999999995,-148.6016666666676,0.53,2.63,-1.16,0.0,0.0,-0.049325153374232815,0.09865030674846563,-0.17889570552147127,-0.17116564417177804,0.29042944785275887,-3.83,-3.73,0.95,0.19,9,2002,0.0,22.482758620689655,-26.08
2002-12-31,241.52999999999997,-29.28,-1.3010982658959538,0.0,61.41999999999999,-4.590000000000003,4.930000000000007,6.0,0.0,246.12,-8.279999999999998,1.57,173.34,1076.7,1301.71,514.91,2010.11,1156.5,167.02,18.81,1392.33,110.46,1502.8,225.0,507.32,-55.57,-0.990000000000002,52.720000000000006,9.52,-1.153333333333333,0.53,2.96,-2.46,0.0,0.0,-5.817919075144509,5.03514450867052,-23.081271676300577,-21.896531791907513,16.036300578034684,-6.03,-5.89,0.93,0.16,12,2002,0.0,22.504065040650406,-55.36
2003-03-31,260.52,-2.09,-0.09,0.0,32.58,20.12,26.29,3.7,0.0,240.4,7.1,2.19,217.37,1037.49,1315.47,513.21,2027.29,1089.96,147.52,27.83,1399.12,122.95,1522.06,225.0,505.23,-36.66,-4.43,41.71,6.17,-10.2775,0.33,3.01,-0.09,0.0,0.0,-0.4,4.0,-1.64,-1.56,12.8,-0.84,-0.8,0.94,0.2,3,2003,0.0,23.22222222222222,-2.09
2003-06-30,381.94000000000005,-45.0,-1.9972393289445738,0.0,64.47,-16.43,-10.27,4.2,50.0,398.37,30.119999999999997,1.77,252.68,990.36,1308.1,514.45,2010.33,1081.56,151.21,28.95,1425.92,124.18,1550.11,225.0,460.22,-26.96,4.62,21.949999999999996,6.16,-0.5258383333333333,0.41,3.37,-2.09,0.0,0.0,-8.944574219579527,0.726268846888936,-39.103843703546396,-36.12231896368655,2.4081545975791037,-7.52,-7.33,0.92,0.22,6,2003,0.0,22.531100478468904,-47.09
