,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-06-30,,,,,,,,,0.0,,,39.53,84.54,43.72,170.37,132.65,413.39,21.0,35.41,5.04,208.85,6.4,215.25,160.0,198.13,,,,,,0.0,1.09,0.49,0.0,0.0,,,,,,25.91,24.79,0.82,0.61,6,2004,,160.04081632653063,78.42
2004-09-30,144.3,23.5,0.14295525902668757,0.0,45.56999999999999,25.560000000000002,32.32000000000001,,0.0,118.74000000000001,20.820000000000007,99.86,51.88,33.55,386.74,168.12,646.21,4.69,32.2,1.08,55.04,9.7,64.74,200.0,581.46,57.019999999999996,-211.76,215.08000000000004,6.76,0.0,0.0,0.11,0.62,0.0,0.0,14.544544740973311,0.0,16.167778649921505,0.0,18.06770015698587,23.05,22.12,7.03,6.42,9,2004,0.0,164.38709677419357,101.92
2004-12-31,186.14000000000004,14.849999999999994,0.08520596043504322,0.0,47.629999999999995,18.760000000000005,28.23999999999998,,0.38,167.38,18.129999999999995,11.61,70.5,85.33,321.66,222.92,638.46,3.31,42.48,1.28,75.63,10.15,85.77,200.0,546.31,-1.2800000000000011,-28.599999999999966,-58.380000000000024,9.48,0.0,0.0,0.16,0.67,0.0,0.0,9.303982187205614,0.0,10.870754474608201,0.0,12.16283291941423,18.61,18.05,4.25,3.12,12,2004,0.0,174.28358208955223,116.77
2005-03-31,190.94,22.4,0.11,0.0,51.9,26.69,36.76,,0.0,164.26,23.61,24.45,86.95,92.15,337.82,276.99,681.78,3.62,57.04,1.29,97.84,9.7,107.54,200.0,568.72,28.61,-12.49,-3.27,10.07,0.0,0.0,0.19,0.11,0.0,0.0,13.16,0.0,15.76,0.0,18.28,11.92,11.73,3.45,2.51,3,2005,0.0,203.63636363636363,22.4
2005-06-30,162.42000000000002,19.340000000000003,0.09730234786775276,0.0,51.339999999999996,23.27,34.86000000000001,,0.0,139.14,23.410000000000004,23.44,73.44,104.84,320.58,253.08,683.98,1.95,46.83,3.89,73.23,16.26,89.5,200.0,588.05,3.700000000000003,-3.839999999999998,-0.8800000000000003,11.59,0.0,0.0,0.15,0.21,0.0,0.0,11.305606133205558,16.884274077623385,13.158984187829422,19.682874940105414,15.160632486823191,11.91,11.81,4.38,2.95,6,2005,0.0,198.7619047619048,41.74
2005-09-30,172.61,20.21,0.10113155770782889,0.0,51.760000000000005,22.85,35.14,,0.0,149.75,19.160000000000004,30.92,63.7,138.67,294.84,275.5,678.74,3.86,53.33,4.2,79.98,13.14,93.12,200.0,578.26,32.39999999999999,5.989999999999998,-30.9,12.290000000000003,0.0,0.0,0.16,0.31,0.0,0.0,11.913949959644874,14.34110734463277,13.975728813559321,13.936581113801452,15.867867635189668,11.93,11.78,3.69,1.95,9,2005,0.0,199.83870967741936,61.95
2005-12-31,150.82999999999993,9.719999999999999,0.04882377563834239,0.05,42.610000000000014,10.579999999999998,23.179999999999993,3.92,0.72,140.25,12.849999999999994,20.99,55.72,156.0,244.57,377.15,721.93,0.0,49.12,11.72,96.61,32.56,129.17,200.0,577.98,12.730000000000004,-38.66,15.989999999999998,12.599999999999994,20.074236111111116,1.36,0.22,0.36,0.05,0.14,5.386889912097111,6.650883214734197,6.726831310171619,6.916701548765173,7.236768522394306,10.7,10.59,2.53,0.92,12,2005,9.954166666666667,199.08333333333334,71.67
2006-03-31,201.04,20.42,0.1,0.0,61.28,23.7,36.36,3.92,0.0,177.34,22.72,10.58,100.01,178.47,299.2,422.58,813.88,44.16,63.79,18.27,154.99,44.82,199.81,200.0,598.4,-19.8,-46.55,55.95,12.66,9.8,1.31,0.33,0.1,0.0,0.0,10.04,12.680000000000001,13.64,14.0,14.400000000000002,10.21,10.16,1.93,0.78,3,2006,0.0,204.20000000000002,20.42
2006-06-30,148.32000000000002,9.119999999999997,0.04631008801624914,0.0,42.92999999999999,10.930000000000003,24.25,2.64,0.0,137.39000000000001,9.950000000000003,11.16,81.84,193.66,301.23,453.1,839.94,84.5,42.94,22.15,176.65,40.68,217.33,200.0,607.52,-2.099999999999998,-37.760000000000005,40.42999999999999,13.32,14.251754385964917,0.87,0.36,0.15,0.0,0.0,4.346973595125252,5.606607989167229,6.00178740690589,6.100582261340554,6.446364251861881,8.5,8.46,1.71,0.61,6,2006,0.0,196.93333333333334,29.54
2006-09-30,164.29999999999995,9.420000000000002,0.04593942505133471,0.1,45.63000000000001,11.86,25.14,2.78,0.0,152.45,10.269999999999996,15.54,70.34,205.93,308.08,460.08,859.57,82.91,48.4,25.32,183.07,64.0,247.08,200.0,596.95,23.68,-22.50999999999999,3.200000000000003,13.279999999999998,15.126985138004246,0.93,0.41,0.19,0.1,0.53,4.3811704312115,5.841560574948666,6.31546201232033,6.412176591375771,6.644291581108831,7.64,7.58,1.68,0.56,9,2006,20.50526315789474,205.05263157894737,38.96
2006-12-31,167.43000000000006,9.509999999999998,0.04708892098205074,-0.0015321468515522277,45.53,10.030000000000001,23.040000000000006,3.24,0.02,157.39000000000004,10.29,7.13,84.77,194.31,303.44,492.51,882.1,107.1,48.4,25.38,203.12,56.51,259.62,200.0,606.46,11.89,-37.91,17.629999999999995,13.010000000000005,17.201498422712937,1.07,0.43,0.24,0.1,0.42,4.308636269857643,5.532948215390962,6.270674644109758,6.419789560552918,6.529663709511037,7.15,7.12,1.49,0.54,12,2006,-0.309429824561402,201.95833333333334,48.47
2007-03-31,178.3,13.74,0.07,0.0,56.54,18.89,35.9,2.88,0.0,159.42,17.17,14.2,76.47,200.99,306.46,512.25,907.41,103.57,64.23,25.39,221.64,49.06,270.69,200.0,620.2,55.58,-37.44,-11.08,17.01,10.285,0.93,0.44,0.07,0.0,0.0,6.04,8.76,8.88,9.04,11.0,7.78,7.71,1.38,0.48,3,2007,0.0,196.28571428571428,13.74
2007-06-30,149.77999999999997,2.4099999999999984,0.01193808049535603,0.05000000000000001,41.39000000000001,5.77,24.04,2.76,0.0,143.99000000000004,1.4699999999999989,8.08,79.06,210.73,313.62,513.07,914.74,125.32,53.52,27.91,241.28,45.54,286.82,200.0,612.61,2.3299999999999983,-16.730000000000004,8.280000000000001,18.27,57.798236514522856,0.9,0.47,0.08,0.05,0.63,1.0565201238390087,1.6773003095975223,1.575826625386996,1.5817956656346739,2.1846687306501535,5.01,4.92,1.3,0.43,6,2007,10.09375,201.87499999999997,16.15
2007-09-30,184.24000000000007,11.05,0.056875000000000016,-0.0019531250000000043,58.20999999999998,18.709999999999997,37.730000000000004,2.42,0.0,165.53999999999996,13.79,10.71,96.64,212.05,336.01,509.8,934.15,132.44,58.52,30.14,253.59,41.12,294.71,200.0,623.66,16.430000000000007,-14.429999999999993,0.6299999999999999,19.019999999999996,10.639999999999999,0.78,0.47,0.14,0.05,0.36,4.728750000000001,7.865000000000001,7.085000000000001,7.2475000000000005,10.35125,5.43,5.31,1.33,0.49,9,2007,-0.3794642857142865,194.28571428571425,27.2
2007-12-31,181.89,5.239999999999998,0.025844636251541302,0.0020873700898361817,52.880000000000024,7.970000000000006,27.590000000000003,2.4,0.0,173.92000000000002,7.229999999999997,14.83,81.96,202.87,316.14,503.8,907.75,95.49,48.21,32.71,203.46,59.05,262.51,200.0,628.89,33.22999999999999,-12.330000000000013,-16.78,19.620000000000005,23.215648854961838,0.76,0.42,0.16,0.05,0.31,2.306633785450061,3.7087053020961767,3.333958076448828,3.392108508014796,4.710184956843403,4.76,4.67,1.55,0.56,12,2007,0.42321428571428577,202.74999999999997,32.44
2008-03-31,210.06,6.06,0.03,0.08,57.1,10.12,28.42,2.38,0.0,199.94,7.02,22.52,110.74,212.52,361.84,489.46,938.57,86.25,84.15,34.36,236.52,50.29,286.81,200.0,634.95,27.69,-3.65,-16.35,18.3,19.8325,0.75,0.45,0.03,0.08,2.67,2.6,4.4,3.8,3.8799999999999994,5.76,2.93,2.88,1.53,0.63,3,2008,16.16,202.0,6.06
2008-06-30,200.62,8.510000000000002,0.04088538091969802,0.0023610157858613575,57.63,12.78,30.17,2.02,0.0,187.83999999999997,9.280000000000001,22.44,119.11,259.62,410.1,476.44,974.21,162.43,64.72,34.01,289.34,42.71,332.05,200.0,627.46,-46.480000000000004,-4.01,50.410000000000004,17.389999999999997,12.35282608695652,0.64,0.53,0.07,0.08,1.14,3.5044612216884015,5.653864104323954,5.420233356211394,5.490322580645162,7.803266986959507,3.61,3.55,1.42,0.52,6,2008,0.4914285714285711,208.14285714285714,14.57
