,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-09-30,,,,,,,,,,,60.63,210.45,314.37,623.19,835.06,1580.93,417.26,142.16,5.93,642.15,14.16,656.31,800.0,924.62,,,,,,0.0,0.71,1.0,0.0,0.0,,,,,,10.05,9.92,0.0,0.97,0.48,9,2005,,159.96,159.96
2005-12-31,495.18000000000006,41.16999999999999,0.24972604782976177,0.0,146.18,59.87000000000003,84.86000000000001,1.2,435.30999999999995,58.22999999999999,69.69,305.08,378.75,777.75,868.18,1767.66,241.5,152.01,5.96,486.93,12.69,499.63,1000.0,1268.04,-47.170000000000016,-57.45999999999998,113.68,24.989999999999995,1.1969115861063884,0.95,0.39,1.22,0.0,0.0,9.317647292795701,0.0,12.985754487147611,0.0,19.12655894197782,9.64,9.54,0.0,1.6,0.82,12,2005,0.0,164.86065573770492,201.13
2006-03-31,594.14,77.88,0.39,0.0,193.03,109.11,133.61,1.31,485.04,102.83,65.28,315.11,345.72,760.04,944.2,1826.08,196.43,119.99,5.64,468.97,11.2,480.17,1000.0,1345.91,145.38,-99.99,-50.52,24.5,0.8399999999999999,0.97,0.36,0.39,0.0,0.0,17.04,0.0,23.16,0.0,32.16,13.25,13.11,0.0,1.62,0.88,3,2006,0.0,199.69230769230768,77.88
2006-06-30,651.4,91.11000000000001,0.45288123557606963,0.4000000000000001,223.65,127.71,152.31,1.21,523.6700000000001,126.50000000000001,113.33,272.82,315.86,789.83,971.49,1883.29,44.59,110.08,5.86,316.68,209.58,526.26,1000.0,1357.03,185.38,-51.019999999999996,-36.309999999999995,24.6,0.6677247283503456,0.89,0.39,0.84,0.4,0.48,19.344498491034976,0.0,26.849387537724127,0.0,32.60744896147701,13.65,13.57,0.0,2.49,1.5,6,2006,80.47142857142859,201.17857142857144,168.99
2006-09-30,606.3400000000001,73.25999999999999,0.36592198142414856,0.49805808639245164,219.68,109.47000000000003,137.06,1.41,496.8699999999999,105.71000000000001,73.76,252.98,322.35,682.31,1006.59,1810.78,1.42,128.7,30.94,297.41,183.07,480.48,1000.0,1330.29,128.29000000000002,-70.03,-147.82,27.589999999999996,0.9672143734643736,1.06,0.36,1.21,0.9,0.74,16.185243343653248,24.701245820433435,22.02789845201238,25.9955814241486,27.677008049535598,13.16,13.08,0.0,2.29,1.21,9,2006,99.71452184179455,200.20661157024793,242.25
2006-12-31,552.6799999999998,71.79000000000002,0.3589042797095912,-0.0008149985631138994,180.73000000000002,87.89999999999998,115.29999999999995,1.79,464.78,97.70999999999998,135.47,243.45,315.88,714.96,1020.25,1847.75,5.06,116.89,56.68,289.79,155.88,445.67,1000.0,1402.08,105.87999999999994,-43.21000000000001,-0.960000000000008,27.400000000000006,1.2467112411199328,1.28,0.32,1.57,0.9,0.57,15.544898739014142,21.964027512418802,20.482690103171574,21.506824608330152,25.48448987390142,13.14,13.06,0.0,2.47,1.38,12,2006,-0.16302047691738153,200.0254777070064,314.04
2007-03-31,657.58,107.93,0.54,0.6,246.05,147.76,179.06,1.77,509.83,141.01,144.78,303.42,306.62,904.68,1026.84,2043.73,1.38,134.92,81.7,524.48,129.24,653.72,1000.0,1390.01,175.92,-37.42,-8.38,31.3,0.82,1.27,0.47,0.54,0.6,1.11,21.12,30.56,31.040000000000003,31.56,38.92,16.58,16.41,0.0,1.72,1.14,3,2007,119.92222222222222,199.87037037037038,107.93
2007-06-30,703.0299999999999,120.91999999999999,0.6023543805986453,0.002615978442939352,261.36,165.19,204.63,2.8,537.8300000000002,158.65000000000003,135.22,316.72,339.61,941.56,997.03,2050.48,0.98,157.9,105.68,435.77,103.78,539.55,1000.0,1510.93,103.43000000000004,-7.210000000000001,-125.02000000000001,39.44,1.1639327654647702,1.85,0.36,1.14,0.6,0.53,23.586929429757483,33.62616910640157,32.019890758138516,33.73184531352414,40.96009788070788,16.99,16.82,0.0,2.16,1.38,6,2007,0.5251461988304129,200.74561403508773,228.85
2007-09-30,613.49,87.22999999999999,0.0883118197924576,1.0780588525223458,211.73999999999995,119.91000000000003,154.61999999999995,3.3,493.5799999999999,113.79999999999995,69.0,275.57,409.15,836.66,1002.23,1950.84,0.0,153.1,104.61,394.34,78.34,472.68,1000.0,1478.16,71.06,-38.43999999999999,-150.4,34.71000000000001,9.339633153731516,2.23,0.32,0.32,1.2,3.75,17.88314350797266,25.400687167805618,23.60133383953429,24.84873829410276,30.69939635535307,16.17,16.01,0.0,2.12,1.08,9,2007,1064.852631578947,987.7499999999999,316.08
2007-12-31,640.5900000000001,77.30000000000001,0.07663582286847324,0.024884335756774754,219.26,104.44999999999993,138.85000000000002,2.9,536.1400000000001,105.76000000000005,49.83,286.53,396.48,824.94,1008.58,1941.72,0.0,97.06,102.99,333.36,52.9,386.26,1000.0,1555.46,49.64999999999998,-39.25,-29.569999999999993,34.39999999999999,9.46554721862872,1.86,0.25,0.39,1.2,3.08,15.924530987848902,22.291199349229757,19.878153439422444,20.907824495398852,26.26054196959683,15.18,15.04,0.0,2.47,1.29,12,2007,25.100000000000136,1008.6666666666666,393.38
