,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-06-30,,,,,,,,,,,17.42,130.08,111.8,261.57,122.03,390.4,44.82,103.84,0.0,188.9,0.0,188.9,140.0,177.75,,,,,,0.0,1.06,0.3,0.0,0.0,,,,,,11.34,11.3,0.0,1.38,0.79,6,2005,,121.56666666666666,36.47
2005-09-30,147.09000000000003,16.160000000000004,0.12589017670530117,0.0,49.650000000000006,26.490000000000002,31.03,,120.60999999999996,26.000000000000007,27.08,113.42,116.67,261.2,127.42,395.46,40.0,110.61,0.0,175.53,0.0,175.53,140.0,193.91,25.29,-9.930000000000001,-9.72,4.540000000000001,0.0,0.0,0.91,0.41,0.0,0.0,16.347300019000574,0.0,33.33326239787194,0.0,49.43492304769144,11.24,11.2,0.0,1.49,0.82,9,2005,0.0,128.3658536585366,52.63
2005-12-31,157.00999999999993,13.07,0.09150989345509893,0.0,50.599999999999994,20.189999999999998,25.090000000000003,2.3,136.82000000000005,19.169999999999987,68.57,135.6,114.91,424.02,125.31,556.17,0.0,110.2,0.0,149.95,0.0,149.95,200.0,378.39,12.860000000000003,-102.79,131.42,4.899999999999999,6.283473603672532,1.22,0.4,0.46,0.0,0.0,9.397668188736683,0.0,13.814015220700151,0.0,21.293954337899546,10.53,10.48,0.0,2.83,2.06,12,2005,0.0,142.82608695652175,65.7
2006-03-31,170.46,20.48,0.1,0.0,53.57,29.64,34.56,3.32,140.82,26.53,83.88,144.57,117.01,450.67,127.15,584.68,0.0,117.86,0.0,165.83,0.0,165.83,200.0,398.88,22.31,-7.0,0.0,4.92,8.3,1.66,0.42,0.1,0.0,0.0,14.0,0.0,20.52,0.0,28.32,12.24,12.01,0.0,2.72,2.01,3,2006,0.0,204.79999999999998,20.48
2006-06-30,161.79,16.139999999999997,0.07933369743309666,0.2,52.169999999999995,24.060000000000002,29.259999999999998,3.02,137.73000000000002,22.229999999999997,57.64,144.61,129.22,438.19,137.87,577.24,15.0,130.45,0.0,180.77,0.0,180.77,200.0,375.01,15.52,-11.870000000000001,-29.9,5.199999999999999,9.518023543990088,1.61,0.48,0.18,0.2,1.11,11.177236482796284,19.568978700163843,17.22422719825232,23.359366466411796,23.870628072091748,11.19,11.02,0.0,2.42,1.71,6,2006,40.68888888888889,203.44444444444443,36.62
2006-09-30,170.85000000000002,16.760000000000005,0.08477332334207571,-0.005807418508804781,53.14,25.33,30.999999999999993,3.56,145.51999999999998,21.809999999999995,86.39,144.62,140.99,420.95,170.63,592.78,17.0,137.93,0.0,178.08,0.0,178.08,200.0,391.77,11.420000000000002,20.25,-2.8999999999999986,5.67,10.502419451073983,1.82,0.45,0.27,0.2,0.74,11.31566878980892,20.081858373922824,17.117931809666548,22.89507680779319,23.93747470962908,10.79,10.61,0.0,2.36,1.57,9,2006,-1.1481481481481453,197.7037037037037,53.38
2006-12-31,160.88,5.829999999999998,0.02953892923492652,-0.0003415339000544256,48.03999999999999,9.429999999999993,15.510000000000005,3.4,151.45,7.110000000000014,45.25,137.2,126.67,369.99,202.44,573.57,0.0,110.25,0.0,152.28,0.0,152.28,200.0,397.6,23.450000000000003,-47.6,-17.0,6.080000000000002,28.76712264150944,1.71,0.38,0.3,0.2,0.67,4.06455666272589,6.167728424252659,5.864462084107413,6.010187468333051,8.270900185779427,9.06,8.92,0.0,2.43,1.6,12,2006,-0.06740740740740847,197.36666666666667,59.21
2007-03-31,170.81,13.9,0.07,0.0,53.65,21.29,27.74,2.9,149.52,20.42,66.06,142.72,139.65,391.66,212.73,611.2,0.0,137.86,0.0,208.63,0.0,208.63,200.0,377.5,28.62,-7.81,0.0,6.45,10.357500000000002,1.54,0.55,0.07,0.0,0.0,9.08,14.239999999999998,14.72,14.32,21.16,8.18,8.14,0.0,1.88,1.21,3,2007,0.0,198.57142857142856,13.9
2007-06-30,170.26999999999998,14.319999999999999,0.07104181431608787,0.17,52.800000000000004,20.380000000000003,27.860000000000003,2.4,149.89000000000001,19.629999999999995,52.89,148.58,139.47,363.08,227.65,597.6,20.0,129.27,0.0,189.21,0.0,189.21,200.0,391.82,0.33999999999999986,0.4899999999999993,-14.0,7.4799999999999995,8.444322625698325,1.23,0.48,0.14,0.17,1.21,9.58049610205528,14.391041814316086,14.614316087880935,14.939078667611623,20.70361445783132,8.31,8.27,0.0,1.92,1.18,6,2007,34.26714285714286,201.57142857142856,28.22
2007-09-30,166.22000000000003,11.770000000000003,0.05886471617904478,-0.0013785589254456403,51.519999999999996,17.07,25.15,2.44,149.14999999999998,16.650000000000006,42.46,153.1,137.34,346.03,250.46,603.33,16.37,122.39,0.6,180.72,0.6,181.32,201.2,404.8,15.509999999999998,-18.61,-7.329999999999998,8.080000000000002,10.36274426508071,1.21,0.45,0.2,0.17,0.85,7.805461365341337,11.561030257564394,11.631667916979248,11.820035008752189,16.364391097774448,7.91,7.88,0.0,1.91,1.15,9,2007,-0.27564285714285575,199.95,39.99
2007-12-31,191.15000000000003,9.329999999999998,0.047293187347931864,-0.002300790754257894,60.68000000000001,14.999999999999993,24.11,2.3,176.15000000000003,14.39,65.55,157.06,164.04,393.31,260.51,662.58,22.95,164.11,0.76,229.82,0.6,230.42,201.21,414.14,36.730000000000004,-15.170000000000002,1.5199999999999996,9.11,12.158199356913185,1.12,0.56,0.25,0.17,0.68,5.629781021897809,9.027323600973235,9.012189781021897,9.193795620437955,12.894014598540142,7.09,7.06,0.0,1.71,1.0,12,2007,-0.4538999999999973,197.28,49.32
2008-03-31,209.97,11.37,0.06,0.17,44.14,16.18,25.67,2.18,193.79,6.62,35.29,142.46,124.43,311.69,247.67,633.61,23.62,108.99,0.76,181.56,0.41,181.96,202.57,426.28,3.9,-42.41,8.25,9.49,9.0825,1.04,0.43,0.06,0.17,2.83,7.160000000000001,10.4,10.68,11.32,14.320000000000002,5.67,5.42,0.0,1.72,1.03,3,2008,32.215,189.5,11.37
2008-06-30,159.97,15.910000000000002,0.07581744868035192,0.016482771260997064,51.0,21.61,31.0,2.06,138.35999999999999,10.91,41.24,119.34,151.35,321.97,244.79,651.35,50.22,122.52,1.5,216.79,0.88,217.67,203.42,409.78,28.72,-20.360000000000007,-2.2800000000000002,9.389999999999999,6.794280326838466,1.02,0.53,0.13,0.17,1.31,9.774618768328446,14.113709677419356,15.536744868035193,15.8866715542522,20.295747800586508,7.8,7.37,0.0,1.49,0.79,6,2008,3.458846153846153,209.84615384615384,27.28
2008-09-30,171.34999999999997,12.149999999999999,0.061628201876743595,-0.010947736007335333,53.10000000000001,19.369999999999997,29.039999999999992,2.06,151.98000000000002,11.45,47.23,128.61,171.58,360.95,245.61,696.0,75.85,122.07,1.51,237.63,20.66,258.29,204.36,406.43,-14.299999999999997,-10.859999999999992,30.370000000000005,9.670000000000002,8.356563786008232,1.04,0.64,0.2,0.17,0.85,6.988638092822723,10.846563530306872,11.955871164088256,11.980522444838956,15.370073548059851,7.68,7.28,0.0,1.52,0.8,9,2008,-2.1583461538461606,197.14999999999998,39.43
2008-12-31,165.47000000000003,4.859999999999999,0.02414088959132987,0.0035197561526304224,50.25,10.060000000000002,10.990000000000009,2.0,155.39999999999998,3.860000000000003,78.47,117.63,161.2,367.83,249.05,707.26,85.0,112.41,1.52,240.86,20.6,261.46,204.36,407.46,30.409999999999997,-4.410000000000011,4.3899999999999935,0.9299999999999997,20.70967592592593,1.0,0.64,0.22,0.17,0.77,2.747672160758636,4.3058568525626555,4.771117633777376,4.731614359900654,6.3249130729284255,6.59,6.27,0.0,1.53,0.86,12,2008,0.7085909090909155,201.3181818181818,44.29
