,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,281.55,21.9,1.75,0.0,43.18,30.44,36.94,1.77,251.11,29.16,14.8,120.76,134.68,294.2,349.8,644.21,70.73,17.61,40.0,188.34,58.1,246.44,125.0,397.77,9.71,-40.87,26.22,6.5,0.2525,0.56,0.62,1.75,0.0,0.0,13.600000000000001,0.0,22.04,0.0,26.72,7.81,7.78,0.0,1.56,0.85,3,2000,0.0,12.514285714285714,21.9
2000-06-30,272.64000000000004,39.050000000000004,3.1265627563576706,0.0,55.220000000000006,50.7,60.06,2.0,221.93,45.480000000000004,9.22,129.82,156.13,324.23,373.8,698.23,74.58,24.34,40.0,184.67,76.74,261.4,125.0,436.83,4.789999999999999,-32.839999999999996,22.490000000000002,9.36,0.15998399487836107,0.57,0.6,4.88,0.0,0.0,22.372863002461038,0.0,35.75045118949959,0.0,40.491550451189504,11.13,11.0,0.0,1.76,0.91,6,2000,0.0,12.489754098360656,60.95
2000-09-30,327.0899999999999,64.64,5.172641133848237,0.0,79.03,85.02,94.91,2.0,242.07999999999998,71.61999999999999,10.33,150.55,191.86,393.76,413.62,807.79,82.11,27.45,40.0,192.78,113.54,306.32,125.0,501.46,6.989999999999998,-50.22000000000001,44.330000000000005,9.89,0.09714573019801981,0.5,0.61,10.05,0.0,0.0,32.01375905724978,0.0,51.55141651405366,0.0,55.62776654192212,14.58,14.25,0.0,2.04,1.05,9,2000,0.0,12.496517412935322,125.59
2000-12-31,380.01,76.85,6.149822169531713,0.0,91.87,89.72999999999999,100.47,2.0,290.28,75.96000000000001,20.59,159.64,210.4,436.29,428.15,864.84,59.14,17.35,40.0,166.52,120.0,286.52,125.0,578.32,54.57000000000001,-27.810000000000002,-16.5,10.740000000000002,0.0790266753415745,0.43,0.5,16.2,0.0,0.0,35.54749061450306,0.0,53.14661134163208,0.0,55.636909701639986,16.49,16.05,0.0,2.62,1.36,12,2000,0.0,12.496296296296297,202.44
2001-03-31,268.14,55.69,4.46,0.0,75.7,65.4,76.48,1.9,202.74,57.8,53.71,129.74,227.87,440.02,454.49,894.92,50.73,21.5,40.0,208.53,100.0,308.53,125.0,586.39,109.09,-37.43,-38.54,11.08,0.1075,0.4,0.53,4.46,0.0,0.0,24.88,34.0,38.0,45.28,38.12,21.38,20.77,0.0,2.11,1.02,3,2001,0.0,12.486547085201794,55.69
2001-06-30,350.81000000000006,83.66,6.69400071761751,2.9999999999999996,109.35000000000001,86.71000000000001,98.46,2.0,264.09999999999997,81.28000000000002,70.25,99.51,209.17,413.45,478.26,892.12,27.18,19.15,40.0,122.08,100.0,222.08,125.0,670.05,113.12,-35.529999999999994,-61.050000000000004,11.749999999999998,0.07495517571121205,0.37,0.33,11.15,3.0,0.27,37.51041837100825,45.93945604592752,49.94985288841048,60.46813921779692,47.42834589163975,23.0,22.51,0.0,3.39,1.67,6,2001,37.49327354260089,12.49775784753363,139.35
2001-09-30,406.69000000000005,107.13,8.571095423563778,5.00029473279743,131.02999999999997,102.94,116.61000000000001,2.17,303.76000000000005,100.88,88.04,73.31,207.65,403.16,519.23,922.79,36.7,28.74,20.0,208.11,0.0,208.11,125.0,714.68,150.83,-22.560000000000002,-110.47999999999999,13.670000000000002,0.06327079249509941,0.38,0.29,19.72,8.0,0.41,46.436908471275565,51.252716650438174,59.96289678675755,70.46379259980526,62.049167478091526,24.39,24.03,0.0,1.94,0.94,9,2001,62.49861286713542,12.498985801217039,246.48
2001-12-31,511.9499999999998,129.62000000000003,10.370289284764693,8.00011735690251,157.86,136.93,152.07,3.07,374.9999999999999,130.16,27.86,122.26,188.94,383.54,518.08,902.02,59.6,20.97,20.0,157.73,0.0,157.73,125.0,744.29,94.68,-19.960000000000008,-134.90000000000003,15.14,0.07253896003703132,0.52,0.21,30.09,16.0,0.53,57.48634937516619,61.167130018612085,69.65911831959586,78.39924913586813,72.5954714171763,24.81,24.46,0.0,2.43,1.23,12,2001,99.99482013728928,12.4991691591891,376.1
2002-03-31,482.21,127.91,10.23,5.0,159.85,136.91,151.82,8.2,345.3,135.35,33.79,190.85,182.9,436.97,515.2,952.44,7.15,31.78,0.0,161.54,0.0,161.54,375.0,790.9,114.37,-17.19,-91.25,14.91,0.2,3.89,0.2,10.23,5.0,0.49,53.72,59.28,64.68,74.28,69.24,26.68,26.53,0.0,2.71,1.57,3,2002,62.517106549364605,12.503421309872921,127.91
2002-06-30,496.76000000000005,125.03,5.101247726733614,5.4492901890193615,150.50000000000003,133.95000000000002,149.72000000000003,11.7,362.81,124.25000000000003,22.69,151.83,199.12,413.14,507.97,921.37,7.43,44.05,0.0,117.94,0.0,117.94,375.0,803.43,172.19,-8.57,-174.72000000000003,15.77,0.5715072382628168,5.46,0.15,10.32,8.0,0.78,54.274903139084365,59.059794417648455,62.243131177354314,67.878230410374,66.65234917371708,26.38,25.84,0.0,3.5,1.81,6,2002,133.56041283048035,24.509689922480618,252.94
