,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-06-30,,,,,,,,,0.0,,,43.01,318.4,711.96,1181.01,531.45,1982.17,878.18,332.84,6.79,1417.76,47.59,1465.35,386.1,516.82,,,,,,0.0,2.84,0.15,0.0,0.0,,,,,,5.61,5.54,0.83,0.33,6,2006,,382.1333333333333,57.32
2006-09-30,745.25,108.48000000000002,0.2747985524728589,0.0,210.27999999999997,160.17,188.88000000000002,3.1,0.0,585.08,131.36,86.7,577.08,685.62,1494.34,545.97,2343.18,705.86,340.32,6.79,1215.53,45.89,1261.43,480.0,1081.75,-144.03,-36.85000000000001,224.57000000000002,28.71,2.8198838495575216,1.38,1.17,0.42,0.0,0.0,18.5292738238842,0.0,40.1205886610374,0.0,63.07281061519905,9.48,9.32,1.23,0.67,9,2006,0.0,394.7619047619048,165.8
2006-12-31,701.1100000000001,47.67999999999998,0.1139066891512085,0.0,170.02999999999997,77.44,107.19999999999999,3.9,0.0,623.6699999999998,72.81,78.53,456.05,644.41,1384.62,551.61,2239.56,640.73,313.8,6.79,1065.94,44.19,1110.13,480.0,1129.44,100.99000000000001,-58.41999999999999,-50.75,29.75999999999999,8.562929949664435,1.66,0.98,0.51,0.0,0.0,8.513966647929545,0.0,16.884991568296787,0.0,26.587161326587964,8.75,8.61,1.3,0.69,12,2006,0.0,418.5882352941176,213.48
2007-03-31,667.71,40.65,0.08,0.0,150.74,69.91,100.83,3.93,0.0,597.8,60.94,124.0,476.7,683.82,1606.19,562.53,2431.47,796.54,318.46,6.79,1314.89,42.5,1357.38,480.0,1074.08,-99.24,-41.04,185.74,30.92,12.265,1.75,1.26,0.08,0.0,0.0,6.68,0.0,15.12,0.0,25.04,6.19,6.09,1.22,0.7,3,2007,0.0,508.125,40.65
2007-06-30,619.3699999999999,45.13,0.09470039636278853,0.2,146.63,69.32,101.2,3.95,0.0,550.05,65.37,105.04,443.26,642.66,1564.45,554.94,2339.64,801.99,300.73,6.79,1179.62,40.8,1220.42,480.0,1119.22,55.959999999999994,-17.68,-57.23000000000002,31.879999999999995,10.425510746731664,1.69,1.09,0.18,0.2,1.11,7.723343436698531,13.552678946141294,16.120111914199114,22.07571461879226,25.253439030076944,6.75,6.66,1.33,0.78,6,2007,95.31111111111113,476.5555555555556,85.78
2007-09-30,993.1100000000001,59.68000000000001,0.12308538429808882,0.11342820477565423,164.56,82.85000000000002,115.1,4.08,0.0,910.2600000000002,71.52000000000001,57.84,904.95,695.89,2049.45,549.24,2822.33,806.28,749.78,6.79,1657.14,39.1,1696.24,480.0,1126.09,32.42,-26.0,-53.629999999999995,32.25,8.274743632707773,1.74,1.51,0.3,0.31,1.03,8.451863055135433,14.113790732847518,21.203508868417437,21.630204867317477,31.28009899628764,6.46,6.38,1.24,0.82,9,2007,54.99755555555555,484.86666666666673,145.46
2007-12-31,1660.7799999999997,66.44999999999999,0.13797366806663203,-0.0020938763311468783,217.69,90.91,124.89999999999998,3.83,0.0,1569.87,92.96000000000001,36.15,1523.64,792.3,2878.17,607.23,3694.35,1054.72,1337.44,6.79,2464.4,37.4,2501.8,480.0,1192.55,-194.43,-73.97999999999999,246.72000000000003,33.989999999999995,6.928133559066969,1.54,2.1,0.44,0.31,0.7,7.199716860931527,13.232929073663348,22.28901892312774,22.89108583832759,31.922089566325322,5.42,5.38,1.17,0.85,12,2007,-1.0084393939393976,481.6136363636364,211.91
2008-03-31,1517.4,44.8,0.09,0.0,189.82,86.5,120.49,4.0,0.0,1430.91,71.16,71.24,1453.36,1069.5,3094.93,628.77,3927.73,1110.92,1197.48,12.79,2631.67,58.7,2690.37,480.0,1237.35,-0.65,-47.86,83.61,33.99,11.11,1.55,2.17,0.09,0.0,0.0,4.56,10.88,14.48,15.519999999999998,26.68,2.98,2.95,1.18,0.77,3,2008,0.0,497.77777777777777,44.8
2008-06-30,1751.23,12.230000000000004,0.012866912151499215,0.14,152.76,34.31999999999999,69.41000000000001,3.85,0.0,1716.8999999999999,35.74000000000001,132.54,1274.82,1138.42,3130.23,616.14,3939.39,1292.06,1054.23,29.46,2669.56,87.45,2757.01,480.0,1182.38,-87.85,-15.29,164.44,35.089999999999996,74.80815821749793,1.56,2.33,0.06,0.14,2.33,1.2438015079782574,3.3025074522181317,4.134567771348414,4.254658951429074,8.157622304050502,1.75,1.74,1.17,0.75,6,2008,133.07000000000002,950.5,57.03
2008-09-30,2257.0599999999995,22.39,0.022553512969025434,0.005958196927726005,320.41,64.67000000000002,98.24999999999997,3.56,0.0,2192.39,244.52,43.26,1838.59,1302.31,3947.81,596.77,4729.08,1402.24,1648.86,54.47,3419.24,105.08,3524.31,480.0,1204.77,-239.18,-6.380000000000003,156.27999999999997,33.58,39.461701652523445,1.42,2.93,0.08,0.14,1.75,1.8944950893981365,5.536887433895744,7.431382523293881,7.67947116595316,15.967887182070008,1.44,1.44,1.15,0.77,9,2008,5.914999999999992,992.75,79.42
2008-12-31,1958.8900000000003,-157.14,-0.1617498713329902,-0.0030622748327328816,123.18999999999994,-144.16000000000003,-109.96999999999997,3.04,21.68,2103.05,42.76999999999998,45.37,1530.46,1252.16,3431.5,617.94,4218.9,1544.85,1267.08,54.47,3071.67,99.1,3170.77,480.0,1047.63,-91.30000000000001,-53.150000000000006,146.55,34.19,-4.698612702049129,1.39,3.03,-0.08,0.14,-1.75,-14.8809881626351,8.410993309315492,-60.00920226453937,-56.12720535254761,29.114976839938237,-1.04,-1.04,1.12,0.71,12,2008,-2.9749999999999943,971.5,-77.72
