,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2005-12-31,,,,,,,,2.3,2.0,,,10.55,466.71,163.83,644.25,160.63,892.98,272.18,195.53,21.37,504.7,91.09,595.78,200.0,297.2,,,,,,1.55,2.0,0.23,0.0,0.0,,,,,,1.12,1.12,1.28,0.95,12,2005,,158.7826086956522,36.52
2006-03-31,965.12,16.42,0.08,0.14,46.88,27.47,30.27,2.38,1.5,937.66,24.74,3.46,584.94,196.13,788.28,158.76,954.93,215.62,297.47,20.86,554.93,86.39,641.31,200.0,313.62,-24.59,79.88,-62.37,2.8,7.4375,1.52,2.04,0.08,0.14,1.75,6.88,0.0,20.96,0.0,27.48,1.71,1.7,1.42,1.07,3,2006,28.735000000000007,205.25000000000003,16.42
2006-06-30,862.9399999999999,16.14,0.07931203931203931,-0.0012039312039312262,50.07,27.230000000000004,33.41,2.7,2.8,835.7099999999999,27.600000000000005,6.88,537.93,208.63,756.43,157.81,922.11,238.89,258.07,20.4,538.91,81.44,620.36,200.0,301.75,15.459999999999999,-1.8100000000000023,-10.229999999999997,6.180000000000001,8.513209417596034,1.79,2.06,0.16,0.14,0.88,6.999287469287469,0.0,21.3944226044226,0.0,28.29457002457002,1.79,1.78,1.4,1.02,6,2006,-0.24500000000000455,203.5,32.56
2006-09-30,845.96,22.86,0.11549621075424035,0.09605918440996028,59.730000000000004,36.86999999999999,43.13,2.64,3.0,809.0799999999999,34.67999999999999,12.45,542.4,213.32,771.5,155.03,934.36,276.08,246.81,19.84,562.98,66.77,629.75,200.0,304.62,3.740000000000001,-0.04999999999999716,1.8699999999999903,6.26,5.715339020122484,1.73,2.07,0.28,0.24,0.86,9.784178996752074,0.0,30.012515337423313,0.0,40.68766510285096,2.08,2.07,1.37,0.99,9,2006,19.012857142857136,197.92857142857142,55.42
2006-12-31,715.5,11.209999999999994,0.05552003601981088,0.004731459445552162,44.099999999999994,20.570000000000007,26.27000000000001,3.3,3.0,694.9300000000003,18.63000000000001,21.39,482.02,184.68,691.26,152.31,851.42,202.0,231.68,19.29,473.43,62.16,535.59,200.0,315.83,88.35,-0.11999999999999034,-79.29,5.700000000000001,14.859500446030337,2.09,1.7,0.33,0.24,0.73,5.269356145880232,8.65439591775476,14.199669818400116,14.630370703887131,19.967023863124712,1.97,1.97,1.46,1.07,12,2006,0.9553246753246682,201.90909090909088,66.63
2007-03-31,820.06,21.57,0.11,0.15,52.43,33.02,35.84,2.78,0.0,787.04,30.53,0.86,502.26,217.25,724.77,149.69,882.3,227.15,224.2,18.83,497.34,47.56,544.9,200.0,337.4,-30.43,-0.14,10.03,2.82,6.3175,1.65,1.61,0.11,0.15,1.36,9.76,14.36,25.56,26.519999999999996,34.32,2.64,2.63,1.46,1.02,3,2007,29.413636363636364,196.0909090909091,21.57
2007-06-30,856.6000000000001,26.439999999999998,0.13217246406998542,0.0029624510045255597,55.50000000000001,38.54,41.36,2.98,0.0,818.06,35.379999999999995,4.45,549.65,212.18,769.57,149.06,926.42,290.0,212.21,19.0,548.11,44.47,592.58,200.0,333.84,-24.67,0.56,27.699999999999996,2.82,5.6380881240544625,1.79,1.78,0.24,0.15,0.63,11.410889398042073,17.05024786502812,31.677333888773173,33.28543220162466,41.67838367006874,2.88,2.86,1.4,1.02,6,2007,0.5926136363636338,200.04166666666666,48.01
2007-09-30,897.45,28.640000000000008,0.14198564905414224,0.1412410306588389,61.78,41.75,44.7,3.64,0.0,855.71,38.36,1.66,590.1,201.54,796.62,153.28,957.68,334.4,227.72,20.04,609.26,13.94,623.2,200.0,334.48,17.259999999999998,-1.3699999999999999,-18.669999999999998,2.95,6.409802723463685,2.18,1.86,0.38,0.29,0.76,11.956686236138294,17.905137638617095,34.25590606653621,35.855112850619705,48.60392954990217,2.99,2.98,1.31,0.98,9,2007,28.48980263157895,201.71052631578948,76.65
2007-12-31,902.2999999999997,31.83,0.15844579646017698,-0.0011861027014438898,70.01999999999998,45.870000000000005,49.139999999999986,3.72,0.0,856.4200000000001,34.22000000000001,14.8,554.39,212.49,784.18,154.92,945.66,330.0,190.09,19.99,570.35,9.0,579.35,200.0,366.31,26.050000000000004,-3.38,-9.53,3.2699999999999996,5.870461828463713,2.03,1.58,0.54,0.29,0.54,13.462024336283184,20.797477876106193,34.752444690265484,37.33452433628318,49.775453539823,3.14,3.12,1.37,1.0,12,2007,-0.23827485380117253,200.88888888888889,108.48
2008-03-31,998.32,40.69,0.2,0.26,78.19,58.52,61.58,3.96,2.65,939.81,53.75,22.92,589.35,264.48,881.14,154.99,1042.74,355.0,224.92,3.31,628.9,6.84,635.74,200.0,407.0,4.95,-0.36,3.53,3.06,4.95,1.95,1.56,0.2,0.26,1.3,15.600000000000001,24.32,40.0,43.72,56.56000000000001,4.11,4.08,1.4,0.98,3,2008,52.897,203.45,40.69
2008-06-30,1002.58,32.510000000000005,0.16432650273224048,-0.007375546448087413,71.67000000000002,46.43999999999999,49.46000000000001,4.68,2.65,956.1300000000001,45.36,21.99,635.54,319.98,981.32,152.94,1140.87,415.0,289.06,3.17,747.25,6.11,753.36,200.0,387.5,-7.5,-0.42000000000000004,7.0,3.02,7.120732082436173,2.42,1.94,0.37,0.26,0.7,11.405147540983608,18.031502732240437,33.55813661202186,36.063005464480874,47.37932786885247,3.68,3.66,1.31,0.89,6,2008,-1.4591621621621584,197.83783783783784,73.2
2008-09-30,889.0,9.86,0.04985793402359739,0.19990016985441983,67.48999999999998,24.679999999999993,27.689999999999984,4.3,2.65,864.3200000000002,21.409999999999997,27.56,474.35,336.22,842.73,152.31,1002.43,453.0,149.94,3.4,639.0,6.07,645.07,200.0,357.36,9.58,-0.6199999999999999,-3.4099999999999993,3.01,21.5652738336714,2.41,1.81,0.42,0.46,1.1,3.936402600529737,6.282099686973272,11.035222730556221,11.400847580062605,16.937452444016373,2.89,2.87,1.32,0.79,9,2008,39.532638352638365,197.7619047619048,83.06
2008-12-31,538.8800000000001,-6.519999999999996,-0.03237000261301278,0.008356663804795458,24.150000000000006,-2.4199999999999875,0.5500000000000114,2.6,7.3,541.2999999999997,-1.1599999999999966,18.01,283.23,305.69,610.02,154.14,771.52,290.0,102.34,3.88,413.03,7.64,420.67,200.0,350.85,155.60999999999999,-0.09000000000000008,-165.06,2.9700000000000006,-20.07414110429449,1.48,1.2,0.38,0.46,1.21,-3.380109746537755,-5.0497204076299935,-7.434878494904621,-7.27473216618761,-12.092751502482354,2.24,2.23,1.48,0.74,12,2008,1.6832080200501167,201.42105263157896,76.54
2009-03-31,514.39,11.45,0.060000000000000005,0.0,22.38,15.61,18.57,2.28,0.0,498.78,12.93,6.27,306.36,256.53,575.21,151.35,733.12,209.51,129.42,3.91,364.18,6.64,370.83,200.0,362.29,69.79,0.09,-81.62,2.96,9.5,1.26,1.02,0.06,0.0,0.0,6.240000000000001,7.04,12.64,11.92,16.92,2.24,2.23,1.58,0.88,3,2009,0.0,190.83333333333331,11.45
2009-06-30,646.1,26.52,0.13270476692125363,0.12000000000000001,47.120000000000005,31.82,34.64,2.4,0.0,614.28,24.39,13.25,372.96,242.76,632.48,149.38,788.42,230.0,167.71,3.96,417.97,5.63,423.61,200.0,364.82,12.449999999999989,-0.86,-4.609999999999999,2.8200000000000003,4.52074943438914,1.32,1.16,0.19,0.12,0.63,13.46604161179879,13.745420068475113,29.08329734000527,28.18928627864103,35.7604424545694,3.35,3.27,1.51,0.93,6,2009,23.981052631578947,199.8421052631579,37.97
