,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,1317.61,-26.23,-0.46,0.0,74.58,-0.38,53.86,0.62,0.0,1317.99,-12.38,56.36,435.84,703.89,1316.35,2282.1,4120.67,1049.65,589.07,145.04,1936.04,197.09,2133.12,570.0,1892.54,-130.15,-39.46,125.07,54.24,-0.3375000000000001,0.19,1.13,-0.46,0.0,0.0,-2.56,0.0,-5.56,0.0,-0.08,-2.02,-1.99,0.0,0.68,0.32,3,2000,0.0,57.02173913043478,-26.23
2000-06-30,1502.6500000000003,-21.02,-0.3603428571428572,0.04,103.39999999999999,13.680000000000001,67.33,0.47,0.0,1488.9799999999998,0.870000000000001,82.69,516.63,542.65,1235.63,2264.4,4024.44,1205.28,452.72,117.04,1898.64,162.48,2061.12,626.91,1862.99,-18.659999999999997,-32.470000000000006,77.45000000000002,53.65,-0.3259395813510942,0.16,1.11,-0.81,0.04,-0.04,-2.081980952380952,0.0,-4.519856084656085,0.0,1.1210666666666667,-1.7,-1.68,0.0,0.65,0.36,6,2000,2.333333333333333,58.33333333333333,-47.25
2000-09-30,1534.6499999999996,82.43,1.3824246731097214,0.0008679173772977144,252.21,133.83999999999997,187.61,0.48,0.0,1400.7900000000004,136.55,119.44,508.66,666.73,1378.45,2253.67,4144.96,1310.53,402.77,118.04,1941.23,144.63,2085.86,626.91,1945.41,4.939999999999998,-38.86,70.67999999999998,53.769999999999996,0.08642423874802863,0.15,1.07,0.59,0.04,0.06,7.966515065378056,0.0,16.963990903922685,0.0,62.60743604320636,0.82,0.81,0.0,0.71,0.37,9,2000,0.05175141242937897,59.6271186440678,35.18
2000-12-31,1529.25,68.56,1.1367187198766147,0.00045550643231285484,221.43,134.49,180.27999999999997,0.45,0.0,1394.7699999999995,112.09999999999998,41.59,497.55,826.48,1460.85,2129.67,4092.06,1329.71,357.42,108.44,1951.43,138.43,2089.86,626.91,1890.63,-41.56999999999999,-40.93999999999998,4.660000000000025,45.78999999999999,0.09835326721120187,0.15,1.11,1.72,0.04,0.02,6.714571042992096,0.0,14.512990167727013,0.0,34.78887989203779,1.78,1.76,0.0,0.75,0.33,12,2000,0.02747339377217184,60.31395348837209,103.74
2001-03-31,1503.29,94.58,1.51,0.0,213.07,130.7,176.84,0.63,0.0,1372.6,113.18,41.7,521.98,625.96,1285.28,2160.94,3937.9,876.25,384.27,111.04,1546.34,298.56,1844.9,626.91,1985.2,363.97,-73.12,-290.75,46.14,0.1025,0.2,0.93,1.51,0.0,0.0,9.6,12.960000000000003,19.04,19.52,21.88,6.37,6.29,0.0,0.83,0.43,3,2001,0.0,62.63576158940397,94.58
2001-06-30,1794.5500000000002,154.82999999999998,2.4707245098432296,0.5,285.90000000000003,209.88,256.71000000000004,1.58,0.0,1584.67,181.29000000000002,101.06,585.28,784.96,1580.01,2191.88,4265.4,858.2,531.46,128.04,1686.54,346.0,2032.53,626.91,2108.71,118.19,-74.01999999999998,15.199999999999989,46.83,0.16108635277401023,0.47,0.96,3.98,0.5,0.13,14.526370233751651,20.411412533579245,29.37554869492001,31.188241048875348,32.80228218595886,7.67,7.56,0.0,0.94,0.47,6,2001,31.332914572864322,62.665829145728644,249.41
2001-09-30,2116.51,252.71,4.031321397275551,0.00016600468285825386,415.48,317.16,365.89000000000004,1.5,0.0,1799.3399999999997,299.3399999999999,119.68,635.78,707.76,1593.77,2207.1,4377.77,587.27,687.03,142.54,1614.84,266.83,1881.67,626.91,2361.42,496.95,-142.98000000000002,-335.34999999999997,48.72999999999999,0.09437972379407225,0.4,0.8,8.01,0.5,0.06,23.090764757428506,31.062816059905998,42.79944714410898,46.94652433681192,47.93296502828009,9.39,9.27,0.0,0.99,0.55,9,2001,0.010406276074505172,62.686641697877654,502.12
2001-12-31,1954.62,232.25,3.7033750017021396,0.00021067426355419965,391.77,300.15999999999997,351.0899999999999,2.43,0.0,1654.46,282.34000000000003,39.54,605.22,646.48,1396.42,2288.62,4259.82,339.46,617.32,149.04,1291.2,225.42,1516.62,626.91,2593.67,334.94999999999993,-132.0,-283.09000000000003,50.93000000000001,0.16600398277717976,0.59,0.58,11.71,0.5,0.04,21.809115296104142,29.01978566662582,35.81299617359097,41.42972888326048,40.82251453626919,10.08,9.97,0.0,1.08,0.58,12,2001,0.01321202894332174,62.7130657557643,734.37
2002-03-31,1847.24,254.67,4.06,6.5,409.49,322.2,371.33,3.08,0.0,1525.03,303.96,176.97,549.84,772.24,1597.47,2384.26,4553.51,301.13,612.48,146.04,1305.76,204.56,1510.33,626.91,2848.34,307.15,-137.51,-32.22,49.13,0.19,0.68,0.53,4.06,6.5,1.6,22.36,30.36,35.76,42.16,39.68,13.93,13.79,0.0,1.22,0.63,3,2002,407.7229064039409,62.72660098522168,254.67
2002-06-30,1809.53,193.65,3.08841341006424,-0.0025401070400112107,286.68999999999994,184.19,236.90000000000003,3.05,0.0,1625.3500000000001,171.72000000000003,70.43,530.49,744.26,1450.73,2484.76,4511.1,635.47,633.48,111.84,1539.48,157.74,1697.22,626.91,2634.64,207.87,-149.22000000000003,-165.18,52.71,0.24887374128582496,0.73,0.64,7.15,6.5,0.91,17.174170235546036,19.93862419700214,29.406879014989293,32.65511241970022,29.441434689507492,12.37,12.26,0.0,0.94,0.46,6,2002,-0.15927004030459102,62.7020979020979,448.32
