,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,37.57,9.94,0.99,0.0,,9.94,9.94,21.5,0.0,9.9,185.16,0.0,47.37,433.73,167.98,100.0,265.75,2.37,-46.17,0.46,5.43,8.09,0.63,0.99,0.0,0.0,9.16,0.0,14.96,0.0,26.46,3,2000,,,0.0,,10.04040404040404,9.94
2000-06-30,36.11000000000001,0.4800000000000004,0.04790786948176588,0.0,,0.4800000000000004,0.4800000000000004,21.5,0.0,9.799999999999999,207.05,0.0,46.33,425.04,159.19,100.0,265.84,4.51,17.970000000000002,-0.46,112.1778124999999,8.09,0.6,1.04,0.0,0.0,0.45143953934740927,0.0,0.7223032629558548,0.0,14.14,6,2000,,,0.0,,10.019230769230768,10.42
2000-09-30,32.94999999999999,10.200000000000001,1.0190106692531524,0.0,,10.200000000000001,10.200000000000001,21.5,0.0,9.490000000000002,176.91,0.0,46.0,421.24,144.8,100.0,276.44,-1.8399999999999999,-21.3,0.0,5.276294117647058,7.78,0.52,2.06,0.0,0.0,9.695441319107664,0.0,14.760814742967993,0.0,19.34,9,2000,,,0.0,,10.009708737864077,20.62
2000-12-31,29.03,-0.41000000000000014,-0.04097971301335974,0.0,,-0.41000000000000014,-0.41000000000000014,21.5,0.31,10.91,151.11,0.0,45.09,412.29,136.71,100.0,275.58,-3.25,-70.55,0.0,-131.11853658536583,7.8,0.5,2.02,0.0,0.0,-0.3976249381494311,-0.0,-0.5948144482929244,-0.0,14.9,12,2000,,,0.0,,10.004950495049505,20.21
2001-03-31,24.24,5.97,0.6,0.0,,5.97,5.97,21.5,0.02,10.02,131.63,0.0,44.61,422.24,142.12,100.0,280.12,8.46,-11.24,0.0,8.9575,7.68,0.51,0.6,0.0,0.0,5.64,5.56,8.52,8.76,24.63,3,2001,,,0.0,,9.95,5.97
2001-06-30,23.400000000000002,3.4300000000000006,0.343,1.0,,4.000000000000001,4.000000000000001,18.0,0.02,10.379999999999999,107.49,0.0,45.36,421.56,146.84,100.0,274.72,12.61,37.26,0.0,13.12026239067055,6.55,0.53,0.94,1.0,1.06,3.2548510638297876,3.4445957446808513,4.991744680851064,5.079319148936171,19.73,6,2001,,,10.000000000000002,,10.000000000000002,9.4
2001-09-30,24.78,5.359999999999999,0.5374525745257451,-0.0027100271002711085,,8.22,8.22,18.0,0.02,10.080000000000002,109.04,0.0,44.66,414.8,144.19,100.0,270.61,-7.09,37.53,0.0,8.371343283582089,6.65,0.53,1.48,1.0,0.68,5.171165311653116,6.318699186991869,7.916531165311653,7.84390243902439,20.38,9,2001,,,-0.027027027027028083,,9.972972972972974,14.76
2001-12-31,23.260000000000005,1.33,0.13308266003729025,0.002082878403574426,,0.4299999999999997,0.4299999999999997,18.0,0.51,11.379999999999999,93.86,0.0,43.86,406.37,128.11,100.0,278.26,-4.23,-45.949999999999996,-10.0,33.8131954887218,6.47,0.46,1.61,1.0,0.62,1.3093349906774394,1.5044126786824115,1.9111000621504042,1.921019266625233,16.82,12,2001,,,0.020815846902802804,,9.993788819875776,16.09
2002-03-31,24.31,4.96,0.5,0.0,,6.62,6.62,18.0,0.0,10.67,101.35,0.0,43.28,413.77,127.29,100.0,286.47,3.82,8.67,0.0,9.0,6.28,0.44,0.5,0.0,0.0,4.8,6.32,6.920000000000001,7.0,20.4,3,2002,,,0.0,,9.92,4.96
2002-06-30,24.38,5.06,0.5049900199600799,0.0,,6.999999999999999,6.999999999999999,18.0,0.0,10.81,101.52,0.0,42.68,414.28,130.15,100.0,284.13,5.449999999999999,-15.27,-10.0,8.911067193675889,6.34,0.46,1.0,0.0,0.0,4.888303393213572,6.58506986027944,7.130459081836326,7.251656686626745,20.58,6,2002,,,0.0,,10.02,10.02
2002-09-30,26.299999999999997,0.870000000000001,0.08707988980716264,0.0,,2.7500000000000018,2.7500000000000018,18.0,0.0,10.650000000000002,112.89,0.0,42.24,419.72,142.01,100.0,277.7,7.5,-0.14000000000000057,0.0,51.6649137931034,6.48,0.51,1.09,0.0,0.0,0.8276584022038576,1.2526721763085413,1.2526721763085413,1.2686501377410482,14.52,9,2002,,,0.0,,9.990825688073395,10.89
2002-12-31,26.210000000000008,3.75,0.37397540983606553,0.0,,3.6400000000000006,3.6400000000000006,18.0,0.0,10.5,143.05,0.0,41.6,421.03,134.98,100.0,286.05,5.370000000000001,-35.41,0.0,12.03408,6.29,0.47,1.46,0.0,0.0,3.565573770491803,4.959016393442623,5.245901639344262,5.317622950819673,14.47,12,2002,,,0.0,,10.027397260273974,14.64
2003-03-31,27.25,4.62,0.46,1.0,,5.21,5.21,18.2,0.0,11.74,157.6,0.0,43.9,420.98,126.96,100.0,294.03,-0.65,-1.8,0.0,9.8925,6.19,0.43,0.46,1.0,2.17,4.4,5.0,6.28,6.36,16.95,3,2003,,,10.043478260869565,,10.043478260869565,4.62
2003-06-30,29.810000000000002,8.169999999999998,0.8176387802971069,-0.005133086310636637,,10.46,10.46,18.2,0.0,11.569999999999999,131.6,0.0,43.19,424.18,122.23,100.0,301.95,-3.48,31.490000000000002,-10.0,5.56529375764994,6.03,0.4,1.28,1.0,0.78,7.7164659890539475,9.556153244722438,10.833713838936669,11.140328381548082,22.42,6,2003,,,-0.05129076086956452,,9.9921875,12.79
2003-09-30,21.879999999999995,2.49,0.2493259162303665,0.9994733720549738,,7.4300000000000015,7.4300000000000015,18.0,0.0,11.500000000000004,127.68,0.0,42.7,457.24,153.79,100.0,303.45,13.54,16.039999999999996,0.0,18.041445783132527,5.93,0.51,1.53,2.0,1.31,2.1771204188481676,3.4351570680628276,3.2852356020942413,3.4286387434554975,19.36,9,2003,,,9.981668709150327,,9.986928104575163,15.28
2003-12-31,31.700000000000003,8.12,0.8119999999999999,0.002614379084967311,,10.809999999999995,10.809999999999995,18.9,0.0,12.009999999999998,188.44,0.0,41.96,461.92,151.08,100.0,310.84,0.1999999999999993,53.550000000000004,0.0,5.821182266009853,6.08,0.49,2.34,2.0,0.85,7.037333333333334,10.660102564102562,10.451897435897436,10.882188034188035,21.15,12,2003,,,0.02614379084967311,,10.0,23.4
2004-03-31,33.94,5.9,0.59,0.0,,6.01,6.01,24.9,0.0,12.66,126.17,0.0,41.3,441.53,143.17,100.0,298.35,-2.71,-67.56,0.0,10.55,8.35,0.48,0.59,0.0,0.0,5.36,5.56,7.92,7.959999999999999,17.38,3,2004,,,0.0,,10.000000000000002,5.9
2004-06-30,35.55,0.05999999999999961,0.0060402684563758,0.0,,0.71,0.71,24.9,0.0,12.379999999999999,122.52,0.0,40.92,445.72,156.18,100.0,289.55,0.8499999999999999,24.510000000000005,-14.0,1030.58333333334,8.6,0.54,0.6,0.0,0.0,0.05395973154362381,0.06241610738254993,0.08295302013422765,0.08134228187919411,8.58,6,2004,,,0.0,,9.933333333333334,5.96
2004-09-30,32.97,-8.25,-0.8286026200873363,0.0,,-8.33,-8.33,24.9,0.0,12.119999999999997,110.98,0.0,40.33,460.86,181.42,100.0,279.44,2.69,-9.240000000000002,0.0,-7.512587878787879,8.91,0.65,-0.23,0.0,0.0,-7.20524017467249,-5.043668122270742,-11.816593886462881,-11.384279475982535,-2.24,9,2004,,,0.0,,9.956521739130434,-2.29
2004-12-31,39.510000000000005,6.68,0.6695216400911161,0.0,,6.74,6.74,24.9,0.1,9.690000000000005,138.96,0.0,39.54,436.19,150.11,100.0,286.08,2.1,18.28,0.0,9.29753368263473,8.7,0.52,0.44,0.0,0.0,6.1474259681093395,6.93867881548975,9.31243735763098,8.947243735763097,3.09,12,2004,,,0.0,,9.977272727272727,4.39
