,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,2177.51,1086.05,3.9199999999999995,0.0,469.5,1335.46,1639.24,26.0,842.05,165.4,1501.13,1258.99,260.32,5247.01,1587.87,24474.38,174.94,381.51,1310.41,4595.96,4375.59,8971.56,2772.0,13624.04,336.78,-250.35,-168.84,303.78,1.6575,5.29,0.66,3.92,0.0,0.0,17.76,0.0,31.88,0.0,26.88,108.01,49.88,0.0,1.14,1.09,3,2000,0.0,277.05357142857144,1086.05
2000-06-30,2378.3999999999996,712.9000000000001,2.5322721587592762,0.0,429.55999999999995,986.77,1358.8799999999999,19.0,1391.6299999999999,-66.74000000000001,2352.3,1433.73,239.04,6616.32,2045.32,33669.96,98.39,649.85,2571.8,7499.62,6787.23,14286.85,2937.0,17425.08,1013.5,-819.61,180.68,372.11,1.8736433931827745,3.2,0.82,6.39,0.0,0.0,8.464684399232887,0.0,16.358715917618614,0.0,14.060252925317547,77.21,39.49,0.0,0.88,0.85,6,2000,0.0,281.52582159624416,1798.95
2000-09-30,3311.63,416.60000000000014,1.4572679470109007,0.0,652.26,724.3899999999999,1195.1099999999997,14.5,2587.2400000000002,-254.29,2085.89,1726.3,232.84,7274.86,2688.33,36799.08,2558.05,847.48,2366.6,10380.74,6610.52,16991.25,2937.0,17810.88,17.519999999999982,-2098.85,2089.27,470.7199999999999,2.486244899183869,2.39,0.95,7.75,0.0,0.0,4.527872537293224,0.0,9.35660039267902,0.0,8.672154544018417,47.52,28.16,0.0,0.7,0.68,9,2000,0.0,285.8774193548387,2215.55
2000-12-31,2814.04,168.5899999999997,0.5855047102938575,0.0,705.3799999999999,547.9700000000003,988.3700000000008,15.7,2266.0699999999997,-59.78999999999999,1052.11,1698.31,198.24,6470.45,3877.54,37879.1,4509.12,1751.22,2517.39,13009.19,4765.38,17774.57,2937.0,17981.54,6.100000000000136,276.1100000000001,-557.47,440.4000000000001,6.717281570674429,2.56,0.99,8.28,0.0,0.0,1.7791423322455864,0.0,3.75062437608529,0.0,4.087218871374996,34.71,22.32,0.0,0.5,0.48,12,2000,0.0,287.93961352657004,2384.14
2001-03-31,3281.61,980.94,3.3400000000000003,0.0,668.11,1314.56,1799.58,16.3,1967.06,130.65,1556.28,1603.63,180.51,6753.13,4257.62,39531.54,3602.66,1957.29,2301.49,12118.5,6139.56,18258.06,2937.0,18966.34,255.54,-144.25,312.16,485.02,1.22,2.52,0.96,3.34,0.0,0.0,9.92,16.44,20.68,24.08,19.2,46.79,29.89,0.0,0.56,0.54,3,2001,0.0,293.6946107784431,980.94
2001-06-30,3591.81,725.21,2.4695777627992843,0.0,631.6,1086.4500000000003,1574.2000000000003,17.0,2505.3399999999997,-78.11000000000001,995.32,1899.39,226.45,6954.65,4249.92,40416.45,1546.08,2451.28,2143.81,12406.06,5881.21,18287.27,2937.0,19695.82,1265.22,-327.6,-709.1700000000001,487.75,1.7233006646350713,2.54,0.93,5.81,0.0,0.0,7.17495226093837,11.017462239545177,14.723954165811916,15.625073762564838,14.570933856929344,37.72,24.82,0.0,0.56,0.54,6,2001,0.0,293.6574870912221,1706.15
2001-09-30,4334.049999999999,1879.5299999999997,0.63949560473885,0.0,688.19,2325.24,2772.7099999999996,16.0,2008.83,211.9,691.01,1632.96,116.41,5434.56,4219.43,37460.64,4835.39,606.67,1864.79,10351.33,2751.78,13103.11,2937.0,21569.87,-475.1500000000001,-7045.32,6514.030000000001,447.47,6.252662208105218,2.18,0.61,1.22,0.0,0.0,20.06548504049441,26.691078846969052,34.84726869101537,38.181032663260524,36.54560128064969,53.17,31.99,0.0,0.53,0.51,9,2001,0.0,2939.0819672131147,3585.68
2001-12-31,1184.3100000000013,-765.4899999999998,-0.2605747839684559,0.0,593.8199999999997,-453.85000000000036,-120.01000000000022,15.6,1638.1500000000005,261.52000000000004,1084.86,1877.88,112.71,4925.13,6070.43,41356.5,5990.1,1667.58,2285.25,13398.25,3999.49,17397.75,2937.0,20801.5,1033.99,-3526.17,1603.3799999999992,333.8399999999999,-14.966912533148706,2.2,0.84,0.96,0.0,0.0,-7.40466677777029,-11.704150713249813,-14.722475294217762,-15.786488995422289,-16.58992791265836,32.63,22.76,0.0,0.37,0.36,12,2001,0.0,2937.697916666667,2820.19
2002-03-31,3953.62,1703.16,0.58,0.0,561.76,2010.55,2396.49,17.0,1943.07,188.09,3657.21,2071.03,109.79,6568.08,6831.65,44236.5,6133.58,1289.18,2829.58,13881.25,3632.51,17513.76,2937.0,22496.65,520.05,-822.57,1907.71,385.94,7.3275,2.22,0.78,0.58,0.0,0.0,15.400000000000002,19.2,30.279999999999998,32.88,26.48,79.97,43.08,0.0,0.47,0.47,3,2002,0.0,2936.48275862069,1703.16
2002-06-30,3169.16,782.3,0.2675380010138968,0.0,601.71,1089.14,1479.7200000000003,14.0,2080.01,184.4,4343.93,2096.46,135.57,7354.3,7969.26,46085.32,5440.38,832.97,1581.08,11730.92,6212.1,17943.02,2937.0,23871.17,509.6400000000001,-1426.7799999999997,1412.6799999999998,390.58,13.081786462993737,1.72,0.75,0.85,0.0,0.0,6.786022708070135,9.027046904798306,13.106214543786663,14.36521690149912,11.356201266566348,56.57,34.89,0.0,0.63,0.62,6,2002,0.0,2924.070588235294,2485.46
