,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,month,year,dividend,ROCE%,number_of_shares,return_old
2012-09-30,,,,,,,,,,,11.82,0.08,7.89,743.9,443.43,225.0,300.47,,,,,,0.0,1.48,0.45,0.0,0.0,,,,,9,2012,,,175.20000000000002,78.84
2012-12-31,208.51,30.989999999999995,0.1580114722753346,0.0,39.05,39.28,40.57000000000001,11.2,63.77000000000001,39.05,13.96,0.29,13.44,738.0,117.92,300.0,620.08,47.45000000000002,-11.329999999999998,-33.95999999999998,1.2899999999999996,17.72023233301065,5.42,0.19,0.56,0.0,0.0,16.794362196121277,0.0,19.988451242829825,0.0,12,2012,0.0,,196.12499999999997,109.83
2013-03-31,184.5,27.47,0.09,0.0,28.04,30.48,32.02,17.0,62.77,28.04,13.04,0.16,13.94,780.51,132.01,300.0,648.5,41.96,-4.7,-38.18,1.54,47.2225,7.86,0.2,0.09,0.0,0.0,14.08,0.0,16.96,0.0,3,2013,0.0,,305.22222222222223,27.47
2013-06-30,173.12,19.980000000000004,0.06737197049525818,0.15,18.4,20.209999999999997,22.32,14.3,66.86999999999998,18.4,30.32,0.16,22.05,843.39,219.9,300.0,623.48,-40.69,-13.150000000000002,71.12,2.11,53.06657907907907,6.88,0.35,0.16,0.15,0.94,9.482604847207588,0.0,12.81751738672287,0.0,6,2013,44.484375,,296.5625,47.45
2013-09-30,186.0,15.869999999999997,0.05263265950726468,0.12246811828806065,17.010000000000005,17.97,20.64,11.6,74.84,17.010000000000005,13.99,0.46,23.44,795.27,191.92,300.0,603.35,49.059999999999995,-4.099999999999998,-61.28,2.6700000000000004,55.10076874606176,5.77,0.32,0.21,0.27,1.29,7.980113708149084,8.942539481996208,10.51650663297536,14.04540113708149,9,2013,36.92705357142857,,301.5238095238095,63.32
2013-12-31,172.84000000000003,11.759999999999998,0.03915823122003196,-0.0010822741456731992,10.099999999999994,10.810000000000002,13.629999999999995,12.0,75.31000000000003,10.099999999999994,20.52,0.72,22.57,914.15,299.04,300.0,615.11,-46.68,-2.3500000000000014,55.55,2.8200000000000003,76.6122448979592,5.85,0.49,0.25,0.27,1.08,5.143825253063399,6.027234949387318,7.649952051145444,7.618625466169418,12,2013,-0.3250285714285752,,300.32,75.08
2014-03-31,174.87,16.61,0.060000000000000005,0.0,19.09,19.52,22.16,13.5,67.41,19.09,25.4,0.45,22.94,1022.94,391.21,300.0,631.72,2.41,-2.66,5.12,2.64,56.25,6.41,0.62,0.06,0.0,0.0,6.48,8.64,10.52,10.36,3,2014,0.0,,276.8333333333333,16.61
2014-06-30,227.51,26.799999999999997,0.08643169776549184,0.07,37.18000000000001,36.959999999999994,39.91,15.4,75.72999999999999,37.18000000000001,33.46,0.89,23.29,1069.83,432.3,300.0,637.52,-105.69,-5.41,119.17999999999999,2.9499999999999997,44.54384328358209,7.25,0.68,0.14,0.07,0.5,10.02607694079705,14.569914766182906,16.817138908085692,17.01469707440682,6,2014,21.705,,310.0714285714285,43.41
2014-09-30,252.77999999999997,33.36,0.11298163345056665,0.1064908167252833,41.26,38.800000000000004,42.21,18.6,84.35000000000002,41.26,27.66,0.23,33.48,1913.46,1275.58,300.0,637.88,-324.48,-13.11,331.78999999999996,3.41,41.158017086330936,8.75,2.0,0.26,0.18,0.69,6.97009769441188,12.236779992184447,20.927674872997265,21.501273935130907,9,2014,31.443461538461527,,295.2692307692307,76.77
2014-12-31,315.09000000000003,43.84,0.1453942459165907,0.0037344779422551063,63.66,56.139999999999986,60.52000000000001,16.7,93.20999999999998,63.66,27.89,0.1,37.12,2220.76,1539.03,300.0,681.73,-624.22,-8.18,632.6300000000001,4.380000000000001,28.715029083029194,7.35,2.26,0.4,0.18,0.45,7.8949075532708735,14.045084155542659,25.720242102644892,27.043329740485866,12,2014,1.1260384615384709,,301.525,120.61
