,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-09-30,,,,,,,,22.25,0.0,,,125.77,213.54,640.72,1401.88,5867.43,10179.57,321.44,37.63,14.5,574.13,1533.84,2107.97,2000.0,7661.04,,,,,,0.58,0.28,0.28,1.2,4.29,,,,,,7.2,6.94,0.0,2.44,1.33,9,1999,,201.5,56.42
1999-12-31,774.4000000000001,68.67999999999999,0.3458705035971223,-0.017697841726618806,161.06000000000003,113.03999999999999,203.25000000000003,24.5,0.0,661.36,64.42999999999999,155.51,206.46,701.64,1217.22,5843.49,9931.04,423.13,17.0,14.5,633.27,1492.82,2126.08,2000.0,7442.25,21.090000000000003,-119.6,-160.93,90.21000000000001,17.709445981362844,0.66,0.29,0.63,1.2,1.9,2.7669640287769783,0.0,3.6892853717026375,0.0,4.655526778577139,8.29,7.88,0.0,1.92,0.81,12,1999,-3.5142857142857338,198.57142857142856,125.1
2000-03-31,2374.98,202.67,1.01,0.8000000000000002,483.26,312.83,586.09,18.25,0.0,2062.15,189.71,71.77,181.1,734.47,1285.88,5817.35,10272.16,786.76,15.31,0.0,1177.82,1488.85,2666.68,2000.0,7267.03,368.82,-907.94,-370.04,273.26,4.5175,0.5,0.37,1.01,0.8,0.79,7.879999999999999,0.0,11.16,0.0,13.76,9.0,8.53,0.0,1.09,0.47,3,2000,160.53069306930695,200.66336633663366,202.67
2000-06-30,881.69,117.35999999999999,0.6454194919226323,-0.08283604600187555,63.16999999999996,181.16000000000003,244.61,18.0,0.0,700.5299999999997,-233.45000000000002,81.14,239.47,691.22,1291.14,5734.37,10157.91,719.63,27.98,0.0,1090.73,2785.96,3876.7,3276.04,6021.47,103.59000000000003,-216.96000000000004,92.74000000000001,63.44999999999999,6.974068890593048,0.98,0.64,1.76,0.8,0.45,4.6206168171733895,0.0,7.789039777520857,0.0,7.994400524950786,11.77,9.83,0.0,1.18,0.55,6,2000,-15.06251125112513,181.83522727272725,320.03
2000-09-30,-2405.46,-229.64999999999998,-1.3212878955521132,-0.03694904343277888,-332.31999999999994,-347.53,-592.9000000000001,17.25,0.0,-2057.93,157.55,48.11,172.98,648.06,1364.07,5643.57,10658.17,1045.24,26.88,0.0,1324.54,2895.2,4219.74,2000.0,6189.24,-319.21000000000004,701.6400000000001,511.33000000000004,-245.36999999999998,-3.2635582408012196,0.56,0.68,0.52,0.8,1.54,-8.639190086302278,-14.330891790219074,-14.839079442354501,-13.314516485948218,-15.957092277052444,11.04,10.62,0.0,1.03,0.54,9,2000,-6.4220279720279905,173.8076923076923,90.38
2000-12-31,840.6199999999999,118.75,0.6984292067135275,0.9821987795592731,226.01999999999998,185.27,273.78,17.75,0.0,655.3499999999999,132.19,76.4,410.97,594.13,1613.24,5558.5,10888.3,819.28,20.28,0.0,1054.6,3576.53,4631.13,2000.0,6066.25,160.78000000000003,-188.13,59.03,88.50999999999999,6.353149263157895,0.59,0.76,1.23,1.8,1.46,4.360923827284465,7.245493233873668,7.836035002151773,7.041074929469708,7.6543298426815864,13.02,12.36,0.0,1.53,0.97,12,2000,166.99774859287058,170.02439024390245,209.13
2001-03-31,2732.98,507.81,3.0,1.0,700.15,755.44,1029.11,18.75,0.0,1977.54,406.66,93.26,296.63,815.6,2005.01,5449.38,11601.06,1152.81,21.94,0.0,1569.38,3581.92,5151.3,2000.0,6251.4,260.73,-398.12,754.9,273.67,1.5625,0.6,0.82,3.0,1.0,0.33,17.52,27.64,32.48,30.04,30.12,21.3,18.58,0.0,1.28,0.76,3,2001,169.27,169.27,507.81
2001-06-30,877.0999999999999,109.07999999999998,0.6471701599961095,-0.0042766133346302995,285.38,198.28999999999996,296.49,24.25,0.0,678.81,135.34999999999997,62.44,173.43,644.54,1669.62,5359.27,11726.05,907.07,17.99,0.0,1241.84,3673.84,4915.68,2000.0,6614.17,380.69999999999993,-104.14999999999998,-299.37,98.19999999999999,9.373809818481849,0.73,0.74,3.66,1.0,0.27,3.720344307737197,6.16756698925254,6.59901376258328,6.903148373291833,6.43633711034382,19.29,17.09,0.0,1.34,0.83,6,2001,-0.7208196721311708,168.54918032786884,616.89
2001-09-30,-2787.33,-446.27,-2.6940458328449184,-0.01749886143303776,-738.5899999999999,-701.95,-979.79,22.75,0.0,-2085.38,-382.25,73.81,170.79,577.16,1896.8,5357.97,11892.22,851.93,20.53,0.0,1218.24,3721.2,4939.44,2000.0,6757.03,-333.21999999999997,389.86,-440.96999999999997,-277.84000000000003,-2.1113876128800952,0.67,0.73,1.03,1.0,0.97,-14.961108896964012,-23.33096002813269,-26.469654202320946,-27.620508732856642,-24.6910608369476,23.35,20.74,0.0,1.56,1.08,9,2001,-2.8986948909756336,165.6504854368932,170.62
2001-12-31,836.27,205.49,1.2347648294381963,1.004626047998249,230.54000000000002,287.36,382.35999999999996,24.1,0.0,548.9100000000001,131.53000000000003,206.82,167.88,458.26,1646.8,5283.71,11450.39,354.1,17.85,0.0,961.41,3665.0,4626.41,2000.0,6659.1,126.73000000000002,-253.35999999999999,-312.35,95.0,4.8777709377585285,0.72,0.69,2.26,2.0,0.88,7.168192284172184,10.555600223338917,12.347648294381964,12.915858658371222,11.233081811172264,26.65,22.67,0.0,1.71,1.24,12,2001,167.19022252770858,166.4203539823009,376.11
2002-03-31,2461.86,519.1,3.14,0.0,700.48,744.05,1022.87,28.75,0.0,1717.81,406.0,717.09,129.81,488.9,1787.27,5250.36,11593.42,450.74,21.58,0.0,1082.31,3650.49,4732.8,2000.0,6731.53,521.56,-354.84,-99.03,278.82,2.29,0.85,0.7,3.14,0.0,0.0,17.92,25.68,30.84,32.0,28.32,24.44,21.09,0.0,1.65,1.2,3,2002,0.0,165.3184713375796,519.1
2002-06-30,1052.7999999999997,209.26999999999998,1.26704930186581,1.0,295.88,276.18000000000006,365.31000000000006,29.5,0.0,776.6100000000001,159.36,286.07,148.7,350.41,1290.5,5236.21,11777.26,729.6,37.7,11.0,1153.55,3596.85,4750.4,2000.0,6885.9,446.36,-645.8299999999999,-247.6,89.13,5.821182324270083,0.86,0.69,4.41,1.0,0.23,7.102371596853247,9.9754992654832,12.159076293641967,12.400419017806882,11.032810247539024,23.8,20.72,0.0,1.12,0.81,6,2002,165.16326530612244,165.16326530612244,728.37
