,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-03-31,400.24,180.2,0.16,0.0,260.7,201.69,212.41,,0.0,198.54,191.89,240.98,376.16,13.37,645.83,125.05,905.46,2.9,334.19,15.96,387.44,42.68,430.12,115.5,475.34,178.28,-17.86,-2.95,10.72,0.0,0.0,0.9,0.16,0.0,0.0,79.6,0.0,151.64,0.0,155.72,46.15,45.02,373.5,1.67,1.63,3,2013,0.0,1126.25,180.2
2013-06-30,381.40999999999997,152.49,0.12833929483903936,0.0,229.65000000000003,165.45999999999998,178.41,12.6,0.0,215.96,145.7,2705.91,383.79,6.07,3110.13,140.01,3436.5,1.19,166.12,19.59,201.78,48.51,250.29,140.0,3186.2,142.14000000000001,-67.05,2390.1099999999997,12.950000000000001,24.5443143812709,0.55,0.08,0.28,0.0,0.0,17.747491057741442,0.0,19.14088911599387,0.0,20.80929994890138,44.24,42.56,289.09,15.41,15.38,6,2013,0.0,1188.1785714285713,332.69
2013-09-30,355.5400000000001,104.31,0.08354347826086957,0.11999999999999998,186.5,111.41000000000003,127.73999999999995,11.2,0.0,244.13,85.62,650.72,376.09,7.15,2983.16,139.68,3392.77,0.55,168.79,18.54,216.28,46.2,262.48,140.0,3130.3,87.37,-1975.6000000000001,-167.73000000000002,16.33,33.51548269581056,0.5,0.08,0.35,0.12,0.33,12.297600000000001,0.0,13.328765217391306,0.0,14.388573913043478,40.39,38.43,241.7,13.79,13.76,9,2013,149.82857142857142,1248.5714285714287,437.0
2013-12-31,360.77,64.12,0.04990181992337165,0.07339490968801315,164.36,64.19999999999999,83.63000000000011,8.2,0.0,296.57000000000005,28.970000000000027,875.48,403.38,6.68,2711.06,152.33,3356.11,0.0,199.65,16.83,218.8,44.38,263.17,140.0,3092.93,-57.450000000000045,390.09000000000015,-107.19999999999982,19.43,41.08918278228322,0.37,0.09,0.39,0.19,0.48,7.641376117496807,0.0,8.291379310344826,0.0,8.854374201787996,35.61,33.45,211.19,12.39,12.36,12,2013,94.3068131868132,1284.923076923077,501.12
2014-03-31,329.0,43.19,0.029999999999999995,0.09999999999999999,132.62,41.08,65.13,8.25,0.0,287.92,21.02,732.19,290.16,6.07,1978.41,415.07,3395.36,0.0,195.42,17.04,216.21,46.04,262.25,140.0,3133.11,122.21,-256.96,-5.53,24.05,68.75,0.37,0.08,0.03,0.1,3.47,5.08,7.639999999999999,5.52,9.56,5.16,13.98,13.13,83.84,9.15,9.12,3,2014,143.96666666666667,1439.6666666666667,43.19
2014-06-30,371.95000000000005,3.6500000000000057,0.0023377455166524374,0.007792485055508124,111.54999999999998,-14.989999999999998,56.67,7.8,0.0,386.94,-31.13,931.34,385.1,5.56,2035.64,467.64,5600.69,10.24,254.08,316.6,589.58,2019.38,2608.96,140.0,2991.74,-16.179999999999993,-45.49000000000001,260.25,71.66,834.1369863013687,0.37,0.87,0.03,0.1,3.47,0.261827497865073,0.18078565328778848,0.4893680614859102,0.473783091374894,0.162083689154569,7.05,6.68,14.26,3.45,3.44,6,2014,12.166666666666686,1561.3333333333335,46.84
2014-09-30,427.0799999999999,18.519999999999996,0.0056670746634026915,0.0722235822113423,135.52,8.790000000000003,107.49,4.18,0.0,418.2900000000001,-8.260000000000002,900.08,484.66,9.47,1853.19,485.98,5688.14,0.0,359.1,314.92,688.05,2018.16,2706.2,308.0,2981.94,65.09,-46.829999999999984,-49.19999999999999,98.7,184.39848812095036,0.43,0.91,0.02,0.12,6.2,1.3034271725826192,0.8727294981640146,2.482178702570379,2.4255079559363524,0.7933904528763768,6.08,5.79,4.06,2.69,2.68,9,2014,236.0266666666666,3268.0,65.36
2014-12-31,475.4000000000001,-26.47,-0.006806376960658267,0.01916173823605041,121.20999999999998,-45.03,64.69000000000003,3.52,0.0,520.4199999999998,-68.89999999999999,598.07,577.61,7.74,1659.26,503.82,5704.85,0.0,367.1,314.07,733.58,2008.74,2742.32,308.0,2962.53,-26.55000000000001,-266.05000000000007,-10.610000000000014,109.72,-129.29051756705707,0.37,0.93,0.01,0.12,12.4,-1.8513345332990485,0.5989611725379275,-3.5665415273849317,-3.4848650038570326,0.5445101568526614,2.55,2.43,-0.66,2.26,2.25,12,2014,74.52000000000004,3889.0,38.89
2015-03-31,479.07,-68.05,-0.02,0.02,109.53,-71.26,69.7,3.88,0.0,550.33,-84.69,438.95,609.94,9.88,1400.63,550.28,5689.3,0.0,414.97,312.21,785.39,2007.62,2793.01,308.01,2896.29,25.31,-173.39,-10.8,140.96,-48.5,0.41,0.96,-0.02,0.02,-1.0,-4.8,-6.28,-9.4,-9.04,-5.8,-14.61,-14.2,-10.4,1.78,1.77,3,2015,68.05,3402.5,-68.05
2015-06-30,474.71,-193.87,-0.059215027489309714,-0.000784972510690285,-25.939999999999998,-198.94,-34.040000000000006,3.2,0.0,673.65,-207.45,177.4,733.04,8.25,1105.96,580.83,5561.19,135.0,386.89,424.68,994.53,1923.39,2917.92,308.09,2643.28,-154.99,-489.65999999999997,380.64,164.9,-13.510084076958789,0.37,1.1,-0.08,0.02,-0.25,-13.945138973732437,-14.33003665241295,-29.341046120952964,-27.534987782529015,-17.527648136835676,-28.11,-27.46,-13.24,1.11,1.1,6,2015,-2.569999999999993,3274.0,-261.92
2015-09-30,464.56999999999994,-96.13,-0.03221784666945957,-0.0019455383326351067,68.4,-101.44,74.97,2.38,0.0,566.0,-116.86000000000001,186.81,616.54,10.07,948.86,641.19,5609.53,143.41,470.95,424.28,1076.2,1927.49,3003.69,308.09,2605.84,278.32,-268.38,-9.229999999999961,176.40999999999997,-18.464921200457713,0.28,1.15,-0.12,0.02,-0.17,-6.851662058371735,-7.0664477028347985,-14.755773774612482,-13.76775981008239,-8.806211422985616,-25.93,-25.24,-10.99,0.88,0.87,9,2015,-5.805,2983.75,-358.05
2015-12-31,506.7900000000002,-128.51999999999998,-0.04226154510142425,0.00037692418357070757,88.26999999999998,-35.47000000000003,137.36,2.04,0.0,542.27,-30.30000000000001,194.29,554.26,9.91,836.67,716.69,5277.74,135.0,493.13,349.72,1019.48,1834.69,2854.17,310.09,2423.56,84.60000000000002,-101.59000000000003,26.91999999999996,172.83000000000004,-12.067708333333336,0.26,1.18,-0.16,0.02,-0.13,-9.74128614587829,-7.828951230038842,-21.21529564091497,-19.091652999568403,-10.100509279240397,-25.7,-25.27,-9.17,0.82,0.81,12,2015,1.1462499999999949,3041.0625,-486.57
2016-03-31,496.68,-80.18,-0.03,0.0,97.27,-40.56,156.24,2.08,0.0,537.24,-46.31,201.76,574.5,10.9,848.32,754.65,5319.63,135.0,506.0,353.14,1031.77,1852.87,2884.64,315.09,2434.99,124.8,-192.32,78.39,196.8,-17.3325,0.27,1.18,-0.03,0.0,0.0,-6.04,-2.96,-13.16,-12.04,-3.8000000000000003,-16.33,-16.14,-3.06,0.82,0.81,3,2016,0.0,2672.666666666667,-80.18
2016-06-30,594.23,13.080000000000013,0.0038986587183308537,0.0,180.09000000000003,49.99,256.95,3.14,0.0,544.25,43.32,263.89,577.16,10.87,916.64,779.34,5623.21,137.19,491.7,373.98,1043.72,2028.27,3071.99,320.09,2551.22,245.82,-759.6099999999999,574.26,206.95999999999998,201.35129969418938,0.39,1.2,-0.02,0.0,0.0,0.9278807749627431,-0.13255439642324904,2.050694485842029,2.0117078986587202,-0.16374366616989583,-6.22,-6.15,0.32,0.88,0.87,6,2016,0.0,3354.9999999999995,-67.1
