,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2010-09-30,,,,,,,,,,,24.0,82.13,62.82,198.12,5.07,232.21,3.82,65.32,8.0,116.54,1.22,117.77,70.0,114.44,,,,,,0.0,1.03,0.23,0.0,0.0,,,,,,7.86,7.68,46.63,1.7,1.16,9,2010,,69.21739130434783,15.92
2010-12-31,82.53,4.799999999999999,0.06718146718146717,0.1,24.909999999999997,6.5,14.410000000000004,5.9,76.02999999999997,8.750000000000004,21.5,91.22,68.79,244.89,5.14,281.65,4.73,76.18,7.28,137.56,0.0,137.56,85.0,144.09,8.850000000000001,-35.05,23.7,7.910000000000002,21.950250000000004,3.48,0.95,0.29,0.1,0.34,6.820077220077219,0.0,13.325096525096525,0.0,19.46872586872587,7.3,7.15,48.06,1.78,1.28,12,2010,7.1448275862068975,71.44827586206897,20.72
2011-03-31,74.93,8.54,0.1,0.0,23.31,11.05,15.93,5.95,63.88,11.84,26.32,87.45,79.33,249.72,5.06,289.98,3.23,75.53,7.83,137.18,5.5,142.68,85.0,147.29,13.8,-7.85,-1.25,4.88,14.875,3.43,0.97,0.1,0.0,0.0,11.8,0.0,23.2,0.0,28.92,11.6,11.4,35.65,1.82,1.24,3,2011,0.0,85.39999999999999,8.54
2011-06-30,73.16999999999999,2.8200000000000003,0.03227112676056339,0.05,17.52,4.67,12.09,5.05,68.5,3.6899999999999995,18.77,101.7,81.14,252.76,4.98,296.19,3.19,87.84,5.88,144.64,5.68,150.32,85.0,145.87,1.9799999999999986,-2.7699999999999996,-6.77,7.420000000000001,39.125531914893614,2.94,1.03,0.13,0.05,0.38,3.8129577464788738,0.0,7.735140845070424,0.0,10.296971830985916,7.89,7.67,19.17,1.75,1.19,6,2011,4.369230769230769,87.38461538461537,11.36
2011-09-30,80.66,3.67,0.04395209580838323,-0.0023261169967756764,16.82,5.99,10.849999999999998,3.3,74.67000000000002,5.640000000000002,13.18,109.59,84.18,261.76,4.65,309.34,4.12,97.31,3.89,153.96,5.84,159.81,85.0,149.54,4.290000000000001,-8.38,-1.5,4.859999999999999,18.767023160762943,1.88,1.07,0.18,0.05,0.28,4.74682634730539,7.833240186294078,9.815968063872257,11.12476380572189,13.64468396540253,6.75,6.57,17.09,1.7,1.15,9,2011,-0.19423076923076898,83.5,15.03
2011-12-31,67.93,2.450000000000001,0.029433638443935938,-0.00015732265446223665,29.96,4.699999999999999,10.440000000000005,3.88,63.22999999999996,5.849999999999998,29.45,103.1,94.3,262.04,4.54,308.77,3.1,86.14,5.02,146.16,10.62,156.78,85.0,151.98,-5.43,-12.649999999999999,4.31,5.739999999999998,32.962285714285706,2.17,1.03,0.21,0.05,0.24,3.1732265446224273,5.017734553775746,6.447368421052634,6.6211670480549225,9.104805491990849,6.06,5.89,15.72,1.79,1.15,12,2011,-0.013095238095237605,83.23809523809524,17.48
2012-03-31,92.87,8.62,0.1,0.0,29.38,11.19,18.63,3.84,81.68,12.17,35.03,118.08,99.37,292.2,6.18,339.76,6.95,102.63,5.12,169.07,10.09,179.16,85.0,160.6,11.12,-7.69,2.15,7.44,9.6,2.03,1.12,0.1,0.0,0.0,10.16,14.2,21.48,22.4,26.239999999999995,9.47,9.28,23.31,1.73,1.14,3,2012,0.0,86.19999999999999,8.62
2012-06-30,90.76999999999998,9.74,0.11671023965141612,0.15,23.48,12.22,20.24,3.4,78.54999999999998,7.99,16.59,112.58,107.2,280.34,6.71,332.39,7.99,104.72,7.17,170.37,4.43,174.8,85.0,157.59,6.779999999999999,-11.719999999999999,-13.5,8.02,7.280852156057494,1.83,1.11,0.22,0.15,0.68,11.71346405228758,15.80893246187364,24.721350762527234,25.67625272331155,30.66296296296296,10.49,10.0,22.73,1.65,1.02,6,2012,12.518181818181818,83.45454545454545,18.36
2012-09-30,85.23000000000002,4.030000000000001,0.04679767753461368,0.004634780137236586,23.840000000000003,2.8500000000000014,10.120000000000005,5.05,82.38000000000002,3.0100000000000016,6.5,117.81,110.78,287.76,6.87,341.98,11.36,113.65,5.9,177.55,2.81,180.36,85.0,161.62,-3.379999999999999,-8.3,1.5899999999999999,7.27,26.973560794044662,2.66,1.12,0.26,0.15,0.58,4.715765966949532,5.8029120142920965,9.97150513622153,10.360285841893706,11.497829388119701,8.7,8.33,17.05,1.62,1.0,9,2012,0.39912587412587364,86.11538461538461,22.39
2012-12-31,85.98000000000002,5.82,0.06808224034030486,-0.0011063998036702678,27.28,7.080000000000002,14.86,7.25,78.89999999999998,5.009999999999998,6.8,120.37,119.08,298.06,6.69,353.24,11.13,130.67,4.6,182.79,3.01,185.8,85.0,167.44,10.420000000000002,-8.04,-2.0700000000000003,7.780000000000001,26.62258161512027,3.68,1.11,0.33,0.15,0.45,6.59366182204892,8.310159517901454,13.905281814959237,14.573725629209502,16.141680255228643,8.31,7.95,15.95,1.63,0.98,12,2012,-0.09458041958041896,85.48484848484848,28.21
